date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-29;78.48;78.27;78.46;78.27;78.27;78.45;true;0.21;78.805;78.31;78.765;78.375;78.7;true;false;true;false;true;true;true;1254182400000000;;1254182400000000;09:00 - 09:30;true;true;true;;;78.31;78.805;78.31;78.805;1254184800000000;1254195600000000;true;12:30 - 13:00;09:30 - 10:00;78.45;78.75;false;false;2.5;0.2;2.6;0.2;0.0;0.9;2.1;0.2;2.6;Strong Uptrend;Contraction;false;false;0.275;0.8
2009-09-30;78.875;78.645;78.865;78.68;78.685;78.865;true;0.23;79.07;78.58;79.025;78.66;78.82;true;true;true;false;true;true;false;1254269400000000;;1254269400000000;09:00 - 09:30;true;true;false;78.83;78.9;78.58;79.07;78.875;79.07;1254270000000000;1254270600000000;false;09:30 - 10:00;09:00 - 09:30;78.865;78.915;false;false;1.8;1.0;1.9;-0.2;0.2;1.0;0.8;-0.2;1.9;Medium Uptrend;Expansion;false;false;0.51;0.5
2009-10-01;79.535;79.39;79.485;79.44;79.485;79.44;false;0.145;79.565;79.125;79.545;79.155;79.26;true;true;true;true;true;false;false;1254357900000000;1254358800000000;1254357900000000;09:30 - 10:00;true;false;false;79.365;79.555;79.125;79.565;79.41;79.565;1254358200000000;1254358200000000;true;09:30 - 10:00;09:30 - 10:00;79.44;79.305;false;false;1.2;0.2;1.3;-1.8;0.7;0.4;-0.8;-1.8;1.3;Strong Uptrend;Strong Downtrend;false;true;0.195;0.7
2009-10-02;77.86;77.595;77.86;77.605;77.86;77.66;false;0.265;77.96;77.515;77.935;77.585;77.835;true;true;true;true;true;false;false;1254448500000000;1254442200000000;1254442200000000;09:00 - 09:30;false;false;false;77.575;77.78;77.555;77.96;77.775;77.555;1254444000000000;1254445200000000;true;10:00 - 10:30;09:30 - 10:00;77.66;77.67;false;false;-0.1;0.6;-0.2;1.3;1.0;0.2;0.9;-0.4;1.3;Strong Downtrend;Strong Downtrend;true;true;0.28;0.9
2009-10-05;77.825;77.65;77.825;77.665;77.74;77.825;true;0.175;78.615;77.82;78.565;77.825;78.435;true;false;true;false;true;true;true;1254700800000000;;1254700800000000;09:00 - 09:30;true;true;true;;;77.875;78.615;77.875;78.615;1254701100000000;1254705000000000;false;10:00 - 10:30;09:00 - 09:30;77.825;78.42;false;false;5.5;1.3;5.6;1.3;0.6;1.0;4.5;1.0;5.6;Strong Uptrend;Expansion;false;false;0.21;0.8
2009-10-06;78.645;78.545;78.635;78.55;78.55;78.62;true;0.1;79.01;77.98;78.965;77.985;78.92;true;true;true;true;true;false;false;1254799800000000;1254788400000000;1254788400000000;09:00 - 09:30;false;false;false;78.54;78.64;77.98;79.01;78.545;77.98;1254788700000000;1254799500000000;false;12:00 - 12:30;09:00 - 09:30;78.625;78.62;true;false;-5.6;0.0;-5.7;4.6;0.0;0.7;3.7;-5.7;4.6;Strong Uptrend;Medium Downtrend;true;true;0.23;0.4
2009-10-07;79.115;78.94;79.07;78.965;78.99;79.045;true;0.175;79.15;78.855;79.11;78.865;78.955;true;true;false;true;true;true;false;;1254879000000000;1254879000000000;10:30 - 11:00;false;true;false;78.915;79.15;78.855;79.06;78.93;78.855;1254879300000000;1254879900000000;false;10:30 - 11:00;10:30 - 11:00;79.045;78.955;false;true;-0.4;-0.1;-0.5;0.6;0.2;0.6;0.0;-0.5;1.2;Medium Uptrend;Strong Uptrend;false;true;0.255;0.7
2009-10-08;79.1;79.015;79.09;79.035;79.04;79.075;true;0.085;79.765;78.99;79.735;79.015;79.585;true;true;true;false;true;true;false;1254961800000000;;1254961800000000;09:30 - 10:00;true;true;true;78.99;79.125;79.4;79.765;79.4;79.765;1254962100000000;1254968100000000;false;11:00 - 11:30;09:30 - 10:00;79.075;79.64;false;false;8.8;4.6;8.9;4.6;0.3;0.8;6.8;-0.2;8.9;Strong Downtrend;Medium Uptrend;true;true;0.165;0.5
2009-10-09;80.255;80.095;80.23;80.14;80.14;80.23;true;0.16;80.76;80.105;80.74;80.15;80.585;true;false;true;false;true;true;true;1255048500000000;;1255048500000000;09:30 - 10:00;true;true;true;80.105;80.285;80.195;80.76;80.195;80.76;1255049100000000;1255061700000000;true;13:00 - 13:30;09:30 - 10:00;80.23;80.595;false;false;4.1;0.7;4.2;0.7;0.3;0.9;3.1;0.1;4.2;Strong Uptrend;Medium Uptrend;true;true;0.17;0.9
2009-10-12;81.405;81.315;81.395;81.325;81.36;81.39;true;0.09;81.49;81.225;81.465;81.255;81.465;true;true;true;true;true;false;false;1255324800000000;1255306800000000;1255306800000000;09:00 - 09:30;false;false;false;81.305;81.4;81.225;81.49;81.39;81.225;1255311600000000;1255312500000000;true;10:30 - 11:00;10:30 - 11:00;81.39;81.315;false;false;-1.0;0.8;-1.0;1.9;0.5;0.8;1.6;-1.0;1.9;Strong Uptrend;Strong Uptrend;false;false;0.15;0.6
2009-10-13;81.525;81.39;81.485;81.43;81.485;81.455;false;0.135;81.635;81.365;81.625;81.385;81.565;true;true;true;true;true;false;false;1255405500000000;;1255405500000000;12:30 - 13:00;true;true;true;81.365;81.55;81.51;81.635;81.51;81.635;1255406400000000;1255408500000000;true;13:30 - 14:00;13:00 - 13:30;81.455;81.575;false;false;1.8;0.9;1.9;0.9;0.8;0.5;1.3;-0.1;1.9;Weak Uptrend;Strong Downtrend;false;true;0.285;0.5
2009-10-14;81.51;81.35;81.495;81.35;81.35;81.495;true;0.16;81.565;81.125;81.555;81.14;81.35;true;true;true;true;true;false;false;1255478700000000;1255483800000000;1255478700000000;09:00 - 09:30;true;false;false;81.425;81.51;81.125;81.565;81.475;81.565;1255479000000000;1255479000000000;true;09:00 - 09:30;09:00 - 09:30;81.495;81.26;false;false;1.3;0.8;1.4;-1.4;0.0;1.0;0.0;-1.4;1.4;Medium Uptrend;Expansion;true;true;0.41;0.4
2009-10-15;82.025;81.83;81.985;81.85;81.86;81.985;true;0.195;82.495;81.94;82.475;82.005;82.465;true;false;true;false;true;true;true;1255564800000000;;1255564800000000;09:00 - 09:30;true;true;true;;;82.0;82.495;82.0;82.495;1255565100000000;1255578000000000;true;12:30 - 13:00;09:00 - 09:30;82.005;82.425;true;false;3.4;0.9;3.5;0.9;0.2;0.8;3.3;0.6;3.5;Strong Uptrend;Strong Uptrend;false;false;0.185;1.1
2009-10-16;84.09;83.595;84.075;83.6;83.6;83.945;true;0.495;84.2;83.73;84.17;83.75;83.755;true;false;true;false;true;true;true;1255653600000000;;1255653600000000;09:30 - 10:00;true;true;false;83.865;84.02;83.73;84.2;84.085;84.2;1255653900000000;1255654200000000;true;09:30 - 10:00;09:30 - 10:00;83.96;83.81;true;false;1.2;1.0;1.3;0.3;0.1;0.8;0.4;0.3;1.3;Strong Uptrend;Medium Downtrend;false;true;0.215;2.3
2009-10-19;83.365;83.16;83.315;83.205;83.305;83.225;false;0.205;83.5;82.81;83.45;82.85;83.375;true;true;true;true;true;false;false;1255921800000000;1255910400000000;1255910400000000;09:00 - 09:30;false;false;false;;;82.81;83.5;83.165;82.81;1255910700000000;1255911900000000;true;09:00 - 09:30;09:00 - 09:30;83.225;83.4;false;false;-1.7;0.0;-1.8;1.6;0.7;0.3;1.0;-1.8;1.6;Strong Downtrend;Medium Uptrend;false;false;0.25;0.8
2009-10-20;84.29;84.175;84.26;84.185;84.23;84.26;true;0.115;84.315;83.57;84.265;83.65;83.765;true;true;false;true;true;true;false;;1255996800000000;1255996800000000;09:00 - 09:30;false;true;true;;;83.57;84.315;84.315;83.57;1255998600000000;1256015100000000;true;14:00 - 14:30;09:30 - 10:00;84.265;83.94;true;false;-5.2;1.2;-5.3;1.2;0.4;0.7;-3.6;-5.3;1.2;Strong Uptrend;Strong Uptrend;false;false;0.21;0.5
