date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;77.435;77.15;77.405;77.19;77.245;77.2;false;0.285;77.665;77.14;77.665;77.16;77.665;true;true;true;false;true;true;false;1254126900000000;;1254126900000000;04:30 - 04:45;true;true;true;77.155;77.455;77.14;77.665;77.14;77.665;1254132600000000;1254140400000000;true;08:15 - 08:30;06:00 - 06:15;76.785;76.815;false;false;1.8;2.2;-0.0;-0.2;1.9;-0.0;0.4;0.2;1.9;-0.0;1.9;Strong Uptrend;;false;false;0.305;0.9
2009-09-29;78.735;78.31;78.71;78.355;78.71;78.355;false;0.425;78.68;78.185;78.625;78.22;78.405;false;true;false;true;true;true;true;;1254216000000000;1254216000000000;05:15 - 05:30;false;true;false;78.315;78.51;78.185;78.68;78.255;78.185;1254216300000000;1254216300000000;false;05:15 - 05:30;05:15 - 05:30;78.45;78.75;false;false;-0.2;-0.4;-0.2;-0.3;-0.3;0.8;0.9;0.1;0.2;-0.3;0.8;Weak Uptrend;Strong Uptrend;true;true;0.335;1.3
2009-09-30;79.01;78.875;78.98;78.905;78.925;78.92;false;0.135;79.155;78.705;79.15;78.79;79.015;true;true;true;true;true;false;false;1254298200000000;1254299400000000;1254298200000000;04:00 - 04:15;true;false;true;78.91;79.005;78.705;79.155;78.705;79.155;1254300000000000;1254305100000000;true;06:00 - 06:15;04:30 - 04:45;78.865;78.915;false;true;2.0;3.3;-1.2;-2.6;2.1;-1.2;0.4;0.4;1.1;-1.2;2.1;Contraction;Medium Uptrend;false;true;0.4;0.3
2009-10-01;79.49;79.185;79.475;79.225;79.225;79.295;true;0.305;79.475;78.925;79.43;78.96;79.085;false;true;false;true;true;true;true;;1254390900000000;1254390900000000;05:45 - 06:00;false;true;true;79.195;79.475;78.925;79.23;79.23;78.925;1254391200000000;1254394800000000;true;07:00 - 07:15;06:00 - 06:15;79.44;79.305;true;true;-0.8;-1.1;0.1;0.0;-0.9;0.1;0.1;0.3;-0.4;-0.9;0.9;Weak Downtrend;Strong Uptrend;true;false;0.17;1.8
2009-10-02;77.87;77.465;77.855;77.51;77.805;77.6;false;0.405;77.61;76.945;77.595;76.965;77.15;false;true;false;true;true;true;true;;1254470400000000;1254470400000000;04:00 - 04:15;false;true;true;;;76.945;77.48;77.48;76.945;1254474600000000;1254481200000000;true;07:00 - 07:15;05:00 - 05:15;77.66;77.67;false;false;-1.2;-1.6;0.0;-0.1;-1.3;0.0;0.8;0.3;-0.8;-1.3;0.3;Expansion;Strong Downtrend;true;true;0.345;1.2
2009-10-05;78.51;78.34;78.495;78.35;78.495;78.41;false;0.17;78.7;78.395;78.695;78.41;78.485;true;false;true;false;true;true;true;1254729900000000;;1254729900000000;04:00 - 04:15;true;true;false;78.395;78.495;78.44;78.7;78.44;78.7;1254733200000000;1254739800000000;true;06:45 - 07:00;05:00 - 05:15;77.825;78.42;false;false;2.1;2.4;0.6;0.7;2.2;0.6;1.0;0.5;0.9;0.4;2.2;Strong Uptrend;Strong Uptrend;true;true;0.545;0.3
2009-10-06;79.185;78.995;79.175;79.015;79.13;79.15;true;0.19;79.2;78.88;79.2;78.93;79.2;true;true;true;true;true;false;false;1254831900000000;1254817500000000;1254817500000000;04:15 - 04:30;false;false;false;78.995;79.17;78.88;79.2;78.99;78.88;1254817800000000;1254818100000000;false;04:30 - 04:45;04:30 - 04:45;78.625;78.62;false;false;-0.6;-0.8;-0.1;-0.2;-0.7;1.0;0.7;0.8;1.0;-0.7;1.0;Strong Uptrend;Medium Uptrend;false;false;0.16;1.2
2009-10-07;78.985;78.68;78.955;78.72;78.825;78.72;false;0.305;79.235;78.62;79.215;78.68;79.185;true;true;true;false;true;true;false;1254913200000000;;1254913200000000;07:00 - 07:15;true;true;true;78.62;79.085;78.96;79.235;78.96;79.235;1254913500000000;1254917700000000;true;08:15 - 08:30;07:00 - 07:15;79.045;78.955;false;true;1.8;2.1;1.0;1.1;1.9;1.0;0.5;0.2;1.7;-0.1;1.9;Medium Downtrend;Weak Uptrend;false;true;0.21;1.5
2009-10-08;79.83;79.67;79.79;79.715;79.715;79.78;true;0.16;80.015;79.695;79.97;79.695;79.795;true;false;true;false;true;true;true;1254989100000000;;1254989100000000;04:00 - 04:15;true;true;false;79.765;79.825;79.695;80.015;79.695;80.015;1254991500000000;1254997800000000;true;06:30 - 06:45;04:45 - 05:00;79.075;79.64;false;false;2.1;3.9;0.2;-0.2;2.2;0.2;0.3;0.7;0.8;0.2;2.2;Strong Uptrend;Medium Downtrend;true;true;0.135;1.2
2009-10-09;80.86;80.53;80.805;80.54;80.55;80.665;true;0.33;80.72;80.225;80.675;80.255;80.49;false;true;false;true;true;true;true;;1255077900000000;1255077900000000;04:45 - 05:00;false;true;true;80.515;80.72;80.225;80.57;80.525;80.225;1255078800000000;1255082400000000;false;06:00 - 06:15;05:00 - 05:15;80.23;80.595;false;false;-0.9;-1.1;-0.1;-0.1;-1.0;0.1;0.0;0.4;-0.2;-1.0;0.5;Strong Uptrend;Strong Uptrend;true;true;0.19;1.7
2009-10-12;81.355;81.075;81.34;81.13;81.285;81.265;false;0.28;81.865;81.255;81.845;81.27;81.575;true;false;true;false;true;true;true;1255335300000000;;1255335300000000;04:15 - 04:30;true;true;true;81.255;81.355;81.35;81.865;81.35;81.865;1255335600000000;1255341600000000;true;06:00 - 06:15;04:15 - 04:30;81.39;81.315;false;true;2.8;3.4;1.0;1.1;2.9;1.0;0.8;0.7;1.8;0.7;2.9;Weak Downtrend;Strong Uptrend;true;true;0.17;1.6
