date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;77.54;77.26;77.525;77.295;77.325;77.4;true;0.28;78.255;77.345;78.235;77.36;78.045;true;false;true;false;true;true;true;1254147600000000;;1254147600000000;10:15 - 10:30;true;true;true;77.345;77.48;77.52;78.255;77.52;78.255;1254149400000000;1254152400000000;true;11:30 - 11:45;10:45 - 11:00;76.785;76.815;false;false;3.5;4.1;1.0;1.0;3.6;1.0;0.3;0.5;2.9;0.4;3.6;Weak Uptrend;;false;false;0.235;1.2
2009-09-29;78.7;78.425;78.585;78.435;78.505;78.585;true;0.275;78.79;78.22;78.78;78.3;78.54;true;true;true;true;true;false;false;1254243000000000;1254232800000000;1254232800000000;10:00 - 10:15;false;false;false;;;78.23;78.79;78.34;78.23;1254233100000000;1254233100000000;false;10:00 - 10:15;10:00 - 10:15;78.45;78.75;true;false;-0.7;-1.3;-0.4;-0.7;-0.8;1.3;0.2;0.5;0.4;-0.8;1.3;Contraction;Medium Uptrend;false;true;0.315;0.9
2009-09-30;79.275;78.765;79.245;78.78;79.225;78.78;false;0.51;79.38;78.555;79.345;78.615;79.185;true;true;true;true;true;false;false;1254330000000000;1254319200000000;1254319200000000;10:00 - 10:15;false;false;false;;;78.605;79.38;78.705;78.605;1254319500000000;1254319500000000;false;10:00 - 10:15;10:00 - 10:15;78.865;78.915;false;false;-0.3;-0.3;-0.2;-0.2;-0.4;1.2;0.9;0.0;0.8;-0.5;1.2;Expansion;Medium Uptrend;true;false;0.075;6.8
2009-10-01;78.88;78.685;78.88;78.725;78.88;78.765;false;0.195;78.83;77.88;78.76;77.925;77.925;false;true;false;true;true;true;true;;1254405900000000;1254405900000000;10:00 - 10:15;false;true;true;78.655;78.83;77.88;78.76;78.76;77.88;1254407700000000;1254426900000000;true;15:45 - 16:00;10:30 - 10:45;79.44;79.305;false;false;-4.1;-5.4;0.3;0.2;-4.2;0.3;1.0;0.4;-3.9;-4.2;0.7;Strong Downtrend;Medium Downtrend;true;false;0.255;0.8
2009-10-02;76.89;76.61;76.825;76.62;76.62;76.825;true;0.28;77.9;76.695;77.85;76.825;77.475;true;false;true;false;true;true;true;1254492000000000;;1254492000000000;10:00 - 10:15;true;true;true;;;76.865;77.9;76.865;77.9;1254492300000000;1254495900000000;true;11:00 - 11:15;10:00 - 10:15;77.66;77.67;false;false;4.6;6.2;1.0;1.2;4.7;1.0;0.1;0.8;3.1;0.4;4.7;Strong Downtrend;Expansion;false;true;0.345;0.8
2009-10-05;78.515;78.305;78.47;78.365;78.455;78.41;false;0.21;78.735;78.245;78.72;78.275;78.52;true;true;true;true;true;false;false;1254757800000000;1254753900000000;1254753900000000;10:45 - 11:00;false;false;false;78.285;78.515;78.245;78.735;78.375;78.245;1254754500000000;1254754800000000;true;11:00 - 11:15;10:45 - 11:00;77.825;78.42;false;false;-0.2;-1.1;0.3;0.0;-0.3;2.0;0.7;0.4;1.0;-0.3;2.0;Expansion;Strong Uptrend;false;false;0.145;1.4
2009-10-06;79.04;78.81;78.995;78.815;78.985;78.905;false;0.23;79.255;78.795;79.255;78.825;78.99;true;true;true;false;true;true;false;1254839100000000;;1254839100000000;10:15 - 10:30;true;true;false;78.895;79.065;78.795;79.255;78.995;79.255;1254840300000000;1254841800000000;true;11:00 - 11:15;10:45 - 11:00;78.625;78.62;false;false;1.9;2.4;0.9;1.0;2.0;-0.0;0.8;0.5;0.8;-0.0;2.0;Medium Downtrend;Strong Uptrend;false;false;0.175;1.3
2009-10-07;79.41;79.155;79.34;79.155;79.31;79.155;false;0.255;79.225;78.58;79.225;78.615;78.835;false;true;false;true;true;true;true;;1254924000000000;1254924000000000;10:00 - 10:15;false;true;true;;;78.58;79.225;79.225;78.58;1254925500000000;1254939000000000;true;14:00 - 14:15;10:15 - 10:30;79.045;78.955;false;false;-2.2;-3.1;0.2;0.3;-2.3;0.2;0.6;0.0;-1.3;-2.3;0.2;Strong Uptrend;Medium Downtrend;false;false;0.27;0.9
2009-10-08;79.965;79.8;79.925;79.8;79.925;79.8;false;0.165;80.315;79.725;80.27;79.805;80.1;true;true;true;false;true;true;false;1255014300000000;;1255014300000000;11:00 - 11:15;true;true;true;79.725;79.985;79.95;80.315;79.95;80.315;1255014600000000;1255016400000000;true;11:30 - 11:45;11:00 - 11:15;79.075;79.64;false;false;3.1;4.1;1.0;1.3;3.2;1.0;0.8;0.0;1.9;-0.4;3.2;Medium Uptrend;Strong Uptrend;true;true;0.155;1.1
2009-10-09;80.88;80.71;80.825;80.74;80.76;80.815;true;0.17;81.215;80.79;81.21;80.815;81.115;true;false;true;false;true;true;true;1255096800000000;;1255096800000000;10:00 - 10:15;true;true;true;;;80.79;81.215;80.79;81.215;1255097400000000;1255115400000000;true;15:00 - 15:15;10:00 - 10:15;80.23;80.595;false;false;2.9;5.5;0.5;0.6;3.0;0.5;0.3;0.7;2.4;0.5;3.0;Medium Uptrend;Strong Uptrend;false;true;0.33;0.5
2009-10-12;81.465;81.315;81.425;81.345;81.41;81.345;false;0.15;81.545;81.235;81.53;81.27;81.485;true;true;true;true;true;false;false;1255357800000000;1255356600000000;1255356600000000;10:00 - 10:15;false;false;false;81.3;81.375;81.235;81.545;81.295;81.235;1255356900000000;1255356900000000;false;10:15 - 10:30;10:15 - 10:30;81.39;81.315;false;false;-0.5;-1.3;-0.2;-0.7;-0.6;1.5;0.6;0.2;1.1;-0.6;1.5;Strong Uptrend;Strong Downtrend;true;true;0.215;0.7
2009-10-13;81.41;81.125;81.38;81.15;81.345;81.15;false;0.285;81.505;80.995;81.395;81.035;81.25;true;true;false;true;true;true;false;;1255442400000000;1255442400000000;10:00 - 10:15;false;true;false;;;80.995;81.505;81.105;80.995;1255442700000000;1255442700000000;false;10:00 - 10:15;10:00 - 10:15;81.455;81.575;false;false;-0.4;-0.6;-0.1;-0.2;-0.5;1.3;0.7;0.0;0.4;-0.5;1.3;Strong Downtrend;Strong Uptrend;false;true;0.215;1.3
2009-10-14;81.655;81.245;81.64;81.48;81.64;81.495;false;0.41;81.85;81.45;81.82;81.46;81.68;true;false;true;false;true;true;true;1255535100000000;;1255535100000000;11:45 - 12:00;true;true;true;81.45;81.67;81.475;81.85;81.475;81.85;1255543200000000;1255547100000000;true;15:00 - 15:15;14:00 - 14:15;81.495;81.26;false;true;1.4;2.3;0.6;-0.0;1.5;0.6;1.0;0.7;1.1;0.5;1.5;Expansion;Weak Uptrend;true;true;0.185;2.2
