date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;77.585;77.26;77.57;77.295;77.325;77.56;true;0.325;78.255;77.52;78.235;77.56;78.045;true;false;true;false;true;true;true;1254148200000000;;1254148200000000;10:30 - 11:00;true;true;true;;;77.52;78.255;77.52;78.255;1254149400000000;1254152400000000;true;11:30 - 12:00;10:30 - 11:00;76.785;76.815;false;false;3.0;0.8;3.1;0.8;0.2;1.0;2.5;0.8;3.1;Weak Uptrend;Strong Uptrend;true;true;0.285;1.1
2009-09-29;78.7;78.22;78.585;78.3;78.505;78.37;false;0.48;78.79;78.36;78.78;78.37;78.54;true;false;true;false;true;true;true;1254243000000000;;1254243000000000;12:30 - 13:00;true;true;false;78.36;78.725;78.515;78.79;78.685;78.79;1254243300000000;1254244800000000;true;13:00 - 13:30;12:30 - 13:00;78.45;78.75;false;false;1.1;1.0;1.2;0.7;0.6;0.4;0.7;0.3;1.2;Weak Downtrend;Weak Uptrend;false;true;0.425;1.1
2009-09-30;79.275;78.555;79.245;78.615;79.225;78.82;false;0.72;79.38;78.775;79.345;78.825;79.185;true;false;true;false;true;true;true;1254330000000000;;1254330000000000;13:00 - 13:30;true;true;false;78.775;79.245;79.02;79.38;79.215;79.38;1254330600000000;1254331500000000;true;13:00 - 13:30;13:00 - 13:30;78.865;78.915;false;false;1.1;1.0;1.2;0.7;1.0;0.4;0.9;0.4;1.2;Expansion;Contraction;true;false;0.135;5.3
2009-10-01;78.88;78.515;78.88;78.645;78.88;78.675;false;0.365;78.76;77.88;78.715;77.925;77.925;false;true;false;true;true;true;true;;1254408300000000;1254408300000000;10:30 - 11:00;false;true;true;78.635;78.76;77.88;78.685;78.685;77.88;1254408900000000;1254426900000000;true;15:30 - 16:00;10:30 - 11:00;79.44;79.305;false;false;-1.7;0.4;-1.8;0.4;1.0;0.4;-1.7;-1.8;0.6;Strong Downtrend;Weak Downtrend;false;true;0.305;1.2
2009-10-02;77.405;76.61;77.38;76.62;76.62;77.38;true;0.795;77.9;77.23;77.85;77.255;77.475;true;false;true;false;true;true;true;1254493800000000;;1254493800000000;10:30 - 11:00;true;true;true;;;77.23;77.9;77.23;77.9;1254495300000000;1254495900000000;true;11:00 - 11:30;10:30 - 11:00;77.66;77.67;false;false;1.6;0.8;1.7;0.8;0.1;1.0;1.1;0.8;1.7;Strong Downtrend;Expansion;false;true;0.405;2.0
2009-10-05;78.515;78.285;78.47;78.335;78.455;78.44;false;0.23;78.735;78.245;78.72;78.275;78.52;true;true;true;true;true;false;false;1254757800000000;1254754200000000;1254754200000000;10:30 - 11:00;false;false;false;78.285;78.46;78.245;78.735;78.375;78.245;1254754500000000;1254754800000000;true;11:00 - 11:30;10:30 - 11:00;77.825;78.42;false;true;-0.1;0.3;-0.2;1.9;0.7;0.6;1.0;-0.2;1.9;Expansion;Strong Uptrend;true;true;0.17;1.4
2009-10-06;79.07;78.81;79.045;78.815;78.985;79.045;true;0.26;79.255;78.795;79.255;78.825;78.99;true;true;true;false;true;true;false;1254840900000000;;1254840900000000;10:30 - 11:00;true;true;false;78.995;79.085;78.795;79.255;79.055;79.255;1254841200000000;1254841800000000;true;11:00 - 11:30;11:00 - 11:30;78.625;78.62;false;false;1.7;1.0;1.8;-0.0;0.7;1.0;0.7;-0.0;1.8;Medium Downtrend;Strong Uptrend;false;false;0.19;1.4
2009-10-07;79.41;79.03;79.34;79.07;79.31;79.225;false;0.38;79.225;78.58;79.225;78.615;78.835;false;true;false;true;true;true;true;;1254928500000000;1254928500000000;11:00 - 11:30;false;true;true;79.03;79.225;78.58;79.015;79.015;78.58;1254928800000000;1254939000000000;false;14:00 - 14:30;11:00 - 11:30;79.045;78.955;true;false;-1.1;-0.1;-1.2;-0.1;0.7;0.5;-0.6;-1.2;0.5;Strong Uptrend;Medium Downtrend;true;true;0.305;1.2
2009-10-08;79.985;79.725;79.955;79.8;79.925;79.955;true;0.26;80.315;79.845;80.27;79.85;80.1;true;false;true;false;true;true;true;1255014300000000;;1255014300000000;11:00 - 11:30;true;true;true;79.845;79.965;79.95;80.315;79.95;80.315;1255014600000000;1255016400000000;true;11:30 - 12:00;11:00 - 11:30;79.075;79.64;false;false;2.2;0.9;2.3;0.9;0.8;0.9;1.5;0.5;2.3;Weak Uptrend;Strong Uptrend;true;true;0.16;1.6
2009-10-09;81.035;80.71;81.01;80.74;80.76;80.945;true;0.325;81.215;80.81;81.21;80.84;81.115;true;false;true;false;true;true;true;1255103100000000;;1255103100000000;11:30 - 12:00;true;true;true;80.81;81.055;80.855;81.215;80.855;81.215;1255105200000000;1255115400000000;true;15:00 - 15:30;12:00 - 12:30;80.23;80.595;false;false;1.5;0.5;1.6;0.5;0.2;0.8;1.3;0.4;1.6;Medium Uptrend;Strong Uptrend;false;true;0.33;1.0
