date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2024-07-26;false;true;true;true;true;true;false;false;1722004200000000;10:30 - 10:45;false;false;false;1722004500000000;1722004500000000;false;5.0;5.0;10:30 - 10:45;10:30 - 10:45;;;-0.3;-0.3;-0.2;-0.2;-0.4;1.2;0.2;0.0;0.9;-0.5;1.2;Medium Uptrend;;true;true;3.0
2024-07-29;false;false;true;false;true;true;true;true;1722264300000000;10:45 - 11:00;false;true;true;1722264600000000;1722272400000000;false;5.0;135.0;13:00 - 13:15;10:45 - 11:00;false;false;-1.8;-2.2;-0.2;-0.3;-1.9;-0.2;0.9;0.1;-1.2;-1.9;0.2;Expansion;Strong Uptrend;true;false;7.5
2024-07-30;false;false;true;false;true;true;true;true;1722350400000000;10:30 - 10:45;false;true;true;1722351000000000;1722351600000000;true;10.0;20.0;11:00 - 11:15;10:45 - 11:00;false;;-0.6;-1.0;0.0;-0.1;-0.7;0.5;0.6;0.0;-0.3;-0.7;0.5;Weak Downtrend;Contraction;false;true;3.6
2024-07-31;false;false;true;false;true;true;true;true;1722453600000000;15:15 - 15:30;false;true;true;1722454500000000;1722455400000000;false;15.0;30.0;15:45 - 16:00;15:30 - 15:45;false;true;-1.2;-1.9;0.0;-0.3;-1.3;0.0;0.5;0.1;-0.9;-1.3;0.9;Expansion;Strong Uptrend;false;true;2.8
2024-08-01;false;false;true;false;true;true;true;true;1722522600000000;10:30 - 10:45;false;true;true;1722523200000000;1722534300000000;true;10.0;195.0;13:45 - 14:00;10:30 - 10:45;true;false;-2.4;-2.6;0.3;0.3;-2.5;0.3;0.5;0.0;-1.1;-2.5;0.3;Expansion;Medium Downtrend;true;true;3.0
2024-08-02;true;false;true;false;true;true;true;true;1722609300000000;10:30 - 10:45;false;true;true;1722609600000000;1722612000000000;false;5.0;45.0;11:15 - 11:30;10:30 - 10:45;true;true;-2.0;-2.8;-0.3;-0.5;-2.1;-0.3;0.3;0.3;-1.9;-2.1;0.5;Strong Uptrend;Strong Downtrend;false;false;2.4
2024-08-05;true;true;false;true;false;true;true;true;1722868500000000;10:30 - 10:45;true;true;false;1722870000000000;1722875100000000;true;25.0;110.0;12:15 - 12:30;11:00 - 11:15;false;false;1.4;1.4;1.0;1.0;1.5;0.7;0.1;0.8;1.0;0.7;1.5;Expansion;Strong Downtrend;false;true;2.5
2024-08-06;true;true;false;true;false;true;true;true;1722960600000000;12:00 - 12:15;true;true;true;1722961800000000;1722968100000000;true;20.0;125.0;14:15 - 14:30;12:30 - 12:45;false;false;1.2;1.3;0.9;1.0;1.3;0.9;0.4;0.9;1.2;0.6;1.3;Expansion;Medium Uptrend;false;true;3.3
2024-08-07;false;false;true;false;true;true;true;true;1723041000000000;10:30 - 10:45;false;true;true;1723041900000000;1723060500000000;true;15.0;325.0;15:45 - 16:00;10:45 - 11:00;false;false;-1.0;-1.2;0.2;0.2;-1.1;0.2;0.8;0.0;-1.1;-1.1;0.2;Expansion;Strong Uptrend;true;true;2.4
2024-08-08;true;true;false;true;false;true;true;true;1723127700000000;10:30 - 10:45;true;true;true;1723128300000000;1723133400000000;true;10.0;95.0;12:00 - 12:15;10:45 - 11:00;false;true;1.9;2.3;1.0;1.1;2.0;1.0;0.7;1.0;1.8;0.9;2.0;Expansion;Strong Uptrend;false;false;6.7
2024-08-09;true;false;true;false;true;true;true;true;1723213800000000;10:30 - 10:45;false;true;false;1723214100000000;1723214100000000;false;5.0;5.0;10:30 - 10:45;10:30 - 10:45;true;false;-0.1;-0.3;-0.1;-0.2;-0.2;0.7;0.4;0.4;0.7;-0.2;0.7;Weak Downtrend;Strong Downtrend;false;true;2.4
2024-08-12;true;true;false;true;false;true;true;true;1723473000000000;10:30 - 10:45;true;true;false;1723473300000000;1723473600000000;true;5.0;10.0;10:30 - 10:45;10:30 - 10:45;true;true;1.4;1.6;1.0;1.2;1.5;0.3;0.9;0.9;0.6;0.3;1.5;Weak Uptrend;Weak Downtrend;true;true;1.5
