date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;66.65;66.33;66.6;66.33;66.37;66.6;true;0.32;66.66;65.5;66.6;65.53;65.65;true;true;false;true;true;true;false;;1254099300000000;1254099300000000;09:30 - 10:00;false;true;true;66.33;66.66;65.5;66.42;66.42;65.5;1254100200000000;1254111600000000;true;13:00 - 13:30;10:00 - 10:30;66.55;65.6;false;false;-2.5;0.2;-2.6;0.2;0.1;0.8;-2.2;-2.6;1.0;;Medium Uptrend;true;true;0.67;0.5
2009-09-29;67.33;67.1;67.3;67.12;67.14;67.14;false;0.23;67.15;66.79;67.13;66.83;66.96;false;true;false;true;true;true;true;;1254184200000000;1254184200000000;09:30 - 10:00;false;true;true;;;66.79;67.08;67.07;66.79;1254184500000000;1254185400000000;false;09:30 - 10:00;09:30 - 10:00;67.27;66.87;true;false;-1.3;-0.2;-1.4;-0.1;0.1;0.1;-0.7;-1.4;0.2;Strong Uptrend;Weak Downtrend;true;true;0.98;0.2
2009-09-30;66.66;66.45;66.64;66.47;66.6;66.64;true;0.21;67.4;66.63;67.37;66.65;67.12;true;false;true;false;true;true;true;1254270600000000;;1254270600000000;09:30 - 10:00;true;true;true;;;66.72;67.4;66.72;67.4;1254272400000000;1254284100000000;false;13:00 - 13:30;10:00 - 10:30;66.6;67.1;false;false;4.5;1.3;4.6;1.3;0.8;1.0;3.2;0.9;4.6;Contraction;Expansion;true;true;1.18;0.2
2009-10-01;70.39;70.11;70.39;70.11;70.33;70.11;false;0.28;70.17;69.88;70.15;69.88;69.97;false;true;false;true;true;true;true;;1254357300000000;1254357300000000;09:30 - 10:00;false;true;true;70.06;70.17;69.88;70.17;70.17;69.88;1254357600000000;1254372600000000;true;13:30 - 14:00;09:30 - 10:00;70.36;70.01;true;false;-0.8;0.2;-0.9;0.2;0.7;0.0;-0.5;-0.9;0.2;Strong Uptrend;Medium Uptrend;false;true;0.85;0.3
2009-10-02;70.48;70.1;70.43;70.13;70.36;70.16;false;0.38;70.3;70.1;70.3;70.1;70.18;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;70.21;70.27;false;false;;;;;0.6;0.1;0.2;0.0;0.5;Medium Downtrend;Expansion;false;true;1.47;0.3
2009-10-05;69.83;69.46;69.81;69.46;69.57;69.81;true;0.37;69.95;69.74;69.95;69.75;69.89;true;false;true;false;true;true;true;1254702900000000;;1254702900000000;09:30 - 10:00;true;true;true;69.76;69.82;69.74;69.95;69.77;69.95;1254703500000000;1254705600000000;true;10:00 - 10:30;09:30 - 10:00;69.52;69.84;true;false;1.3;0.9;1.4;0.8;0.3;1.0;1.2;0.8;1.4;Contraction;Medium Downtrend;false;false;0.92;0.4
2009-10-06;70.55;70.39;70.52;70.43;70.52;70.47;false;0.16;70.7;70.06;70.66;70.15;70.65;true;true;true;true;true;false;false;1254800400000000;1254789900000000;1254789900000000;09:30 - 10:00;false;false;false;70.4;70.46;70.06;70.7;70.35;70.06;1254790200000000;1254790800000000;false;10:00 - 10:30;09:30 - 10:00;70.47;70.56;false;false;-2.0;-0.3;-2.1;1.9;0.8;0.5;1.6;-2.1;1.9;Strong Uptrend;Weak Uptrend;false;true;1.04;0.2
2009-10-07;71.49;71.33;71.47;71.34;71.41;71.42;true;0.16;71.76;71.12;71.71;71.21;71.42;true;true;true;true;true;false;false;1254887100000000;1254876000000000;1254876000000000;09:30 - 10:00;false;false;false;71.33;71.46;71.12;71.76;71.25;71.12;1254876300000000;1254876300000000;false;09:30 - 10:00;09:30 - 10:00;71.44;71.5;true;false;-1.3;-0.5;-1.4;2.6;0.5;0.5;0.5;-1.4;2.6;Contraction;Expansion;false;true;0.66;0.2
2009-10-08;69.98;69.83;69.97;69.83;69.9;69.83;false;0.15;70.4;69.84;70.35;69.84;70.25;true;false;true;false;true;true;true;1254962100000000;;1254962100000000;09:30 - 10:00;true;true;true;69.84;69.98;69.95;70.4;69.95;70.4;1254963300000000;1254970800000000;true;12:00 - 12:30;09:30 - 10:00;69.9;70.19;false;false;3.7;0.8;3.8;0.8;0.5;0.0;2.8;0.1;3.8;Strong Downtrend;Strong Downtrend;true;true;0.68;0.2
2009-10-09;71.5;71.2;71.45;71.2;71.34;71.2;false;0.3;71.43;71.03;71.43;71.08;71.1;false;true;false;true;true;true;true;;1255052700000000;1255052700000000;10:30 - 11:00;false;true;true;71.2;71.43;71.03;71.3;71.3;71.03;1255054800000000;1255056600000000;true;11:30 - 12:00;11:00 - 11:30;71.45;71.21;true;false;-0.5;0.3;-0.6;0.3;0.4;0.0;-0.4;-0.6;0.7;Strong Uptrend;Medium Uptrend;false;false;0.88;0.3
