date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;66.59;66.0;66.47;66.08;66.08;66.31;true;0.59;67.54;66.3;67.4;66.3;67.03;true;false;true;false;true;true;true;1254148500000000;;1254148500000000;10:30 - 10:45;true;true;true;66.3;66.73;66.4;67.54;66.55;67.54;1254149400000000;1254153900000000;true;12:00 - 12:15;10:45 - 11:00;66.55;65.6;true;false;2.6;3.7;1.0;1.3;2.7;0.7;0.2;0.6;1.8;0.6;2.7;Medium Uptrend;Strong Downtrend;false;false;0.42;1.4
2009-09-29;66.85;66.3;66.73;66.32;66.45;66.66;true;0.55;67.3;65.87;67.09;66.04;66.69;true;true;true;true;true;false;false;1254234900000000;1254232800000000;1254232800000000;10:00 - 10:15;false;false;false;;;66.03;67.3;66.42;66.03;1254233100000000;1254233100000000;true;10:00 - 10:15;10:00 - 10:15;67.27;66.87;false;false;-0.4;-0.7;0.2;0.2;-0.5;1.8;0.2;0.6;0.7;-0.8;1.8;Medium Downtrend;Strong Downtrend;false;true;0.34;1.6
2009-09-30;67.4;66.22;67.28;66.45;67.28;66.45;false;1.18;70.72;66.24;70.6;66.37;70.34;true;false;true;false;true;true;true;1254322500000000;;1254322500000000;10:45 - 11:00;true;true;true;66.24;67.55;67.6;70.72;67.6;70.72;1254322800000000;1254335100000000;false;14:15 - 14:30;11:00 - 11:15;66.6;67.1;false;false;3.8;5.1;1.2;1.4;3.9;1.2;0.9;0.2;3.5;0.1;3.9;Expansion;Strong Uptrend;false;false;0.23;5.1
2009-10-01;71.08;70.4;71.05;70.53;70.57;70.81;true;0.68;71.09;69.13;70.93;69.24;70.45;true;true;false;true;true;true;false;;1254405900000000;1254405900000000;10:00 - 10:15;false;true;false;70.27;70.99;69.13;71.09;71.09;69.13;1254407700000000;1254411300000000;true;11:30 - 11:45;10:30 - 10:45;70.36;70.01;false;false;-1.8;-2.6;1.0;1.0;-1.9;1.0;0.2;0.6;0.0;-1.9;1.0;Strong Uptrend;Weak Downtrend;false;true;0.39;1.7
2009-10-02;70.31;68.84;69.9;68.97;68.97;69.74;true;1.47;70.25;68.83;70.19;68.92;69.73;false;true;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;70.21;70.27;true;true;;;;;;;0.0;0.6;0.6;-0.1;0.9;Expansion;Strong Downtrend;false;true;0.24;6.1
2009-10-05;69.36;68.59;69.29;68.81;68.94;69.19;true;0.77;71.0;68.05;70.84;68.23;70.34;true;true;true;true;true;false;false;1254761700000000;1254753600000000;1254753600000000;10:30 - 10:45;false;false;false;68.6;69.51;68.05;71.0;68.64;68.05;1254755100000000;1254756300000000;true;11:15 - 11:30;11:00 - 11:15;69.52;69.84;false;false;-0.7;-1.5;0.0;-0.4;-0.8;3.1;0.4;0.7;2.2;-0.8;3.1;Strong Downtrend;Medium Uptrend;false;true;0.49;1.6
2009-10-06;71.52;70.91;71.46;70.99;70.99;71.46;true;0.61;71.97;70.51;71.93;70.67;71.03;true;true;true;true;true;false;false;1254837600000000;1254851400000000;1254837600000000;10:00 - 10:15;true;false;false;;;70.51;71.97;71.51;71.97;1254839700000000;1254842400000000;true;11:15 - 11:30;10:30 - 10:45;70.47;70.56;false;false;1.7;2.0;1.0;1.2;1.8;-0.6;0.2;1.0;0.2;-0.6;1.8;Medium Uptrend;Strong Uptrend;true;true;0.35;1.7
2009-10-07;71.28;70.81;71.25;70.92;71.17;71.08;false;0.47;71.47;68.88;71.41;69.11;69.84;true;true;true;true;true;false;false;1254924900000000;1254925800000000;1254924900000000;10:15 - 10:30;true;false;false;71.0;71.26;68.88;71.47;71.29;71.47;1254925500000000;1254925500000000;false;10:15 - 10:30;10:15 - 10:30;71.44;71.5;false;false;1.4;1.6;1.1;1.2;1.5;-4.1;0.8;0.6;-2.0;-4.1;1.5;Medium Downtrend;Weak Downtrend;false;true;0.27;1.7
2009-10-08;69.8;69.32;69.72;69.36;69.37;69.53;true;0.48;72.55;69.25;72.23;69.48;71.33;true;true;true;false;true;true;false;1255011900000000;;1255011900000000;10:15 - 10:30;true;true;true;69.25;69.76;69.78;72.55;69.78;72.55;1255012200000000;1255019700000000;true;12:30 - 12:45;10:30 - 10:45;69.9;70.19;false;false;6.7;8.8;1.0;1.2;6.8;1.0;0.2;0.5;4.2;-0.1;6.8;Strong Downtrend;Strong Uptrend;true;false;0.19;2.5
2009-10-09;72.24;71.36;72.09;71.51;71.7;71.86;true;0.88;72.35;70.88;72.26;70.9;72.26;true;true;true;true;true;false;false;1255117500000000;1255103700000000;1255103700000000;11:45 - 12:00;false;false;false;71.28;72.22;70.88;72.35;71.47;70.88;1255104000000000;1255104600000000;true;12:00 - 12:15;12:00 - 12:15;71.45;71.21;true;false;-0.5;-1.0;0.1;-0.1;-0.6;1.1;0.3;0.5;1.0;-0.6;1.1;Medium Uptrend;Weak Downtrend;true;true;0.55;1.6
