date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;1041.0;1038.0;1040.75;1038.75;1040.75;1040.0;false;3.0;1040.25;1035.75;1039.75;1036.5;1039.0;false;true;false;true;true;true;true;;1254100500000000;1254100500000000;10:00 - 10:30;false;true;false;1037.5;1040.25;1035.75;1039.25;1038.0;1035.75;1254100800000000;1254102900000000;false;10:30 - 11:00;10:00 - 10:30;1039.25;1036.75;true;false;-0.7;0.0;-0.8;0.4;0.9;0.6;0.3;-0.8;0.7;;Strong Uptrend;true;true;11.75;0.3
2009-09-29;1061.0;1059.0;1061.0;1059.25;1061.0;1059.5;false;2.0;1060.5;1057.75;1060.25;1058.0;1060.0;false;true;false;true;true;true;true;;1254184500000000;1254184500000000;09:30 - 10:00;false;true;false;1058.75;1059.75;1057.75;1060.5;1058.5;1057.75;1254184800000000;1254184800000000;false;09:30 - 10:00;09:30 - 10:00;1060.25;1059.0;false;false;-0.6;-0.3;-0.7;0.7;1.0;0.2;0.5;-0.7;0.7;Strong Uptrend;Expansion;false;true;10.25;0.2
2009-09-30;1056.5;1055.0;1056.5;1055.25;1055.5;1056.25;true;1.5;1057.25;1054.75;1057.0;1054.75;1056.25;true;true;true;true;true;false;false;1254272400000000;;1254272400000000;10:00 - 10:30;true;true;false;1056.25;1056.75;1054.75;1057.25;1055.0;1057.25;1254274500000000;1254276600000000;true;11:00 - 11:30;10:30 - 11:00;1055.75;1056.25;false;false;1.5;0.0;1.5;-0.1;0.4;0.9;0.9;-0.1;1.5;Medium Downtrend;Expansion;false;true;18.5;0.1
2009-10-01;1054.5;1053.0;1054.25;1053.25;1053.75;1054.0;true;1.5;1056.0;1050.25;1055.5;1050.25;1051.25;true;true;true;true;true;false;false;1254357300000000;1254360000000000;1254357300000000;09:30 - 10:00;true;false;false;1053.5;1054.5;1050.25;1056.0;1054.75;1056.0;1254357600000000;1254357600000000;false;09:30 - 10:00;09:30 - 10:00;1054.0;1051.25;false;false;2.0;1.2;2.0;-1.8;0.5;0.7;-1.1;-1.8;2.0;Contraction;Strong Downtrend;false;true;12.5;0.1
2009-10-02;1026.5;1023.75;1026.25;1024.25;1026.0;1026.0;false;2.75;1026.75;1024.0;1026.5;1024.25;1025.0;true;false;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;1025.25;1025.0;true;true;;;;;0.8;0.8;0.4;0.0;1.0;Strong Downtrend;Medium Downtrend;true;true;8.75;0.3
2009-10-05;1024.75;1021.0;1024.25;1022.0;1023.5;1023.5;false;3.75;1025.5;1022.25;1025.25;1022.25;1023.0;true;false;true;false;true;true;true;1254705300000000;;1254705300000000;10:00 - 10:30;true;true;false;1023.5;1025.0;1022.25;1025.5;1025.0;1025.5;1254705600000000;1254705600000000;false;10:00 - 10:30;10:00 - 10:30;1022.75;1024.75;true;false;1.2;1.1;1.2;0.4;0.7;0.7;0.6;0.4;1.2;Medium Uptrend;Expansion;true;true;9.75;0.4
2009-10-06;1037.5;1036.0;1037.25;1036.5;1037.25;1036.75;false;1.5;1038.25;1035.5;1038.0;1036.0;1037.0;true;true;true;false;true;true;false;1254796500000000;;1254796500000000;11:30 - 12:00;true;true;false;1035.5;1037.75;1035.75;1038.25;1037.5;1038.25;1254796800000000;1254797100000000;false;11:30 - 12:00;11:30 - 12:00;1036.5;1036.75;true;false;1.5;1.0;1.5;-0.1;0.9;0.5;0.7;-0.3;1.5;Strong Uptrend;Strong Uptrend;true;true;9.5;0.2
2009-10-07;1050.5;1049.25;1050.25;1049.5;1049.75;1049.75;false;1.25;1054.0;1047.5;1052.25;1048.0;1051.25;true;true;true;true;true;false;false;1254885900000000;1254878100000000;1254878100000000;10:00 - 10:30;false;false;false;1048.5;1050.25;1047.5;1054.0;1049.0;1047.5;1254878400000000;1254881100000000;false;11:00 - 11:30;10:00 - 10:30;1050.0;1051.0;true;false;-1.4;-0.2;-1.4;3.8;0.4;0.4;1.6;-1.4;3.8;Contraction;Weak Downtrend;true;true;7.0;0.2
2009-10-08;1059.75;1057.75;1059.75;1058.25;1058.75;1058.25;false;2.0;1064.5;1058.25;1064.0;1058.25;1062.75;true;false;true;false;true;true;true;1254962100000000;;1254962100000000;09:30 - 10:00;true;true;true;1058.25;1059.25;1061.0;1064.5;;;;;false;;;1058.75;1063.0;false;false;;;3.4;1.7;0.5;0.3;2.5;0.3;3.4;Strong Uptrend;Medium Downtrend;true;true;6.75;0.3
2009-10-09;1064.75;1063.25;1064.5;1063.25;1064.25;1063.5;false;1.5;1065.5;1062.0;1065.0;1062.25;1063.25;true;true;true;true;true;false;false;1255051200000000;1255053300000000;1255051200000000;10:00 - 10:30;true;false;false;1063.25;1064.5;1062.0;1065.0;1064.5;1065.0;1255051500000000;1255051500000000;true;10:00 - 10:30;10:00 - 10:30;1064.25;1063.5;false;false;1.1;0.9;1.2;-0.8;0.7;0.2;0.0;-0.8;1.5;Medium Uptrend;Weak Downtrend;true;true;6.25;0.2
