date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2023-09-18;1.06641;1.06578;1.06637;1.06585;1.06585;1.06637;true;0.00063;1.06748;1.06562;1.06732;1.06567;1.06678;true;true;true;true;true;false;false;1695022200000000;1695025800000000;1695022200000000;03:30 - 03:45;true;false;true;;;1.06562;1.06748;1.06562;1.06748;1695025800000000;1695032700000000;true;06:15 - 06:30;04:30 - 04:45;1.0668;1.06641;false;false;2.6;3.1;-0.2;-0.4;2.7;-0.2;0.2;1.0;1.6;-0.2;2.7;Medium Downtrend;;true;false;0.00047;1.3
2023-09-19;1.06839;1.0675;1.06827;1.06779;1.06787;1.06827;true;0.00089;1.07179;1.06803;1.07167;1.06807;1.0714;true;false;true;false;true;true;true;1695108900000000;;1695108900000000;03:30 - 03:45;true;true;true;1.06803;1.06832;1.06819;1.07179;1.06819;1.07179;1695116400000000;1695126000000000;true;08:15 - 08:30;05:30 - 05:45;1.06919;1.06827;false;false;4.8;8.3;0.8;0.9;4.9;0.8;0.5;0.9;4.4;0.6;4.9;Strong Downtrend;Strong Uptrend;true;false;0.0002;4.4
2023-09-20;1.0684;1.06752;1.06817;1.06767;1.06817;1.06802;false;0.00088;1.0705;1.06797;1.07043;1.06802;1.06998;true;false;true;false;true;true;true;1695195000000000;;1695195000000000;03:30 - 03:45;true;true;true;;;1.06852;1.0705;1.06852;1.0705;1695195300000000;1695207300000000;false;06:45 - 07:00;03:30 - 03:45;1.06813;1.06796;false;true;3.3;5.6;1.2;1.7;3.4;1.2;0.8;0.6;2.8;0.6;3.4;Expansion;Strong Downtrend;true;false;0.00013;6.8
2023-09-21;1.06503;1.06386;1.06503;1.06412;1.06503;1.06441;false;0.00117;1.06646;1.0629;1.06624;1.06305;1.06323;true;true;true;true;true;false;false;1695281400000000;1695295200000000;1695281400000000;03:30 - 03:45;true;false;false;;;1.0629;1.06646;1.06459;1.06646;1695282000000000;1695287400000000;true;05:00 - 05:15;03:30 - 03:45;1.06498;1.06365;false;false;2.2;2.5;0.7;0.6;2.3;-0.8;1.0;0.5;-0.5;-0.8;2.3;Medium Downtrend;Strong Downtrend;false;true;0.00062;1.9
2023-09-22;1.06679;1.06147;1.06657;1.06225;1.06595;1.06225;false;0.00532;1.06575;1.06225;1.06574;1.06225;1.06574;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;1.06603;1.06515;true;false;;;;;;;0.8;0.1;0.8;0.1;0.8;Expansion;Medium Uptrend;false;true;0.00029;18.3
2023-09-25;1.06529;1.06429;1.06518;1.0644;1.06462;1.0644;false;0.001;1.06458;1.06239;1.06443;1.0625499999999999;1.06275;false;true;false;true;true;true;true;;1695627300000000;1695627300000000;03:30 - 03:45;false;true;true;1.06428;1.06458;1.06239;1.06435;1.0643;1.06239;1695628800000000;1695632400000000;true;05:00 - 05:15;04:00 - 04:15;1.06483;1.06482;true;true;-1.8;-2.5;0.0;-0.2;-1.9;0.0;0.3;0.1;-1.6;-1.9;0.2;Expansion;Contraction;true;false;0.00045;2.2
2023-09-26;1.05823;1.05699;1.05813;1.0570599999999999;1.05715;1.05813;true;0.00124;1.06091;1.058;1.06087;1.05813;1.06042;true;false;true;false;true;true;true;1695713400000000;;1695713400000000;03:30 - 03:45;true;true;true;;;1.05816;1.06091;1.05816;1.06091;1695714600000000;1695730800000000;true;08:15 - 08:30;03:45 - 04:00;1.05913;1.05858;false;false;3.1;3.5;1.0;1.1;3.2;1.0;0.2;1.0;2.8;0.9;3.2;Strong Downtrend;Strong Downtrend;false;true;0.00035;3.5
2023-09-27;1.05737;1.05643;1.05722;1.0566;1.05691;1.05722;true;0.00094;1.05741;1.05343;1.05722;1.05352;1.05416;true;true;false;true;true;true;false;;1695804600000000;1695804600000000;04:45 - 05:00;false;true;true;1.05625;1.05741;1.05343;1.05637;1.05637;1.05343;1695808500000000;1695813600000000;false;07:15 - 07:30;05:45 - 06:00;1.0569;1.0562;true;false;-3.1;-5.1;-0.1;-0.4;-3.2;-0.1;0.5;0.8;-2.5;-3.2;1.0;Expansion;Strong Downtrend;false;true;0.0005;1.9
2023-09-28;1.0519;1.04941;1.05163;1.0495;1.0495;1.05097;true;0.00249;1.05484;1.05047;1.05466;1.05069;1.05369;true;false;true;false;true;true;true;1695888900000000;;1695888900000000;04:15 - 04:30;true;true;true;1.05047;1.0516699999999999;1.05118;1.05484;1.05118;1.05484;1695891300000000;1695901200000000;true;07:30 - 07:45;04:45 - 05:00;1.05053;1.05041;false;false;2.1;2.5;0.8;0.8;2.2;0.8;0.1;0.7;1.8;0.5;2.2;Expansion;Strong Downtrend;true;false;0.00049;5.1
2023-09-29;1.06019;1.0588;1.0601099999999999;1.05901;1.05901;1.05963;true;0.00139;1.06171;1.05899;1.0616;1.0593299999999999;1.06005;true;false;true;false;true;true;true;1695972600000000;;1695972600000000;03:30 - 03:45;true;true;false;;;1.05899;1.06171;1.05992;1.06171;1695975000000000;1695981000000000;true;05:45 - 06:00;04:00 - 04:15;1.05623;1.05755;false;false;2.0;2.4;0.9;0.9;2.1;0.2;0.2;0.6;0.9;0.2;2.1;Strong Uptrend;Strong Uptrend;false;false;0.00018;7.7
