date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2023-09-18;1.06659;1.06578;1.06647;1.06585;1.06585;1.06622;true;0.00081;1.06748;1.06562;1.06732;1.06567;1.06678;true;true;true;true;true;false;false;1695028500000000;1695025800000000;1695025800000000;04:30 - 05:00;false;false;false;1.06589;1.06645;1.06563;1.06748;1.06626;1.06563;1695026100000000;1695026100000000;true;04:30 - 05:00;04:30 - 05:00;1.0668;1.06641;false;true;-0.1;0.5;-0.2;2.0;0.0;0.5;1.2;-0.2;2.0;Medium Downtrend;;true;false;0.0008;1.0
2023-09-19;1.06953;1.0675;1.06942;1.06779;1.06787;1.06942;true;0.00203;1.07179;1.06819;1.07167;1.06827;1.0714;true;false;true;false;true;true;true;1695119400000000;;1695119400000000;06:30 - 07:00;true;true;true;1.06819;1.06947;1.06981;1.07179;1.06981;1.07179;1695120900000000;1695126000000000;false;08:00 - 08:30;06:30 - 07:00;1.06919;1.06827;false;false;2.1;1.2;2.2;1.2;0.2;1.0;2.0;0.4;2.2;Weak Downtrend;Strong Uptrend;false;true;0.00047;4.3
2023-09-20;1.06931;1.06752;1.06917;1.06767;1.06817;1.06904;true;0.00179;1.0705;1.06895;1.07043;1.06901;1.06998;true;false;true;false;true;true;true;1695198000000000;;1695198000000000;04:00 - 04:30;true;true;true;1.06895;1.06928;1.06927;1.0705;1.06927;1.0705;1695198600000000;1695207300000000;true;06:30 - 07:00;04:30 - 05:00;1.06813;1.06796;true;true;1.6;1.0;1.7;1.0;0.4;0.9;1.4;0.8;1.7;Expansion;Medium Downtrend;true;false;0.00043;4.2
2023-09-21;1.06581;1.06386;1.06551;1.06412;1.06503;1.06551;true;0.00195;1.06646;1.0629;1.06624;1.06305;1.06323;true;true;true;true;true;false;false;1695283200000000;1695295200000000;1695283200000000;04:00 - 04:30;true;false;false;;;1.0629;1.06646;1.0652;1.06646;1695285600000000;1695287400000000;true;05:00 - 05:30;04:30 - 05:00;1.06498;1.06365;true;false;1.3;0.7;1.4;-0.4;0.6;0.9;-0.3;-0.4;1.4;Expansion;Strong Downtrend;false;true;0.00134;1.5
2023-09-22;1.06679;1.06147;1.06657;1.06225;1.06595;1.06456;false;0.00532;1.06575;1.0634;1.06574;1.06345;1.06574;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;1.06603;1.06515;true;false;;;;;0.8;0.5;0.8;0.3;0.8;Expansion;Contraction;false;true;0.00088;6.0
2023-09-25;1.06529;1.06317;1.06518;1.06345;1.06462;1.0638;false;0.00212;1.06435;1.06239;1.06423;1.0625499999999999;1.06275;false;true;false;true;true;true;true;;1695630000000000;1695630000000000;04:00 - 04:30;false;true;true;1.06325;1.0643;1.06239;1.06435;1.06324;1.06239;1695630900000000;1695632400000000;true;05:00 - 05:30;04:30 - 05:00;1.06483;1.06482;true;true;-0.3;0.0;-0.4;0.5;0.6;0.2;-0.2;-0.4;0.5;Expansion;Contraction;true;false;0.00045;4.7
2023-09-26;1.05887;1.05699;1.05873;1.0570599999999999;1.05715;1.0585;true;0.00188;1.06091;1.05825;1.06087;1.0585;1.06042;true;false;true;false;true;true;true;1695715200000000;;1695715200000000;04:00 - 04:30;true;true;true;;;1.0588899999999999;1.06091;1.0588899999999999;1.06091;1695715800000000;1695730800000000;false;08:00 - 08:30;04:00 - 04:30;1.05913;1.05858;false;true;2.0;1.1;2.1;1.1;0.1;0.9;1.9;0.7;2.1;Medium Downtrend;Contraction;false;true;0.00105;1.8
2023-09-27;1.05741;1.05643;1.05722;1.0565;1.05691;1.0565;false;0.00098;1.05697;1.05343;1.05687;1.05352;1.05416;false;true;false;true;true;true;true;;1695804600000000;1695804600000000;04:30 - 05:00;false;true;true;1.05625;1.05697;1.05343;1.05637;1.05637;1.05343;1695808500000000;1695813600000000;false;07:00 - 07:30;05:30 - 06:00;1.0569;1.0562;false;false;-3.0;-0.1;-3.1;-0.1;0.4;0.0;-2.4;-3.1;0.5;Expansion;Strong Downtrend;false;true;0.00066;1.5
2023-09-28;1.0519;1.04941;1.05163;1.0495;1.0495;1.05086;true;0.00249;1.05484;1.05047;1.05466;1.05069;1.05369;true;false;true;false;true;true;true;1695888900000000;;1695888900000000;04:00 - 04:30;true;true;true;1.05047;1.0516699999999999;1.05118;1.05484;1.05118;1.05484;1695891300000000;1695901200000000;true;07:30 - 08:00;04:30 - 05:00;1.05053;1.05041;false;false;2.1;0.8;2.2;0.8;0.1;0.6;1.8;0.5;2.2;Expansion;Medium Downtrend;true;false;0.00095;2.6
2023-09-29;1.06107;1.0588;1.06086;1.05901;1.05901;1.06064;true;0.00227;1.06171;1.05899;1.0616;1.0593299999999999;1.06005;true;false;true;false;true;true;true;1695979800000000;;1695979800000000;05:30 - 06:00;true;true;false;1.05992;1.06165;1.05899;1.06171;1.06081;1.06171;1695980100000000;1695981000000000;true;05:30 - 06:00;05:30 - 06:00;1.05623;1.05755;false;false;1.2;0.9;1.3;0.1;0.1;0.9;0.6;0.1;1.3;Strong Uptrend;Strong Uptrend;false;false;0.00037;6.1
