date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2023-09-18;1.06715;1.06593;1.06692;1.06622;1.06692;1.06622;false;0.00122;1.06986;1.0659399999999999;1.06971;1.06622;1.06866;true;false;true;false;true;true;true;1695047400000000;;1695047400000000;10:30 - 11:00;true;true;true;1.0659399999999999;1.06712;1.0668199999999999;1.06986;1.0668199999999999;1.06986;1695048300000000;1695051900000000;true;11:30 - 12:00;10:30 - 11:00;1.0668;1.06641;false;false;3.2;0.8;3.3;0.8;0.9;0.3;2.3;0.1;3.3;Weak Uptrend;Medium Downtrend;true;false;0.00063;1.9
2023-09-19;1.06967;1.06872;1.0694;1.06888;1.06896;1.0691599999999999;true;0.00095;1.06933;1.0675999999999999;1.06924;1.0677;1.06805;false;true;false;true;true;true;true;;1695132600000000;1695132600000000;10:00 - 10:30;false;true;true;1.06874;1.06933;1.0675999999999999;1.06928;1.06928;1.0675999999999999;1695134700000000;1695151200000000;true;15:00 - 15:30;10:30 - 11:00;1.06919;1.06827;true;false;-1.1;0.5;-1.2;0.5;0.2;0.4;-0.8;-1.2;0.6;Strong Uptrend;Strong Downtrend;true;true;0.00089;1.1
2023-09-20;1.07183;1.07035;1.0717;1.07052;1.07052;1.0717;true;0.00148;1.07368;1.06576;1.07367;1.06585;1.06585;true;true;true;true;true;false;false;1695218400000000;1695232800000000;1695218400000000;10:00 - 10:30;true;false;false;;;1.06576;1.07368;1.07128;1.07368;1695219600000000;1695227400000000;true;12:30 - 13:00;10:00 - 10:30;1.06813;1.06796;false;false;2.2;0.7;2.3;-3.1;0.2;1.0;-3.0;-3.1;2.3;Strong Uptrend;Expansion;true;true;0.00088;1.7
2023-09-21;1.06613;1.06395;1.06547;1.06406;1.06536;1.06406;false;0.00218;1.06736;1.06376;1.0673;1.06402;1.06592;true;true;true;false;true;true;false;1695306300000000;;1695306300000000;10:00 - 10:30;true;true;false;1.06376;1.0665499999999999;1.06545;1.06736;1.0661;1.06736;1695306600000000;1695307200000000;true;10:30 - 11:00;10:30 - 11:00;1.06498;1.06365;false;false;1.5;1.0;1.6;0.7;0.7;0.1;1.0;-0.0;1.6;Weak Uptrend;Medium Downtrend;true;false;0.00117;1.9
2023-09-22;1.06623;1.06419;1.06605;1.06435;1.06485;1.06605;true;0.00204;1.06717;1.06392;1.0671;1.06398;1.06435;true;true;true;true;true;false;false;1695391200000000;1695407700000000;1695391200000000;10:00 - 10:30;true;false;false;;;1.06392;1.06717;1.06574;1.06717;1695392100000000;1695393300000000;true;10:30 - 11:00;10:00 - 10:30;1.06603;1.06515;false;false;1.4;0.8;1.5;-0.1;0.4;1.0;0.1;-0.1;1.5;Contraction;Expansion;false;true;0.00532;0.4
2023-09-25;1.0611;1.05956;1.06106;1.05974;1.06106;1.06019;false;0.00154;1.0607199999999999;1.05751;1.06019;1.05773;1.05928;false;true;false;true;true;true;true;;1695650700000000;1695650700000000;10:00 - 10:30;false;true;true;1.05998;1.0607199999999999;1.05751;1.05988;1.05963;1.05751;1695651000000000;1695653700000000;true;10:30 - 11:00;10:00 - 10:30;1.06483;1.06482;false;false;-1.3;0.0;-1.4;0.2;0.9;0.4;-0.2;-1.4;0.7;Strong Downtrend;Expansion;false;true;0.001;1.5
2023-09-26;1.05956;1.0585499999999999;1.0594;1.05898;1.0594;1.05922;false;0.00101;1.05986;1.0562;1.05922;1.05624;1.05701;true;true;false;true;true;true;false;;1695739500000000;1695739500000000;10:30 - 11:00;false;true;true;1.05835;1.05986;1.0562;1.05847;1.05847;1.0562;1695740100000000;1695753300000000;false;14:30 - 15:00;10:30 - 11:00;1.05913;1.05858;true;true;-2.3;-0.1;-2.4;-0.1;0.8;0.6;-1.6;-2.4;1.2;Strong Uptrend;Strong Downtrend;true;true;0.00124;0.8
2023-09-27;1.05331;1.05121;1.05302;1.0513;1.05302;1.05202;false;0.0021;1.0526;1.04881;1.05229;1.0488899999999999;1.05058;false;true;false;true;true;true;true;;1695823800000000;1695823800000000;10:00 - 10:30;false;true;true;1.0512299999999999;1.0522799999999999;1.04881;1.0526;1.0526;1.04881;1695824700000000;1695838800000000;true;14:00 - 14:30;10:00 - 10:30;1.0569;1.0562;false;false;-1.1;0.6;-1.2;0.6;0.8;0.3;-0.3;-1.2;0.6;Strong Downtrend;Expansion;false;true;0.00094;2.2
2023-09-28;1.05547;1.05358;1.05515;1.05373;1.05459;1.05494;true;0.00189;1.05788;1.05455;1.05786;1.05494;1.05642;true;false;true;false;true;true;true;1695910200000000;;1695910200000000;10:00 - 10:30;true;true;true;1.05491;1.05586;1.05455;1.05788;1.05455;1.05788;1695911400000000;1695915600000000;true;11:30 - 12:00;10:30 - 11:00;1.05053;1.05041;false;false;2.2;0.6;2.3;0.6;0.6;0.8;1.6;0.6;2.3;Strong Uptrend;Expansion;true;true;0.00249;0.8
2023-09-29;1.05897;1.05747;1.0587199999999999;1.05806;1.05865;1.05806;false;0.0015;1.05928;1.05638;1.05885;1.05649;1.05723;true;true;false;true;true;true;false;;1695996900000000;1695996900000000;10:00 - 10:30;false;true;true;1.0571;1.05829;1.05638;1.05928;1.05928;1.05638;1695998700000000;1696011300000000;true;14:00 - 14:30;10:30 - 11:00;1.05623;1.05755;false;true;-0.7;1.2;-0.8;1.2;0.7;0.3;-0.2;-0.8;1.2;Medium Downtrend;Strong Uptrend;true;true;0.00139;1.1
