date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2023-08-14;15931;15915;15928;15921;15924;15928;true;16;15931;15807;15928;15811;15838;false;true;false;true;true;true;true;;1691973600000000;1691973600000000;09:30 - 09:45;false;true;true;15913;15931;15807;15908;15908;15807;1691975700000000;1691985000000000;false;12:45 - 13:00;10:15 - 10:30;;;;;-6.7;-16.2;-0.5;-1.9;-6.8;-0.5;0.5;0.8;-4.9;-6.8;1.0;Medium Uptrend;Weak Downtrend;true;true;64;0.3
2023-08-15;16000;15979;15996;15983;15987;15989;true;21;16016;15978;16016;15980;16007;true;true;true;false;true;true;false;1692064200000000;;1692064200000000;10:45 - 11:00;true;true;true;15978;16008;15982;16016;15982;16016;1692065700000000;1692076500000000;true;14:15 - 14:30;11:15 - 11:30;;;;;1.7;2.5;0.2;-0.0;1.8;0.2;0.4;0.5;1.4;-0.0;1.8;Strong Uptrend;Medium Downtrend;false;true;72;0.3
2023-08-16;15800;15784;15795;15784;15792;15784;false;16;15790;15731;15785;15748;15765;false;true;false;true;true;true;true;;1692145800000000;1692145800000000;09:30 - 09:45;false;true;true;;;15731;15785;15780;15731;1692146100000000;1692146400000000;false;09:30 - 09:45;09:30 - 09:45;;;;;-3.3;-4.8;-0.3;-0.4;-3.4;0.0;0.5;0.0;-1.2;-3.4;0.3;Medium Downtrend;Contraction;false;true;55;0.3
2023-08-17;15760;15702;15760;15709;15760;15712;false;58;15750;15679;15745;15685;15717;false;true;false;true;true;true;true;;1692232500000000;1692232500000000;09:30 - 09:45;false;true;false;15697;15710;15679;15750;15710;15679;1692233100000000;1692235200000000;true;10:15 - 10:30;09:45 - 10:00;;;;;-0.3;-0.5;0.1;0.0;-0.4;0.8;1.0;0.1;0.2;-0.4;0.8;Strong Downtrend;Weak Downtrend;false;true;76;0.8
2023-08-18;15671;15650;15663;15651;15663;15651;false;21;15708;15644;15707;15645;15659;true;true;true;true;true;false;false;1692321300000000;1692318600000000;1692318600000000;09:30 - 09:45;false;false;false;;;15645;15708;15667;15645;1692318900000000;1692318900000000;true;09:30 - 09:45;09:30 - 09:45;;;;;-0.2;-0.5;0.8;1.3;-0.3;2.7;0.6;0.0;0.4;-0.3;2.7;Strong Downtrend;Medium Downtrend;true;true;54;0.4
2023-08-21;15651;15637;15651;15640;15640;15651;true;14;15653;15606;15652;15618;15628;true;true;true;true;true;false;false;1692584700000000;1692580500000000;1692580500000000;10:15 - 10:30;false;false;true;15636;15653;15615;15653;15644;15615;1692582000000000;1692582600000000;true;10:45 - 11:00;10:30 - 10:45;;;;;-1.5;-2.2;0.5;0.3;-1.6;1.1;0.2;1.0;-0.7;-2.3;1.1;Strong Uptrend;Contraction;false;false;62;0.2
2023-08-22;15688;15676;15687;15679;15687;15682;false;12;15704;15672;15703;15672;15699;true;true;true;true;true;false;false;1692665700000000;1692666900000000;1692665700000000;09:45 - 10:00;true;false;true;15675;15690;15672;15704;15672;15704;1692666900000000;1692674400000000;true;12:15 - 12:30;10:15 - 10:30;;;;;2.3;3.1;-0.3;-0.8;2.4;-0.3;1.0;0.5;2.0;-0.3;2.4;Contraction;Contraction;false;true;67;0.2
2023-08-23;15759;15738;15758;15738;15738;15758;true;21;15801;15759;15800;15759;15795;true;false;true;false;true;true;true;1692750600000000;;1692750600000000;09:30 - 09:45;true;true;true;;;15762;15801;15762;15801;1692750900000000;1692761700000000;false;12:30 - 12:45;09:30 - 09:45;;;;;3.0;3.1;1.2;1.2;3.0;1.2;0.0;1.0;2.8;1.0;3.0;Contraction;Medium Downtrend;true;true;42;0.5
2023-08-24;15834;15821;15831;15824;15828;15824;false;13;15869;15805;15867;15810;15865;true;true;true;true;true;false;false;1692845400000000;1692837900000000;1692837900000000;09:45 - 10:00;false;false;false;15818;15828;15805;15869;15824;15805;1692838200000000;1692840000000000;true;10:15 - 10:30;09:45 - 10:00;;;;;-1.2;-2.7;0.2;0.0;-1.3;3.6;0.5;0.2;3.3;-1.3;3.6;Strong Uptrend;Strong Downtrend;false;true;84;0.2
2023-08-25;15635;15618;15634;15623;15624;15634;true;17;15641;15599;15640;15600;15600;true;true;true;true;true;false;false;1692926100000000;1692927600000000;1692926100000000;10:15 - 10:30;true;false;false;15623;15637;15599;15641;;;;;false;;;;;;;;;;;1.4;-1.1;0.4;1.0;-1.0;-1.1;1.4;Strong Downtrend;Strong Uptrend;false;true;67;0.3
2023-08-28;15745;15721;15745;15728;15728;15741;true;24;15764;15734;15763;15735;15746;true;false;true;false;true;true;true;1693183500000000;;1693183500000000;09:45 - 10:00;true;true;true;15734;15741;15738;15764;15738;15764;1693183800000000;1693185600000000;true;10:15 - 10:30;09:45 - 10:00;;;;;1.7;2.1;0.8;0.6;1.8;0.8;0.3;0.9;1.1;0.6;1.8;Contraction;Strong Uptrend;false;false;33;0.7
2023-08-29;15848;15819;15848;15834;15848;15842;false;29;15870;15834;15866;15834;15864;true;false;true;false;true;true;true;1693273200000000;;1693273200000000;10:30 - 10:45;true;true;true;15837;15849;15834;15870;15834;15870;1693274100000000;1693286700000000;true;14:15 - 14:30;10:45 - 11:00;;;;;1.7;2.5;0.6;0.0;1.8;0.6;1.0;0.8;1.6;0.6;1.8;Weak Uptrend;Weak Uptrend;true;true;84;0.3
2023-08-30;16026;15998;16023;15998;15998;16020;true;28;16036;16005;16033;16005;16005;true;false;true;false;true;true;true;1693360200000000;;1693360200000000;10:45 - 11:00;true;true;false;16011;16026;16005;16036;16023;16036;1693360800000000;1693361700000000;true;11:15 - 11:30;11:00 - 11:15;;;;;1.3;1.5;0.9;1.0;1.4;0.3;0.0;0.8;0.3;0.3;1.4;Strong Uptrend;Weak Downtrend;false;true;82;0.3
2023-08-31;15947;15936;15943;15936;15936;15942;true;11;15956;15924;15953;15927;15942;true;true;true;true;true;false;false;1693455300000000;1693441800000000;1693441800000000;09:30 - 09:45;false;false;false;;;15924;15956;15950;15924;1693448400000000;1693450800000000;true;12:00 - 12:15;11:15 - 11:30;;;;;-1.0;-1.7;1.2;2.0;-1.1;1.8;0.0;0.5;0.5;-1.1;1.8;Contraction;Medium Uptrend;false;true;50;0.2
2023-09-01;16006;15985;16005;15985;15985;16005;true;21;16032;16004;16030;16004;16020;true;false;true;false;true;true;true;1693528200000000;;1693528200000000;09:30 - 09:45;true;true;true;;;16006;16032;16006;16032;1693532700000000;1693535100000000;false;11:15 - 11:30;10:45 - 11:00;;;;;2.2;2.3;1.0;1.1;2.3;1.0;0.0;1.0;1.7;1.0;2.3;Strong Downtrend;Medium Downtrend;false;true;107;0.2
2023-09-04;15895;15879;15893;15879;15879;15891;true;16;15915;15878;15912;15878;15911;true;true;true;true;true;false;false;1693788300000000;1693792200000000;1693788300000000;09:45 - 10:00;true;false;true;15890;15894;15878;15915;15878;15915;1693792200000000;1693804500000000;true;14:15 - 14:30;10:45 - 11:00;;;;;2.2;2.5;-0.0;-0.0;2.3;-0.0;0.0;0.8;2.0;-0.0;2.3;Contraction;Strong Downtrend;false;true;62;0.3
2023-09-05;15846;15829;15841;15832;15836;15835;false;17;15839;15794;15836;15797;15799;false;true;false;true;true;true;true;;1693874400000000;1693874400000000;09:30 - 09:45;false;true;true;15829;15834;15794;15839;15839;15794;1693877400000000;1693881000000000;true;11:30 - 11:45;10:30 - 10:45;;;;;-2.0;-4.2;0.5;0.7;-2.1;0.5;0.4;0.3;-1.8;-2.1;0.5;Medium Downtrend;Medium Uptrend;false;true;79;0.2
2023-09-06;15787;15770;15787;15780;15787;15781;false;17;15794;15748;15793;15754;15760;true;true;true;true;true;false;false;1693962300000000;1693964400000000;1693962300000000;10:00 - 10:15;true;false;false;15780;15791;15748;15793;15790;15793;1693962600000000;1693962600000000;false;10:00 - 10:15;10:00 - 10:15;;;;;1.3;1.8;1.2;1.5;1.4;-1.2;1.0;0.7;-0.5;-1.2;1.5;Medium Downtrend;Medium Uptrend;false;true;50;0.3
2023-09-07;15759;15744;15754;15750;15750;15751;true;15;15752;15700;15751;15702;15706;false;true;false;true;true;true;true;;1694047500000000;1694047500000000;09:45 - 10:00;false;true;true;15742;15752;15700;15752;15752;15700;1694049300000000;1694064000000000;true;14:15 - 14:30;10:15 - 10:30;;;;;-2.9;-12.5;0.5;0.5;-3.0;0.5;0.4;0.4;-2.6;-3.0;0.5;Medium Downtrend;Weak Uptrend;false;true;77;0.2
2023-09-08;15751;15729;15750;15732;15740;15732;false;22;15771;15722;15770;15723;15769;true;true;true;true;true;false;false;1694140500000000;1694133000000000;1694133000000000;09:30 - 09:45;false;false;false;;;15722;15771;15728;15722;1694133300000000;1694133300000000;false;09:30 - 09:45;09:30 - 09:45;;;;;-0.3;-0.5;-0.1;-0.3;-0.4;1.9;0.5;0.1;1.8;-0.4;1.9;Contraction;Medium Downtrend;true;true;51;0.4
2023-09-11;15756;15740;15755;15747;15752;15755;true;16;15785;15730;15779;15732;15779;true;true;true;true;true;false;false;1694392200000000;1694395800000000;1694392200000000;09:30 - 09:45;true;false;true;;;15730;15785;15730;15785;1694396100000000;1694409900000000;true;14:15 - 14:30;10:30 - 10:45;;;;;2.8;4.7;-0.6;-2.1;2.9;-0.6;0.8;1.0;2.5;-0.6;2.9;Contraction;Weak Downtrend;true;true;62;0.3
2023-09-12;15836;15822;15830;15824;15830;15824;false;14;15847;15807;15847;15808;15838;true;true;true;true;true;false;false;1694486100000000;1694478900000000;1694478900000000;09:30 - 09:45;false;false;false;15818;15825;15807;15847;15828;15807;1694481000000000;1694482500000000;true;10:30 - 10:45;10:00 - 10:15;;;;;-1.0;-2.8;0.4;0.6;-1.1;1.7;0.5;0.1;1.1;-1.1;1.7;Contraction;Medium Downtrend;false;true;54;0.3
2023-09-13;15727;15700;15723;15700;15723;15700;false;27;15712;15616;15709;15618;15637;false;true;false;true;true;true;true;;1694565300000000;1694565300000000;09:30 - 09:45;false;true;true;15696;15701;15616;15712;15712;15616;1694567700000000;1694578200000000;true;13:00 - 13:15;10:15 - 10:30;;;;;-3.1;-3.6;0.4;0.5;-3.2;0.4;0.8;0.0;-2.4;-3.2;0.4;Medium Downtrend;Weak Downtrend;false;true;73;0.4
