date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-05-22;false;false;true;false;true;true;true;true;1684752000000000;06:30 - 06:45;false;true;true;1684752900000000;1684757400000000;true;15.0;90.0;08:00 - 08:15;06:45 - 07:00;;;-0.5;-0.6;0.1;0.1;-0.6;0.1;0.9;0.5;-0.5;-0.6;0.8;;;;;
2023-05-23;true;true;true;false;true;true;true;false;1684842300000000;07:45 - 08:00;false;true;true;1684842600000000;1684842600000000;true;5.0;5.0;07:45 - 08:00;07:45 - 08:00;;;-0.2;-0.5;0.0;-0.2;-0.3;0.0;0.3;0.8;-0.1;-0.3;1.1;;;;;
2023-05-24;false;false;true;false;true;true;true;true;1684920600000000;05:30 - 05:45;false;true;true;1684920900000000;1684924500000000;true;5.0;65.0;06:30 - 06:45;05:30 - 05:45;;;-0.3;-0.3;0.0;0.0;-0.4;0.0;1.0;0.1;-0.2;-0.4;0.5;;;;;
2023-05-25;false;false;false;false;false;false;false;false;;;false;true;false;;;false;;;;;;;;;;;;;0.9;0.1;0.6;0.1;0.7;;;;;
2023-05-26;false;false;true;false;true;true;true;true;1685092200000000;05:00 - 05:15;false;true;false;1685092500000000;1685094600000000;true;5.0;40.0;05:45 - 06:00;05:15 - 05:30;;;-0.3;-0.3;0.0;-0.1;-0.4;0.9;0.9;0.1;0.7;-0.4;0.9;;;;;
2023-05-29;false;false;true;false;true;true;true;true;1685350500000000;04:45 - 05:00;false;true;true;1685351400000000;1685362800000000;true;15.0;205.0;08:15 - 08:30;05:00 - 05:15;;;-1.0;-1.3;0.1;0.1;-1.1;0.1;0.6;0.0;-1.1;-1.1;0.3;;;;;
2023-05-30;true;true;false;true;false;true;true;true;1685436300000000;04:45 - 05:00;true;true;true;1685437200000000;1685442000000000;true;15.0;95.0;06:15 - 06:30;05:00 - 05:15;;;1.6;1.6;1.0;1.0;1.7;1.0;0.8;0.8;1.2;0.7;1.7;;;;;
2023-05-31;true;true;false;true;false;true;true;true;1685520900000000;04:15 - 04:30;true;true;false;;;false;;;;;;;;;;;1.2;0.7;0.4;1.0;0.9;0.7;1.2;;;;;
2023-06-01;true;true;false;true;false;true;true;true;1685607900000000;04:15 - 04:30;true;true;false;1685608200000000;1685609700000000;false;5.0;30.0;04:45 - 05:00;04:30 - 04:45;;;1.5;2.0;1.1;1.3;1.6;0.7;0.3;0.9;0.8;0.6;1.6;;;;;
2023-06-02;true;true;false;true;false;true;true;true;1685692800000000;04:00 - 04:15;true;true;true;1685695500000000;1685702700000000;true;45.0;165.0;06:45 - 07:00;04:45 - 05:00;;;2.2;2.3;0.7;0.7;2.3;0.7;0.6;1.0;1.3;0.7;2.3;;;;;
2023-06-05;true;false;true;false;true;true;true;true;1685953500000000;04:15 - 04:30;false;true;false;1685958300000000;1685959200000000;true;80.0;95.0;06:00 - 06:15;05:45 - 06:00;;;-0.3;-0.4;0.1;0.1;-0.4;0.4;0.1;0.3;0.2;-0.4;0.7;;;;;
2023-06-06;true;true;false;true;false;true;true;true;;;false;true;false;;;false;;;;;;;;;;;;;0.0;0.8;0.6;0.0;1.1;;;;;
2023-06-07;false;true;true;true;true;true;false;false;1686127800000000;04:45 - 05:00;false;false;false;1686128100000000;1686128700000000;true;5.0;15.0;05:00 - 05:15;04:45 - 05:00;;;-0.3;-0.4;0.0;-0.1;-0.4;1.0;0.9;0.1;0.7;-0.4;1.0;;;;;
2023-06-08;true;true;false;true;false;true;true;true;1686212400000000;04:15 - 04:30;true;true;true;1686213900000000;1686219300000000;true;25.0;115.0;06:15 - 06:30;04:45 - 05:00;;;1.5;1.7;0.9;0.9;1.6;0.9;0.2;0.8;1.2;0.6;1.6;;;;;
2023-06-09;false;false;true;false;false;false;false;true;;;false;true;false;;;false;;;;;;;;;;;;;0.8;0.8;0.3;-0.2;0.9;;;;;
2023-06-12;true;true;false;true;false;true;true;true;1686556800000000;04:00 - 04:15;true;true;false;1686557400000000;1686560400000000;false;10.0;60.0;05:00 - 05:15;04:00 - 04:15;;;1.6;1.7;1.2;1.3;1.7;0.2;0.3;1.0;0.5;0.2;1.7;;;;;
2023-06-13;false;false;true;false;true;true;true;true;1686646200000000;04:45 - 05:00;false;true;true;1686647100000000;1686656700000000;true;15.0;175.0;07:45 - 08:00;05:00 - 05:15;;;-0.6;-1.2;0.0;-0.2;-0.7;0.0;0.4;0.1;-0.2;-0.7;0.1;;;;;
2023-06-14;true;true;false;true;false;true;true;true;1686730800000000;04:15 - 04:30;true;true;true;1686731400000000;1686741900000000;false;10.0;185.0;07:15 - 07:30;04:30 - 04:45;;;1.9;2.1;1.1;1.2;2.0;1.1;0.1;1.0;1.6;0.8;2.0;;;;;
2023-06-15;true;true;true;true;true;true;false;false;1686816000000000;04:00 - 04:15;true;false;false;1686816300000000;1686816300000000;true;5.0;5.0;04:00 - 04:15;04:00 - 04:15;;;1.2;1.4;0.6;0.7;1.3;-2.8;0.5;0.9;-2.3;-2.8;1.3;;;;;
2023-06-16;true;true;true;true;false;true;true;false;1686904200000000;04:30 - 04:45;true;true;true;1686910800000000;1686915300000000;true;110.0;185.0;07:30 - 07:45;06:15 - 06:30;;;1.6;1.8;0.6;0.5;1.7;-0.9;0.7;1.0;1.6;-0.9;1.7;;;;;
2023-06-19;false;false;true;false;true;true;true;true;1687162800000000;04:15 - 04:30;false;true;true;1687166400000000;1687177200000000;true;60.0;240.0;08:15 - 08:30;05:15 - 05:30;;;-0.8;-1.1;0.5;0.5;-0.9;0.5;0.8;0.0;-0.5;-0.9;0.5;;;;;
2023-06-20;true;true;true;true;true;true;false;false;1687249800000000;04:30 - 04:45;false;false;false;1687250400000000;1687251000000000;true;10.0;20.0;04:45 - 05:00;04:30 - 04:45;;;-0.3;-0.7;0.1;-0.2;-0.4;1.1;0.5;0.7;1.0;-0.4;1.1;;;;;
2023-06-21;true;true;true;true;true;true;false;false;1687349100000000;08:00 - 08:15;false;true;true;1687349400000000;1687349400000000;false;5.0;5.0;08:00 - 08:15;08:00 - 08:15;;;-0.2;-0.4;-0.1;-0.3;-0.3;-0.1;0.4;0.7;-0.1;-0.3;1.0;;;;;
2023-06-22;false;true;false;true;false;true;true;true;1687422300000000;04:15 - 04:30;true;true;true;1687431600000000;1687436100000000;true;155.0;230.0;08:15 - 08:30;07:00 - 07:15;;;1.5;1.7;0.8;0.7;1.6;0.8;1.0;0.7;1.5;0.6;1.6;;;;;
2023-06-23;false;false;true;false;true;true;true;true;1687523100000000;08:15 - 08:30;false;true;true;;;false;;;;;;;;;;;;;0.6;0.5;-0.1;-0.1;0.8;;;;;
2023-06-26;false;false;true;false;false;false;false;true;;;false;true;false;;;false;;;;;;;;;;;;;0.9;0.5;0.6;-0.1;0.6;;;;;
2023-06-27;false;false;true;false;true;true;true;true;1687854600000000;04:30 - 04:45;false;true;true;1687863000000000;1687868400000000;true;140.0;230.0;08:15 - 08:30;06:45 - 07:00;;;-0.6;-0.7;0.2;0.1;-0.7;0.2;0.7;0.1;-0.6;-0.7;0.2;;;;;
2023-06-28;true;true;false;true;false;true;true;true;1687940400000000;04:15 - 04:30;true;true;true;1687941300000000;1687948200000000;true;15.0;130.0;06:30 - 06:45;04:30 - 04:45;;;1.3;1.4;0.6;0.6;1.4;0.6;0.3;0.5;1.1;0.5;1.4;;;;;
2023-06-29;false;true;true;true;false;true;true;false;1688033400000000;06:00 - 06:15;true;true;true;1688034300000000;1688037900000000;true;15.0;75.0;07:15 - 07:30;06:15 - 06:30;;;1.5;1.6;0.8;0.9;1.6;0.8;0.5;0.2;1.1;-0.1;1.6;;;;;
2023-06-30;true;true;false;true;false;true;true;true;1688112000000000;04:00 - 04:15;true;true;true;1688112600000000;1688122800000000;false;10.0;180.0;07:00 - 07:15;04:00 - 04:15;;;2.9;3.3;1.0;1.1;3.0;1.0;0.3;0.9;2.6;0.9;3.0;;;;;
2023-07-03;true;false;true;false;true;true;true;true;1688377200000000;05:30 - 05:45;false;true;true;1688380500000000;1688385600000000;true;55.0;140.0;08:00 - 08:15;06:30 - 06:45;;;-1.2;-1.8;0.1;-0.1;-1.3;0.1;0.1;0.6;-1.2;-1.3;0.8;;;;;
2023-07-04;true;false;true;false;true;true;true;true;1688460000000000;04:30 - 04:45;false;true;true;1688460300000000;1688466900000000;true;5.0;115.0;06:30 - 06:45;04:45 - 05:00;;;-1.6;-2.4;0.0;-0.2;-1.7;0.0;0.3;0.6;-1.0;-1.7;0.9;;;;;
2023-07-05;true;false;false;false;false;false;false;false;;;false;true;false;;;false;;;;;;;;;;;;;0.2;0.3;0.2;0.0;0.7;;;;;
2023-07-06;false;false;true;false;true;true;true;true;1688631000000000;04:00 - 04:15;false;true;true;1688633400000000;1688645400000000;true;40.0;240.0;08:00 - 08:15;04:45 - 05:00;;;-1.2;-1.5;0.3;0.3;-1.3;0.3;0.9;0.1;-1.0;-1.3;0.3;;;;;
2023-07-07;false;true;false;true;false;true;true;true;1688720400000000;05:00 - 05:15;true;true;true;1688720700000000;1688728200000000;false;5.0;130.0;07:00 - 07:15;05:00 - 05:15;;;2.1;2.6;1.1;1.3;2.2;1.1;1.0;0.7;1.9;0.2;2.2;;;;;
2023-07-10;true;true;false;true;false;true;true;true;1688976600000000;04:00 - 04:15;true;true;true;1688980800000000;1688991000000000;false;70.0;240.0;08:00 - 08:15;05:15 - 05:30;;;2.5;2.8;1.2;1.3;2.6;1.2;0.5;0.9;2.5;0.9;2.6;;;;;
2023-07-11;false;true;true;true;true;true;false;false;1689062400000000;04:00 - 04:15;false;false;false;1689063000000000;1689066000000000;false;10.0;60.0;05:00 - 05:15;04:00 - 04:15;;;-0.5;-0.6;-0.1;-0.1;-0.6;1.2;0.9;0.0;1.2;-0.6;1.2;;;;;
2023-07-12;true;true;false;true;false;true;true;true;1689148800000000;04:00 - 04:15;true;true;true;1689150300000000;1689162900000000;false;25.0;235.0;07:45 - 08:00;04:15 - 04:30;;;2.0;2.1;1.0;1.1;2.1;1.0;0.8;1.0;1.6;1.0;2.1;;;;;
2023-07-13;true;true;false;true;false;true;true;true;1689236400000000;04:15 - 04:30;true;true;true;1689236700000000;1689240000000000;false;5.0;60.0;05:15 - 05:30;04:15 - 04:30;;;1.9;2.4;1.1;1.2;2.0;1.1;0.5;0.8;1.9;0.6;2.0;;;;;
2023-07-14;false;false;true;false;true;true;true;true;1689326400000000;05:15 - 05:30;false;true;false;1689326700000000;1689328500000000;true;5.0;35.0;05:45 - 06:00;05:15 - 05:30;;;-0.7;-1.1;0.0;0.0;-0.8;0.7;0.4;0.2;0.7;-0.8;0.7;;;;;
2023-07-17;true;true;true;true;true;true;false;false;1689581400000000;04:00 - 04:15;true;false;false;1689581700000000;1689581700000000;true;5.0;5.0;04:15 - 04:30;04:15 - 04:30;;;1.1;1.1;1.0;1.1;1.2;-0.1;0.4;1.0;0.1;-0.1;1.2;;;;;
2023-07-18;true;true;false;true;false;true;true;true;1689667800000000;04:00 - 04:15;true;true;false;1689668400000000;1689669000000000;true;10.0;20.0;04:30 - 04:45;04:15 - 04:30;;;1.3;1.9;0.9;1.3;1.4;0.1;0.7;0.8;0.6;0.1;1.4;;;;;
2023-07-19;false;false;true;false;true;true;true;true;1689765300000000;07:15 - 07:30;false;true;true;1689766200000000;1689769500000000;false;15.0;70.0;08:15 - 08:30;07:30 - 07:45;;;-0.4;-0.5;-0.1;-0.1;-0.5;-0.1;0.4;0.0;-0.5;-0.5;0.4;;;;;
