date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-05-22;true;true;true;true;true;true;false;false;1684764300000000;10:00 - 10:15;false;false;false;1684764600000000;1684764600000000;true;5.0;5.0;10:00 - 10:15;10:00 - 10:15;;;-0.4;-1.0;0.7;1.0;-0.5;1.3;0.1;0.5;0.6;-1.0;1.3;Medium Downtrend;;false;true;0.5
2023-05-23;true;true;true;true;true;true;false;false;1684850700000000;10:00 - 10:15;true;false;false;1684851000000000;1684851000000000;true;5.0;5.0;10:00 - 10:15;10:00 - 10:15;;;1.3;1.4;0.7;0.7;1.4;-4.1;0.4;0.6;-3.5;-4.1;1.4;Medium Downtrend;;false;true;0.5
2023-05-24;false;false;true;false;true;true;true;true;1684936800000000;10:00 - 10:15;false;true;false;1684937700000000;1684938000000000;true;15.0;20.0;10:15 - 10:30;10:15 - 10:30;;;-0.2;-0.3;0.0;0.0;-0.3;0.7;1.0;0.2;0.3;-0.3;0.7;Strong Downtrend;;false;true;0.6
2023-05-25;false;true;true;true;true;true;false;false;1685023800000000;10:00 - 10:15;false;false;false;1685027100000000;1685029200000000;true;55.0;90.0;11:30 - 11:45;11:00 - 11:15;;;-1.0;-2.0;0.9;1.1;-1.1;1.7;0.8;0.4;1.0;-1.1;1.7;Medium Downtrend;;false;true;0.5
2023-05-26;true;true;false;true;false;true;true;true;1685109900000000;10:00 - 10:15;true;true;true;1685110200000000;1685127600000000;false;5.0;295.0;15:00 - 15:15;10:00 - 10:15;;;2.3;2.7;1.2;1.3;2.4;1.2;0.1;0.9;1.8;0.8;2.4;Strong Uptrend;;false;true;1.1
2023-05-29;false;true;false;true;false;true;true;true;1685369700000000;10:15 - 10:30;true;true;true;1685370000000000;1685374500000000;true;5.0;80.0;11:30 - 11:45;10:15 - 10:30;;;4.1;5.1;0.9;0.9;4.2;0.9;0.9;0.3;2.3;0.2;4.2;Strong Downtrend;;false;true;0.2
2023-05-30;false;false;true;false;true;true;true;true;1685455200000000;10:00 - 10:15;false;true;true;1685456400000000;1685469300000000;true;20.0;235.0;13:45 - 14:00;10:15 - 10:30;;;-2.8;-4.3;0.2;0.1;-2.9;0.2;0.7;0.2;-2.1;-2.9;0.2;Medium Uptrend;;true;true;0.5
2023-05-31;false;false;true;false;true;true;true;true;1685541900000000;10:00 - 10:15;false;true;true;1685542200000000;1685546100000000;false;5.0;70.0;11:15 - 11:30;10:00 - 10:15;;;-3.3;-4.5;-0.3;-0.5;-3.4;-0.3;0.7;0.1;-1.4;-3.4;0.2;Contraction;;true;true;0.4
2023-06-01;false;true;true;true;false;true;true;false;1685628600000000;10:00 - 10:15;true;true;true;1685629200000000;1685646300000000;true;10.0;295.0;15:00 - 15:15;10:15 - 10:30;;;3.6;4.2;0.7;0.7;3.7;0.7;0.9;0.1;3.2;-0.0;3.7;Contraction;;true;true;0.6
2023-06-02;true;true;true;true;true;true;false;false;1685714400000000;10:00 - 10:15;false;false;false;;;false;;;;;;;;;;;-0.5;2.6;0.0;0.0;2.1;-0.5;2.6;Strong Uptrend;;true;true;0.4
