date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2023-05-22;16269;16228;16264;16240;16251;16263;true;41;16277;16249;16276;16254;16262;true;false;true;false;true;true;true;1684770900000000;;1684770900000000;11:45 - 12:00;true;true;false;16252;16269;16249;16277;16271;16277;1684771200000000;1684771200000000;false;12:00 - 12:15;12:00 - 12:15;;;;;1.1;1.5;1.1;1.3;1.2;0.6;0.6;0.9;0.9;0.6;1.2;Medium Downtrend;;false;true;44;0.9
2023-05-23;16222;16192;16218;16193;16200;16208;true;30;16212;16096;16212;16106;16111;false;true;false;true;true;true;true;;1684853400000000;1684853400000000;10:45 - 11:00;false;true;true;16195;16212;16096;16201;16201;16096;1684857300000000;1684866300000000;true;14:15 - 14:30;11:45 - 12:00;;;;;-3.2;-3.8;0.3;0.3;-3.2;0.3;0.2;0.5;-2.7;-3.2;0.6;Medium Downtrend;;false;true;42;0.7
2023-05-24;15914;15836;15914;15838;15914;15854;false;78;15898;15849;15893;15851;15874;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;1.0;0.2;0.4;0.1;0.7;Strong Downtrend;;false;true;127;0.6
2023-05-25;15868;15826;15863;15829;15863;15840;false;42;15892;15805;15885;15805;15869;true;true;true;true;true;false;false;1685035800000000;1685028900000000;1685028900000000;11:30 - 11:45;false;false;false;15823;15865;15805;15892;15815;15805;1685029200000000;1685029200000000;false;11:30 - 11:45;11:30 - 11:45;;;;;-0.5;-0.7;-0.3;-0.5;-0.5;1.5;0.8;0.3;1.0;-0.5;1.5;Contraction;;false;true;151;0.3
2023-05-26;16002;15912;15996;15914;15914;15996;true;90;16044;15988;16043;15990;16014;true;false;true;false;true;true;true;1685112000000000;;1685112000000000;10:30 - 10:45;true;true;true;15988;16004;16001;16044;16001;16044;1685112300000000;1685127600000000;true;15:00 - 15:15;10:45 - 11:00;;;;;1.4;1.5;1.0;1.1;1.5;1.0;0.1;1.0;1.2;0.9;1.5;Strong Uptrend;;false;true;105;0.9
2023-05-29;15975;15958;15972;15959;15965;15972;true;17;15991;15969;15985;15973;15976;true;false;true;false;true;true;true;1685371500000000;;1685371500000000;10:45 - 11:00;true;true;true;15969;15977;15973;15991;15973;15991;1685372400000000;1685374500000000;true;11:30 - 11:45;11:00 - 11:15;;;;;1.9;2.4;0.9;1.1;2.0;0.9;0.5;0.9;1.1;0.7;2.0;Strong Downtrend;;false;true;71;0.2
2023-05-30;16053;15979;16049;15987;16044;15987;false;74;16003;15909;15992;15910;15941;false;true;false;true;true;true;true;;1685457600000000;1685457600000000;10:30 - 10:45;false;true;true;15981;16003;15909;15982;15982;15909;1685458200000000;1685469300000000;true;13:45 - 14:00;10:45 - 11:00;;;;;-0.9;-1.2;0.0;-0.1;-1.0;0.0;0.8;0.1;-0.6;-1.0;0.3;Weak Uptrend;;true;true;87;0.9
2023-05-31;15820;15693;15815;15704;15810;15707;false;127;15762;15650;15759;15657;15729;false;true;false;true;true;true;true;;1685543400000000;1685543400000000;10:30 - 10:45;false;true;false;;;15650;15762;15694;15650;1685544300000000;1685546100000000;true;11:15 - 11:30;10:45 - 11:00;;;;;-0.3;-0.4;0.0;-0.1;-0.4;0.5;0.9;0.1;0.2;-0.4;0.5;Medium Downtrend;;true;true;117;1.1
2023-06-01;15813;15753;15810;15757;15796;15801;true;60;15922;15796;15922;15801;15901;true;false;true;false;true;true;true;1685630100000000;;1685630100000000;10:30 - 10:45;true;true;true;15796;15807;15816;15922;15816;15922;1685630400000000;1685646300000000;false;15:00 - 15:15;10:30 - 10:45;;;;;2.8;3.1;1.1;1.2;2.9;1.1;0.8;0.8;2.5;0.8;2.9;None;;true;true;84;0.7
2023-06-02;16051;16012;16047;16014;16026;16043;true;39;16093;16032;16091;16043;16080;true;false;true;false;true;true;true;1685716800000000;;1685716800000000;10:30 - 10:45;true;true;true;16032;16053;16043;16093;16052;16093;1685717400000000;1685718900000000;false;11:15 - 11:30;10:45 - 11:00;;;;;2.0;2.3;1.1;1.2;2.1;0.8;0.4;0.8;1.8;0.6;2.1;Strong Uptrend;;true;true;59;0.7
2023-06-05;16083;15942;16081;15954;16081;15954;false;141;16004;15938;16003;15940;15964;false;true;false;true;true;true;true;;1685989800000000;1685989800000000;14:30 - 14:45;false;true;false;15947;16004;15939;15973;15954;15939;1685990100000000;1685990100000000;true;14:30 - 14:45;14:30 - 14:45;;;;;-0.0;-0.1;0.0;0.0;-0.1;0.2;0.9;0.0;0.1;-0.1;0.4;Medium Downtrend;;false;true;56;2.5
2023-06-06;16017;15967;16006;15971;15971;16001;true;50;16056;15995;16050;15999;16049;true;false;true;false;true;true;true;1686063600000000;;1686063600000000;11:00 - 11:15;true;true;true;15995;16019;15999;16056;15999;16056;1686065100000000;1686081300000000;true;15:45 - 16:00;11:15 - 11:30;;;;;1.7;2.4;0.7;0.8;1.8;0.7;0.1;0.7;1.7;0.6;1.8;Weak Uptrend;;false;true;66;0.8
2023-06-07;16038;15970;16029;15980;16012;15980;false;68;15987;15944;15983;15946;15958;false;true;false;true;true;true;true;;1686148200000000;1686148200000000;10:30 - 10:45;false;true;true;;;15944;15983;15983;15944;1686151800000000;1686158400000000;true;13:15 - 13:30;11:30 - 11:45;;;;;-0.3;-0.7;0.1;0.0;-0.4;0.1;0.6;0.1;-0.2;-0.4;0.2;Weak Uptrend;;false;false;73;0.9
2023-06-08;15992;15949;15990;15954;15978;15988;true;43;16029;15985;16026;15987;16026;true;false;true;false;true;true;true;1686235200000000;;1686235200000000;10:30 - 10:45;true;true;true;15985;16000;15992;16029;15992;16029;1686240000000000;1686254100000000;false;15:45 - 16:00;12:00 - 12:15;;;;;1.8;2.0;1.0;1.1;1.9;1.0;0.7;1.0;1.8;0.9;1.9;Contraction;;true;true;70;0.6
2023-06-09;15993;15969;15992;15977;15987;15981;false;24;15989;15946;15986;15950;15962;false;true;false;true;true;true;true;;1686321600000000;1686321600000000;10:30 - 10:45;false;true;true;15975;15986;15946;15989;15989;15946;1686323100000000;1686324600000000;true;11:30 - 11:45;11:00 - 11:15;;;;;-0.9;-2.0;0.8;0.8;-1.0;0.8;0.7;0.5;-0.3;-1.0;0.8;Contraction;;false;true;78;0.3
