date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2023-09-18;1.23932;1.23764;1.23923;1.23774;1.23875;1.23793;false;0.00168;1.24104;1.237;1.24091;1.2371;1.23886;true;true;true;true;true;false;false;1695029400000000;1695024600000000;1695024600000000;04:00 - 04:15;false;false;false;1.23761;1.23814;1.237;1.24104;1.23755;1.237;1695024900000000;1695024900000000;false;04:15 - 04:30;04:15 - 04:30;1.23971;1.23876;false;true;-0.3;-0.4;-0.1;-0.2;-0.4;2.0;0.6;0.1;0.7;-0.4;2.0;Medium Downtrend;;true;false;0.00106;1.6
2023-09-19;1.23927;1.23733;1.23896;1.23762;1.23792;1.23888;true;0.00194;1.24248;1.2371;1.24224;1.2372;1.24165;true;true;true;true;true;false;false;1695119700000000;1695114000000000;1695114000000000;05:00 - 05:15;false;false;false;1.23755;1.23897;1.2371699999999999;1.24248;1.23773;1.2371699999999999;1695114300000000;1695114300000000;true;05:00 - 05:15;05:00 - 05:15;1.23828;1.2377799999999999;false;true;-0.0;-0.3;0.2;0.0;-0.1;2.6;0.3;0.7;2.2;-0.2;2.6;Expansion;Contraction;false;true;0.00092;2.1
2023-09-20;1.23643;1.23341;1.23632;1.2336;1.23545;1.23605;true;0.00302;1.23765;1.23537;1.23756;1.23557;1.23724;true;false;true;false;true;true;true;1695198000000000;;1695198000000000;04:15 - 04:30;true;true;true;1.23537;1.23641;1.23576;1.23765;1.23607;1.23765;1695198300000000;1695204000000000;true;06:00 - 06:15;04:15 - 04:30;1.23931;1.23859;false;false;1.4;1.4;0.9;1.0;1.5;0.8;0.7;0.9;1.3;0.7;1.5;Strong Downtrend;Medium Downtrend;false;true;0.00068;4.4
2023-09-21;1.23301;1.22943;1.2327;1.2297;1.2327;1.23129;false;0.00358;1.23202;1.22369;1.23184;1.22546;1.22555;false;true;false;true;true;true;true;;1695289500000000;1695289500000000;05:45 - 06:00;false;true;true;1.22927;1.23202;1.22369;1.23034;1.23034;1.22369;1695293700000000;1695294000000000;true;07:00 - 07:15;06:45 - 07:00;1.23269;1.2322;false;false;-1.6;-2.0;0.2;0.2;-1.7;0.2;0.9;0.5;-1.1;-1.7;0.7;Weak Downtrend;Strong Downtrend;false;true;0.00131;2.7
2023-09-22;1.22856;1.22509;1.22852;1.22572;1.22819;1.22656;false;0.00347;1.22702;1.22325;1.22662;1.2234;1.22636;false;true;false;true;true;true;true;;1695372000000000;1695372000000000;04:30 - 04:45;false;true;false;1.22336;1.22702;1.22325;1.22671;1.22556;1.22325;1695372900000000;1695376200000000;true;05:45 - 06:00;04:45 - 05:00;1.22928;1.22786;false;false;-0.5;-0.8;0.1;-0.1;-0.6;0.4;0.8;0.4;0.3;-0.6;0.5;Medium Downtrend;Contraction;false;true;0.00115;3.0
2023-09-25;1.225;1.22386;1.22485;1.22391;1.2243;1.22416;false;0.00114;1.22447;1.22122;1.22424;1.2214;1.22217;false;true;false;true;true;true;true;;1695629100000000;1695629100000000;04:00 - 04:15;false;true;true;1.22394;1.22447;1.22122;1.22432;1.22377;1.22122;1695629400000000;1695633300000000;false;05:15 - 05:30;04:00 - 04:15;1.22406;1.22387;true;true;-2.3;-2.8;-0.1;-0.2;-2.4;0.4;0.3;0.2;-1.5;-2.4;0.5;Expansion;Strong Downtrend;true;false;0.00056;2.0
2023-09-26;1.21795;1.21672;1.21776;1.21684;1.21708;1.21726;true;0.00123;1.21938;1.21692;1.2192;1.21726;1.2183599999999999;true;false;true;false;true;true;true;1695715500000000;;1695715500000000;04:00 - 04:15;true;true;true;1.21692;1.21767;1.21699;1.21938;1.2175799999999999;1.21938;1695719400000000;1695721800000000;true;05:45 - 06:00;05:00 - 05:15;1.22128;1.21974;false;false;2.1;2.7;0.7;0.9;2.2;0.3;0.3;0.5;1.4;0.2;2.2;Strong Downtrend;Contraction;false;true;0.00079;1.6
2023-09-27;1.2155;1.2142;1.21537;1.21457;1.21537;1.2147999999999999;false;0.0013;1.21641;1.21307;1.21603;1.2133;1.21446;true;true;true;true;true;false;false;1695803100000000;1695807000000000;1695803100000000;04:15 - 04:30;true;false;false;1.2146;1.21552;1.21307;1.21641;1.21591;1.21641;1695803400000000;1695803400000000;false;04:30 - 04:45;04:30 - 04:45;1.21457;1.21414;true;false;1.6;2.2;1.4;1.7;1.7;-0.8;1.0;0.5;0.3;-0.8;1.7;Expansion;Strong Downtrend;false;false;0.00081;1.6
2023-09-28;1.2161;1.21245;1.2157499999999999;1.21262;1.21262;1.21529;true;0.00365;1.22139;1.21489;1.22129;1.21529;1.22037;true;false;true;false;true;true;true;1695888300000000;;1695888300000000;04:00 - 04:15;true;true;true;1.21489;1.2154099999999999;1.21612;1.22139;1.21612;1.22139;1695888600000000;1695901800000000;false;07:45 - 08:00;04:00 - 04:15;1.21353;1.2137;false;false;2.4;2.8;1.1;1.2;2.5;1.1;0.1;0.8;2.2;0.7;2.5;Expansion;Contraction;true;false;0.00091;4.0
2023-09-29;1.2254099999999999;1.22358;1.22509;1.22386;1.22433;1.22428;false;0.00183;1.22716;1.22291;1.22697;1.22315;1.22527;true;true;true;true;true;false;false;1695980700000000;1695975300000000;1695975300000000;04:15 - 04:30;false;false;false;1.22322;1.22432;1.22291;1.22716;1.22377;1.22291;1695975600000000;1695976200000000;true;04:30 - 04:45;04:15 - 04:30;1.22041;1.22188;false;false;-0.3;-0.7;0.1;-0.1;-0.4;1.9;0.4;0.3;0.9;-0.4;1.9;Strong Uptrend;Medium Uptrend;false;false;0.00038;4.8
