date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2023-09-18;1.23929;1.23736;1.23921;1.23765;1.23921;1.23765;false;0.00193;1.24047;1.2373;1.24025;1.2375;1.23818;true;true;true;false;true;true;false;1695050700000000;;1695050700000000;11:00 - 11:30;true;true;false;1.2373;1.23912;1.2374;1.24047;1.23924;1.24047;1695051000000000;1695052200000000;true;11:30 - 12:00;11:30 - 12:00;1.23971;1.23876;false;false;1.6;1.0;1.7;0.1;1.0;0.2;0.5;-0.0;1.7;Weak Downtrend;Medium Downtrend;false;false;0.0012;1.6
2023-09-19;1.24065;1.23974;1.24041;1.23993;1.23994;1.24008;true;0.00091;1.24045;1.2382;1.24035;1.23837;1.23954;false;true;false;true;true;true;true;;1695132000000000;1695132000000000;10:00 - 10:30;false;true;true;;;1.2382;1.24045;1.24045;1.2382;1695134700000000;1695137100000000;true;11:00 - 11:30;10:30 - 11:00;1.23828;1.2377799999999999;false;false;-1.6;0.7;-1.7;0.7;0.2;0.3;-0.3;-1.7;0.7;Strong Uptrend;Expansion;true;false;0.00125;0.7
2023-09-20;1.24028;1.23822;1.24005;1.23847;1.23847;1.2393399999999999;true;0.00206;1.24214;1.23383;1.24196;1.23396;1.23396;true;true;true;true;true;false;false;1695218400000000;1695232800000000;1695218400000000;10:00 - 10:30;true;false;false;;;1.23383;1.24214;1.23849;1.24214;1695225600000000;1695228000000000;true;12:30 - 13:00;12:00 - 12:30;1.23931;1.23859;false;false;1.9;0.2;2.0;-2.1;0.2;0.6;-2.0;-2.1;2.0;Strong Uptrend;Strong Downtrend;true;true;0.00219;0.9
2023-09-21;1.22843;1.22616;1.22801;1.22619;1.22793;1.22619;false;0.00227;1.2307299999999999;1.22572;1.23054;1.22619;1.2292399999999999;true;true;true;false;true;true;false;1695305700000000;;1695305700000000;10:00 - 10:30;true;true;true;1.22572;1.2277;1.22815;1.2307299999999999;1.22815;1.2307299999999999;1695307800000000;1695317400000000;true;13:30 - 14:00;10:30 - 11:00;1.23269;1.2322;false;false;2.0;0.9;2.1;0.9;0.8;0.1;1.4;-0.1;2.1;Strong Downtrend;Weak Downtrend;false;true;0.00141;1.6
2023-09-22;1.22737;1.22523;1.22722;1.2254099999999999;1.22588;1.22722;true;0.00214;1.22848;1.22304;1.2284;1.22322;1.22387;true;true;true;true;true;false;false;1695391200000000;1695401700000000;1695391200000000;10:00 - 10:30;true;false;false;;;1.22304;1.22842;1.22782;1.22842;1695391500000000;1695391500000000;false;10:00 - 10:30;10:00 - 10:30;1.22928;1.22786;false;false;1.4;1.3;1.5;-1.0;0.4;1.0;-0.6;-1.0;1.6;Contraction;Strong Downtrend;false;true;0.00347;0.6
2023-09-25;1.22187;1.21984;1.2215;1.22055;1.22113;1.2214099999999999;true;0.00203;1.22221;1.21936;1.22216;1.21968;1.22113;true;true;true;true;true;false;false;1695662100000000;1695653400000000;1695653400000000;10:30 - 11:00;false;false;false;1.21947;1.22175;1.21936;1.22221;1.2198;1.21936;1695653700000000;1695653700000000;false;10:30 - 11:00;10:30 - 11:00;1.22406;1.22387;false;false;-0.2;-0.1;-0.3;1.1;0.6;0.7;0.6;-0.3;1.1;Strong Downtrend;Weak Uptrend;false;true;0.00093;2.2
2023-09-26;1.21886;1.21766;1.2187999999999999;1.21803;1.21856;1.21806;false;0.0012;1.2192;1.21539;1.21815;1.21551;1.21556;true;true;false;true;true;true;false;;1695737400000000;1695737400000000;10:00 - 10:30;false;true;true;1.21784;1.2192;1.21539;1.21827;1.21827;1.21539;1695738000000000;1695753300000000;true;14:30 - 15:00;10:00 - 10:30;1.22128;1.21974;false;false;-1.8;0.5;-1.9;0.5;0.7;0.3;-1.8;-1.9;1.2;Medium Uptrend;Strong Downtrend;true;true;0.00105;1.1
2023-09-27;1.21488;1.21328;1.21439;1.21354;1.21439;1.21413;false;0.0016;1.21533;1.21102;1.21478;1.21129;1.21388;true;true;false;true;true;true;false;;1695823800000000;1695823800000000;10:00 - 10:30;false;true;false;1.2131399999999999;1.21438;1.21102;1.21533;1.21501;1.21102;1695828600000000;1695836100000000;true;13:30 - 14:00;11:30 - 12:00;1.21457;1.21414;true;false;-1.4;1.0;-1.5;1.2;0.6;0.5;0.3;-1.5;1.2;Weak Downtrend;Expansion;true;false;0.0013;1.2
2023-09-28;1.22056;1.21823;1.22005;1.21838;1.21949;1.21901;false;0.00233;1.2224599999999999;1.21845;1.22228;1.21888;1.21994;true;false;true;false;true;true;true;1695914400000000;;1695914400000000;11:00 - 11:30;true;true;false;1.21845;1.2204599999999999;1.21875;1.2224599999999999;1.22015;1.2224599999999999;1695914700000000;1695916200000000;true;11:30 - 12:00;11:00 - 11:30;1.21353;1.2137;false;false;1.8;0.9;1.9;0.3;0.6;0.4;0.8;0.1;1.9;Strong Uptrend;Expansion;true;true;0.00254;0.9
2023-09-29;1.22424;1.22127;1.22407;1.22164;1.22407;1.22164;false;0.00297;1.22198;1.218;1.22165;1.21806;1.21995;false;true;false;true;true;true;true;;1695996000000000;1695996000000000;10:00 - 10:30;false;true;true;;;1.218;1.22188;1.22075;1.218;1695996300000000;1695997500000000;false;10:00 - 10:30;10:00 - 10:30;1.22041;1.22188;false;false;-1.1;-0.2;-1.2;0.2;0.9;0.1;-0.5;-1.2;0.2;Medium Downtrend;Strong Uptrend;true;false;0.00144;2.1
2023-10-02;1.21482;1.21303;1.21446;1.21311;1.21411;1.21311;false;0.00179;1.2149;1.20917;1.21439;1.20926;1.20926;true;true;false;true;true;true;false;;1696255800000000;1696255800000000;10:00 - 10:30;false;true;true;1.21231;1.2149;1.20917;1.21461;1.21461;1.20917;1696256700000000;1696276500000000;true;15:30 - 16:00;10:00 - 10:30;1.21926;1.21901;false;false;-2.1;0.8;-2.2;0.8;0.6;0.0;-2.2;-2.2;1.0;Strong Downtrend;Strong Uptrend;false;true;0.00142;1.3
2023-10-03;1.21017;1.20773;1.20996;1.20793;1.20793;1.20965;true;0.00244;1.20965;1.2053099999999999;1.20965;1.20585;1.20781;false;true;false;true;true;true;true;;1696341600000000;1696341600000000;10:00 - 10:30;false;true;false;;;1.2053099999999999;1.20963;1.20645;1.2053099999999999;1696341900000000;1696341900000000;false;10:00 - 10:30;10:00 - 10:30;1.20901;1.20771;false;false;-0.9;-0.6;-1.0;0.7;0.0;0.7;0.0;-1.0;0.7;Medium Uptrend;Medium Downtrend;true;false;0.00227;1.1
2023-10-04;1.21706;1.2145;1.21688;1.21492;1.21629;1.21492;false;0.00256;1.21664;1.21061;1.21647;1.21076;1.21504;false;true;false;true;true;true;true;;1696428000000000;1696428000000000;10:00 - 10:30;false;true;false;;;1.21061;1.21664;1.21349;1.21061;1696428300000000;1696429500000000;false;10:00 - 10:30;10:00 - 10:30;1.20773;1.20623;false;false;-1.5;-0.4;-1.6;0.8;0.6;0.1;0.2;-1.6;0.8;Strong Uptrend;Strong Downtrend;true;true;0.00366;0.7
2023-10-05;1.21601;1.21394;1.21531;1.2145;1.21501;1.21531;true;0.00207;1.2195799999999999;1.21389;1.2195;1.2141899999999999;1.21936;true;true;true;false;true;true;false;1696519200000000;;1696519200000000;11:00 - 11:30;true;true;true;1.21389;1.21676;1.21581;1.2195799999999999;1.21581;1.2195799999999999;1696519500000000;1696535700000000;true;15:30 - 16:00;11:00 - 11:30;1.21367;1.21592;false;true;2.7;1.0;2.8;1.0;0.6;0.7;2.7;-0.0;2.8;Medium Uptrend;Expansion;false;false;0.00138;1.5
2023-10-06;1.21654;1.21368;1.21574;1.21398;1.21555;1.21523;false;0.00286;1.22611;1.21483;1.22566;1.21523;1.2242;true;false;true;false;true;true;true;1696601400000000;;1696601400000000;10:00 - 10:30;true;true;true;1.21483;1.21646;1.21588;1.22611;1.21588;1.22611;1696602000000000;1696606800000000;true;11:30 - 12:00;10:00 - 10:30;1.21871;1.21806;false;false;4.3;0.8;4.4;0.8;0.7;0.6;3.7;0.5;4.4;Strong Downtrend;Weak Downtrend;true;true;0.00216;1.3
2023-10-09;1.2215799999999999;1.22021;1.22142;1.22023;1.22023;1.22117;true;0.00137;1.22427;1.21962;1.22424;1.21973;1.22424;true;true;true;true;true;false;false;1696863600000000;1696867800000000;1696863600000000;11:00 - 11:30;true;false;true;1.22029;1.22172;1.21962;1.22427;1.21962;1.22427;1696870500000000;1696881300000000;true;15:30 - 16:00;12:30 - 13:00;1.22191;1.21979;false;false;2.9;-0.4;3.0;-0.4;0.1;0.8;3.0;-0.4;3.0;Strong Uptrend;Strong Downtrend;false;true;0.00108;1.3
2023-10-10;1.22523;1.2240199999999999;1.22523;1.22435;1.22471;1.22523;true;0.00121;1.22916;1.22502;1.22908;1.22515;1.2284599999999999;true;false;true;false;true;true;true;1696946400000000;;1696946400000000;10:00 - 10:30;true;true;true;;;1.22502;1.22916;1.22502;1.22916;1696949100000000;1696956300000000;true;12:30 - 13:00;10:30 - 11:00;1.22489;1.2236799999999999;false;false;4.2;0.9;4.3;0.9;0.6;1.0;3.7;0.9;4.3;Strong Uptrend;Strong Downtrend;true;true;0.0014;0.9
2023-10-11;1.23374;1.23034;1.23305;1.23066;1.23163;1.23305;true;0.0034;1.2331;1.22752;1.23305;1.22766;1.23085;false;true;false;true;true;true;true;;1697036700000000;1697036700000000;11:00 - 11:30;false;true;false;1.2306;1.2331;1.22752;1.23124;1.2308999999999999;1.22752;1697038500000000;1697046300000000;true;13:30 - 14:00;11:30 - 12:00;1.22894;1.22926;false;false;-0.8;0.1;-0.9;0.2;0.3;0.7;0.1;-0.9;0.8;Strong Uptrend;Medium Downtrend;true;false;0.00129;2.6
2023-10-12;1.22543;1.22275;1.22521;1.22329;1.22521;1.22329;false;0.00268;1.22509;1.21713;1.22472;1.21731;1.21756;false;true;false;true;true;true;true;;1697121600000000;1697121600000000;10:30 - 11:00;false;true;true;1.22235;1.22509;1.21713;1.2224599999999999;1.2224599999999999;1.21713;1697121900000000;1697137200000000;false;15:00 - 15:30;10:30 - 11:00;1.23149;1.2318;false;false;-2.0;-0.2;-2.1;-0.2;0.9;0.2;-2.0;-2.1;0.8;Strong Downtrend;Expansion;false;true;0.00171;1.6
2023-10-13;1.21769;1.21625;1.21742;1.21635;1.21667;1.21716;true;0.00144;1.21716;1.21223;1.21716;1.21231;1.214;false;true;false;true;true;true;true;;1697206200000000;1697206200000000;10:00 - 10:30;false;true;true;1.21525;1.21716;1.21223;1.21581;1.21581;1.21223;1697206500000000;1697217300000000;false;13:00 - 13:30;10:00 - 10:30;1.21822;1.22032;false;false;-2.7;-0.4;-2.8;-0.4;0.2;0.6;-1.6;-2.8;0.6;Strong Downtrend;Strong Uptrend;true;false;0.00302;0.5
2023-10-16;1.21729;1.21585;1.21707;1.21607;1.21707;1.21607;false;0.00144;1.22194;1.21532;1.2218499999999999;1.21563;1.22172;true;true;true;true;true;false;false;1697466600000000;1697465100000000;1697465100000000;10:00 - 10:30;false;false;false;1.21604;1.21655;1.21562;1.22194;1.2163599999999999;1.21562;1697465400000000;1697465400000000;true;10:00 - 10:30;10:00 - 10:30;1.21545;1.21557;false;false;-0.1;0.3;-0.2;4.2;0.8;0.1;4.0;-0.4;4.2;Weak Downtrend;Strong Uptrend;true;false;0.00131;1.1
2023-10-17;1.2160199999999999;1.21469;1.21565;1.21484;1.21508;1.21484;false;0.00133;1.22117;1.21472;1.22094;1.21484;1.21845;true;false;true;false;true;true;true;1697551500000000;;1697551500000000;10:00 - 10:30;true;true;true;1.21472;1.21593;1.21644;1.22117;1.21644;1.22117;1697551800000000;1697559900000000;false;12:00 - 12:30;10:00 - 10:30;1.22114;1.22029;false;false;4.8;1.4;4.9;1.4;0.3;0.2;2.9;0.1;4.9;Strong Downtrend;Strong Downtrend;true;false;0.00154;0.9
2023-10-18;1.21783;1.2164;1.21763;1.21648;1.21701;1.21666;false;0.00143;1.21765;1.21368;1.2174;1.2138;1.214;false;true;false;true;true;true;true;;1697637600000000;1697637600000000;10:00 - 10:30;false;true;true;;;1.21368;1.21765;1.21765;1.21368;1697638800000000;1697655900000000;true;15:00 - 15:30;10:00 - 10:30;1.2178;1.21754;true;true;-1.9;0.8;-2.0;0.8;0.4;0.1;-1.7;-2.0;0.8;Strong Downtrend;Strong Uptrend;false;false;0.00144;1.0
2023-10-19;1.21623;1.21417;1.21538;1.21428;1.21428;1.21444;true;0.00206;1.21917;1.21247;1.21818;1.2139;1.21488;true;true;true;true;true;false;false;1697731200000000;1697733300000000;1697731200000000;12:00 - 12:30;true;false;false;1.21391;1.2154;1.21277;1.21906;1.21676;1.21906;1697731800000000;1697732400000000;false;12:00 - 12:30;12:00 - 12:30;1.2141;1.21273;false;false;2.3;1.3;2.4;-0.6;0.1;0.2;0.4;-0.8;2.5;Medium Uptrend;Expansion;false;true;0.00156;1.3
2023-10-20;1.2161;1.21435;1.21588;1.21448;1.21452;1.21448;false;0.00175;1.21703;1.2131;1.2167;1.21348;1.2160199999999999;true;true;true;true;true;false;false;1697821800000000;1697811000000000;1697811000000000;10:00 - 10:30;false;false;false;1.21409;1.21548;1.2131;1.21703;1.21398;1.2131;1697811300000000;1697811300000000;false;10:00 - 10:30;10:00 - 10:30;1.2135;1.2137499999999999;false;false;-0.7;-0.3;-0.8;1.5;0.0;0.0;0.9;-0.8;1.5;Strong Uptrend;Strong Downtrend;true;true;0.00128;1.4
2023-10-23;1.2174;1.21501;1.2173;1.21509;1.21629;1.2173;true;0.00239;1.22586;1.21719;1.22579;1.2173;1.22443;true;false;true;false;true;true;true;1698069600000000;;1698069600000000;10:00 - 10:30;true;true;true;;;1.21728;1.22586;1.21728;1.22586;1698069900000000;1698087000000000;true;14:30 - 15:00;10:00 - 10:30;1.21629;1.21479;false;false;4.5;1.0;4.6;1.0;0.6;1.0;4.0;1.0;4.6;Weak Uptrend;Expansion;true;false;0.00232;1.0
2023-10-24;1.22037;1.21721;1.22013;1.21771;1.21969;1.21872;false;0.00316;1.21921;1.21531;1.21872;1.21547;1.21627;false;true;false;true;true;true;true;;1698156000000000;1698156000000000;10:00 - 10:30;false;true;true;;;1.21531;1.21877;1.21877;1.21531;1698157500000000;1698166200000000;true;12:30 - 13:00;10:00 - 10:30;1.22489;1.22655;false;false;-0.6;0.4;-0.7;0.4;0.7;0.4;-0.3;-0.7;0.6;Strong Downtrend;Strong Uptrend;false;true;0.00152;2.1
2023-10-25;1.21365;1.21224;1.21338;1.21258;1.21271;1.21338;true;0.00141;1.21561;1.21119;1.2155;1.21119;1.21119;true;true;true;true;true;false;false;1698243600000000;1698253200000000;1698243600000000;10:00 - 10:30;true;false;false;1.21252;1.21386;1.21119;1.21561;1.21381;1.21561;1698244200000000;1698245100000000;false;10:30 - 11:00;10:30 - 11:00;1.21621;1.21711;false;false;2.3;1.2;2.4;-0.7;0.4;0.9;-0.7;-0.7;2.4;Strong Downtrend;Expansion;false;true;0.00181;0.8
2023-10-26;1.21338;1.21128;1.21302;1.2113099999999999;1.2113099999999999;1.21218;true;0.0021;1.21398;1.20978;1.21362;1.20991;1.21212;true;true;true;true;true;false;false;1698345000000000;1698329100000000;1698329100000000;10:00 - 10:30;false;false;false;1.21094;1.21227;1.20978;1.21398;1.21319;1.20978;1698333000000000;1698336600000000;true;12:00 - 12:30;11:00 - 11:30;1.21022;1.20806;false;false;-0.7;0.9;-0.8;1.2;0.0;0.4;0.4;-0.8;1.2;Strong Uptrend;Strong Downtrend;true;true;0.00181;1.2
2023-10-27;1.21606;1.21414;1.21597;1.21441;1.2149699999999999;1.2145;false;0.00192;1.21628;1.21102;1.216;1.21117;1.21204;true;true;false;true;true;true;false;;1698417000000000;1698417000000000;10:30 - 11:00;false;true;true;1.21352;1.21628;1.21102;1.2154099999999999;1.2154099999999999;1.21102;1698422700000000;1698434100000000;true;15:00 - 15:30;12:00 - 12:30;1.21361;1.21342;false;false;-1.6;0.6;-1.7;0.6;0.4;0.1;-1.1;-1.7;1.1;Strong Uptrend;Strong Downtrend;true;false;0.00138;1.4
2023-10-30;1.2143599999999999;1.21339;1.21398;1.21339;1.21339;1.21377;true;0.00097;1.21748;1.21199;1.21734;1.21252;1.21734;true;true;true;true;true;false;false;1698674400000000;1698675300000000;1698674400000000;10:00 - 10:30;true;false;true;;;1.21199;1.21748;1.21199;1.21748;1698676200000000;1698695400000000;true;15:30 - 16:00;10:30 - 11:00;1.21126;1.21203;false;false;4.2;-1.4;4.3;-1.4;0.0;0.4;4.1;-1.4;4.3;Strong Uptrend;Strong Uptrend;false;false;0.00134;0.7
2023-10-31;1.21506;1.21337;1.21439;1.21364;1.21403;1.21364;false;0.00169;1.21564;1.21196;1.2154099999999999;1.21209;1.21528;true;true;true;true;true;false;false;1698761400000000;1698760800000000;1698760800000000;10:00 - 10:30;false;false;false;;;1.21196;1.21564;1.21564;1.21196;1698761700000000;1698765000000000;true;11:00 - 11:30;10:00 - 10:30;1.21635;1.21442;false;true;-0.8;1.3;-0.9;1.3;0.3;0.1;1.1;-0.9;1.3;Weak Downtrend;Strong Downtrend;true;true;0.00122;1.4
2023-11-01;1.21173;1.20956;1.2116;1.20965;1.21007;1.21046;true;0.00217;1.21643;1.2097499999999999;1.21591;1.21046;1.2147999999999999;true;false;true;false;true;true;true;1698847200000000;;1698847200000000;10:00 - 10:30;true;true;true;;;1.2097499999999999;1.21643;1.2117;1.21643;1698847500000000;1698849900000000;true;10:30 - 11:00;10:00 - 10:30;1.21502;1.21448;false;false;3.1;1.0;3.2;0.1;0.3;0.5;2.5;0.1;3.2;Strong Downtrend;Expansion;false;true;0.00167;1.3
2023-11-02;1.22127;1.21855;1.22112;1.21868;1.22041;1.21992;false;0.00272;1.22093;1.21676;1.22086;1.21684;1.22086;false;true;false;true;true;true;true;;1698933900000000;1698933900000000;10:00 - 10:30;false;true;false;1.21913;1.22011;1.21676;1.22093;1.21909;1.21676;1698934500000000;1698938700000000;true;11:00 - 11:30;10:00 - 10:30;1.21816;1.21919;false;true;-0.6;0.1;-0.7;0.8;0.6;0.5;0.8;-0.7;0.8;Strong Uptrend;Weak Downtrend;false;false;0.0008;3.4
2023-11-03;1.23404;1.23191;1.23364;1.2322;1.2322;1.23322;true;0.00213;1.23896;1.23109;1.23885;1.23177;1.23731;true;true;true;true;true;false;false;1699023300000000;1699020600000000;1699020600000000;10:00 - 10:30;false;false;false;1.23201;1.23496;1.23109;1.23896;1.23314;1.23109;1699021200000000;1699021500000000;true;10:00 - 10:30;10:00 - 10:30;1.2189;1.21996;false;false;-0.3;0.5;-0.4;3.3;0.1;0.6;2.5;-0.4;3.3;Strong Uptrend;Strong Uptrend;true;false;0.00117;1.8
2023-11-06;1.24009;1.23853;1.23962;1.23854;1.23952;1.23911;false;0.00156;1.23981;1.2342;1.23959;1.23426;1.23434;false;true;false;true;true;true;true;;1699283100000000;1699283100000000;10:00 - 10:30;false;true;true;1.23851;1.23935;1.2342;1.23981;1.23981;1.2342;1699286700000000;1699303800000000;true;15:30 - 16:00;11:00 - 11:30;1.23718;1.23729;false;false;-2.7;0.8;-2.8;0.8;0.6;0.3;-2.7;-2.8;0.8;Weak Uptrend;Medium Uptrend;true;true;0.00219;0.7
2023-11-07;1.2298499999999999;1.22834;1.22977;1.22847;1.22927;1.22977;true;0.00151;1.23117;1.22622;1.23085;1.2264599999999999;1.22932;true;true;true;true;true;false;false;1699369200000000;1699377000000000;1699369200000000;10:00 - 10:30;true;false;false;;;1.22622;1.23117;1.22904;1.23117;1699371900000000;1699373400000000;true;11:00 - 11:30;10:30 - 11:00;1.23433;1.23284;false;false;1.8;0.5;1.9;-1.4;0.7;1.0;0.7;-1.4;1.9;Strong Downtrend;Strong Downtrend;true;false;0.00142;1.1
2023-11-08;1.22864;1.22673;1.22834;1.22699;1.22699;1.22809;true;0.00191;1.23013;1.22657;1.22992;1.22678;1.2288;true;true;true;false;true;true;false;1699458900000000;;1699458900000000;10:30 - 11:00;true;true;true;1.22657;1.2287;1.22813;1.23013;1.22818;1.23013;1699464600000000;1699466700000000;true;13:00 - 13:30;12:30 - 13:00;1.2291;1.22827;false;true;1.7;0.8;1.8;0.8;0.2;0.8;1.1;-0.0;1.8;Weak Uptrend;Strong Downtrend;false;true;0.00152;1.3
2023-11-09;1.22931;1.22649;1.22891;1.22669;1.22692;1.22891;true;0.00282;1.2295;1.22125;1.22903;1.22142;1.22178;true;true;false;true;true;true;false;;1699552800000000;1699552800000000;13:00 - 13:30;false;true;true;1.22639;1.2295;1.22125;1.22685;1.22685;1.22125;1699554900000000;1699558800000000;true;14:30 - 15:00;13:30 - 14:00;1.22852;1.22847;false;false;-1.8;0.1;-1.9;0.1;0.1;0.8;-1.7;-1.9;1.0;Expansion;Expansion;true;false;0.0022;1.3
2023-11-10;1.22234;1.21992;1.22195;1.22008;1.22195;1.22008;false;0.00242;1.22312;1.2187;1.2229;1.21889;1.22259;true;true;true;true;true;false;false;1699641300000000;1699628400000000;1699628400000000;10:00 - 10:30;false;false;false;;;1.2187;1.22312;1.22105;1.2187;1699629300000000;1699631100000000;true;10:30 - 11:00;10:00 - 10:30;1.22162;1.2227999999999999;false;false;-0.5;0.4;-0.6;1.3;0.8;0.0;1.1;-0.6;1.3;Medium Downtrend;Strong Uptrend;false;true;0.00135;1.8
2023-11-13;1.22426;1.22294;1.2241;1.22315;1.2241;1.22388;false;0.00132;1.22803;1.22377;1.22796;1.22388;1.22764;true;false;true;false;true;true;true;1699887600000000;;1699887600000000;10:00 - 10:30;true;true;true;;;1.22404;1.22803;1.22404;1.22803;1699890000000000;1699906500000000;true;15:00 - 15:30;10:30 - 11:00;1.22292;1.22281;false;false;3.8;0.9;3.9;0.9;0.9;0.8;3.6;0.7;3.9;Expansion;Strong Uptrend;true;true;0.00109;1.2
