date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;992.6;990.0;992.4;990.5;990.7;992.0;true;2.6;996.3;988.6;996.3;988.9;988.9;true;true;true;true;true;false;false;1254147600000000;1254167100000000;1254147600000000;10:15 - 10:30;true;false;false;991.6;992.7;988.6;996.3;992.8;996.3;1254149700000000;1254153900000000;false;12:00 - 12:15;10:45 - 11:00;;;;;2.4;3.0;1.1;1.3;2.5;-0.5;0.3;0.8;-0.4;-0.5;2.5;Contraction;Strong Downtrend;false;true;4.7;0.6
2009-09-29;992.5;990.1;992.5;990.1;990.2;991.2;true;2.4;997.2;987.8;996.6;987.8;993.8;true;true;true;true;true;false;false;1254238200000000;1254232800000000;1254232800000000;10:00 - 10:15;false;false;false;;;989.1;997.2;991.2;989.1;1254233400000000;1254234300000000;true;10:15 - 10:30;10:00 - 10:15;992.5;990.8;false;false;-0.4;-0.4;0.4;0.4;-0.5;2.9;0.0;0.4;1.5;-1.0;2.9;Expansion;Contraction;false;false;0.2;12.0
2009-09-30;1003.5;996.4;1003.2;996.8;1003.0;996.8;false;7.1;1010.8;995.0;1009.9;995.0;1008.5;true;true;true;true;true;false;false;1254325500000000;1254319200000000;1254319200000000;10:00 - 10:15;false;false;false;;;995.7;1010.8;997.3;995.7;1254319500000000;1254319500000000;true;10:00 - 10:15;10:00 - 10:15;994.3;997.5;false;false;-0.0;-0.1;0.1;0.0;-0.1;2.0;0.9;0.0;1.7;-0.2;2.0;Expansion;Strong Uptrend;false;false;1.1;6.5
2009-10-02;1007.4;997.1;1006.3;997.4;998.2;1004.8;true;10.3;1008.8;1001.0;1008.1;1002.2;1003.3;true;false;true;false;true;true;true;1254493800000000;;1254493800000000;10:30 - 10:45;true;true;false;1004.1;1007.9;1001.0;1008.8;1006.3;1008.8;1254494100000000;1254494100000000;true;10:30 - 10:45;10:30 - 10:45;1000.8;1001.9;false;false;1.1;1.2;0.9;1.0;1.2;0.4;0.2;0.8;0.7;0.4;1.2;Expansion;Medium Downtrend;false;true;1.8;5.7
2009-10-05;1007.7;1003.7;1007.5;1004.2;1004.9;1006.5;true;4.0;1018.8;1003.5;1018.7;1004.4;1018.2;true;true;true;false;true;true;false;1254758100000000;;1254758100000000;11:45 - 12:00;true;true;true;1003.5;1008.0;1008.4;1018.8;1008.4;1018.8;1254758400000000;1254763800000000;false;13:30 - 13:45;12:00 - 12:15;1003.2;1004.9;false;false;3.7;4.4;1.2;1.3;3.8;1.2;0.3;0.7;3.7;-0.0;3.8;Expansion;Strong Uptrend;true;false;2.3;1.7
2009-10-06;1037.5;1032.4;1037.0;1032.8;1034.0;1036.8;true;5.1;1044.8;1035.8;1044.3;1036.5;1043.5;true;false;true;false;true;true;true;1254837600000000;;1254837600000000;10:00 - 10:15;true;true;true;;;1036.2;1044.8;1036.5;1044.8;1254837900000000;1254840900000000;true;10:45 - 11:00;10:00 - 10:15;1017.5;;false;;2.4;2.8;0.9;0.9;2.5;0.8;0.4;0.9;2.2;0.7;2.5;;;;;;
2009-10-07;1045.5;1039.1;1044.2;1039.5;1043.6;1042.6;false;6.4;1046.0;1038.3;1045.7;1038.3;1044.5;true;true;true;true;true;false;false;1254928800000000;1254926700000000;1254926700000000;10:45 - 11:00;false;false;false;1039.7;1044.3;1039.7;1046.0;;;;;false;;;1040.1;1039.8;true;true;;;;;0.0;1.0;0.7;0.5;0.8;-0.2;1.0;Expansion;Contraction;true;true;2.3;2.8
2009-10-08;1048.2;1046.4;1048.2;1046.4;1047.3;1046.5;false;1.8;1062.7;1043.8;1060.4;1049.5;1057.2;true;true;true;false;true;true;false;1255012200000000;;1255012200000000;10:30 - 10:45;true;true;true;;;1043.8;1062.7;1043.8;1062.7;1255023000000000;1255023000000000;true;13:30 - 13:45;13:30 - 13:45;1047.2;1050.1;false;false;9.0;9.0;-1.4;-1.4;9.1;-1.4;0.5;0.1;6.1;-1.4;9.1;;;;;;
2009-10-09;1051.7;1047.0;1051.6;1048.2;1051.6;1048.9;false;4.7;1053.5;1044.0;1052.0;1044.5;1049.2;true;true;true;true;true;false;false;1255097100000000;1255104300000000;1255097100000000;10:00 - 10:15;true;false;false;1048.8;1051.0;1044.0;1053.5;1051.0;1053.5;1255097400000000;1255097400000000;true;10:00 - 10:15;10:00 - 10:15;1050.8;1047.0;false;false;1.3;1.5;0.9;0.9;1.4;-0.6;1.0;0.5;0.5;-0.6;1.4;;;;;;
2009-10-12;1058.5;1054.1;1058.0;1054.5;1054.9;1058.0;true;4.4;1060.5;1054.2;1059.9;1054.4;1056.5;true;false;true;false;true;true;true;1255356600000000;;1255356600000000;10:00 - 10:15;true;true;false;1057.4;1060.5;1054.2;1059.8;1055.0;1059.8;1255362300000000;1255370700000000;true;14:00 - 14:15;11:45 - 12:00;1053.0;;false;;1.2;1.5;0.3;0.2;1.3;0.1;0.2;0.9;0.6;0.1;1.5;Strong Uptrend;Strong Downtrend;true;true;1.3;3.4
