date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;1694.75;1689.5;1694.25;1691.5;1694.0;1692.5;false;5.25;1693.0;1688.0;1692.75;1688.5;1692.75;false;true;false;true;true;true;true;;1254101100000000;1254101100000000;10:15 - 10:30;false;true;false;1689.75;1693.0;1688.0;1693.0;1690.5;1688.0;1254101700000000;1254102900000000;true;10:45 - 11:00;10:30 - 10:45;1692.5;1690.0;false;true;-0.2;-1.2;0.1;-0.4;-0.3;0.6;0.8;0.5;0.6;-0.3;0.6;;Strong Uptrend;true;true;23.5;0.2
2009-09-29;1724.75;1722.0;1724.5;1722.25;1724.5;1722.25;false;2.75;1723.5;1720.25;1723.25;1720.75;1723.0;false;true;false;true;true;true;true;;1254184500000000;1254184500000000;09:30 - 09:45;false;true;false;1722.0;1722.5;1720.25;1723.5;1721.25;1720.25;1254184800000000;1254184800000000;false;09:30 - 09:45;09:30 - 09:45;1723.5;1722.0;false;false;-0.6;-0.8;-0.3;-0.5;-0.7;0.5;0.9;0.0;0.3;-0.7;0.5;Medium Uptrend;Expansion;false;true;19.75;0.1
2009-09-30;1716.5;1714.75;1716.5;1715.0;1715.0;1716.5;true;1.75;1718.75;1715.0;1718.5;1715.0;1716.75;true;false;true;false;true;true;true;1254270900000000;;1254270900000000;09:30 - 09:45;true;true;true;1716.5;1716.75;1715.0;1718.75;1716.5;1718.75;1254271200000000;1254272100000000;false;09:45 - 10:00;09:30 - 09:45;1716.25;1717.25;false;false;2.2;2.5;1.0;1.0;2.3;0.2;0.2;1.0;1.2;0.2;2.3;Contraction;Expansion;true;true;36.75;0.0
2009-10-01;1718.5;1716.75;1718.25;1717.0;1717.25;1717.75;true;1.75;1726.75;1712.0;1720.5;1712.0;1713.25;true;true;true;true;true;false;false;1254357600000000;1254358800000000;1254357600000000;09:30 - 09:45;true;false;false;1717.0;1718.5;1712.0;1720.75;1719.75;1720.75;1254357900000000;1254357900000000;false;09:45 - 10:00;09:45 - 10:00;1718.25;1713.75;true;false;2.2;3.0;1.8;2.2;2.3;-2.7;0.3;0.6;-2.0;-2.7;5.8;Contraction;Strong Downtrend;false;true;25.75;0.1
2009-10-02;1668.0;1664.0;1668.0;1664.75;1667.5;1667.75;true;4.0;1669.5;1665.0;1668.0;1665.0;1665.75;true;false;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;1666.5;1666.0;true;true;;;;;;;0.8;0.9;0.4;0.2;1.3;Strong Downtrend;Expansion;true;true;20.25;0.2
2009-10-05;1667.75;1662.5;1667.5;1663.75;1666.0;1666.25;true;5.25;1670.0;1664.0;1669.25;1664.25;1665.5;true;false;true;false;true;true;true;1254702900000000;;1254702900000000;09:30 - 09:45;true;true;false;1666.25;1667.5;1664.0;1670.0;1666.5;1670.0;1254703200000000;1254705600000000;true;10:15 - 10:30;09:30 - 09:45;1665.25;1668.0;true;false;1.4;1.6;0.8;0.8;1.5;0.3;0.7;0.8;0.6;0.3;1.5;Contraction;Expansion;true;true;16.0;0.3
2009-10-06;1677.0;1675.25;1677.0;1675.75;1676.0;1676.75;true;1.75;1679.5;1675.25;1679.0;1675.5;1677.5;true;false;true;false;true;true;true;1254790800000000;;1254790800000000;10:00 - 10:15;true;true;true;1675.5;1677.5;1675.25;1679.5;1675.25;1679.5;1254791700000000;1254797100000000;true;11:45 - 12:00;10:15 - 10:30;1676.0;1676.5;false;false;2.4;3.0;0.0;-0.4;2.5;0.0;0.5;0.9;1.3;0.0;2.5;Strong Uptrend;Strong Uptrend;true;true;24.5;0.1
2009-10-07;1703.25;1701.25;1703.0;1701.25;1702.5;1701.25;false;2.0;1707.75;1698.25;1705.5;1699.0;1704.0;true;true;true;true;true;false;false;1254886800000000;1254876000000000;1254876000000000;09:30 - 09:45;false;false;false;1701.25;1701.75;1698.25;1707.75;1702.75;1698.25;1254877800000000;1254881100000000;true;11:00 - 11:15;10:00 - 10:15;1702.75;1703.0;true;true;-1.5;-1.7;0.7;0.8;-1.5;3.2;0.6;0.0;1.3;-1.5;3.2;Contraction;Expansion;false;true;12.5;0.2
2009-10-08;1716.5;1714.25;1716.5;1714.5;1715.25;1714.75;false;2.25;1723.5;1714.75;1723.0;1714.75;1720.75;true;false;true;false;true;true;true;1254962100000000;;1254962100000000;09:30 - 09:45;true;true;true;1714.75;1716.25;1718.25;1723.5;1718.25;1723.5;1254962400000000;1254963900000000;false;10:00 - 10:15;09:30 - 09:45;1715.25;1721.0;false;false;4.1;4.5;1.8;1.9;4.2;1.8;0.5;0.3;2.9;0.3;4.2;Strong Uptrend;Weak Downtrend;true;true;13.0;0.2
2009-10-09;1714.75;1712.0;1714.5;1712.0;1714.0;1712.75;false;2.75;1715.5;1710.0;1715.0;1710.0;1712.25;true;true;true;true;true;false;false;1255051200000000;1255052400000000;1255051200000000;10:15 - 10:30;true;false;false;1712.25;1714.75;1710.0;1715.0;1714.5;1715.0;1255051500000000;1255051500000000;true;10:15 - 10:30;10:15 - 10:30;1714.0;1712.75;false;false;1.0;1.2;1.0;1.0;1.1;-0.7;0.8;0.3;0.1;-0.7;1.3;Contraction;Expansion;true;true;17.25;0.2
