date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;1700.0;1695.0;1699.0;1695.0;1695.75;1695.0;false;5.0;1705.75;1690.0;1705.0;1690.75;1705.0;true;true;true;true;true;false;false;1254133500000000;1254123000000000;1254123000000000;03:30 - 03:45;false;false;false;;;1690.0;1705.75;1692.75;1690.0;1254123300000000;1254123600000000;false;03:30 - 03:45;03:30 - 03:45;1692.5;1690.0;false;false;-1.0;-1.2;-0.5;-0.6;-1.0;2.1;0.1;0.0;2.0;-1.0;2.1;Strong Uptrend;;false;true;2.25;2.2
2009-09-29;1723.75;1719.25;1723.5;1719.75;1723.5;1720.0;false;4.5;1720.75;1714.0;1720.25;1714.5;1719.25;false;true;false;true;true;true;true;;1254209400000000;1254209400000000;03:30 - 03:45;false;true;false;;;1714.0;1720.75;1720.75;1714.0;1254210600000000;1254219900000000;true;06:15 - 06:30;03:45 - 04:00;1723.5;1722.0;false;false;-1.1;-1.5;0.3;0.2;-1.2;0.3;0.9;0.1;0.0;-1.2;0.3;Medium Downtrend;Strong Uptrend;false;true;1.25;3.6
2009-09-30;1719.0;1716.75;1718.5;1717.5;1717.5;1718.5;true;2.25;1723.5;1715.25;1723.0;1717.75;1720.0;true;true;true;false;true;true;false;1254300000000000;;1254300000000000;04:30 - 04:45;true;true;true;1716.75;1719.25;1715.25;1723.5;1720.25;1723.5;1254308700000000;1254311100000000;false;07:45 - 08:00;07:00 - 07:15;1716.25;1717.25;false;true;3.0;6.0;1.6;2.8;3.0;-0.6;0.4;0.8;1.5;-0.6;3.0;Strong Uptrend;Strong Downtrend;true;true;1.5;1.5
2009-10-01;1718.0;1712.0;1717.5;1712.0;1714.0;1717.5;true;6.0;1719.0;1706.0;1718.25;1706.5;1709.25;true;true;true;true;true;false;false;1254382200000000;1254386400000000;1254382200000000;03:30 - 03:45;true;false;false;;;1706.0;1719.0;1717.25;1719.0;1254382500000000;1254382500000000;true;03:30 - 03:45;03:30 - 03:45;1718.25;1713.75;false;true;1.1;1.2;0.9;1.0;1.2;-1.0;0.4;1.0;-0.4;-1.0;1.2;Weak Downtrend;Contraction;true;false;1.25;4.8
2009-10-02;1668.5;1663.5;1667.0;1663.5;1665.5;1663.5;false;5.0;1668.5;1662.25;1668.0;1662.5;1664.0;false;true;false;true;true;true;true;;1254468600000000;1254468600000000;03:30 - 03:45;false;true;false;;;1662.25;1668.5;1663.75;1662.25;1254468900000000;1254468900000000;true;03:30 - 03:45;03:30 - 03:45;1666.5;1666.0;true;true;-0.2;-0.3;0.0;0.0;-0.3;1.0;0.4;0.0;0.1;-0.3;1.0;Expansion;Strong Downtrend;false;true;2.0;2.5
2009-10-05;1669.0;1663.25;1668.0;1666.0;1667.25;1667.75;true;5.75;1674.25;1665.75;1674.25;1666.5;1669.25;true;false;true;false;true;true;true;1254729300000000;;1254729300000000;03:45 - 04:00;true;true;true;1665.75;1669.0;1669.25;1674.25;1669.5;1674.25;1254729600000000;1254734100000000;false;05:15 - 05:30;04:00 - 04:15;1665.25;1668.0;true;true;1.9;4.1;1.1;1.8;2.0;1.1;0.7;0.8;1.1;0.5;2.0;Weak Uptrend;Contraction;true;true;3.5;1.6
2009-10-06;1679.75;1676.5;1679.5;1677.75;1678.0;1678.75;true;3.25;1689.75;1677.5;1689.25;1678.0;1685.25;true;false;true;false;true;true;true;1254815100000000;;1254815100000000;03:45 - 04:00;true;true;true;1677.5;1680.0;1679.75;1689.75;1679.75;1689.75;1254816000000000;1254829800000000;false;07:45 - 08:00;04:00 - 04:15;1676.0;1676.5;false;false;4.0;6.8;1.0;1.2;4.1;1.0;0.5;0.7;2.7;0.4;4.1;Medium Uptrend;Strong Uptrend;true;true;1.25;2.6
2009-10-07;1707.75;1701.0;1707.5;1702.25;1705.0;1706.5;true;6.75;1708.5;1700.0;1708.25;1700.25;1702.5;true;true;true;true;true;false;false;1254906000000000;1254918000000000;1254906000000000;05:00 - 05:15;true;false;false;1704.0;1708.25;1700.0;1708.5;;;;;false;;;1702.75;1703.0;true;true;;;;;1.2;-0.1;0.6;0.9;0.3;-0.1;1.2;Expansion;Strong Uptrend;true;false;0.75;9.0
2009-10-08;1724.25;1721.75;1723.75;1722.75;1723.5;1723.75;true;2.5;1725.0;1718.5;1724.75;1719.0;1720.5;true;true;true;true;true;false;false;1254988800000000;1254990300000000;1254988800000000;04:00 - 04:15;true;false;false;1721.0;1724.25;1718.5;1725.0;1723.5;1725.0;1254989100000000;1254989100000000;true;04:00 - 04:15;04:00 - 04:15;1715.25;1721.0;false;false;1.3;2.2;0.7;0.8;1.3;-1.3;0.7;0.8;-0.5;-1.3;1.3;Strong Uptrend;Strong Uptrend;false;false;1.75;1.4
2009-10-09;1716.75;1709.25;1715.75;1709.5;1709.5;1715.75;true;7.5;1717.5;1706.5;1717.0;1707.0;1708.25;true;true;true;true;true;false;false;1255074600000000;1255081800000000;1255074600000000;03:45 - 04:00;true;false;false;1714.5;1717.5;1706.5;1717.25;1715.5;1717.25;1255075200000000;1255075200000000;true;04:00 - 04:15;04:00 - 04:15;1714.0;1712.75;false;false;1.0;1.2;0.9;1.0;1.1;-0.3;0.1;0.9;-0.1;-0.3;1.1;Expansion;Strong Downtrend;false;false;0.75;10.0
