date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;1724.25;1700.75;1723.75;1702.0;1702.0;1723.75;true;23.5;1732.5;1719.25;1731.25;1719.75;1722.5;true;false;true;false;true;true;true;1254148200000000;;1254148200000000;10:30 - 11:00;true;true;false;;;1719.25;1732.5;1723.25;1732.5;1254149700000000;1254153900000000;true;12:00 - 12:30;10:30 - 11:00;1692.5;1690.0;false;false;1.3;1.0;1.4;0.8;0.1;1.0;1.0;0.8;1.4;Strong Uptrend;Weak Uptrend;true;true;10.0;2.4
2009-09-29;1730.75;1711.0;1728.25;1717.0;1722.0;1719.0;false;19.75;1722.0;1706.75;1721.0;1708.25;1715.0;false;true;false;true;true;true;true;;1254236400000000;1254236400000000;11:00 - 11:30;false;true;false;1710.75;1721.25;1706.75;1722.0;1714.25;1706.75;1254238200000000;1254239100000000;true;11:30 - 12:00;11:30 - 12:00;1723.5;1722.0;true;false;-0.2;0.1;-0.3;0.5;0.5;0.4;0.2;-0.3;0.5;Expansion;Weak Downtrend;false;true;5.5;3.6
2009-09-30;1725.5;1688.75;1722.0;1694.0;1721.25;1697.25;false;36.75;1730.0;1695.0;1727.5;1697.25;1715.0;true;false;true;false;true;true;true;1254330000000000;;1254330000000000;13:00 - 13:30;true;true;false;1695.0;1725.5;1708.0;1730.0;1724.5;1730.0;1254330300000000;1254330300000000;true;13:00 - 13:30;13:00 - 13:30;1716.25;1717.25;false;false;1.1;1.0;1.2;0.6;0.9;0.3;0.8;0.2;1.2;Expansion;Strong Uptrend;true;true;2.25;16.3
2009-10-01;1711.0;1685.25;1710.0;1687.75;1710.0;1689.5;false;25.75;1692.75;1664.5;1690.0;1665.0;1665.0;false;true;false;true;true;true;true;;1254409200000000;1254409200000000;11:00 - 11:30;false;true;true;1685.75;1692.75;1664.5;1683.0;1683.0;1664.5;1254409500000000;1254426900000000;false;15:30 - 16:00;11:00 - 11:30;1718.25;1713.75;false;false;-0.8;-0.1;-0.9;-0.1;0.9;0.1;-0.8;-0.9;0.2;Strong Downtrend;Expansion;false;true;7.0;3.7
2009-10-02;1673.0;1652.75;1672.0;1653.25;1653.25;1672.0;true;20.25;1674.75;1659.0;1673.75;1660.25;1660.25;true;false;true;false;true;true;true;1254493800000000;;1254493800000000;10:30 - 11:00;true;true;false;;;1659.0;1674.5;1672.25;1674.5;1254494100000000;1254494100000000;true;10:30 - 11:00;10:30 - 11:00;1666.5;1666.0;false;false;1.0;1.0;1.1;0.4;0.1;1.0;0.4;0.4;1.1;Expansion;Expansion;false;true;6.25;3.2
2009-10-05;1674.0;1658.0;1672.0;1660.75;1668.5;1668.75;true;16.0;1681.25;1668.0;1679.5;1668.0;1673.25;true;false;true;false;true;true;true;1254753600000000;;1254753600000000;10:30 - 11:00;true;true;false;1668.0;1673.25;1669.0;1681.25;1669.0;1681.25;1254756900000000;1254768900000000;true;14:30 - 15:00;11:30 - 12:00;1665.25;1668.0;true;true;1.4;0.7;1.5;0.7;0.7;0.7;1.0;0.7;1.5;Expansion;Weak Uptrend;true;true;6.5;2.5
2009-10-06;1706.25;1681.75;1706.0;1682.25;1682.25;1700.75;true;24.5;1711.25;1686.0;1710.0;1687.5;1703.0;true;false;true;false;true;true;true;1254841500000000;;1254841500000000;11:00 - 11:30;true;true;false;1698.5;1706.25;1686.0;1711.25;1708.25;1711.25;1254841800000000;1254841800000000;false;11:00 - 11:30;11:00 - 11:30;1676.0;1676.5;false;false;1.2;1.1;1.3;0.2;0.1;0.8;0.9;0.2;1.3;Strong Uptrend;Medium Uptrend;true;true;4.75;5.2
2009-10-07;1708.75;1696.25;1707.0;1697.5;1701.0;1705.5;true;12.5;1708.75;1697.25;1708.0;1698.5;1708.0;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;1702.75;1703.0;false;false;;;;;0.3;0.7;0.9;0.0;1.0;Expansion;Expansion;true;false;6.75;1.9
2009-10-08;1724.25;1711.25;1723.0;1714.0;1718.25;1719.0;true;13.0;1730.75;1714.25;1729.25;1714.25;1714.25;true;false;true;false;true;true;true;1255015200000000;;1255015200000000;11:00 - 11:30;true;true;false;1718.0;1722.25;1714.25;1730.75;1724.5;1730.75;1255017900000000;1255019100000000;false;12:00 - 12:30;12:00 - 12:30;1715.25;1721.0;true;true;1.5;1.1;1.5;0.3;0.6;0.6;0.3;0.3;1.5;Weak Downtrend;Strong Uptrend;true;false;3.25;4.0
2009-10-09;1725.0;1707.75;1722.5;1711.25;1711.5;1722.0;true;17.25;1727.75;1719.0;1726.5;1719.25;1724.25;true;false;true;false;true;true;true;1255114800000000;;1255114800000000;15:00 - 15:30;true;true;false;1719.0;1725.0;1721.0;1727.75;1725.0;1727.75;1255115100000000;1255115400000000;false;15:00 - 15:30;15:00 - 15:30;1714.0;1712.75;false;false;1.1;1.0;1.2;0.8;0.3;0.9;1.0;0.7;1.2;Expansion;Expansion;false;true;8.25;2.1
2009-10-12;1740.5;1729.5;1739.75;1731.5;1731.5;1736.75;true;11.0;1739.25;1716.5;1738.5;1718.0;1728.25;false;true;false;true;true;true;true;;1255371000000000;1255371000000000;14:00 - 14:30;false;true;true;1730.5;1739.25;1716.5;1728.25;1727.5;1716.5;1255371300000000;1255372500000000;false;14:30 - 15:00;14:00 - 14:30;1729.0;1725.5;false;false;-1.1;-0.2;-1.2;-0.2;0.1;0.6;-0.2;-1.2;0.8;Strong Uptrend;Weak Downtrend;true;true;3.5;3.1
2009-10-13;1733.25;1720.25;1732.25;1720.75;1727.25;1726.0;false;13.0;1735.75;1722.5;1735.0;1723.5;1729.0;true;false;true;false;true;true;true;1255449000000000;;1255449000000000;11:30 - 12:00;true;true;false;1722.5;1734.25;1723.25;1735.5;1733.25;1735.5;1255449300000000;1255449300000000;false;11:30 - 12:00;11:30 - 12:00;1726.5;1727.5;false;true;1.1;1.0;1.2;0.3;0.6;0.5;0.7;0.2;1.2;Expansion;Expansion;true;true;5.75;2.3
2009-10-14;1750.25;1739.75;1749.75;1740.5;1749.75;1742.75;false;10.5;1754.5;1741.0;1754.5;1742.5;1752.25;true;false;true;false;true;true;true;1255548300000000;;1255548300000000;15:00 - 15:30;true;true;true;1741.0;1750.0;1751.25;1754.5;;;;;false;;;1743.25;1744.75;false;false;;;1.5;1.1;1.0;0.3;1.2;0.2;1.5;Expansion;Medium Uptrend;true;true;3.75;2.8
2009-10-15;1750.75;1742.0;1750.0;1743.0;1743.0;1745.0;true;8.75;1751.0;1740.5;1750.25;1741.25;1749.0;true;true;false;true;true;true;false;;1255617900000000;1255617900000000;10:30 - 11:00;false;true;false;1741.75;1746.25;1740.5;1751.0;1742.5;1740.5;1255618200000000;1255618200000000;true;10:30 - 11:00;10:30 - 11:00;1748.25;1746.25;true;true;-0.1;0.0;-0.2;1.0;0.1;0.3;0.8;-0.2;1.0;Expansion;Weak Downtrend;false;true;3.0;2.9
2009-10-16;1745.25;1724.75;1742.75;1727.25;1742.75;1728.25;false;20.5;1745.5;1725.5;1744.0;1726.25;1737.25;true;false;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;1751.75;1751.0;false;false;;;;;0.8;0.1;0.6;0.0;1.0;Strong Downtrend;Expansion;false;true;8.0;2.6
2009-10-19;1742.0;1729.5;1740.25;1732.0;1738.25;1739.0;true;12.5;1756.5;1738.75;1756.5;1738.75;1754.0;true;false;true;false;true;true;true;1255963500000000;;1255963500000000;10:30 - 11:00;true;true;true;1738.75;1742.0;1744.0;1756.5;1744.0;1756.5;1255963800000000;1255967400000000;false;11:30 - 12:00;10:30 - 11:00;1729.5;1729.75;false;true;2.1;1.2;2.2;1.2;0.7;0.8;2.0;0.8;2.2;Weak Downtrend;Strong Uptrend;false;true;7.75;1.6
2009-10-20;1764.25;1751.0;1764.25;1753.5;1764.25;1755.25;false;13.25;1761.25;1743.5;1760.0;1743.75;1754.5;false;true;false;true;true;true;true;;1256053800000000;1256053800000000;11:30 - 12:00;false;true;false;1748.0;1761.25;1743.5;1755.5;1752.0;1743.5;1256054100000000;1256056500000000;true;12:30 - 13:00;11:30 - 12:00;1769.0;1767.75;false;false;-0.5;0.0;-0.6;0.3;1.0;0.3;0.2;-0.6;0.7;Medium Downtrend;Weak Downtrend;false;false;6.75;2.0
2009-10-21;1775.5;1752.75;1773.25;1754.0;1754.0;1773.0;true;22.75;1779.25;1748.5;1778.25;1749.25;1752.25;true;true;true;true;true;false;false;1256136000000000;1256154000000000;1256136000000000;10:30 - 11:00;true;false;false;1770.25;1774.0;1748.5;1779.25;1773.5;1779.25;1256136300000000;1256136300000000;true;10:30 - 11:00;10:30 - 11:00;1755.5;1755.25;false;false;1.1;1.0;1.2;-0.1;0.1;0.9;-0.0;-0.1;1.2;Expansion;Weak Uptrend;false;true;5.75;4.0
2009-10-22;1755.0;1737.5;1750.0;1741.75;1749.25;1744.0;false;17.5;1766.25;1739.75;1765.5;1740.25;1759.25;true;false;true;false;true;true;true;1256235000000000;;1256235000000000;14:00 - 14:30;true;true;true;1739.75;1754.0;1757.0;1766.25;1757.0;1766.25;1256235300000000;1256239200000000;false;15:00 - 15:30;14:00 - 14:30;1749.25;1746.5;false;false;1.6;1.2;1.7;1.2;0.7;0.4;1.3;0.2;1.7;Expansion;Expansion;false;false;7.0;2.5
2009-10-23;1775.5;1760.25;1773.75;1764.0;1773.75;1767.0;false;15.25;1767.5;1746.75;1766.75;1748.25;1751.75;false;true;false;true;true;true;true;;1256309700000000;1256309700000000;10:30 - 11:00;false;true;true;1759.25;1767.5;1746.75;1760.75;1760.75;1746.75;1256316300000000;1256326500000000;true;15:30 - 16:00;12:30 - 13:00;1767.0;1767.25;false;false;-0.8;0.0;-0.9;0.0;0.8;0.4;-0.6;-0.9;0.4;Expansion;Expansion;false;true;4.75;3.2
2009-10-26;1777.25;1752.25;1775.5;1752.5;1752.5;1772.25;true;25.0;1776.5;1737.5;1775.5;1739.75;1745.25;false;true;false;true;true;true;true;;1256572200000000;1256572200000000;11:30 - 12:00;false;true;true;1751.0;1776.5;1737.5;1753.5;1753.5;1737.5;1256572500000000;1256573100000000;true;12:00 - 12:30;11:30 - 12:00;1750.0;1755.0;false;false;-0.5;0.0;-0.6;0.0;0.0;0.8;-0.3;-0.6;0.9;Expansion;Strong Uptrend;true;false;4.25;5.9
2009-10-27;1750.5;1718.0;1748.25;1729.0;1743.75;1737.5;false;32.5;1747.25;1713.0;1744.5;1713.75;1719.5;false;true;false;true;true;true;true;;1256664000000000;1256664000000000;13:00 - 13:30;false;true;false;1720.0;1747.25;1713.0;1728.0;1717.0;1713.0;1256664600000000;1256664600000000;false;13:30 - 14:00;13:30 - 14:00;1742.0;1743.25;false;false;-0.1;-0.1;-0.2;0.3;0.7;0.6;0.0;-0.2;0.9;Expansion;Strong Uptrend;false;false;3.25;10.0
2009-10-28;1717.75;1705.5;1715.75;1707.5;1713.75;1707.5;false;12.25;1711.25;1677.25;1711.25;1677.75;1681.0;false;true;false;true;true;true;true;;1256741100000000;1256741100000000;10:30 - 11:00;false;true;true;1706.75;1711.25;1677.25;1703.5;1703.5;1677.25;1256743500000000;1256758500000000;false;15:30 - 16:00;11:00 - 11:30;1722.5;1717.75;false;false;-2.3;-0.2;-2.4;-0.2;0.6;0.1;-2.0;-2.4;0.4;Strong Downtrend;Strong Downtrend;false;true;2.75;4.5
2009-10-29;1704.5;1686.75;1701.5;1688.75;1692.25;1698.25;true;17.75;1713.0;1696.0;1712.5;1698.0;1709.0;true;false;true;false;true;true;true;1256834100000000;;1256834100000000;12:30 - 13:00;true;true;true;1696.0;1705.5;1702.75;1713.0;1702.75;1713.0;1256836500000000;1256843100000000;true;15:00 - 15:30;13:00 - 13:30;1679.25;1681.5;false;false;1.4;1.0;1.5;1.0;0.4;0.7;1.3;0.6;1.5;Strong Uptrend;Strong Uptrend;true;false;3.75;4.7
