date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;9613;9596;9613;9598;9613;9604;false;17;9617;9571;9613;9577;9597;true;true;false;true;true;true;false;;1254100500000000;1254100500000000;10:00 - 10:30;false;true;false;9588;9617;9571;9598;9590;9571;1254100800000000;1254102900000000;false;10:30 - 11:00;10:00 - 10:30;9604;9582;false;false;-1.4;-0.4;-1.5;0.1;1.0;0.4;0.0;-1.5;1.2;;Strong Uptrend;true;true;71;0.2
2009-09-29;9748;9740;9747;9740;9747;9740;false;8;9742;9723;9741;9724;9740;false;true;false;true;true;true;true;;1254182400000000;1254182400000000;09:00 - 09:30;false;true;false;;;9723;9742;9742;9723;1254182700000000;1254184800000000;true;09:30 - 10:00;09:00 - 09:30;9740;9731;false;false;-2.1;0.2;-2.2;0.2;0.8;0.0;0.0;-2.2;0.2;Strong Uptrend;Weak Uptrend;false;true;51;0.2
2009-09-30;9680;9675;9680;9675;9675;9680;true;5;9691;9673;9691;9673;9684;true;true;true;true;true;false;false;1254269400000000;1254284700000000;1254269400000000;09:00 - 09:30;true;false;true;9679;9680;9673;9691;9675;9691;1254274500000000;1254276300000000;true;11:00 - 11:30;10:30 - 11:00;9680;;false;;3.2;0.0;3.2;-0.4;0.0;1.0;1.8;-0.4;3.2;Strong Downtrend;Expansion;false;true;167;0.0
2009-10-01;9673;9662;9670;9663;9664;9670;true;11;9684;9638;9679;9638;9644;true;true;true;true;true;false;false;1254357300000000;1254360000000000;1254357300000000;09:30 - 10:00;true;false;false;9663;9671;9638;9684;9674;9684;1254357600000000;1254357600000000;false;09:30 - 10:00;09:30 - 10:00;9668;9647;false;false;2.0;1.1;2.0;-2.1;0.2;0.8;-1.6;-2.1;2.0;Contraction;Strong Downtrend;false;true;63;0.2
2009-10-02;9458;9449;9458;9449;9453;9449;false;9;9458;9437;9457;9440;9446;false;true;false;true;true;true;true;;1254441900000000;1254441900000000;09:00 - 09:30;false;true;true;9449;9454;9437;9458;;;;;false;;;9450;9445;false;false;;;-1.4;1.0;0.4;0.0;-0.4;-1.4;1.0;Strong Downtrend;Strong Downtrend;true;true;54;0.2
2009-10-05;9451;9433;9451;9437;9451;9444;false;18;9469;9440;9467;9442;9446;true;false;true;false;true;true;true;1254701100000000;;1254701100000000;09:00 - 09:30;true;true;false;9445;9454;9440;9469;9443;9469;1254701700000000;1254705600000000;true;10:00 - 10:30;09:00 - 09:30;9445;9462;false;false;2.0;0.6;2.0;0.4;1.0;0.7;0.8;0.4;2.0;Strong Uptrend;Expansion;true;true;57;0.3
2009-10-06;9551;9543;9551;9546;9551;9546;false;8;9557;9529;9556;9530;9541;true;true;true;true;true;false;false;1254790800000000;1254791400000000;1254790800000000;10:00 - 10:30;true;false;false;9542;9552;9529;9557;9539;9557;1254791700000000;1254797100000000;true;11:30 - 12:00;10:00 - 10:30;9546;9542;false;false;1.7;-0.5;1.8;-1.7;1.0;0.4;-0.2;-1.7;1.8;Strong Uptrend;Strong Uptrend;true;true;67;0.1
2009-10-07;9666;9662;9665;9662;9662;9665;true;4;9696;9645;9682;9648;9674;true;true;true;true;true;false;false;1254874500000000;1254874800000000;1254874500000000;09:00 - 09:30;true;false;true;9662;9667;9645;9696;9645;9696;1254881100000000;1254888600000000;true;13:00 - 13:30;11:00 - 11:30;9665;9671;false;false;8.5;-4.2;8.5;-4.2;0.0;0.8;3.0;-4.2;8.5;Strong Uptrend;Medium Downtrend;false;true;50;0.1
2009-10-08;9726;9717;9726;9717;9717;9718;true;9;9762;9710;9758;9712;9749;true;true;true;true;true;false;false;1254962100000000;1254960600000000;1254960600000000;09:00 - 09:30;false;false;false;9717;9720;9710;9762;9716;9710;1254960900000000;1254961500000000;false;09:00 - 09:30;09:00 - 09:30;9720;9747;true;false;-0.7;-0.2;-0.8;5.0;0.0;0.1;3.5;-0.8;5.0;Strong Uptrend;Medium Downtrend;false;false;39;0.2
2009-10-09;9753;9750;9753;9750;9750;9751;true;3;9762;9736;9757;9736;9747;true;true;true;true;true;false;false;1255050900000000;1255046700000000;1255046700000000;09:00 - 09:30;false;false;true;9748;9754;9736;9762;9762;9736;1255051200000000;1255056900000000;true;11:30 - 12:00;10:00 - 10:30;9752;9749;true;false;-4.6;4.0;-4.7;4.0;0.0;0.3;-1.0;-4.7;4.0;Medium Uptrend;Weak Downtrend;true;true;53;0.1
