date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;9630;9582;9626;9587;9613;9592;false;48;9664;9589;9662;9591;9662;true;false;true;false;true;true;true;1254133200000000;;1254133200000000;06:00 - 06:30;true;true;true;9589;9631;9628;9664;9628;9664;1254134100000000;1254140700000000;true;08:00 - 08:30;06:30 - 07:00;9604;9582;false;false;1.7;1.0;1.8;1.0;0.7;0.3;1.7;0.2;1.8;Expansion;;false;true;26;1.8
2009-09-29;9740;9713;9740;9717;9740;9719;false;27;9732;9706;9728;9711;9722;false;true;false;true;true;true;true;;1254216600000000;1254216600000000;05:30 - 06:00;false;true;false;9712;9727;9706;9732;9732;9706;1254219000000000;1254225900000000;true;08:00 - 08:30;06:00 - 06:30;9740;9731;false;false;-0.2;0.7;-0.3;0.7;1.0;0.2;0.3;-0.3;0.7;Medium Downtrend;Strong Uptrend;false;true;15;1.8
2009-09-30;9697;9685;9695;9687;9691;9689;false;12;9718;9686;9718;9691;9696;true;false;true;false;true;true;true;1254299700000000;;1254299700000000;04:30 - 05:00;true;true;false;9688;9697;9686;9718;9699;9718;1254300000000000;1254301800000000;false;05:00 - 05:30;04:30 - 05:00;9680;;false;;2.7;1.2;2.8;0.1;0.5;0.4;1.0;0.1;2.8;Medium Uptrend;Strong Downtrend;true;false;11;1.1
2009-10-01;9674;9639;9671;9640;9650;9662;true;35;9665;9607;9663;9608;9621;false;true;false;true;true;true;true;;1254386400000000;1254386400000000;04:30 - 05:00;false;true;true;9650;9665;9607;9643;9643;9607;1254387900000000;1254393600000000;true;06:30 - 07:00;05:00 - 05:30;9668;9647;true;true;-0.9;0.1;-1.0;0.1;0.3;0.6;-0.6;-1.0;0.7;Expansion;Contraction;true;false;11;3.2
2009-10-02;9459;9423;9451;9427;9444;9447;true;36;9459;9428;9457;9430;9430;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;9450;9445;true;false;;;;;0.5;0.6;0.1;0.1;1.0;Expansion;Strong Downtrend;false;true;21;1.7
2009-10-05;9471;9436;9470;9449;9455;9470;true;35;9487;9456;9484;9457;9457;true;false;true;false;true;true;true;1254729900000000;;1254729900000000;04:00 - 04:30;true;true;false;9469;9474;9456;9487;9480;9487;1254730200000000;1254730200000000;false;04:00 - 04:30;04:00 - 04:30;9445;9462;true;false;1.4;1.3;1.5;0.6;0.6;1.0;0.6;0.6;1.5;Weak Uptrend;Strong Uptrend;true;true;26;1.3
2009-10-06;9570;9542;9569;9547;9547;9564;true;28;9636;9563;9626;9564;9613;true;false;true;false;true;true;true;1254817200000000;;1254817200000000;04:00 - 04:30;true;true;true;9563;9571;9564;9636;9564;9636;1254818100000000;1254821100000000;true;05:00 - 05:30;04:30 - 05:00;9546;9542;true;false;3.3;0.8;3.4;0.8;0.2;0.8;2.6;0.8;3.4;Expansion;Strong Uptrend;true;false;8;3.5
2009-10-07;9702;9661;9700;9667;9684;9690;true;41;9701;9656;9699;9660;9666;false;true;false;true;true;true;true;;1254918000000000;1254918000000000;08:00 - 08:30;false;true;false;9656;9701;9658;9667;;;;;false;;;9665;9671;true;true;;;-0.1;0.1;0.5;0.7;0.1;-0.2;0.9;Weak Uptrend;Medium Uptrend;false;false;8;5.1
2009-10-08;9765;9750;9763;9754;9762;9763;true;15;9771;9734;9770;9737;9743;true;true;true;true;true;false;false;1254988800000000;1254992100000000;1254988800000000;04:00 - 04:30;true;false;false;;;9734;9770;9763;9770;1254989100000000;1254989100000000;true;04:00 - 04:30;04:00 - 04:30;9720;9747;false;false;1.3;0.9;1.4;-1.0;0.8;0.9;-0.4;-1.0;1.4;Strong Uptrend;Strong Uptrend;true;true;16;0.9
2009-10-09;9775;9721;9770;9722;9722;9763;true;54;9770;9706;9763;9713;9715;false;true;false;true;true;true;true;;1255082100000000;1255082100000000;05:30 - 06:00;false;true;true;9727;9770;9706;9750;9750;9706;1255086300000000;1255091100000000;true;08:00 - 08:30;07:00 - 07:30;9752;9749;false;false;-0.2;0.5;-0.3;0.5;0.0;0.7;-0.2;-0.3;0.9;Expansion;Medium Uptrend;true;false;10;5.4
2009-10-12;9822;9806;9821;9810;9818;9821;true;16;9876;9814;9875;9822;9853;true;false;true;false;true;true;true;1255334400000000;;1255334400000000;04:00 - 04:30;true;true;true;;;9822;9876;9822;9876;1255334700000000;1255345200000000;false;07:00 - 07:30;04:00 - 04:30;9831;9806;false;false;4.3;1.0;4.4;1.0;0.8;1.0;3.0;0.5;4.4;Contraction;Strong Uptrend;false;true;37;0.4
2009-10-13;9827;9799;9825;9799;9822;9804;false;28;9848;9791;9841;9794;9819;true;true;true;true;true;false;false;1255432200000000;1255425300000000;1255425300000000;05:00 - 05:30;false;false;false;9797;9822;9791;9848;9799;9791;1255425600000000;1255425600000000;false;05:00 - 05:30;05:00 - 05:30;9813;9821;false;false;-0.2;0.0;-0.3;1.7;0.8;0.1;0.7;-0.3;1.7;Expansion;Strong Downtrend;false;false;10;2.8
2009-10-14;9898;9882;9894;9884;9888;9890;true;16;9941;9881;9939;9882;9913;true;true;true;false;true;true;false;1255510500000000;;1255510500000000;04:30 - 05:00;true;true;true;9881;9895;9899;9941;9899;9941;1255510800000000;1255517700000000;false;06:30 - 07:00;05:00 - 05:30;9875;9887;false;true;3.6;1.1;3.7;1.1;0.4;0.5;2.0;-0.0;3.7;Strong Uptrend;Strong Uptrend;false;false;10;1.6
2009-10-15;9966;9947;9963;9948;9955;9949;false;19;9973;9906;9971;9909;9913;true;true;true;true;true;false;false;1255604700000000;1255605600000000;1255604700000000;07:00 - 07:30;true;false;false;9943;9965;9906;9973;9964;9973;1255605000000000;1255605000000000;true;07:00 - 07:30;07:00 - 07:30;9959;9953;true;false;1.3;0.9;1.4;-2.1;0.5;0.2;-1.7;-2.1;1.4;Weak Downtrend;Strong Uptrend;false;true;11;1.7
2009-10-16;10004;9970;9998;9970;9970;9984;true;34;9990;9891;9990;9898;9903;false;true;false;true;true;true;true;;1255689000000000;1255689000000000;06:30 - 07:00;false;true;true;9972;9990;9891;9969;9969;9891;1255689300000000;1255695600000000;false;08:00 - 08:30;06:30 - 07:00;9976;9968;false;false;-2.3;-0.1;-2.4;-0.1;0.0;0.4;-2.0;-2.4;0.5;Expansion;Strong Uptrend;false;true;14;2.4
2009-10-19;9978;9937;9975;9938;9938;9972;true;41;9978;9960;9975;9961;9973;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;9908;9906;false;false;;;;;0.0;0.8;0.8;0.5;1.0;Strong Uptrend;Medium Downtrend;true;true;32;1.3
2009-10-20;10055;10017;10054;10020;10054;10020;false;38;10070;9994;10063;10003;10042;true;true;true;true;true;false;false;1256038200000000;1256025900000000;1256025900000000;04:00 - 04:30;false;false;false;10012;10020;9994;10070;10008;9994;1256026200000000;1256026500000000;false;04:00 - 04:30;04:00 - 04:30;10034;10036;false;false;-0.6;-0.3;-0.7;1.3;0.9;0.0;0.6;-0.7;1.3;Expansion;Strong Uptrend;true;false;7;5.4
2009-10-21;10016;9986;10016;9993;10001;9994;false;30;9994;9927;9993;9935;9965;false;true;false;true;true;true;true;;1256112300000000;1256112300000000;04:00 - 04:30;false;true;true;9987;9994;9927;9986;9986;9927;1256115300000000;1256125200000000;false;07:30 - 08:00;04:30 - 05:00;9987;9982;true;false;-1.9;0.0;-2.0;0.0;0.5;0.2;-0.7;-2.0;0.2;Weak Uptrend;Contraction;false;false;12;2.5
2009-10-22;9914;9878;9912;9881;9900;9903;true;36;9935;9861;9932;9863;9923;true;true;true;true;true;false;false;1256212800000000;1256200800000000;1256200800000000;04:30 - 05:00;false;false;false;9881;9902;9862;9935;9867;9862;1256201100000000;1256201100000000;false;04:30 - 05:00;04:30 - 05:00;9901;9888;false;true;-0.4;-0.4;-0.5;1.5;0.6;0.6;1.2;-0.5;1.5;Expansion;Strong Downtrend;true;false;16;2.3
2009-10-23;10065;10039;10063;10040;10045;10061;true;26;10063;10026;10061;10029;10046;false;true;false;true;true;true;true;;1256288100000000;1256288100000000;04:30 - 05:00;false;true;false;10035;10063;10026;10056;10036;10026;1256288400000000;1256288400000000;false;05:00 - 05:30;05:00 - 05:30;10059;10060;false;false;-0.5;-0.2;-0.5;0.6;0.2;0.8;0.2;-0.5;0.9;Expansion;Strong Uptrend;false;false;11;2.4
2009-10-26;9967;9942;9966;9944;9958;9966;true;25;9975;9934;9973;9935;9952;true;true;true;true;true;false;false;1256544000000000;1256555700000000;1256544000000000;04:00 - 04:30;true;false;false;;;9934;9974;9968;9974;1256544300000000;1256544300000000;false;04:00 - 04:30;04:00 - 04:30;9923;9944;false;true;1.2;1.1;1.3;-0.3;0.7;1.0;0.4;-0.3;1.4;Strong Uptrend;Strong Downtrend;true;true;12;2.1
2009-10-27;9853;9834;9850;9840;9846;9845;false;19;9872;9825;9872;9829;9832;true;true;true;true;true;false;false;1256639100000000;1256632800000000;1256632800000000;04:30 - 05:00;false;false;true;9832;9858;9825;9872;9849;9825;1256634000000000;1256635500000000;true;05:00 - 05:30;05:00 - 05:30;9830;9834;false;false;-0.4;0.7;-0.5;2.0;0.6;0.5;-0.2;-0.5;2.0;Medium Uptrend;Strong Downtrend;false;true;21;0.9
2009-10-28;9850;9833;9846;9835;9842;9841;false;17;9844;9760;9840;9772;9799;false;true;false;true;true;true;true;;1256716800000000;1256716800000000;04:00 - 04:30;false;true;true;;;9760;9831;9831;9760;1256717100000000;1256732700000000;false;08:00 - 08:30;04:00 - 04:30;9855;9832;false;false;-4.2;-0.2;-4.3;-0.2;0.5;0.4;-2.0;-4.3;0.6;Strong Downtrend;Contraction;false;true;6;2.8
2009-10-29;9746;9722;9744;9723;9723;9741;true;24;9759;9724;9757;9729;9740;true;false;true;false;true;true;true;1256804100000000;;1256804100000000;04:00 - 04:30;true;true;false;9724;9744;9726;9759;9734;9759;1256806200000000;1256814600000000;true;07:00 - 07:30;04:30 - 05:00;9710;9723;false;false;1.5;0.5;1.6;0.2;0.1;0.8;0.8;0.1;1.6;Strong Uptrend;Strong Downtrend;true;true;12;2.0
2009-10-30;9892;9880;9889;9880;9888;9883;false;12;9895;9850;9891;9857;9872;true;true;false;true;true;true;false;;1256889900000000;1256889900000000;04:00 - 04:30;false;true;true;9874;9883;9850;9895;9878;9850;1256890200000000;1256890800000000;false;04:00 - 04:30;04:00 - 04:30;9897;9899;false;false;-2.5;-0.2;-2.5;1.2;0.6;0.2;-0.7;-2.5;1.2;Medium Downtrend;Strong Uptrend;false;true;18;0.7
2009-11-02;9731;9680;9728;9691;9710;9728;true;51;9733;9700;9728;9702;9708;true;false;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;9682;9694;true;true;;;;;0.5;0.9;0.5;0.3;1.0;Medium Uptrend;Strong Downtrend;true;true;28;1.8
2009-11-03;9716;9678;9714;9682;9714;9683;false;38;9698;9627;9696;9635;9693;false;true;false;true;true;true;true;;1257240600000000;1257240600000000;04:30 - 05:00;false;true;false;9682;9698;9627;9697;9675;9627;1257240900000000;1257246900000000;false;06:00 - 06:30;04:30 - 05:00;9745;9749;false;false;-1.3;-0.1;-1.4;0.5;0.9;0.1;0.3;-1.4;0.5;Strong Downtrend;Contraction;false;true;33;1.2
2009-11-04;9778;9747;9776;9754;9755;9773;true;31;9787;9758;9786;9764;9782;true;false;true;false;true;true;true;1257327900000000;;1257327900000000;04:30 - 05:00;true;true;true;9769;9780;9758;9787;9773;9787;1257329700000000;1257330900000000;true;05:30 - 06:00;05:00 - 05:30;9731;9751;false;true;1.2;0.9;1.3;0.4;0.3;0.9;1.2;0.4;1.3;Strong Uptrend;Contraction;false;false;8;3.9
2009-11-05;9761;9723;9760;9727;9748;9727;false;38;9802;9722;9799;9727;9798;true;true;true;false;true;true;false;1257413400000000;;1257413400000000;04:30 - 05:00;true;true;true;9722;9756;9763;9802;9763;9802;1257416700000000;1257425100000000;false;07:30 - 08:00;05:00 - 05:30;9767;9747;false;false;2.0;1.1;2.1;1.1;0.7;0.2;2.0;-0.0;2.1;Strong Downtrend;Medium Downtrend;false;true;25;1.5
2009-11-06;9975;9932;9974;9938;9938;9974;true;43;9998;9942;9986;9947;9986;true;false;true;false;true;true;true;1257513900000000;;1257513900000000;08:00 - 08:30;true;true;true;9942;9978;;;;;;;false;;;9948;9939;false;false;;;;;0.2;1.0;1.3;0.3;1.6;Expansion;Strong Uptrend;true;false;6;7.2
