date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2009-09-28;9705;9634;9703;9638;9638;9696;true;71;9764;9697;9763;9697;9725;true;false;true;false;true;true;true;1254146400000000;;1254146400000000;10:00 - 10:15;true;true;true;;;9705;9764;9708;9764;1254146700000000;1254159600000000;false;13:30 - 13:45;10:00 - 10:15;9604;9582;false;false;1.8;1.9;1.1;1.1;1.9;1.0;0.1;0.9;1.3;0.9;1.9;Strong Uptrend;Medium Uptrend;false;false;21;3.4
2009-09-29;9775;9724;9768;9736;9736;9768;true;51;9767;9678;9767;9679;9679;false;true;false;true;true;true;true;;1254232800000000;1254232800000000;10:00 - 10:15;false;true;true;;;9678;9739;9739;9678;1254233400000000;1254239100000000;true;11:45 - 12:00;10:00 - 10:15;9740;9731;false;true;-0.9;-1.8;0.2;0.0;-1.0;0.2;0.2;0.8;-0.9;-1.0;0.8;Weak Uptrend;Medium Downtrend;false;true;25;2.0
2009-09-30;9711;9544;9702;9555;9702;9555;false;167;9720;9546;9705;9552;9645;true;false;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;9680;;false;;;;;;;;0.9;0.0;0.6;0.0;1.0;Expansion;Strong Uptrend;true;true;11;15.2
2009-10-01;9636;9573;9633;9579;9633;9586;false;63;9618;9438;9584;9443;9443;false;true;false;true;true;true;true;;1254405600000000;1254405600000000;10:00 - 10:15;false;true;true;;;9438;9556;9556;9438;1254408000000000;1254426900000000;false;15:45 - 16:00;10:30 - 10:45;9668;9647;false;false;-2.1;-2.6;-0.3;-0.5;-2.2;-0.3;0.9;0.2;-2.1;-2.2;0.7;Strong Downtrend;Weak Downtrend;false;true;32;2.0
2009-10-02;9414;9360;9402;9361;9361;9394;true;54;9466;9375;9461;9389;9425;true;false;true;false;true;true;true;1254493200000000;;1254493200000000;10:15 - 10:30;true;true;true;9375;9422;9407;9466;9407;9466;1254498000000000;1254503400000000;true;13:00 - 13:15;11:30 - 11:45;9450;9445;false;false;1.9;2.5;0.9;1.2;2.0;0.9;0.1;0.7;1.3;0.3;2.0;Strong Downtrend;Expansion;false;true;25;2.2
2009-10-05;9476;9419;9473;9435;9449;9469;true;57;9568;9424;9559;9435;9541;true;false;true;false;true;true;true;1254753300000000;;1254753300000000;10:30 - 10:45;true;true;true;9424;9488;9471;9568;9471;9568;1254754200000000;1254768900000000;true;14:45 - 15:00;10:45 - 11:00;9445;9462;true;false;2.6;3.5;1.0;1.0;2.7;1.0;0.6;0.9;2.2;0.1;2.7;Expansion;Weak Uptrend;true;true;26;2.2
2009-10-06;9661;9594;9655;9596;9596;9651;true;67;9717;9605;9707;9614;9668;true;false;true;false;true;true;true;1254838800000000;;1254838800000000;10:15 - 10:30;true;true;true;9645;9667;9605;9717;9644;9717;1254839400000000;1254841800000000;true;11:00 - 11:15;10:30 - 10:45;9546;9542;false;false;1.8;2.0;0.8;0.9;1.9;0.2;0.1;0.9;1.2;0.2;1.9;Strong Uptrend;Expansion;true;true;23;2.9
2009-10-07;9679;9629;9666;9632;9656;9654;false;50;9687;9621;9678;9623;9669;true;true;false;true;true;true;false;;1254930900000000;1254930900000000;11:45 - 12:00;false;true;false;9633;9687;9621;9673;9658;9621;1254934800000000;1254939000000000;true;14:00 - 14:15;13:00 - 13:15;9665;9671;true;true;-0.1;-0.3;0.5;0.7;-0.2;0.8;0.5;0.5;0.8;-0.2;1.1;Medium Downtrend;Expansion;false;true;41;1.2
2009-10-08;9752;9713;9747;9719;9731;9719;false;39;9783;9692;9780;9706;9728;true;true;true;true;true;false;false;1255015200000000;1255010700000000;1255010700000000;10:00 - 10:15;false;false;false;9698;9721;9704;9783;9721;9704;1255011000000000;1255011000000000;true;10:00 - 10:15;10:00 - 10:15;9720;9747;false;true;-0.2;-0.5;0.2;0.0;-0.3;1.7;0.4;0.1;0.3;-0.6;1.7;Medium Downtrend;Strong Uptrend;true;false;13;3.0
2009-10-09;9761;9708;9759;9722;9730;9759;true;53;9809;9742;9807;9750;9807;true;false;true;false;true;true;true;1255098600000000;;1255098600000000;10:30 - 10:45;true;true;true;9742;9769;9748;9809;9748;9809;1255099500000000;1255118100000000;true;15:45 - 16:00;10:45 - 11:00;9752;9749;false;false;1.9;2.3;0.8;0.8;2.0;0.8;0.5;1.0;1.9;0.7;2.0;Weak Downtrend;Expansion;false;true;54;1.0
