date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;77.09;76.785;77.075;76.785;76.785;76.935;true;0.305;77.315;76.555;77.265;76.565;77.23;true;true;true;true;true;false;false;1254113700000000;1254098100000000;1254098100000000;09:30 - 10:00;false;false;false;76.885;76.995;76.555;77.315;76.91;76.555;1254100500000000;1254101700000000;true;10:30 - 11:00;10:00 - 10:30;-0.7;0.4;-0.8;1.7;0.0;0.4;1.4;-0.8;1.7
2009-09-29;78.605;78.27;78.505;78.27;78.27;78.39;true;0.335;78.805;78.31;78.765;78.375;78.7;true;false;true;false;true;true;true;1254185400000000;;1254185400000000;09:30 - 10:00;true;true;true;78.31;78.47;78.43;78.805;78.43;78.805;1254189300000000;1254195600000000;true;12:30 - 13:00;10:30 - 11:00;1.5;0.5;1.6;0.5;0.0;0.4;1.3;0.2;1.6
2009-09-30;79.045;78.645;79.025;78.68;78.685;79.025;true;0.4;79.07;78.58;79.025;78.66;78.82;true;true;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;0.1;0.9;0.4;-0.2;1.0
2009-10-01;79.535;79.365;79.485;79.395;79.485;79.405;false;0.17;79.565;79.125;79.545;79.155;79.26;true;true;true;true;true;false;false;1254357900000000;1254358800000000;1254357900000000;09:30 - 10:00;true;false;false;79.365;79.555;79.125;79.565;79.41;79.565;1254358200000000;1254358200000000;true;09:30 - 10:00;09:30 - 10:00;1.1;0.3;1.2;-1.4;0.8;0.3;-0.6;-1.4;1.2
2009-10-02;77.86;77.515;77.86;77.585;77.86;77.705;false;0.345;77.96;77.555;77.935;77.585;77.835;true;false;true;false;true;true;true;1254448500000000;;1254448500000000;10:30 - 11:00;true;true;false;77.555;77.865;77.6;77.96;77.84;77.96;1254449100000000;1254449700000000;true;11:00 - 11:30;11:00 - 11:30;1.2;1.0;1.3;0.3;1.0;0.6;1.0;0.2;1.3
2009-10-05;78.195;77.65;78.14;77.665;77.74;78.14;true;0.545;78.615;78.14;78.565;78.14;78.435;true;false;true;false;true;true;true;1254702600000000;;1254702600000000;09:30 - 10:00;true;true;true;;;78.2;78.615;78.2;78.615;1254703500000000;1254705000000000;false;10:00 - 10:30;09:30 - 10:00;1.7;1.1;1.8;1.1;0.2;0.9;1.5;0.9;1.8
2009-10-06;78.645;78.485;78.635;78.49;78.55;78.54;false;0.16;79.01;77.98;78.965;77.985;78.92;true;true;true;true;true;false;false;1254799800000000;1254789000000000;1254789000000000;09:30 - 10:00;false;false;false;;;77.98;79.01;78.49;77.98;1254789300000000;1254799500000000;true;12:00 - 12:30;09:30 - 10:00;-3.1;0.0;-3.2;3.2;0.4;0.3;2.7;-3.2;3.2
2009-10-07;79.15;78.94;79.11;78.965;78.99;78.985;false;0.21;79.1;78.855;79.05;78.865;78.955;false;true;false;true;true;true;true;;1254879000000000;1254879000000000;10:30 - 11:00;false;true;false;78.915;79.1;78.855;79.06;78.93;78.855;1254879300000000;1254879900000000;false;10:30 - 11:00;10:30 - 11:00;-0.4;-0.1;-0.5;0.5;0.2;0.2;0.0;-0.5;0.7
2009-10-08;79.125;78.99;79.09;79.02;79.04;79.02;false;0.135;79.765;79.015;79.735;79.015;79.585;true;false;true;false;true;true;true;1254961800000000;;1254961800000000;09:30 - 10:00;true;true;true;;;79.4;79.765;79.4;79.765;1254962100000000;1254968100000000;false;11:00 - 11:30;09:30 - 10:00;5.7;3.1;5.8;3.1;0.4;0.3;4.5;0.2;5.8
2009-10-09;80.285;80.095;80.23;80.14;80.14;80.22;true;0.19;80.76;80.18;80.74;80.185;80.585;true;false;true;false;true;true;true;1255050900000000;;1255050900000000;10:00 - 10:30;true;true;true;80.18;80.31;80.3;80.76;80.3;80.76;1255051500000000;1255061700000000;false;13:00 - 13:30;10:00 - 10:30;3.5;1.1;3.6;1.1;0.3;0.7;2.6;0.5;3.6
