date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2009-09-28;77.585;77.26;77.57;77.295;77.325;77.56;True;78.255;77.52;78.235;77.56;78.045;11:40:00;12:25:00;True;False;True;False;True;True;True;2009-09-28 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;77.56;77.56;78.255;77.52;11:40:00;10:50:00;78.255;77.52;True;True;11:30 - 12:00;10:30 - 11:00;0.2;0.9;3.0;0.8;2.4;1.0;0.9;0.8;3.0;3.0;0.8
2009-09-29;78.7;78.22;78.585;78.3;78.505;78.37;False;78.79;78.36;78.78;78.37;78.54;13:20:00;13:00:00;True;False;True;False;True;True;True;2009-09-29 12:50:00-04:00;;12:50:00;12:30 - 13:00;True;True;False;78.725;78.36;78.79;78.515;13:20:00;12:55:00;78.79;78.685;True;False;13:00 - 13:30;12:30 - 13:00;0.5;0.3;1.1;0.3;0.6;0.3;1.0;0.7;1.1;1.1;1.0
2009-09-30;79.275;78.555;79.245;78.615;79.225;78.82;False;79.38;78.775;79.345;78.825;79.185;13:25:00;13:25:00;True;False;True;False;True;True;True;2009-09-30 13:00:00-04:00;;13:00:00;13:00 - 13:30;True;True;False;79.245;78.775;79.38;79.02;13:25:00;13:10:00;79.38;79.215;True;True;13:00 - 13:30;13:00 - 13:30;0.9;0.3;1.1;0.4;0.8;0.4;0.9;0.7;1.1;1.1;1.0
2009-10-01;78.88;78.515;78.88;78.645;78.88;78.675;False;78.76;77.88;78.715;77.925;77.925;10:35:00;10:40:00;False;True;False;True;True;True;True;;2009-10-01 10:45:00-04:00;10:45:00;10:30 - 11:00;False;True;True;78.76;78.635;78.685;77.88;15:55:00;10:55:00;77.88;78.685;True;True;15:30 - 16:00;10:30 - 11:00;1.0;0.4;0.6;-1.7;-1.7;0.4;0.6;-1.7;0.4;-1.7;0.4
2009-10-02;77.405;76.61;77.38;76.62;76.62;77.38;True;77.9;77.23;77.85;77.255;77.475;11:05:00;11:30:00;True;False;True;False;True;True;True;2009-10-02 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;77.38;77.38;77.9;77.23;11:05:00;10:55:00;77.9;77.23;True;True;11:00 - 11:30;10:30 - 11:00;0.0;0.9;1.6;0.8;1.0;1.0;0.9;0.8;1.6;1.6;0.8
2009-10-05;78.515;78.285;78.47;78.335;78.455;78.44;False;78.735;78.245;78.72;78.275;78.52;12:45:00;12:45:00;True;True;True;True;True;False;False;2009-10-05 11:50:00-04:00;2009-10-05 10:50:00-04:00;10:50:00;10:30 - 11:00;False;False;False;78.46;78.285;78.735;78.245;11:00:00;10:55:00;78.245;78.375;True;True;11:00 - 11:30;10:30 - 11:00;0.7;0.6;1.9;-0.1;1.0;0.0;0.7;-0.1;1.9;-0.1;0.3
2009-10-06;79.07;78.81;79.045;78.815;78.985;79.045;True;79.255;78.795;79.255;78.825;78.99;11:10:00;11:10:00;True;True;True;False;True;True;False;2009-10-06 10:55:00-04:00;;10:55:00;10:30 - 11:00;True;True;False;79.085;78.995;79.255;78.795;11:10:00;11:00:00;79.255;79.055;True;False;11:00 - 11:30;11:00 - 11:30;0.6;0.9;1.7;0.0;0.6;0.8;1.0;0.0;1.7;1.7;1.0
2009-10-07;79.41;79.03;79.34;79.07;79.31;79.225;False;79.225;78.58;79.225;78.615;78.835;10:30:00;10:45:00;False;True;False;True;True;True;True;;2009-10-07 11:15:00-04:00;11:15:00;11:00 - 11:30;False;True;True;79.225;79.03;79.015;78.58;14:10:00;11:20:00;78.58;79.015;False;False;14:00 - 14:30;11:00 - 11:30;0.7;0.5;0.5;-1.1;-0.6;0.0;0.5;-1.1;-0.1;-1.1;-0.1
2009-10-08;79.985;79.725;79.955;79.8;79.925;79.955;True;80.315;79.845;80.27;79.85;80.1;11:40:00;11:35:00;True;False;True;False;True;True;True;2009-10-08 11:05:00-04:00;;11:05:00;11:00 - 11:30;True;True;True;79.965;79.845;80.315;79.95;11:40:00;11:10:00;80.315;79.95;True;True;11:30 - 12:00;11:00 - 11:30;0.7;0.8;2.2;0.5;1.4;0.5;0.9;0.9;2.2;2.2;0.9
2009-10-09;81.035;80.71;81.01;80.74;80.76;80.945;True;81.215;80.81;81.21;80.84;81.115;15:10:00;15:10:00;True;False;True;False;True;True;True;2009-10-09 11:45:00-04:00;;11:45:00;11:30 - 12:00;True;True;True;81.055;80.81;81.215;80.855;15:10:00;12:20:00;81.215;80.855;True;True;15:00 - 15:30;12:00 - 12:30;0.1;0.7;1.5;0.4;1.2;0.4;1.0;0.5;1.5;1.5;0.5
