date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;77.435;77.2;77.405;77.235;77.245;77.405;true;0.235;77.665;77.14;77.665;77.16;77.665;true;true;true;true;true;false;false;1254126900000000;1254123300000000;1254123300000000;03:30 - 04:00;false;false;false;77.24;77.405;77.14;77.665;77.47;77.14;1254126900000000;1254132600000000;true;06:00 - 06:30;04:30 - 05:00;-0.2;1.1;-0.3;1.9;0.1;0.8;1.9;-0.3;1.9
2009-09-29;78.735;78.42;78.71;78.44;78.71;78.44;false;0.315;78.68;78.185;78.625;78.22;78.405;false;true;false;true;true;true;true;;1254209400000000;1254209400000000;03:30 - 04:00;false;true;true;;;78.185;78.68;78.515;78.185;1254210600000000;1254216300000000;true;05:00 - 05:30;03:30 - 04:00;-0.7;0.3;-0.8;0.8;0.9;0.0;-0.1;-0.8;0.8
2009-09-30;78.95;78.875;78.935;78.915;78.925;78.92;false;0.075;79.155;78.705;79.15;78.79;79.015;true;true;true;true;true;false;false;1254295800000000;1254299400000000;1254295800000000;03:30 - 04:00;true;false;true;;;78.705;79.155;78.705;79.155;1254300000000000;1254305100000000;true;06:00 - 06:30;04:30 - 05:00;3.7;-2.2;3.8;-2.2;0.7;0.6;1.9;-2.2;3.8
2009-10-01;79.44;79.185;79.385;79.225;79.225;79.375;true;0.255;79.49;78.925;79.475;78.96;79.085;true;true;true;true;true;false;false;1254382500000000;1254390900000000;1254382500000000;03:30 - 04:00;true;false;false;79.34;79.435;78.925;79.49;79.455;79.49;1254382800000000;1254382800000000;false;03:30 - 04:00;03:30 - 04:00;1.1;1.1;1.2;-1.0;0.2;0.8;-0.3;-1.0;1.2
2009-10-02;77.87;77.525;77.855;77.525;77.805;77.525;false;0.345;77.665;76.945;77.625;76.965;77.15;false;true;false;true;true;true;true;;1254468900000000;1254468900000000;03:30 - 04:00;false;true;true;77.48;77.545;76.945;77.665;77.665;76.945;1254470100000000;1254481200000000;true;07:00 - 07:30;03:30 - 04:00;-1.6;0.4;-1.7;0.4;0.8;0.0;-1.1;-1.7;0.4
2009-10-05;78.51;78.365;78.495;78.4;78.495;78.43;false;0.145;78.7;78.34;78.695;78.35;78.485;true;true;true;true;true;false;false;1254729900000000;1254728400000000;1254728400000000;03:30 - 04:00;false;false;false;78.37;78.485;78.34;78.7;78.43;78.34;1254728700000000;1254728700000000;true;03:30 - 04:00;03:30 - 04:00;-0.1;0.4;-0.2;2.3;0.8;0.4;0.8;-0.2;2.3
2009-10-06;79.18;79.005;79.13;79.03;79.13;79.045;false;0.175;79.2;78.88;79.2;78.93;79.2;true;true;true;true;true;false;false;1254831900000000;1254817500000000;1254817500000000;04:00 - 04:30;false;false;false;78.995;79.185;78.88;79.2;78.99;78.88;1254817800000000;1254818100000000;false;04:30 - 05:00;04:30 - 05:00;-0.7;-0.1;-0.8;1.1;0.7;0.2;1.1;-0.8;1.1
2009-10-07;78.985;78.715;78.955;78.75;78.825;78.9;true;0.27;79.235;78.62;79.215;78.68;79.185;true;true;true;true;true;false;false;1254913200000000;1254903900000000;1254903900000000;04:00 - 04:30;false;false;false;78.68;78.945;78.62;79.235;78.96;78.62;1254908100000000;1254912000000000;true;06:30 - 07:00;05:30 - 06:00;-0.3;0.9;-0.4;1.9;0.4;0.6;1.7;-0.4;1.9
2009-10-08;79.825;79.67;79.765;79.715;79.715;79.715;false;0.155;80.015;79.695;79.97;79.695;79.795;true;false;true;false;true;true;true;1254989100000000;;1254989100000000;04:00 - 04:30;true;true;false;79.715;79.83;79.695;80.015;79.695;80.015;1254991500000000;1254997800000000;true;06:30 - 07:00;04:30 - 05:00;2.2;0.2;2.3;0.2;0.3;0.3;0.9;0.2;2.3
2009-10-09;80.86;80.53;80.8;80.54;80.55;80.8;true;0.33;80.84;80.225;80.805;80.255;80.49;false;true;false;true;true;true;true;;1255077900000000;1255077900000000;04:30 - 05:00;false;true;true;80.515;80.84;80.225;80.57;80.525;80.225;1255078800000000;1255082400000000;false;06:00 - 06:30;05:00 - 05:30;-0.9;-0.1;-1.0;0.1;0.0;0.8;-0.2;-1.0;0.9
