date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2009-09-28;77.435;77.15;77.405;77.19;77.245;77.2;False;77.665;77.14;77.665;77.16;77.665;08:20:00;08:25:00;True;True;True;False;True;True;False;2009-09-28 04:35:00-04:00;;04:35:00;04:30 - 05:00;True;True;True;77.455;77.155;77.665;77.14;08:20:00;06:10:00;77.665;77.14;True;True;08:00 - 08:30;06:00 - 06:30;0.3;0.1;1.8;0.0;1.8;0.1;1.0;0.0;1.8;1.8;0.0
2009-09-29;78.735;78.31;78.71;78.355;78.71;78.355;False;78.68;78.185;78.625;78.22;78.405;06:30:00;06:35:00;False;True;False;True;True;True;True;;2009-09-29 05:20:00-04:00;05:20:00;05:00 - 05:30;False;True;False;78.51;78.315;78.68;78.185;05:25:00;05:25:00;78.185;78.255;False;False;05:00 - 05:30;05:00 - 05:30;0.9;0.1;0.8;-0.2;0.2;0.1;0.4;-0.2;0.8;-0.2;-0.2
2009-09-30;79.01;78.875;78.98;78.905;78.925;78.92;False;79.155;78.705;79.15;78.79;79.015;06:05:00;06:05:00;True;True;True;True;True;False;False;2009-09-30 04:10:00-04:00;2009-09-30 04:30:00-04:00;04:10:00;04:00 - 04:30;True;False;True;79.005;78.91;79.155;78.705;06:05:00;04:40:00;79.155;78.705;True;True;06:00 - 06:30;04:30 - 05:00;0.3;0.3;2.0;-1.2;1.0;0.3;0.9;-1.2;2.0;2.0;-1.2
2009-10-01;79.49;79.185;79.475;79.225;79.225;79.295;True;79.475;78.925;79.43;78.96;79.085;04:30:00;04:25:00;False;True;False;True;True;True;True;;2009-10-01 05:55:00-04:00;05:55:00;05:30 - 06:00;False;True;True;79.475;79.195;79.23;78.925;07:00:00;06:00:00;78.925;79.23;True;True;07:00 - 07:30;06:00 - 06:30;0.1;0.3;0.9;-0.8;-0.4;0.1;0.9;-0.8;0.1;-0.8;0.1
2009-10-02;77.87;77.465;77.855;77.51;77.805;77.6;False;77.61;76.945;77.595;76.965;77.15;04:00:00;05:10:00;False;True;False;True;True;True;True;;2009-10-02 04:00:00-04:00;04:00:00;04:00 - 04:30;False;True;True;77.6;77.6;77.48;76.945;07:00:00;05:10:00;76.945;77.48;True;False;07:00 - 07:30;05:00 - 05:30;0.8;0.3;0.3;-1.2;-0.8;0.4;0.3;-1.2;0.0;-1.2;0.0
2009-10-05;78.51;78.34;78.495;78.35;78.495;78.41;False;78.7;78.395;78.695;78.41;78.485;06:50:00;06:50:00;True;False;True;False;True;True;True;2009-10-05 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;False;78.495;78.395;78.7;78.44;06:50:00;05:00:00;78.7;78.44;True;True;06:30 - 07:00;05:00 - 05:30;0.9;0.4;2.1;0.4;0.8;0.4;0.9;0.6;2.1;2.1;0.6
2009-10-06;79.185;78.995;79.175;79.015;79.13;79.15;True;79.2;78.88;79.2;78.93;79.2;08:20:00;08:25:00;True;True;True;True;True;False;False;2009-10-06 08:25:00-04:00;2009-10-06 04:25:00-04:00;04:25:00;04:00 - 04:30;False;False;False;79.17;78.995;79.2;78.88;04:35:00;04:30:00;78.88;78.99;False;False;04:30 - 05:00;04:30 - 05:00;0.7;0.8;1.0;-0.6;1.0;0.0;0.9;-0.6;1.0;-0.6;-0.1
2009-10-07;78.985;78.68;78.955;78.72;78.825;78.72;False;79.235;78.62;79.215;78.68;79.185;08:15:00;08:20:00;True;True;True;False;True;True;False;2009-10-07 07:00:00-04:00;;07:00:00;07:00 - 07:30;True;True;True;79.085;78.62;79.235;78.96;08:15:00;07:05:00;79.235;78.96;True;False;08:00 - 08:30;07:00 - 07:30;0.4;0.1;1.8;-0.1;1.6;-0.1;1.3;1.0;1.8;1.8;1.0
2009-10-08;79.83;79.67;79.79;79.715;79.715;79.78;True;80.015;79.695;79.97;79.695;79.795;06:30:00;06:30:00;True;False;True;False;True;True;True;2009-10-08 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;False;79.825;79.765;80.015;79.695;06:30:00;04:45:00;80.015;79.695;True;True;06:30 - 07:00;04:30 - 05:00;0.2;0.6;2.1;0.2;0.7;0.6;0.9;0.2;2.1;2.1;0.2
2009-10-09;80.86;80.53;80.805;80.54;80.55;80.665;True;80.72;80.225;80.675;80.255;80.49;04:05:00;04:00:00;False;True;False;True;True;True;True;;2009-10-09 04:45:00-04:00;04:45:00;04:30 - 05:00;False;True;True;80.72;80.515;80.57;80.225;06:00:00;05:00:00;80.225;80.525;False;False;06:00 - 06:30;05:00 - 05:30;0.0;0.4;0.5;-0.9;-0.2;0.0;0.5;-0.9;0.1;-0.9;-0.1
2009-10-12;81.355;81.075;81.34;81.13;81.285;81.265;False;81.865;81.255;81.845;81.27;81.575;06:00:00;06:00:00;True;False;True;False;True;True;True;2009-10-12 04:15:00-04:00;;04:15:00;04:00 - 04:30;True;True;True;81.355;81.255;81.865;81.35;06:00:00;04:20:00;81.865;81.35;True;False;06:00 - 06:30;04:00 - 04:30;0.7;0.6;2.8;0.7;1.7;0.7;1.0;1.0;2.8;2.8;1.0
2009-10-13;81.765;81.445;81.7;81.48;81.695;81.51;False;81.695;81.32;81.665;81.355;81.355;07:15:00;07:15:00;False;True;False;True;True;True;True;;2009-10-13 04:30:00-04:00;04:30:00;04:30 - 05:00;False;True;True;81.635;81.435;81.695;81.32;08:25:00;07:15:00;81.32;81.695;True;True;08:00 - 08:30;07:00 - 07:30;0.7;0.2;0.7;-0.3;-0.3;0.0;0.5;-0.3;0.7;-0.3;0.7
2009-10-14;81.58;81.395;81.575;81.405;81.405;81.56;True;82.005;81.46;81.98;81.485;81.75;07:25:00;07:35:00;True;False;True;False;True;True;True;2009-10-14 04:20:00-04:00;;04:20:00;04:00 - 04:30;True;True;True;81.605;81.49;82.005;81.46;07:25:00;05:00:00;82.005;81.46;True;True;07:00 - 07:30;05:00 - 05:30;0.0;0.8;3.2;0.4;1.9;0.6;1.1;0.4;3.2;3.2;0.4
2009-10-15;82.525;82.375;82.48;82.4;82.465;82.445;False;82.915;82.425;82.89;82.45;82.72;07:05:00;07:05:00;True;False;True;False;True;True;True;2009-10-15 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;True;82.485;82.425;82.915;82.505;07:05:00;04:10:00;82.915;82.545;False;False;07:00 - 07:30;04:00 - 04:30;0.5;0.4;3.5;0.4;2.2;0.4;0.7;0.9;3.5;3.5;1.2
2009-10-16;83.945;83.56;83.895;83.57;83.59;83.895;True;84.1;83.245;84.065;83.355;83.355;05:05:00;04:40:00;True;True;True;True;True;False;False;2009-10-16 04:30:00-04:00;2009-10-16 08:15:00-04:00;04:30:00;04:30 - 05:00;True;False;False;83.94;83.715;84.1;83.245;05:05:00;04:50:00;84.1;83.94;True;False;05:00 - 05:30;04:30 - 05:00;0.0;0.8;1.4;-0.8;-0.6;0.5;0.9;-0.8;1.4;1.4;1.0
2009-10-19;83.56;83.28;83.545;83.33;83.33;83.545;True;83.83;83.275;83.815;83.285;83.695;07:25:00;07:25:00;True;True;True;False;True;True;False;2009-10-19 05:45:00-04:00;;05:45:00;05:30 - 06:00;True;True;True;83.555;83.275;83.83;83.54;07:25:00;05:55:00;83.83;83.54;True;True;07:00 - 07:30;05:30 - 06:00;0.1;0.9;1.9;0.0;1.4;0.0;0.9;1.0;1.9;1.9;1.0
2009-10-20;83.655;83.45;83.635;83.5;83.635;83.565;False;84.105;83.47;84.085;83.475;83.96;07:30:00;08:05:00;True;False;True;False;True;True;True;2009-10-20 05:05:00-04:00;;05:05:00;05:00 - 05:30;True;True;True;83.67;83.47;84.105;83.7;07:30:00;05:35:00;84.105;83.7;False;False;07:30 - 08:00;05:30 - 06:00;0.9;0.5;3.1;0.1;2.4;0.1;1.0;1.3;3.1;3.1;1.3
2009-10-21;84.185;83.74;84.115;83.8;83.8;84.085;True;84.155;83.66;84.13;83.695;84.02;04:45:00;04:50:00;False;True;False;True;True;True;True;;2009-10-21 05:50:00-04:00;05:50:00;05:30 - 06:00;False;True;False;84.155;83.755;84.095;83.66;07:45:00;06:45:00;83.66;83.895;True;True;07:30 - 08:00;06:30 - 07:00;0.1;0.7;0.9;-0.1;0.6;0.1;0.9;-0.1;0.7;-0.1;0.3
2009-10-22;84.5;84.24;84.49;84.27;84.315;84.38;True;84.385;83.905;84.38;83.94;84.245;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-22 04:15:00-04:00;04:15:00;04:00 - 04:30;False;True;False;84.385;84.225;84.38;83.905;04:40:00;04:20:00;83.905;84.185;False;False;04:30 - 05:00;04:00 - 04:30;0.2;0.5;0.5;-1.2;0.0;0.0;0.5;-1.2;0.5;-1.2;-0.3
2009-10-23;85.15;85.025;85.115;85.025;85.025;85.065;True;85.12;84.69;85.07;84.695;85.065;04:10:00;04:10:00;False;True;False;True;True;True;True;;2009-10-23 04:20:00-04:00;04:20:00;04:00 - 04:30;False;True;False;85.12;84.99;85.08;84.69;06:55:00;05:30:00;84.69;85.035;True;True;06:30 - 07:00;05:30 - 06:00;0.0;0.3;0.7;-2.6;0.3;-0.2;0.7;-2.6;0.4;-2.6;0.0
2009-10-26;85.045;84.87;85.01;84.895;85.01;84.93;False;85.025;84.765;84.99;84.775;84.82;04:00:00;06:05:00;False;True;False;True;True;True;True;;2009-10-26 04:35:00-04:00;04:35:00;04:30 - 05:00;False;True;True;85.025;84.86;85.0;84.765;08:20:00;06:05:00;84.765;85.0;True;True;08:00 - 08:30;06:00 - 06:30;0.8;0.3;0.8;-0.6;-0.3;0.0;0.8;-0.6;0.7;-0.6;0.7
2009-10-27;84.8;84.44;84.765;84.475;84.7;84.475;False;84.57;84.15;84.53;84.18;84.4;07:30:00;07:25:00;False;True;False;True;True;True;True;;2009-10-27 04:00:00-04:00;04:00:00;04:00 - 04:30;False;True;True;84.475;84.475;84.57;84.15;04:45:00;04:10:00;84.15;84.535;True;True;04:30 - 05:00;04:00 - 04:30;0.7;0.0;0.3;-0.8;-0.2;0.1;0.0;-0.8;0.3;-0.8;0.2
2009-10-28;83.39;82.97;83.37;83.02;83.37;83.07;False;83.1;82.15;83.07;82.175;82.425;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-28 04:05:00-04:00;04:05:00;04:00 - 04:30;False;True;True;83.1;82.99;82.995;82.15;07:25:00;04:35:00;82.15;82.995;True;False;07:00 - 07:30;04:30 - 05:00;0.9;0.2;0.3;-1.9;-1.3;0.1;0.3;-1.9;0.0;-1.9;0.0
