date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;expansion_level;retracement_level;opening_level;closing_level
2009-09-28;1.588;1.5811;1.587;1.5816;1.5816;1.5869;True;1.5924;1.5844;1.5918;1.5845;1.5878;True;False;True;False;True;True;True;2009-09-28 10:35:00-04:00;;10:35:00;10:30 - 11:00;True;True;False;12:05:00;11:00:00;1.5924;1.5873;True;False;12:00 - 12:30;11:00 - 11:30;1.6;0.8;0.0;0.8
2009-09-29;1.5985;1.5872;1.5979;1.5912;1.5959;1.5928;False;1.5959;1.5898;1.5956;1.5907;1.5943;False;False;False;False;False;False;False;;;;No breakout;False;True;False;;;;;False;False;No breakout;No breakout;;;;
2009-09-30;1.6034;1.5941;1.6028;1.5947;1.6028;1.5956;False;1.6025;1.5952;1.6022;1.5957;1.5978;False;False;False;False;False;False;False;;;;No breakout;False;True;False;;;;;False;False;No breakout;No breakout;;;;
2009-10-01;1.5996;1.5952;1.5988;1.596;1.5988;1.5981;False;1.6012;1.5922;1.6002;1.5928;1.5928;True;True;True;True;True;False;False;2009-10-01 10:50:00-04:00;2009-10-01 11:55:00-04:00;10:50:00;10:30 - 11:00;True;False;False;10:55:00;10:55:00;1.6011;1.5982;True;True;10:30 - 11:00;10:30 - 11:00;1.3;0.6;0.8;0.6
2009-10-02;1.5934;1.5867;1.5921;1.5873;1.5873;1.591;True;1.5952;1.5856;1.594;1.5863;1.5909;True;True;True;True;True;False;False;2009-10-02 13:45:00-04:00;2009-10-02 11:45:00-04:00;11:45:00;11:30 - 12:00;False;False;False;11:50:00;11:50:00;1.5861;1.5869;True;False;11:30 - 12:00;11:30 - 12:00;0.0;0.0;0.0;0.6
2009-10-05;1.5958;1.5899;1.5952;1.5902;1.5915;1.5935;True;1.5959;1.5897;1.5953;1.5899;1.5936;True;True;False;False;False;False;False;;;;No breakout;False;True;False;;;;;False;False;No breakout;No breakout;;;;
2009-10-06;1.5933;1.5882;1.5926;1.5885;1.5885;1.591;True;1.5937;1.5893;1.5934;1.5895;1.5907;True;False;True;False;True;True;True;2009-10-06 11:15:00-04:00;;11:15:00;11:00 - 11:30;True;True;False;11:20:00;11:20:00;1.5937;1.5928;True;False;11:00 - 11:30;11:00 - 11:30;1.0;0.9;0.0;0.5
2009-10-07;1.5897;1.5853;1.589;1.5866;1.5885;1.5876;False;1.5968;1.5861;1.5953;1.587;1.5942;True;False;True;False;True;True;True;2009-10-07 10:55:00-04:00;;10:55:00;10:30 - 11:00;True;True;True;13:40:00;11:55:00;1.5968;1.5887;True;True;13:30 - 14:00;11:30 - 12:00;2.6;0.7;0.7;0.5
2009-10-08;1.6083;1.604;1.6068;1.605;1.6067;1.6067;False;1.6117;1.6059;1.6107;1.6062;1.6069;True;False;True;False;True;True;True;2009-10-08 10:50:00-04:00;;10:50:00;10:30 - 11:00;True;True;False;12:30:00;11:05:00;1.6117;1.6077;True;False;12:30 - 13:00;11:00 - 11:30;1.7;0.8;0.6;0.6
2009-10-09;1.5937;1.5901;1.5937;1.5903;1.5937;1.5918;False;1.5933;1.582;1.5928;1.5823;1.584;False;True;False;True;True;True;True;;2009-10-09 11:35:00-04:00;11:35:00;11:30 - 12:00;False;True;True;14:40:00;11:50:00;1.582;1.5899;False;False;14:30 - 15:00;11:30 - 12:00;-2.2;0.0;1.0;0.4
2009-10-12;1.584;1.5771;1.5836;1.5772;1.5805;1.5787;False;1.5825;1.5772;1.5824;1.5775;1.5807;False;False;False;False;False;False;False;;;;No breakout;False;True;False;;;;;False;False;No breakout;No breakout;;;;
2009-10-13;1.5847;1.5802;1.5842;1.5802;1.582;1.5808;False;1.5924;1.5806;1.5919;1.5808;1.5884;True;False;True;False;True;True;True;2009-10-13 11:00:00-04:00;;11:00:00;11:00 - 11:30;True;True;True;13:35:00;11:20:00;1.5924;1.5835;True;True;13:30 - 14:00;11:00 - 11:30;2.7;0.7;0.4;0.1
