date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;expansion_level;retracement_level;opening_level;closing_level
2009-09-28;1.5884;1.5832;1.5881;1.5838;1.5838;1.5864;True;1.5914;1.5837;1.5905;1.5843;1.5873;True;False;True;False;True;True;True;2009-09-28 04:20:00-04:00;;04:20:00;04:00 - 04:30;True;True;False;04:55:00;04:25:00;1.5914;1.5878;True;True;04:30 - 05:00;04:00 - 04:30;1.5;0.8;0.1;0.6
2009-09-29;1.5922;1.5845;1.5918;1.5851;1.5918;1.5859;False;1.5989;1.5823;1.5987;1.583;1.5954;True;True;True;True;True;False;False;2009-09-29 06:00:00-04:00;2009-09-29 05:25:00-04:00;05:25:00;05:00 - 05:30;False;False;False;05:35:00;05:30:00;1.5823;1.5846;True;False;05:30 - 06:00;05:30 - 06:00;-0.2;0.0;0.9;0.1
2009-09-30;1.6083;1.6047;1.6078;1.6052;1.6058;1.6064;True;1.6124;1.6017;1.6113;1.6028;1.6028;True;True;True;True;True;False;False;2009-09-30 04:45:00-04:00;2009-09-30 08:25:00-04:00;04:45:00;04:30 - 05:00;True;False;False;07:50:00;05:15:00;1.6124;1.6057;True;True;07:30 - 08:00;05:00 - 05:30;2.1;0.2;0.3;0.4
2009-10-01;1.5991;1.5947;1.5986;1.5956;1.5956;1.5972;True;1.6024;1.5931;1.6018;1.5941;1.5965;True;True;True;True;True;False;False;2009-10-01 05:20:00-04:00;2009-10-01 04:25:00-04:00;04:25:00;04:00 - 04:30;False;False;False;04:30:00;04:30:00;1.5937;1.5959;True;True;04:30 - 05:00;04:30 - 05:00;-0.2;0.2;0.2;0.5
2009-10-02;1.5903;1.586;1.5902;1.5861;1.5898;1.588;False;1.5913;1.5835;1.5909;1.5842;1.5859;True;True;True;True;True;False;False;2009-10-02 04:40:00-04:00;2009-10-02 06:40:00-04:00;04:40:00;04:30 - 05:00;True;False;False;04:45:00;04:45:00;1.5913;1.5902;True;False;04:30 - 05:00;04:30 - 05:00;1.2;0.9;0.8;0.4
2009-10-05;1.5968;1.5921;1.5968;1.5927;1.5968;1.5934;False;1.6004;1.5916;1.6;1.5922;1.5936;True;True;True;False;True;True;False;2009-10-05 04:50:00-04:00;;04:50:00;04:30 - 05:00;True;True;False;05:15:00;04:55:00;1.6004;1.5969;False;False;05:00 - 05:30;04:30 - 05:00;1.7;1.0;1.0;0.2
2009-10-06;1.6041;1.5972;1.6035;1.5975;1.5975;1.6028;True;1.6047;1.5871;1.603;1.5877;1.5904;True;True;False;True;True;True;False;;2009-10-06 04:30:00-04:00;04:30:00;04:30 - 05:00;False;True;True;07:30:00;05:10:00;1.5871;1.5967;False;False;07:30 - 08:00;05:00 - 05:30;-1.4;0.0;0.0;0.8
2009-10-07;1.5919;1.5866;1.5915;1.587;1.5887;1.5907;True;1.5928;1.5861;1.5927;1.5865;1.5884;True;True;True;True;True;False;False;2009-10-07 04:00:00-04:00;2009-10-07 06:40:00-04:00;04:00:00;04:00 - 04:30;True;False;False;04:05:00;04:05:00;1.5927;1.591;True;True;04:00 - 04:30;04:00 - 04:30;1.1;0.8;0.3;0.7
2009-10-08;1.607;1.6012;1.6063;1.6015;1.6015;1.6054;True;1.6092;1.6015;1.6078;1.6023;1.6057;True;False;True;False;True;True;True;2009-10-08 06:40:00-04:00;;06:40:00;06:30 - 07:00;True;True;False;07:00:00;07:00:00;1.6092;1.6028;True;True;07:00 - 07:30;07:00 - 07:30;1.3;0.2;0.0;0.7
2009-10-09;1.6006;1.5986;1.6005;1.5987;1.6;1.5987;False;1.6007;1.5928;1.5998;1.5939;1.5967;True;True;False;True;True;True;False;;2009-10-09 04:00:00-04:00;04:00:00;04:00 - 04:30;False;True;True;05:40:00;04:30:00;1.5928;1.6007;True;True;05:30 - 06:00;04:30 - 05:00;-2.9;1.0;0.7;0.0
2009-10-12;1.5803;1.5724;1.5802;1.5733;1.5802;1.5744;False;1.5832;1.574;1.5828;1.5744;1.581;True;False;True;False;True;True;True;2009-10-12 07:40:00-04:00;;07:40:00;07:30 - 08:00;True;True;True;07:45:00;07:45:00;1.5832;1.5815;False;False;07:30 - 08:00;07:30 - 08:00;1.3;1.1;0.9;0.2
2009-10-13;1.5783;1.5743;1.5777;1.5745;1.5753;1.5752;False;1.5825;1.5702;1.5813;1.5715;1.5792;True;True;True;True;True;False;False;2009-10-13 06:15:00-04:00;2009-10-13 04:30:00-04:00;04:30:00;04:30 - 05:00;False;False;False;04:55:00;04:45:00;1.5702;1.5746;True;True;04:30 - 05:00;04:30 - 05:00;-1.0;0.0;0.2;0.2
2009-10-14;1.597;1.5941;1.5965;1.5945;1.5953;1.5965;True;1.6021;1.5924;1.6009;1.5945;1.6003;True;True;True;False;True;True;False;2009-10-14 04:30:00-04:00;;04:30:00;04:30 - 05:00;True;True;True;05:00:00;04:35:00;1.6021;1.5975;False;False;05:00 - 05:30;04:30 - 05:00;2.7;1.1;0.4;0.8
2009-10-15;1.6168;1.6088;1.6159;1.609;1.609;1.6158;True;1.6295;1.6155;1.6282;1.6158;1.6235;True;False;True;False;True;True;True;2009-10-15 04:10:00-04:00;;04:10:00;04:00 - 04:30;True;True;True;07:05:00;04:15:00;1.6295;1.6177;False;False;07:00 - 07:30;04:00 - 04:30;2.5;1.1;0.0;0.8
2009-10-16;1.6309;1.6246;1.6309;1.6249;1.6283;1.6306;True;1.6372;1.6271;1.6364;1.628;1.6299;True;False;True;False;True;True;True;2009-10-16 04:20:00-04:00;;04:20:00;04:00 - 04:30;True;True;False;04:40:00;04:25:00;1.6372;1.6311;False;False;04:30 - 05:00;04:00 - 04:30;2.0;1.0;0.5;0.9
2009-10-19;1.6304;1.6236;1.6293;1.6248;1.6293;1.6263;False;1.6331;1.6251;1.6325;1.6253;1.6325;True;False;True;False;True;True;True;2009-10-19 06:10:00-04:00;;06:10:00;06:00 - 06:30;True;True;True;07:30:00;07:05:00;1.6331;1.6276;True;True;07:30 - 08:00;07:00 - 07:30;1.3;0.5;0.8;0.3
2009-10-20;1.6413;1.6359;1.6412;1.6362;1.6412;1.6372;False;1.6454;1.6347;1.6442;1.6355;1.6439;True;True;True;True;True;False;False;2009-10-20 05:55:00-04:00;2009-10-20 04:00:00-04:00;04:00:00;04:00 - 04:30;False;False;False;04:10:00;04:05:00;1.6353;1.6367;True;True;04:00 - 04:30;04:00 - 04:30;-0.1;0.1;0.9;0.2
2009-10-21;1.6522;1.6409;1.6499;1.641;1.641;1.6481;True;1.6586;1.6462;1.6576;1.6464;1.6569;True;False;True;False;True;True;True;2009-10-21 04:30:00-04:00;;04:30:00;04:30 - 05:00;True;True;True;05:05:00;04:35:00;1.6586;1.6508;True;False;05:00 - 05:30;04:30 - 05:00;1.5;0.8;0.0;0.6
2009-10-22;1.6604;1.6547;1.6598;1.6558;1.6588;1.6563;False;1.6576;1.6482;1.6572;1.6489;1.6569;False;True;False;True;True;True;True;;2009-10-22 04:05:00-04:00;04:05:00;04:00 - 04:30;False;True;False;04:50:00;04:20:00;1.6482;1.6575;True;True;04:30 - 05:00;04:00 - 04:30;-1.1;0.4;0.7;0.2
