date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;expansion_level;retracement_level;opening_level;closing_level
2009-09-28;0.9137;0.9102;0.9133;0.9102;0.9133;0.9102;False;0.9155;0.9101;0.9151;0.9102;0.914;True;True;True;False;True;True;False;2009-09-28 07:25:00-04:00;;07:25:00;07:00 - 07:30;True;True;True;08:25:00;07:50:00;0.9155;0.9125;True;True;08:00 - 08:30;07:30 - 08:00;1.5;0.6;0.8;0.0
2009-09-29;0.9243;0.9217;0.9241;0.922;0.9241;0.9231;False;0.9235;0.9162;0.9234;0.9169;0.9183;False;True;False;True;True;True;True;;2009-09-29 04:30:00-04:00;04:30:00;04:30 - 05:00;False;True;True;08:20:00;06:30:00;0.9162;0.9226;True;True;08:00 - 08:30;06:30 - 07:00;-2.1;0.3;0.9;0.5
2009-09-30;0.927;0.9253;0.9269;0.9257;0.9257;0.9261;True;0.9338;0.9255;0.9335;0.9255;0.9302;True;False;True;False;True;True;True;2009-09-30 04:25:00-04:00;;04:25:00;04:00 - 04:30;True;True;True;07:20:00;04:35:00;0.9338;0.9275;False;False;07:00 - 07:30;04:30 - 05:00;4.9;1.2;0.2;0.4
2009-10-01;0.9344;0.931;0.9342;0.9315;0.9315;0.9339;True;0.9339;0.9303;0.9338;0.9304;0.933;False;True;False;True;True;True;True;;2009-10-01 06:50:00-04:00;06:50:00;06:30 - 07:00;False;True;False;07:05:00;07:05:00;0.9303;0.9318;True;True;07:00 - 07:30;07:00 - 07:30;-0.2;0.2;0.1;0.8
2009-10-02;0.9208;0.9171;0.9207;0.9171;0.9207;0.9188;False;0.9195;0.9153;0.9194;0.9159;0.9172;False;True;False;True;True;True;True;;2009-10-02 05:55:00-04:00;05:55:00;05:30 - 06:00;False;True;False;07:30:00;06:35:00;0.9153;0.9182;True;True;07:30 - 08:00;06:30 - 07:00;-0.4;0.2;0.9;0.4
2009-10-05;0.9298;0.9274;0.9298;0.9277;0.9298;0.9282;False;0.9323;0.928;0.932;0.9282;0.9309;True;False;True;False;True;True;True;2009-10-05 05:15:00-04:00;;05:15:00;05:00 - 05:30;True;True;True;07:55:00;05:50:00;0.9323;0.929;True;True;07:30 - 08:00;05:30 - 06:00;2.0;0.6;1.0;0.3
2009-10-06;0.9384;0.9365;0.938;0.9366;0.937;0.9366;False;0.9423;0.9353;0.9422;0.9357;0.9411;True;True;True;True;True;False;False;2009-10-06 05:10:00-04:00;2009-10-06 04:05:00-04:00;04:05:00;04:00 - 04:30;False;False;False;04:35:00;04:20:00;0.9353;0.9373;True;True;04:30 - 05:00;04:00 - 04:30;-0.6;0.4;0.2;0.0
2009-10-07;0.9479;0.9447;0.9474;0.9455;0.9461;0.9472;True;0.95;0.9439;0.9492;0.9445;0.9454;True;True;True;True;True;False;False;2009-10-07 04:00:00-04:00;2009-10-07 08:05:00-04:00;04:00:00;04:00 - 04:30;True;False;False;04:35:00;04:10:00;0.95;0.948;False;False;04:30 - 05:00;04:00 - 04:30;1.6;1.0;0.4;0.7
2009-10-08;0.9496;0.9473;0.9494;0.9477;0.9491;0.9478;False;0.9483;0.9452;0.948;0.9453;0.9459;False;True;False;True;True;True;True;;2009-10-08 04:10:00-04:00;04:10:00;04:00 - 04:30;False;True;True;08:05:00;05:40:00;0.9452;0.9482;True;True;08:00 - 08:30;05:30 - 06:00;-0.9;0.3;0.7;0.2
2009-10-09;0.9506;0.9483;0.9504;0.9486;0.9497;0.9492;False;0.9596;0.9477;0.9591;0.9479;0.9569;True;True;True;True;True;False;False;2009-10-09 06:40:00-04:00;2009-10-09 04:25:00-04:00;04:25:00;04:00 - 04:30;False;False;False;04:45:00;04:35:00;0.9477;0.9486;True;False;04:30 - 05:00;04:30 - 05:00;-0.2;0.1;0.6;0.3
2009-10-12;0.9603;0.9575;0.96;0.9579;0.96;0.9587;False;0.9693;0.9586;0.9692;0.9587;0.9676;True;False;True;False;True;True;True;2009-10-12 04:10:00-04:00;;04:10:00;04:00 - 04:30;True;True;True;08:00:00;04:15:00;0.9693;0.9608;False;False;08:00 - 08:30;04:00 - 04:30;4.2;1.1;0.8;0.4
2009-10-13;0.9676;0.9643;0.9676;0.9643;0.9676;0.9649;False;0.9741;0.9649;0.9737;0.965;0.9702;True;False;True;False;True;True;True;2009-10-13 04:45:00-04:00;;04:45:00;04:30 - 05:00;True;True;True;07:10:00;05:00:00;0.9741;0.9659;True;True;07:00 - 07:30;05:00 - 05:30;2.9;0.4;1.0;0.1
2009-10-14;0.9732;0.9713;0.973;0.9717;0.9717;0.9727;True;0.9754;0.9708;0.9752;0.9715;0.9722;True;True;True;False;True;True;False;2009-10-14 04:00:00-04:00;;04:00:00;04:00 - 04:30;True;True;False;06:55:00;04:35:00;0.9754;0.9715;True;True;06:30 - 07:00;04:30 - 05:00;2.1;0.1;0.2;0.7
2009-10-15;0.9787;0.9775;0.9786;0.9778;0.9779;0.9778;False;0.9785;0.9653;0.9784;0.9668;0.9692;False;True;False;True;True;True;True;;2009-10-15 04:30:00-04:00;04:30:00;04:30 - 05:00;False;True;True;08:05:00;05:00:00;0.9653;0.9775;False;False;08:00 - 08:30;05:00 - 05:30;-10.1;0.0;0.3;0.2
2009-10-16;0.9688;0.9659;0.9685;0.9662;0.9663;0.9662;False;0.9706;0.9582;0.9702;0.9586;0.959;True;True;True;True;True;False;False;2009-10-16 06:55:00-04:00;2009-10-16 04:55:00-04:00;04:55:00;04:30 - 05:00;False;False;True;08:20:00;06:55:00;0.9582;0.9706;True;True;08:00 - 08:30;06:30 - 07:00;-2.6;1.6;0.1;0.1
2009-10-19;0.967;0.9634;0.9665;0.9637;0.9637;0.9659;True;0.9686;0.9643;0.9684;0.9647;0.965;True;False;True;False;True;True;True;2009-10-19 05:45:00-04:00;;05:45:00;05:30 - 06:00;True;True;False;06:15:00;06:00:00;0.9686;0.9666;True;False;06:00 - 06:30;06:00 - 06:30;1.4;0.8;0.0;0.6
2009-10-20;0.9741;0.9701;0.9738;0.9702;0.9738;0.9704;False;0.9717;0.967;0.9717;0.9678;0.9696;False;True;False;True;True;True;True;;2009-10-20 04:00:00-04:00;04:00:00;04:00 - 04:30;False;True;True;07:20:00;05:05:00;0.967;0.9717;True;True;07:00 - 07:30;05:00 - 05:30;-0.7;0.4;0.9;0.0
2009-10-21;0.9547;0.9511;0.9542;0.9513;0.9513;0.9535;True;0.9539;0.9447;0.9535;0.945;0.9476;False;True;False;True;True;True;True;;2009-10-21 04:40:00-04:00;04:40:00;04:30 - 05:00;False;True;True;07:40:00;04:45:00;0.9447;0.9511;False;False;07:30 - 08:00;04:30 - 05:00;-1.7;0.0;0.0;0.6
2009-10-22;0.9555;0.9514;0.9551;0.9516;0.9528;0.9533;True;0.9538;0.9493;0.9537;0.9496;0.9533;False;True;False;True;True;True;True;;2009-10-22 04:05:00-04:00;04:05:00;04:00 - 04:30;False;True;False;04:30:00;04:10:00;0.9493;0.9514;False;False;04:30 - 05:00;04:00 - 04:30;-0.5;0.0;0.3;0.4
2009-10-23;0.9533;0.9507;0.953;0.9509;0.951;0.9509;False;0.9522;0.9491;0.9517;0.9493;0.9513;False;True;False;True;True;True;True;;2009-10-23 04:25:00-04:00;04:25:00;04:00 - 04:30;False;True;False;07:20:00;06:00:00;0.9491;0.9522;True;True;07:00 - 07:30;06:00 - 06:30;-0.6;0.5;0.1;0.0
2009-10-26;0.9511;0.9502;0.951;0.9504;0.9509;0.9508;False;0.9515;0.9442;0.9512;0.9446;0.945;True;True;True;True;True;False;False;2009-10-26 04:05:00-04:00;2009-10-26 04:15:00-04:00;04:05:00;04:00 - 04:30;True;False;False;04:10:00;04:10:00;0.9512;0.9502;True;True;04:00 - 04:30;04:00 - 04:30;1.1;0.0;0.7;0.6
