date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;66.58;66.33;66.57;66.33;66.37;66.57;true;0.25;66.66;65.5;66.6;65.53;65.65;true;true;true;true;true;false;false;1254097500000000;1254099300000000;1254097500000000;09:00 - 09:30;true;false;false;66.5;66.64;65.5;66.66;66.54;66.66;1254097800000000;1254097800000000;true;09:30 - 10:00;09:30 - 10:00;1.3;0.9;1.4;-3.3;0.2;1.0;-2.7;-3.3;1.4
2009-09-29;67.33;67.1;67.3;67.12;67.14;67.28;true;0.23;67.27;66.79;67.27;66.83;66.96;false;true;false;true;true;true;true;;1254184200000000;1254184200000000;09:30 - 10:00;false;true;true;67.12;67.27;66.79;67.08;67.07;66.79;1254184500000000;1254185400000000;false;09:30 - 10:00;09:30 - 10:00;-1.3;-0.2;-1.4;-0.1;0.1;0.7;-0.7;-1.4;0.7
2009-09-30;66.63;66.45;66.63;66.47;66.6;66.63;true;0.18;67.4;66.56;67.37;66.56;67.12;true;false;true;false;true;true;true;1254270300000000;;1254270300000000;09:00 - 09:30;true;true;true;66.56;66.65;66.63;67.4;66.63;67.4;1254270600000000;1254284100000000;false;13:00 - 13:30;09:30 - 10:00;5.2;1.0;5.3;1.0;0.9;1.0;3.8;0.7;5.3
2009-10-01;70.39;70.31;70.39;70.33;70.33;70.35;true;0.08;70.38;69.88;70.38;69.88;69.97;false;true;false;true;true;true;true;;1254356100000000;1254356100000000;09:00 - 09:30;false;true;true;70.35;70.38;69.88;70.28;70.28;69.88;1254356400000000;1254372600000000;false;13:30 - 14:00;09:00 - 09:30;-5.3;-0.4;-5.4;-0.4;0.2;0.4;-4.3;-5.4;0.8
2009-10-02;70.48;70.2;70.43;70.2;70.36;70.2;false;0.28;70.3;70.1;70.3;70.1;70.18;false;true;false;true;true;true;true;;1254441600000000;1254441600000000;09:00 - 09:30;false;true;true;;;70.1;70.3;70.17;70.1;1254441900000000;1254442200000000;false;09:00 - 09:30;09:00 - 09:30;-0.3;-0.2;-0.4;0.3;0.5;0.0;-0.1;-0.4;0.3
2009-10-05;69.57;69.46;69.57;69.46;69.57;69.52;false;0.11;69.95;69.46;69.95;69.5;69.89;true;false;true;false;true;true;true;1254701100000000;;1254701100000000;09:00 - 09:30;true;true;true;69.51;69.56;69.46;69.95;69.46;69.95;1254701700000000;1254705600000000;true;10:00 - 10:30;09:00 - 09:30;4.4;0.0;4.5;0.0;1.0;0.6;4.0;0.0;4.5
2009-10-06;70.55;70.39;70.52;70.43;70.52;70.49;false;0.16;70.7;70.06;70.66;70.15;70.65;true;true;true;true;true;false;false;1254800400000000;1254789900000000;1254789900000000;09:30 - 10:00;false;false;false;70.4;70.55;70.06;70.7;70.35;70.06;1254790200000000;1254790800000000;false;10:00 - 10:30;09:30 - 10:00;-2.0;-0.3;-2.1;1.9;0.8;0.6;1.6;-2.1;1.9
2009-10-07;71.49;71.39;71.47;71.4;71.41;71.41;false;0.1;71.76;71.12;71.71;71.21;71.42;true;true;true;true;true;false;false;1254887100000000;1254873600000000;1254873600000000;09:00 - 09:30;false;false;false;;;71.12;71.76;71.46;71.12;1254875400000000;1254876300000000;true;09:30 - 10:00;09:30 - 10:00;-2.7;0.6;-2.8;3.7;0.1;0.1;0.3;-2.8;3.7
2009-10-08;69.9;69.85;69.9;69.88;69.9;69.9;false;0.05;70.4;69.83;70.35;69.83;70.25;true;true;true;true;true;false;false;1254960000000000;1254961500000000;1254960000000000;09:00 - 09:30;true;false;true;;;69.83;70.4;69.83;70.4;1254961500000000;1254970800000000;true;12:00 - 12:30;09:00 - 09:30;10.9;-0.3;11.0;-0.3;1.0;1.0;8.0;-0.3;11.0
2009-10-09;71.5;71.32;71.45;71.32;71.34;71.45;true;0.18;71.45;71.03;71.45;71.08;71.1;false;true;false;true;true;true;true;;1255047300000000;1255047300000000;09:00 - 09:30;false;true;true;71.27;71.45;71.03;71.43;71.43;71.03;1255049400000000;1255056600000000;true;11:30 - 12:00;09:30 - 10:00;-1.6;0.6;-1.7;0.6;0.1;0.7;-1.3;-1.7;0.7
2009-10-12;72.55;72.47;72.55;72.47;72.49;72.49;false;0.08;72.58;72.05;72.57;72.08;72.51;true;true;true;true;true;false;false;1255324500000000;1255305600000000;1255305600000000;09:00 - 09:30;false;false;false;;;72.05;72.58;72.46;72.05;1255305900000000;1255308600000000;false;09:30 - 10:00;09:00 - 09:30;-5.2;-0.2;-5.3;1.3;0.2;0.2;0.5;-5.3;1.3
2009-10-13;73.15;73.05;73.15;73.06;73.06;73.1;true;0.1;73.1;72.83;73.1;72.86;73.03;false;true;false;true;true;true;true;;1255392000000000;1255392000000000;09:00 - 09:30;false;true;true;;;72.83;73.07;73.07;72.83;1255393500000000;1255397400000000;true;10:30 - 11:00;09:00 - 09:30;-2.1;0.1;-2.2;0.1;0.1;0.4;-0.2;-2.2;0.4
2009-10-14;74.85;74.65;74.84;74.67;74.84;74.7;false;0.2;75.13;74.53;75.11;74.62;74.96;true;true;true;true;true;false;false;1255485600000000;1255478400000000;1255478400000000;09:00 - 09:30;false;false;false;;;74.53;75.13;74.66;74.53;1255478700000000;1255478700000000;true;09:00 - 09:30;09:00 - 09:30;-0.6;0.0;-0.7;2.4;0.9;0.2;1.5;-0.7;2.4
2009-10-15;75.9;75.7;75.88;75.7;75.86;75.86;false;0.2;75.96;75.7;75.96;75.74;75.86;true;false;true;false;true;true;true;1255568400000000;;1255568400000000;10:00 - 10:30;true;true;false;75.7;75.94;75.8;75.96;75.8;75.96;1255572300000000;1255573500000000;true;11:00 - 11:30;11:00 - 11:30;1.2;0.5;1.3;0.5;0.8;0.8;0.8;0.0;1.3
2009-10-16;78.0;77.83;77.96;77.84;77.84;77.94;true;0.17;78.17;77.8;78.17;77.82;77.82;true;true;true;true;true;false;false;1255653600000000;1255669500000000;1255653600000000;09:30 - 10:00;true;false;false;77.89;78.03;77.8;78.17;78.03;78.17;1255653900000000;1255654200000000;false;09:30 - 10:00;09:30 - 10:00;2.0;1.2;2.0;-0.1;0.1;0.7;-0.0;-0.1;2.0
