date;dr_high;dr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2009-09-28;66.67;66.0;66.08;66.55;True;0.67;67.54;66.4;67.03;12:05:00;12:25:00;True;False;True;False;True;True;True;2009-09-28 10:35:00-04:00;;10:35:00;10:30 - 11:00;True;True;True;66.73;66.5;67.54;66.4;12:05:00;10:50:00;67.54;66.55;True;12:00 - 12:30;10:30 - 11:00;0.1;0.8;2.2;0.6;1.5;0.8;1.0;0.6;2.2;2.2;0.9
2009-09-29;66.85;65.87;66.45;66.65;True;0.98;67.3;66.18;66.69;10:35:00;10:40:00;True;False;True;False;True;True;True;2009-09-29 10:35:00-04:00;;10:35:00;10:30 - 11:00;True;True;False;66.83;66.65;67.23;66.18;10:40:00;10:40:00;67.23;66.97;False;10:30 - 11:00;10:30 - 11:00;0.5;0.7;1.4;0.4;0.8;0.8;0.9;0.4;1.3;1.3;1.2
2009-09-30;67.4;66.22;67.28;66.41;False;1.18;70.72;66.24;70.34;14:25:00;14:45:00;True;False;True;False;True;True;True;2009-09-30 10:55:00-04:00;;10:55:00;10:30 - 11:00;True;True;True;67.55;66.24;70.72;67.6;14:25:00;11:00:00;70.72;67.6;False;14:00 - 14:30;11:00 - 11:30;0.8;0.1;3.8;0.1;3.4;0.1;1.1;1.2;3.8;3.8;1.2
2009-10-01;71.08;70.23;70.57;70.62;True;0.85;71.09;69.13;70.45;10:35:00;10:40:00;True;True;False;True;True;True;False;;2009-10-01 11:05:00-04:00;11:05:00;11:00 - 11:30;False;True;False;71.09;70.32;70.91;69.13;11:35:00;11:15:00;69.13;70.31;True;11:30 - 12:00;11:00 - 11:30;0.3;0.4;1.0;-1.2;0.2;0.2;1.0;-1.2;0.7;-1.2;0.0
2009-10-02;70.31;68.84;68.97;70.04;True;1.47;70.23;68.83;69.73;10:35:00;10:35:00;False;True;False;False;False;False;True;;;;No breakout;False;True;False;70.04;70.04;69.73;69.73;;;;;False;No breakout;No breakout;0.0;0.8;0.9;0.0;0.6;0.9;0.8;0.7;0.6;;
2009-10-05;69.51;68.59;68.94;68.85;False;0.92;71.0;68.05;70.34;13:45:00;13:50:00;True;True;True;True;True;False;False;2009-10-05 12:55:00-04:00;2009-10-05 10:40:00-04:00;10:40:00;10:30 - 11:00;False;False;False;68.91;68.6;71.0;68.05;11:25:00;11:05:00;68.05;68.64;True;11:00 - 11:30;11:00 - 11:30;0.3;0.2;2.6;-0.5;1.9;0.1;0.3;-0.5;2.6;-0.5;0.0
2009-10-06;71.95;70.91;70.99;71.67;True;1.04;71.97;70.51;71.03;11:20:00;11:20:00;True;True;False;True;True;True;False;;2009-10-06 13:50:00-04:00;13:50:00;13:30 - 14:00;False;True;False;71.97;70.91;71.13;70.56;14:10:00;14:00:00;70.56;70.94;True;14:00 - 14:30;14:00 - 14:30;0.0;0.7;1.0;-0.3;0.1;0.0;1.0;-0.3;0.2;-0.3;0.0
2009-10-07;71.47;70.81;71.17;71.37;True;0.66;71.47;68.88;69.84;10:30:00;11:05:00;False;True;False;True;True;True;True;;2009-10-07 10:30:00-04:00;10:30:00;10:30 - 11:00;False;True;True;71.37;71.37;71.29;68.88;13:55:00;11:05:00;68.88;71.29;True;13:30 - 14:00;11:00 - 11:30;0.5;0.8;1.0;-2.9;-1.5;0.9;0.8;-2.9;0.7;-2.9;0.7
2009-10-08;69.93;69.25;69.37;69.88;True;0.68;72.55;69.78;71.33;12:35:00;12:35:00;True;False;True;False;True;True;True;2009-10-08 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;69.88;69.88;72.55;69.97;12:35:00;10:35:00;72.55;69.97;False;12:30 - 13:00;10:30 - 11:00;0.1;0.9;4.8;0.8;3.0;1.0;0.9;1.1;4.8;4.8;1.1
2009-10-09;72.24;71.36;71.7;71.84;True;0.88;72.35;70.88;72.26;15:55:00;15:55:00;True;True;True;True;True;False;False;2009-10-09 15:45:00-04:00;2009-10-09 11:55:00-04:00;11:55:00;11:30 - 12:00;False;False;False;72.22;71.28;72.35;70.88;12:10:00;12:00:00;70.88;71.47;True;12:00 - 12:30;12:00 - 12:30;0.3;0.5;1.1;-0.5;1.0;0.0;0.9;-0.5;1.1;-0.5;0.1
2009-10-12;73.84;73.37;73.56;73.46;False;0.47;73.72;73.03;73.2;14:05:00;14:05:00;False;True;False;True;True;True;True;;2009-10-12 10:45:00-04:00;10:45:00;10:30 - 11:00;False;True;True;73.6;73.4;73.72;73.03;11:30:00;11:15:00;73.03;73.59;True;11:30 - 12:00;11:00 - 11:30;0.4;0.1;0.7;-0.7;-0.4;0.1;0.4;-0.7;0.7;-0.7;0.4
2009-10-13;73.81;73.03;73.81;73.73;False;0.78;74.32;73.15;74.13;15:25:00;15:25:00;True;False;True;False;True;True;True;2009-10-13 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;73.73;73.73;74.32;73.15;15:25:00;11:20:00;74.32;73.15;True;15:00 - 15:30;11:00 - 11:30;1.0;0.8;1.6;0.2;1.4;0.9;0.8;0.2;1.6;1.6;0.2
2009-10-14;75.4;74.84;74.89;75.03;True;0.56;75.3;74.43;75.11;15:25:00;15:30:00;False;True;False;True;True;True;True;;2009-10-14 11:00:00-04:00;11:00:00;11:00 - 11:30;False;True;False;75.13;74.84;75.3;74.43;11:05:00;11:05:00;74.43;74.65;False;11:00 - 11:30;11:00 - 11:30;0.0;0.3;0.8;-0.7;0.4;0.0;0.5;-0.7;0.8;-0.7;-0.4
2009-10-15;75.6;75.2;75.44;75.3;False;0.4;77.97;74.98;77.6;14:15:00;14:10:00;True;True;True;True;True;False;False;2009-10-15 11:00:00-04:00;2009-10-15 10:35:00-04:00;10:35:00;10:30 - 11:00;False;False;False;75.29;75.18;77.97;75.04;10:40:00;10:40:00;75.04;75.15;False;10:30 - 11:00;10:30 - 11:00;0.5;0.2;6.9;-0.5;6.0;0.0;0.2;-0.4;6.9;-0.4;-0.2
2009-10-16;77.63;76.82;77.47;77.31;False;0.81;78.75;77.1;78.58;15:10:00;15:35:00;True;False;True;False;True;True;True;2009-10-16 13:20:00-04:00;;13:20:00;13:00 - 13:30;True;True;True;77.58;77.1;78.75;77.5;15:10:00;13:30:00;78.75;77.5;True;15:00 - 15:30;13:30 - 14:00;0.8;0.6;2.3;0.4;2.1;0.4;0.9;0.9;2.3;2.3;0.9
2009-10-19;78.8;78.2;78.38;78.54;True;0.6;79.69;78.22;79.29;14:25:00;14:25:00;True;False;True;False;True;True;True;2009-10-19 10:35:00-04:00;;10:35:00;10:30 - 11:00;True;True;True;78.77;78.54;79.69;78.22;14:25:00;11:05:00;79.69;78.22;True;14:00 - 14:30;11:00 - 11:30;0.2;0.5;2.4;0.1;1.8;0.6;0.9;0.1;2.4;2.4;0.1
2009-10-20;79.53;78.38;79.53;78.54;False;1.15;79.36;78.05;78.82;14:15:00;14:15:00;False;True;False;True;True;True;True;;2009-10-20 11:35:00-04:00;11:35:00;11:30 - 12:00;False;True;False;78.95;78.48;79.36;78.05;12:05:00;11:55:00;78.05;78.52;True;12:00 - 12:30;11:30 - 12:00;1.0;0.1;0.8;-0.2;0.3;0.1;0.4;-0.2;0.8;-0.2;0.1
2009-10-21;79.04;78.35;78.46;78.73;True;0.69;81.99;78.7;80.87;13:55:00;14:05:00;True;False;True;False;True;True;True;2009-10-21 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;78.73;78.73;81.99;79.39;13:55:00;10:35:00;81.99;79.39;False;13:30 - 14:00;10:30 - 11:00;0.1;0.5;5.2;0.6;3.6;0.6;0.5;1.6;5.2;5.2;1.6
2009-10-22;81.26;80.38;80.78;80.97;True;0.88;81.32;79.86;81.11;15:20:00;15:20:00;True;True;True;True;True;False;False;2009-10-22 15:15:00-04:00;2009-10-22 12:15:00-04:00;12:15:00;12:00 - 12:30;False;False;False;81.14;80.27;81.32;79.86;12:25:00;12:20:00;79.86;80.38;False;12:00 - 12:30;12:00 - 12:30;0.4;0.6;1.0;-0.5;0.8;-0.1;0.8;-0.5;1.0;-0.5;0.0
2009-10-23;81.38;79.98;81.25;80.6;False;1.4;81.2;79.82;80.02;12:45:00;12:45:00;False;True;False;False;False;False;True;;;;No breakout;False;True;False;80.6;80.6;80.02;80.02;;;;;False;No breakout;No breakout;0.9;0.4;0.8;-0.1;0.0;0.5;0.4;0.1;0.0;;
2009-10-26;81.58;80.73;80.77;81.3;True;0.85;81.38;77.97;78.53;10:30:00;10:30:00;False;True;False;True;True;True;True;;2009-10-26 11:10:00-04:00;11:10:00;11:00 - 11:30;False;True;True;81.38;80.73;80.52;77.97;13:20:00;11:15:00;77.97;80.52;False;13:00 - 13:30;11:00 - 11:30;0.0;0.6;0.7;-3.2;-2.6;0.0;0.7;-3.2;-0.3;-3.2;-0.3
2009-10-27;79.12;77.81;78.81;79.1;True;1.31;79.78;78.38;79.35;11:50:00;11:35:00;True;False;True;False;True;True;True;2009-10-27 10:40:00-04:00;;10:40:00;10:30 - 11:00;True;True;True;79.13;78.81;79.78;78.38;11:50:00;11:05:00;79.78;78.92;True;11:30 - 12:00;11:00 - 11:30;0.7;0.9;1.5;0.5;1.1;0.8;1.0;0.5;1.5;1.5;0.9
2009-10-28;79.14;78.1;78.8;78.35;False;1.04;78.55;77.15;77.22;10:30:00;10:30:00;False;True;False;True;True;True;True;;2009-10-28 10:45:00-04:00;10:45:00;10:30 - 11:00;False;True;True;78.55;77.97;78.32;77.15;15:35:00;11:15:00;77.15;78.32;True;15:30 - 16:00;11:00 - 11:30;0.6;0.2;0.4;-0.9;-0.9;-0.1;0.4;-0.9;0.2;-0.9;0.2
2009-10-29;79.25;78.35;78.54;79.05;True;0.9;80.46;78.81;79.96;12:35:00;12:35:00;True;False;True;False;True;True;True;2009-10-29 10:55:00-04:00;;10:55:00;10:30 - 11:00;True;True;True;79.09;78.81;80.46;79.23;12:35:00;11:00:00;80.46;79.23;True;12:30 - 13:00;11:00 - 11:30;0.2;0.7;2.3;0.6;1.7;0.6;0.8;1.0;2.3;2.3;1.0
2009-10-30;79.6;78.24;79.28;78.34;False;1.36;78.72;76.85;76.93;10:50:00;10:50:00;False;True;False;True;True;True;True;;2009-10-30 11:20:00-04:00;11:20:00;11:00 - 11:30;False;True;True;78.72;78.25;78.49;76.85;14:25:00;12:10:00;76.85;78.49;True;14:00 - 14:30;12:00 - 12:30;0.7;0.0;0.3;-1.0;-1.0;0.1;0.3;-1.0;0.1;-1.0;0.1
2009-11-02;78.29;76.85;76.95;78.14;True;1.44;78.66;76.66;78.15;11:55:00;12:00:00;True;True;True;False;True;True;False;2009-11-02 10:35:00-05:00;;10:35:00;10:30 - 11:00;True;True;False;78.38;78.15;78.66;76.66;11:55:00;11:00:00;78.66;77.5;True;11:30 - 12:00;11:00 - 11:30;0.0;0.8;1.2;-0.1;0.9;1.0;1.0;-0.1;1.2;1.2;0.5
2009-11-03;77.59;76.86;77.03;77.23;True;0.73;79.77;77.13;79.44;14:10:00;14:10:00;True;False;True;False;True;True;True;2009-11-03 10:40:00-05:00;;10:40:00;10:30 - 11:00;True;True;True;77.5;77.13;79.77;77.79;14:10:00;10:45:00;79.77;77.79;False;14:00 - 14:30;10:30 - 11:00;0.2;0.5;3.9;0.4;3.5;0.4;0.8;1.3;3.9;3.9;1.3
2009-11-04;80.48;79.78;80.24;80.22;False;0.7;81.06;79.47;80.13;10:30:00;10:55:00;True;True;True;True;True;False;False;2009-11-04 10:30:00-05:00;2009-11-04 13:25:00-05:00;10:30:00;10:30 - 11:00;True;False;False;80.22;80.22;80.94;79.47;10:55:00;10:35:00;80.94;80.55;False;10:30 - 11:00;10:30 - 11:00;0.6;0.6;1.8;-0.4;0.4;0.7;0.6;-0.4;1.6;1.6;1.1
2009-11-06;78.96;77.45;78.04;77.5;False;1.51;77.74;76.71;77.6;15:40:00;15:50:00;False;True;False;True;True;True;True;;2009-11-06 10:35:00-05:00;10:35:00;10:30 - 11:00;False;True;False;77.62;77.31;77.74;76.71;13:10:00;10:45:00;76.71;77.65;True;13:00 - 13:30;10:30 - 11:00;0.3;0.0;0.1;-0.4;0.0;0.0;0.1;-0.4;0.1;-0.4;0.1
2009-11-09;79.38;78.83;78.94;79.07;True;0.55;80.19;78.94;79.27;12:50:00;12:55:00;True;False;True;False;True;True;True;2009-11-09 11:00:00-05:00;;11:00:00;11:00 - 11:30;True;True;False;79.33;78.94;80.19;79.15;12:50:00;11:05:00;80.19;79.41;False;12:30 - 13:00;11:00 - 11:30;0.2;0.4;2.4;0.2;0.8;0.2;0.9;0.6;2.4;2.4;1.1
2009-11-10;80.47;79.63;79.75;80.43;True;0.84;80.51;77.89;79.1;10:30:00;10:30:00;True;True;False;True;True;True;False;;2009-11-10 11:05:00-05:00;11:05:00;11:00 - 11:30;False;True;True;80.51;79.79;79.68;77.89;12:30:00;11:10:00;77.89;79.68;True;12:30 - 13:00;11:00 - 11:30;0.1;0.9;1.0;-2.0;-0.7;0.2;1.0;-2.0;0.0;-2.0;0.0
2009-11-11;80.1;79.46;79.78;79.94;True;0.64;79.94;78.57;79.28;10:30:00;10:30:00;False;True;False;True;True;True;True;;2009-11-11 10:45:00-05:00;10:45:00;10:30 - 11:00;False;True;True;79.94;79.51;79.51;78.57;13:50:00;11:00:00;78.57;79.51;True;13:30 - 14:00;11:00 - 11:30;0.5;0.7;0.7;-1.3;-0.3;0.1;0.7;-1.3;0.0;-1.3;0.0
2009-11-12;78.72;77.79;78.33;77.99;False;0.93;77.98;76.52;76.68;10:30:00;10:50:00;False;True;False;True;True;True;True;;2009-11-12 10:30:00-05:00;10:30:00;10:30 - 11:00;False;True;True;77.99;77.99;77.84;76.52;15:35:00;10:50:00;76.52;77.84;True;15:30 - 16:00;10:30 - 11:00;0.5;0.2;0.2;-1.3;-1.2;0.3;0.2;-1.3;0.0;-1.3;0.0
2009-11-13;76.34;75.6;76.24;75.86;False;0.74;77.17;75.57;76.46;12:20:00;12:25:00;True;True;True;False;True;True;False;2009-11-13 10:50:00-05:00;;10:50:00;10:30 - 11:00;True;True;True;76.3;75.57;77.17;76.15;12:20:00;11:15:00;77.17;76.16;True;12:00 - 12:30;11:00 - 11:30;0.8;0.3;2.1;0.0;1.1;0.0;0.9;0.8;2.1;2.1;0.8
2009-11-16;78.51;76.8;76.87;78.31;True;1.71;79.43;78.13;78.87;14:15:00;14:10:00;True;False;True;False;True;True;True;2009-11-16 10:50:00-05:00;;10:50:00;10:30 - 11:00;True;True;True;78.47;78.13;79.43;78.24;14:15:00;12:20:00;79.43;78.24;True;14:00 - 14:30;12:00 - 12:30;0.0;0.8;1.5;0.8;1.2;0.8;0.9;0.9;1.5;1.5;0.9
2009-11-17;79.14;78.32;78.54;78.92;True;0.82;79.73;78.4;79.23;13:45:00;13:50:00;True;False;True;False;True;True;True;2009-11-17 12:20:00-05:00;;12:20:00;12:00 - 12:30;True;True;True;78.95;78.4;79.73;78.99;13:45:00;12:25:00;79.73;79.06;True;13:30 - 14:00;12:00 - 12:30;0.2;0.7;1.7;0.1;1.1;0.1;0.7;0.9;1.7;1.7;1.0
2009-11-19;79.33;77.96;79.3;78.11;False;1.37;78.2;77.06;77.73;12:30:00;12:35:00;False;True;False;True;True;True;True;;2009-11-19 10:30:00-05:00;10:30:00;10:30 - 11:00;False;True;True;78.11;78.11;78.2;77.06;11:00:00;10:35:00;77.06;77.83;False;11:00 - 11:30;10:30 - 11:00;0.9;0.1;0.1;-0.6;-0.2;0.2;0.1;-0.6;0.1;-0.6;-0.1
2009-11-20;76.78;76.23;76.44;76.45;True;0.55;77.33;76.26;76.83;11:55:00;12:15:00;True;False;True;False;True;True;True;2009-11-20 11:50:00-05:00;;11:50:00;11:30 - 12:00;True;True;True;76.78;76.26;77.33;76.3;11:55:00;11:55:00;77.33;77.14;False;11:30 - 12:00;11:30 - 12:00;0.3;0.4;2.0;0.1;1.0;0.1;1.0;0.2;2.0;2.0;1.7
2009-11-23;79.92;79.24;79.25;79.31;True;0.68;79.62;77.15;77.72;11:25:00;10:40:00;False;True;False;True;True;True;True;;2009-11-23 11:40:00-05:00;11:40:00;11:30 - 12:00;False;True;True;79.62;79.2;79.29;77.15;14:10:00;11:45:00;77.15;79.29;True;14:00 - 14:30;11:30 - 12:00;0.0;0.1;0.5;-3.0;-2.3;0.0;0.5;-3.0;0.0;-3.0;0.0
