date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;66.01;65.46;65.97;65.49;65.76;65.55;false;0.55;66.2;65.41;66.2;65.43;66.2;true;true;true;true;true;false;false;1254137100000000;1254125400000000;1254125400000000;04:00 - 04:30;false;false;false;65.44;65.57;65.43;66.2;65.6;65.43;1254126600000000;1254126600000000;true;04:30 - 05:00;04:30 - 05:00;-0.0;0.2;-0.1;1.3;0.5;0.1;1.3;-0.1;1.3
2009-09-29;67.04;66.65;67.02;66.7;67.02;66.7;false;0.39;67.01;66.11;66.95;66.15;66.4;false;true;false;true;true;true;true;;1254216000000000;1254216000000000;05:00 - 05:30;false;true;true;66.67;67.01;66.11;66.77;66.77;66.11;1254223800000000;1254226500000000;true;08:00 - 08:30;07:30 - 08:00;-1.3;0.3;-1.4;0.3;0.9;0.1;-0.7;-1.4;0.9
2009-09-30;67.33;67.08;67.27;67.11;67.25;67.2;false;0.25;67.99;66.96;67.95;67.06;67.29;true;true;true;true;true;false;false;1254301200000000;1254299400000000;1254299400000000;04:30 - 05:00;false;false;false;66.96;67.26;67.07;67.99;67.14;67.07;1254299700000000;1254299700000000;true;04:30 - 05:00;04:30 - 05:00;-0.0;0.2;-0.1;3.6;0.6;0.4;0.8;-0.5;3.6
2009-10-01;70.42;69.99;70.37;70.01;70.03;70.04;true;0.43;70.22;69.61;70.22;69.66;70.02;false;true;false;true;true;true;true;;1254385200000000;1254385200000000;04:00 - 04:30;false;true;false;69.97;70.07;69.61;70.22;70.22;69.61;1254389700000000;1254399300000000;true;08:00 - 08:30;05:30 - 06:00;-0.8;0.5;-0.9;0.5;0.0;0.1;0.0;-0.9;0.5
2009-10-02;70.07;69.62;70.07;69.71;70.07;69.8;false;0.45;70.06;69.55;70.04;69.58;69.88;false;true;false;true;true;true;true;;1254481500000000;1254481500000000;07:00 - 07:30;false;true;false;69.58;70.06;69.57;69.96;69.71;69.57;1254481800000000;1254481800000000;true;07:00 - 07:30;07:00 - 07:30;-0.1;0.1;-0.2;0.7;1.0;0.3;0.5;-0.2;0.9
2009-10-05;70.06;69.44;70.04;69.53;70.04;69.67;false;0.62;69.91;68.95;69.86;68.98;68.98;false;true;false;true;true;true;true;;1254738900000000;1254738900000000;06:30 - 07:00;false;true;true;69.41;69.91;68.95;69.39;69.39;68.95;1254740100000000;1254745500000000;false;08:00 - 08:30;06:30 - 07:00;-0.7;-0.1;-0.8;-0.1;0.9;0.3;-0.8;-0.8;0.7
2009-10-06;71.15;70.67;71.15;70.74;70.8;71.15;true;0.48;71.63;70.8;71.56;70.85;71.25;true;false;true;false;true;true;true;1254819900000000;;1254819900000000;05:00 - 05:30;true;true;true;70.8;71.31;70.97;71.63;71.2;71.63;1254820200000000;1254820800000000;false;05:00 - 05:30;05:00 - 05:30;1.9;1.2;2.0;0.7;0.3;1.0;1.3;0.3;2.0
2009-10-07;71.45;71.06;71.43;71.1;71.43;71.29;false;0.39;71.41;70.93;71.39;71.03;71.21;false;true;false;true;true;true;true;;1254914700000000;1254914700000000;07:00 - 07:30;false;true;false;71.01;71.41;70.93;71.29;71.16;70.93;1254915000000000;1254916800000000;true;08:00 - 08:30;07:30 - 08:00;-0.3;0.2;-0.4;0.5;0.9;0.5;0.3;-0.4;0.8
2009-10-08;70.58;70.18;70.49;70.21;70.32;70.49;true;0.4;70.55;70.07;70.48;70.1;70.31;false;true;false;true;true;true;true;;1254990600000000;1254990600000000;04:30 - 05:00;false;true;false;70.2;70.55;70.07;70.45;70.4;70.07;1254994500000000;1255000800000000;true;07:00 - 07:30;05:30 - 06:00;-0.2;0.5;-0.3;0.6;0.3;0.7;0.3;-0.3;0.9
2009-10-09;71.67;70.95;71.53;71.06;71.06;71.38;true;0.72;71.57;70.87;71.45;71.05;71.05;false;true;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;;;;;0.1;0.5;0.1;-0.2;0.8
2009-10-12;72.46;72.11;72.43;72.13;72.3;72.3;false;0.35;73.43;72.22;73.38;72.27;73.16;true;false;true;false;true;true;true;1255337700000000;;1255337700000000;04:30 - 05:00;true;true;true;72.22;72.48;72.47;73.43;72.47;73.43;1255338000000000;1255347900000000;false;07:30 - 08:00;05:00 - 05:30;3.7;1.1;3.8;1.1;0.6;0.6;3.1;0.4;3.8
2009-10-13;73.65;73.27;73.63;73.28;73.37;73.54;true;0.38;74.47;73.54;74.46;73.55;74.13;true;false;true;false;true;true;true;1255421400000000;;1255421400000000;04:00 - 04:30;true;true;true;73.54;73.71;73.62;74.47;73.62;74.47;1255425300000000;1255431900000000;true;07:00 - 07:30;05:00 - 05:30;3.1;1.0;3.2;1.0;0.3;0.8;2.3;0.8;3.2
2009-10-14;75.04;74.71;75.02;74.74;75.02;74.83;false;0.33;75.17;74.48;75.15;74.55;74.81;true;true;true;true;true;false;false;1255517700000000;1255509300000000;1255509300000000;04:30 - 05:00;false;false;false;74.81;74.96;74.48;75.17;75.17;74.48;1255518300000000;1255521600000000;true;08:00 - 08:30;07:00 - 07:30;-0.6;1.3;-0.7;1.3;0.9;0.3;0.3;-0.7;1.3
2009-10-15;75.66;75.45;75.62;75.49;75.55;75.6;true;0.21;75.76;74.79;75.76;74.81;75.18;true;true;true;true;true;false;false;1255593600000000;1255599600000000;1255593600000000;04:00 - 04:30;true;false;false;;;74.79;75.76;75.59;75.76;1255593900000000;1255594500000000;true;04:00 - 04:30;04:00 - 04:30;1.4;0.7;1.5;-3.1;0.5;0.8;-1.2;-3.1;1.5
2009-10-16;78.04;77.71;78.02;77.75;77.83;77.93;true;0.33;78.03;77.0;78.02;77.07;77.28;false;true;false;true;true;true;true;;1255682400000000;1255682400000000;04:30 - 05:00;false;true;true;77.7;78.03;77.0;77.66;77.66;77.0;1255683900000000;1255693500000000;false;07:30 - 08:00;05:00 - 05:30;-2.1;-0.2;-2.2;-0.2;0.3;0.6;-1.4;-2.2;0.9
2009-10-19;78.95;78.67;78.94;78.71;78.73;78.9;true;0.28;78.93;78.05;78.91;78.07;78.34;false;true;false;true;true;true;true;;1255940100000000;1255940100000000;04:00 - 04:30;false;true;true;78.75;78.93;78.05;78.75;78.75;78.05;1255941000000000;1255949100000000;true;06:30 - 07:00;04:30 - 05:00;-2.2;0.2;-2.3;0.2;0.2;0.8;-1.2;-2.3;0.9
2009-10-20;79.91;79.23;79.91;79.31;79.91;79.31;false;0.68;79.64;79.06;79.61;79.06;79.5;false;true;false;true;true;true;true;;1256027400000000;1256027400000000;04:30 - 05:00;false;true;false;79.19;79.35;79.06;79.64;79.23;79.06;1256027700000000;1256028900000000;false;04:30 - 05:00;04:30 - 05:00;-0.2;0.0;-0.3;0.6;1.0;0.1;0.3;-0.3;0.6
2009-10-21;79.06;78.8;79.03;78.82;78.82;78.91;true;0.26;78.92;77.64;78.9;77.74;77.91;false;true;false;true;true;true;true;;1256112300000000;1256112300000000;04:00 - 04:30;false;true;true;78.82;78.92;77.64;78.65;78.65;77.64;1256112600000000;1256125200000000;false;07:30 - 08:00;04:00 - 04:30;-4.4;-0.6;-4.5;-0.6;0.0;0.4;-3.5;-4.5;0.4
