date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;66.67;66.0;66.55;66.08;66.08;66.55;true;0.67;67.54;66.4;67.4;66.52;67.03;true;false;true;false;true;true;true;1254148500000000;;1254148500000000;10:30 - 11:00;true;true;true;66.5;66.73;66.4;67.54;66.55;67.54;1254149400000000;1254153900000000;true;12:00 - 12:30;10:30 - 11:00;2.2;0.9;2.3;0.6;0.2;0.9;1.6;0.6;2.3
2009-09-29;66.85;65.87;66.76;66.04;66.45;66.65;true;0.98;67.3;66.18;67.09;66.27;66.69;true;false;true;false;true;true;true;1254234900000000;;1254234900000000;10:30 - 11:00;true;true;false;66.65;66.83;66.18;67.23;66.97;67.23;1254235200000000;1254235200000000;false;10:30 - 11:00;10:30 - 11:00;1.3;1.2;1.4;0.4;0.6;0.8;0.9;0.4;1.5
2009-09-30;67.4;66.22;67.28;66.37;67.28;66.41;false;1.18;70.72;66.24;70.6;66.46;70.34;true;false;true;false;true;true;true;1254322500000000;;1254322500000000;10:30 - 11:00;true;true;true;66.24;67.55;67.6;70.72;67.6;70.72;1254322800000000;1254335100000000;false;14:00 - 14:30;11:00 - 11:30;3.8;1.2;3.9;1.2;0.9;0.2;3.5;0.1;3.9
2009-10-01;71.08;70.23;71.05;70.33;70.57;70.62;true;0.85;71.09;69.13;70.93;69.24;70.45;true;true;false;true;true;true;false;;1254409500000000;1254409500000000;11:00 - 11:30;false;true;false;70.32;71.09;69.13;70.91;70.31;69.13;1254410100000000;1254411300000000;true;11:30 - 12:00;11:00 - 11:30;-1.2;0.0;-1.3;0.7;0.3;0.4;0.2;-1.3;1.0
2009-10-02;70.31;68.84;70.19;68.97;68.97;70.04;true;1.47;70.23;68.83;70.19;68.92;69.73;false;true;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;;;;;0.0;0.8;0.6;-0.1;0.9
2009-10-05;69.51;68.59;69.29;68.81;68.94;68.85;false;0.92;71.0;68.05;70.84;68.23;70.34;true;true;true;true;true;false;false;1254761700000000;1254753600000000;1254753600000000;10:30 - 11:00;false;false;false;68.6;68.91;68.05;71.0;68.64;68.05;1254755100000000;1254756300000000;true;11:00 - 11:30;11:00 - 11:30;-0.5;0.0;-0.6;2.6;0.3;0.2;1.9;-0.6;2.6
2009-10-06;71.95;70.91;71.93;70.99;70.99;71.67;true;1.04;71.97;70.51;71.84;70.67;71.03;true;true;false;true;true;true;false;;1254851400000000;1254851400000000;13:30 - 14:00;false;true;false;70.91;71.97;70.56;71.13;70.94;70.56;1254852000000000;1254852600000000;true;14:00 - 14:30;14:00 - 14:30;-0.3;0.0;-0.4;0.2;0.0;0.7;0.1;-0.4;1.0
2009-10-07;71.47;70.81;71.39;70.92;71.17;71.37;true;0.66;71.47;68.88;71.41;69.11;69.84;false;true;false;true;true;true;true;;1254925800000000;1254925800000000;10:30 - 11:00;false;true;true;;;68.88;71.29;71.29;68.88;1254927900000000;1254938100000000;true;13:30 - 14:00;11:00 - 11:30;-2.9;0.7;-3.0;0.7;0.5;0.8;-1.5;-3.0;1.0
2009-10-08;69.93;69.25;69.88;69.36;69.37;69.88;true;0.68;72.55;69.78;72.23;69.87;71.33;true;false;true;false;true;true;true;1255012200000000;;1255012200000000;10:30 - 11:00;true;true;true;;;69.97;72.55;69.97;72.55;1255012500000000;1255019700000000;false;12:30 - 13:00;10:30 - 11:00;4.8;1.1;4.9;1.1;0.2;1.0;3.1;0.8;4.9
2009-10-09;72.24;71.36;72.09;71.51;71.7;71.84;true;0.88;72.35;70.88;72.26;70.9;72.26;true;true;true;true;true;false;false;1255117500000000;1255103700000000;1255103700000000;11:30 - 12:00;false;false;false;71.28;72.22;70.88;72.35;71.47;70.88;1255104000000000;1255104600000000;true;12:00 - 12:30;12:00 - 12:30;-0.5;0.1;-0.6;1.1;0.3;0.5;1.0;-0.6;1.1
