date;dr_high;dr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2009-09-28;66.01;65.46;65.76;65.55;False;0.55;66.2;65.41;66.2;08:20:00;08:25:00;True;True;True;True;True;False;False;2009-09-28 07:25:00-04:00;2009-09-28 04:10:00-04:00;04:10:00;04:00 - 04:30;False;False;False;65.57;65.44;66.2;65.43;04:30:00;04:30:00;65.43;65.6;True;04:30 - 05:00;04:30 - 05:00;0.5;0.1;1.3;0.0;1.3;0.0;0.1;0.0;1.3;0.0;0.2
2009-09-29;67.04;66.65;67.02;66.7;False;0.39;67.01;66.11;66.4;04:25:00;04:20:00;False;True;False;True;True;True;True;;2009-09-29 05:20:00-04:00;05:20:00;05:00 - 05:30;False;True;True;67.01;66.67;66.77;66.11;08:15:00;07:30:00;66.11;66.77;True;08:00 - 08:30;07:30 - 08:00;0.9;0.1;0.9;-1.3;-0.7;0.1;0.9;-1.3;0.3;-1.3;0.3
2009-09-30;67.33;67.08;67.25;67.2;False;0.25;67.99;66.96;67.29;06:05:00;06:55:00;True;True;True;True;True;False;False;2009-09-30 05:00:00-04:00;2009-09-30 04:30:00-04:00;04:30:00;04:30 - 05:00;False;False;False;67.26;66.96;67.99;67.07;04:35:00;04:35:00;67.07;67.14;True;04:30 - 05:00;04:30 - 05:00;0.6;0.4;3.6;-0.4;0.8;-0.4;0.7;0.0;3.6;0.0;0.2
2009-10-01;70.42;69.99;70.03;70.04;True;0.43;70.22;69.61;70.02;05:35:00;05:40:00;False;True;False;True;True;True;True;;2009-10-01 04:20:00-04:00;04:20:00;04:00 - 04:30;False;True;False;70.07;69.97;70.22;69.61;08:15:00;05:35:00;69.61;70.22;True;08:00 - 08:30;05:30 - 06:00;0.0;0.1;0.5;-0.8;0.0;0.0;0.1;-0.8;0.5;-0.8;0.5
2009-10-02;70.07;69.62;70.07;69.8;False;0.45;70.06;69.55;69.88;05:05:00;05:20:00;False;True;False;True;True;True;True;;2009-10-02 07:05:00-04:00;07:05:00;07:00 - 07:30;False;True;False;70.06;69.58;69.96;69.57;07:10:00;07:10:00;69.57;69.71;True;07:00 - 07:30;07:00 - 07:30;1.0;0.3;0.9;-0.1;0.5;0.0;0.9;-0.1;0.7;-0.1;0.1
2009-10-05;70.06;69.44;70.04;69.67;False;0.62;69.91;68.95;68.98;04:05:00;04:10:00;False;True;False;True;True;True;True;;2009-10-05 06:35:00-04:00;06:35:00;06:30 - 07:00;False;True;True;69.91;69.41;69.39;68.95;08:25:00;06:55:00;68.95;69.39;False;08:00 - 08:30;06:30 - 07:00;0.9;0.3;0.7;-0.7;-0.8;0.0;0.7;-0.7;-0.1;-0.7;-0.1
2009-10-06;71.15;70.67;70.8;71.15;True;0.48;71.63;70.8;71.25;05:20:00;07:45:00;True;False;True;False;True;True;True;2009-10-06 05:05:00-04:00;;05:05:00;05:00 - 05:30;True;True;True;71.31;70.8;71.63;70.97;05:20:00;05:10:00;71.63;71.2;False;05:00 - 05:30;05:00 - 05:30;0.2;1.0;1.9;0.3;1.2;0.3;1.3;0.7;1.9;1.9;1.2
2009-10-07;71.45;71.06;71.43;71.29;False;0.39;71.41;70.93;71.21;06:30:00;06:30:00;False;True;False;True;True;True;True;;2009-10-07 07:25:00-04:00;07:25:00;07:00 - 07:30;False;True;False;71.41;71.01;71.29;70.93;08:00:00;07:30:00;70.93;71.16;True;08:00 - 08:30;07:30 - 08:00;0.9;0.5;0.8;-0.3;0.3;-0.1;0.8;-0.3;0.5;-0.3;0.2
2009-10-08;70.58;70.18;70.32;70.49;True;0.4;70.55;70.07;70.31;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-08 04:30:00-04:00;04:30:00;04:30 - 05:00;False;True;False;70.55;70.2;70.45;70.07;07:20:00;05:35:00;70.07;70.4;True;07:00 - 07:30;05:30 - 06:00;0.3;0.7;0.9;-0.2;0.3;0.1;0.9;-0.2;0.6;-0.2;0.5
2009-10-09;71.67;70.95;71.06;71.38;True;0.72;71.57;70.87;71.05;04:15:00;04:15:00;False;True;False;False;False;False;True;;;;No breakout;False;True;False;71.38;71.38;71.05;71.05;;;;;False;No breakout;No breakout;0.1;0.5;0.8;-0.1;0.1;0.6;0.5;0.2;0.1;;
2009-10-12;72.46;72.11;72.3;72.3;False;0.35;73.43;72.22;73.16;07:45:00;07:55:00;True;False;True;False;True;True;True;2009-10-12 04:55:00-04:00;;04:55:00;04:30 - 05:00;True;True;True;72.48;72.22;73.43;72.47;07:45:00;05:00:00;73.43;72.47;False;07:30 - 08:00;05:00 - 05:30;0.5;0.5;3.7;0.4;3.0;0.4;1.0;1.1;3.7;3.7;1.1
2009-10-13;73.65;73.27;73.37;73.54;True;0.38;74.47;73.54;74.13;07:05:00;07:50:00;True;False;True;False;True;True;True;2009-10-13 04:10:00-04:00;;04:10:00;04:00 - 04:30;True;True;True;73.71;73.54;74.47;73.62;07:05:00;05:15:00;74.47;73.62;True;07:00 - 07:30;05:00 - 05:30;0.2;0.7;3.1;0.8;2.2;0.8;1.1;1.0;3.1;3.1;1.0
2009-10-14;75.04;74.71;75.02;74.83;False;0.33;75.17;74.48;74.81;07:05:00;07:05:00;True;True;True;True;True;False;False;2009-10-14 06:55:00-04:00;2009-10-14 04:35:00-04:00;04:35:00;04:30 - 05:00;False;False;False;74.96;74.81;75.17;74.48;08:00:00;07:05:00;74.48;75.17;True;08:00 - 08:30;07:00 - 07:30;0.9;0.3;1.3;-0.6;0.3;0.4;0.7;-0.6;1.3;-0.6;1.3
2009-10-15;75.66;75.45;75.55;75.6;True;0.21;75.76;74.79;75.18;04:15:00;04:20:00;True;True;True;True;True;False;False;2009-10-15 04:00:00-04:00;2009-10-15 05:40:00-04:00;04:00:00;04:00 - 04:30;True;False;False;75.6;75.6;75.76;74.79;04:15:00;04:05:00;75.76;75.59;True;04:00 - 04:30;04:00 - 04:30;0.4;0.7;1.4;-3.1;-1.3;0.8;0.7;-3.1;1.4;1.4;0.7
2009-10-16;78.04;77.71;77.83;77.93;True;0.33;78.03;77.0;77.28;04:20:00;04:20:00;False;True;False;True;True;True;True;;2009-10-16 04:40:00-04:00;04:40:00;04:30 - 05:00;False;True;True;78.03;77.7;77.66;77.0;07:45:00;05:05:00;77.0;77.66;False;07:30 - 08:00;05:00 - 05:30;0.3;0.6;0.9;-2.1;-1.4;0.0;0.9;-2.1;-0.2;-2.1;-0.2
2009-10-19;78.95;78.67;78.73;78.9;True;0.28;78.93;78.05;78.34;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-19 04:15:00-04:00;04:15:00;04:00 - 04:30;False;True;True;78.93;78.75;78.75;78.05;06:45:00;04:30:00;78.05;78.75;True;06:30 - 07:00;04:30 - 05:00;0.2;0.8;0.9;-2.2;-1.2;0.3;0.9;-2.2;0.2;-2.2;0.2
2009-10-20;79.91;79.23;79.91;79.31;False;0.68;79.64;79.06;79.5;08:25:00;08:05:00;False;True;False;True;True;True;True;;2009-10-20 04:30:00-04:00;04:30:00;04:30 - 05:00;False;True;False;79.35;79.19;79.64;79.06;04:55:00;04:35:00;79.06;79.23;False;04:30 - 05:00;04:30 - 05:00;1.0;0.1;0.6;-0.2;0.3;0.0;0.1;-0.2;0.6;-0.2;0.0
2009-10-21;79.06;78.8;78.82;78.91;True;0.26;78.92;77.64;77.91;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-21 04:05:00-04:00;04:05:00;04:00 - 04:30;False;True;True;78.92;78.82;78.65;77.64;07:40:00;04:10:00;77.64;78.65;False;07:30 - 08:00;04:00 - 04:30;0.0;0.4;0.4;-4.4;-3.5;0.1;0.4;-4.4;-0.6;-4.4;-0.6
2009-10-22;80.97;80.55;80.65;80.59;False;0.42;80.99;79.9;80.77;08:20:00;08:20:00;True;True;False;True;True;True;False;;2009-10-22 04:00:00-04:00;04:00:00;04:00 - 04:30;False;True;False;80.59;80.59;80.99;79.9;05:50:00;04:05:00;79.9;80.55;False;05:30 - 06:00;04:00 - 04:30;0.2;0.0;1.0;-1.5;0.5;0.1;0.0;-1.5;1.0;-1.5;0.0
2009-10-23;81.54;81.15;81.41;81.21;False;0.39;81.47;81.0;81.18;07:30:00;07:30:00;False;True;False;True;True;True;True;;2009-10-23 04:15:00-04:00;04:15:00;04:00 - 04:30;False;True;False;81.3;81.11;81.47;81.0;06:35:00;05:15:00;81.0;81.36;True;06:30 - 07:00;05:00 - 05:30;0.6;0.1;0.8;-0.3;0.0;-0.1;0.3;-0.3;0.8;-0.3;0.5
