date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;expansion_level;retracement_level
2009-09-28;1055.5;1043.75;1054.75;1044.0;1044.0;1054.75;True;1061.0;1054.75;1061.0;1054.75;1058.5;13:40:00;13:45:00;True;False;True;False;True;True;True;2009-09-28 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;1054.75;1054.75;13:40:00;10:50:00;1061.0;1055.0;True;False;13:30 - 14:00;10:30 - 11:00;0.0;0.9;1.4;0.9;1.2;0.9;0.9;1.4;0.9
2009-09-29;1065.75;1055.5;1064.75;1058.0;1060.75;1059.25;False;1061.5;1053.25;1060.5;1054.5;1055.75;10:40:00;13:05:00;False;True;False;True;True;True;True;;2009-09-29 11:45:00-04:00;11:45:00;11:30 - 12:00;False;True;False;1061.5;1054.5;11:50:00;11:50:00;1053.75;1055.5;False;False;11:30 - 12:00;11:30 - 12:00;0.5;0.3;0.5;-0.2;0.0;0.0;0.5;-0.1;0.0
2009-09-30;1060.0;1041.5;1058.75;1042.5;1058.75;1043.75;False;1059.25;1042.5;1058.0;1043.5;1051.25;13:05:00;13:25:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;1043.75;1043.75;;;;;False;False;No breakout;No breakout;0.9;0.1;0.9;0.0;0.5;0.1;0.1;;
2009-10-01;1049.25;1036.75;1049.0;1037.5;1049.0;1038.25;False;1040.75;1024.5;1040.0;1025.0;1025.0;10:35:00;10:40:00;False;True;False;True;True;True;True;;2009-10-01 11:00:00-04:00;11:00:00;11:00 - 11:30;False;True;True;1040.75;1037.0;15:55:00;11:05:00;1024.5;1036.5;False;False;15:30 - 16:00;11:00 - 11:30;0.9;0.1;0.3;-0.9;-0.9;0.0;0.3;-0.9;0.0
2009-10-02;1023.75;1015.0;1023.25;1015.25;1015.25;1023.25;True;1026.25;1018.75;1025.5;1019.5;1021.0;10:35:00;10:35:00;True;False;True;False;True;True;True;2009-10-02 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;False;1023.25;1023.25;10:35:00;10:35:00;1026.25;1024.75;False;False;10:30 - 11:00;10:30 - 11:00;0.0;0.9;1.2;0.4;0.6;0.9;0.9;1.2;1.1
2009-10-05;1031.0;1021.25;1029.25;1023.0;1024.25;1027.5;True;1038.5;1026.5;1037.75;1026.75;1035.5;14:55:00;14:55:00;True;False;True;False;True;True;True;2009-10-05 11:00:00-04:00;;11:00:00;11:00 - 11:30;True;True;True;1031.5;1026.5;14:55:00;11:35:00;1038.5;1028.25;True;True;14:30 - 15:00;11:30 - 12:00;0.3;0.6;1.7;0.5;1.4;0.5;1.0;1.7;0.7
2009-10-06;1052.0;1042.5;1051.75;1042.75;1042.75;1049.25;True;1056.75;1042.75;1055.75;1043.5;1050.75;11:10:00;11:10:00;True;False;True;False;True;True;True;2009-10-06 10:40:00-04:00;;10:40:00;10:30 - 11:00;True;True;False;1051.0;1049.0;11:10:00;10:50:00;1056.75;1051.5;True;True;11:00 - 11:30;10:30 - 11:00;0.0;0.7;1.5;0.0;0.8;0.6;0.8;1.5;0.9
2009-10-07;1053.25;1046.25;1052.5;1046.75;1048.25;1051.5;True;1054.5;1047.5;1053.5;1047.75;1053.5;11:05:00;11:05:00;True;False;True;False;True;True;True;2009-10-07 15:55:00-04:00;;15:55:00;15:30 - 16:00;True;True;True;1054.5;1047.5;15:55:00;15:55:00;1054.25;1052.5;True;False;15:30 - 16:00;15:30 - 16:00;0.2;0.7;1.1;0.1;1.0;0.1;1.1;1.1;0.8
2009-10-08;1063.5;1056.75;1062.75;1058.25;1061.25;1061.25;False;1067.25;1060.25;1066.75;1060.75;1061.5;12:25:00;12:30:00;True;False;True;False;True;True;True;2009-10-08 11:15:00-04:00;;11:15:00;11:00 - 11:30;True;True;False;1063.25;1060.5;12:25:00;11:20:00;1067.25;1063.75;False;False;12:00 - 12:30;11:00 - 11:30;0.6;0.6;1.5;0.5;0.7;0.5;0.9;1.5;1.0
2009-10-09;1065.25;1059.0;1064.5;1060.5;1061.75;1063.75;True;1068.0;1061.75;1067.5;1061.75;1067.5;15:55:00;15:10:00;True;False;True;False;True;True;True;2009-10-09 11:30:00-04:00;;11:30:00;11:30 - 12:00;True;True;True;1065.75;1062.75;15:55:00;12:20:00;1068.0;1061.75;True;True;15:30 - 16:00;12:00 - 12:30;0.4;0.7;1.4;0.4;1.3;0.5;1.0;1.4;0.4
