date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;1043.25;1040.25;1042.75;1040.5;1040.75;1040.5;false;3.0;1047.25;1037.0;1046.75;1037.5;1046.75;true;true;true;true;true;false;false;1254134700000000;1254123000000000;1254123000000000;03:30 - 04:00;false;false;false;;;1037.0;1047.25;1038.75;1037.0;1254123300000000;1254123600000000;false;03:30 - 04:00;03:30 - 04:00;-1.0;-0.5;-1.1;2.3;0.1;0.0;2.1;-1.1;2.3
2009-09-29;1060.75;1057.25;1060.75;1057.5;1060.75;1058.5;false;3.5;1059.25;1056.0;1058.75;1056.25;1058.75;false;true;false;true;true;true;true;;1254211200000000;1254211200000000;04:00 - 04:30;false;true;false;1057.0;1058.75;1056.0;1059.25;1059.0;1056.0;1254219000000000;1254221100000000;true;06:30 - 07:00;06:00 - 06:30;-0.3;0.5;-0.4;0.5;1.0;0.3;0.4;-0.4;0.5
2009-09-30;1058.0;1056.75;1057.5;1057.25;1057.25;1057.5;true;1.25;1061.0;1056.25;1060.75;1057.0;1057.75;true;true;true;false;true;true;false;1254299700000000;;1254299700000000;04:30 - 05:00;true;true;false;1056.5;1058.25;1056.25;1061.0;1058.25;1061.0;1254300000000000;1254301500000000;false;05:00 - 05:30;04:30 - 05:00;3.4;1.2;3.4;-0.4;0.4;0.6;0.8;-0.4;3.4
2009-10-01;1054.5;1050.25;1054.25;1050.5;1051.75;1054.25;true;4.25;1055.25;1046.0;1054.75;1046.5;1048.0;true;true;true;true;true;false;false;1254382200000000;1254386400000000;1254382200000000;03:30 - 04:00;true;false;false;;;1046.0;1055.25;1053.75;1055.25;1254382500000000;1254382500000000;true;03:30 - 04:00;03:30 - 04:00;1.1;0.9;1.2;-1.0;0.4;1.0;-0.5;-1.0;1.2
2009-10-02;1026.5;1023.25;1025.5;1023.25;1024.25;1023.25;false;3.25;1027.0;1022.25;1026.5;1022.5;1023.0;true;true;false;true;true;true;false;;1254468600000000;1254468600000000;03:30 - 04:00;false;true;true;;;1022.25;1027.0;1023.5;1022.25;1254468900000000;1254468900000000;true;03:30 - 04:00;03:30 - 04:00;-0.3;0.0;-0.4;1.1;0.3;0.0;-0.1;-0.4;1.1
2009-10-05;1025.0;1022.0;1024.75;1023.5;1024.5;1024.5;false;3.0;1028.5;1023.25;1028.25;1024.0;1025.25;true;false;true;false;true;true;true;1254728700000000;;1254728700000000;03:30 - 04:00;true;true;true;1023.25;1025.0;1025.25;1028.5;1025.25;1028.5;1254729000000000;1254730200000000;false;04:00 - 04:30;03:30 - 04:00;2.1;1.1;2.2;1.1;0.9;0.9;1.1;0.5;2.2
2009-10-06;1039.5;1036.75;1038.75;1037.75;1037.75;1038.25;true;2.75;1047.75;1037.25;1047.25;1037.75;1045.25;true;false;true;false;true;true;true;1254815400000000;;1254815400000000;03:30 - 04:00;true;true;true;1037.25;1039.5;1039.25;1047.75;1039.25;1047.75;1254815700000000;1254829800000000;true;07:30 - 08:00;03:30 - 04:00;4.0;1.0;4.0;1.0;0.4;0.6;3.1;0.2;4.0
2009-10-07;1054.75;1049.5;1054.0;1050.25;1052.0;1053.0;true;5.25;1054.5;1048.25;1054.25;1048.75;1049.75;false;true;false;true;true;true;true;;1254914700000000;1254914700000000;07:00 - 07:30;false;true;false;1049.25;1054.5;1048.25;1050.75;1050.75;1048.25;1254915600000000;1254916800000000;true;08:00 - 08:30;07:30 - 08:00;-0.2;0.2;-0.3;0.2;0.4;0.6;0.0;-0.3;0.9
2009-10-08;1065.0;1063.5;1064.75;1063.75;1064.75;1064.75;false;1.5;1065.75;1061.25;1065.5;1061.5;1062.5;true;true;true;true;true;false;false;1254988800000000;1254992100000000;1254988800000000;04:00 - 04:30;true;false;false;1063.25;1065.0;1061.25;1065.75;1064.75;1065.75;1254989100000000;1254989100000000;true;04:00 - 04:30;04:00 - 04:30;1.5;0.9;1.5;-1.5;0.9;0.9;-0.6;-1.5;1.5
2009-10-09;1067.25;1060.5;1066.5;1060.5;1060.5;1066.0;true;6.75;1067.0;1058.5;1066.75;1059.25;1059.25;false;true;false;true;true;true;true;;1255082100000000;1255082100000000;05:30 - 06:00;false;true;true;1060.75;1067.0;1058.5;1064.0;1064.0;1058.5;1255086300000000;1255091100000000;true;08:00 - 08:30;07:00 - 07:30;-0.2;0.5;-0.3;0.5;0.0;0.8;-0.2;-0.3;0.9
