date;dr_high;dr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2009-09-28;1043.25;1037.0;1040.75;1038.25;False;6.25;1047.25;1037.75;1046.75;08:25:00;08:25:00;True;False;True;False;True;True;True;2009-09-28 06:45:00-04:00;;06:45:00;06:30 - 07:00;True;True;True;1044.0;1037.75;1047.25;1043.0;08:25:00;07:00:00;1047.25;1043.0;True;08:00 - 08:30;07:00 - 07:30;0.5;0.2;1.6;0.2;1.5;0.2;1.1;1.0;1.6;1.6;1.0
2009-09-29;1060.75;1057.0;1060.75;1057.5;False;3.75;1059.25;1056.0;1058.75;07:35:00;07:35:00;False;True;False;True;True;True;True;;2009-09-29 04:00:00-04:00;04:00:00;04:00 - 04:30;False;True;False;1057.5;1057.5;1059.25;1056.0;06:45:00;06:10:00;1056.0;1059.0;True;06:30 - 07:00;06:00 - 06:30;1.0;0.1;0.5;-0.2;0.4;0.2;0.1;-0.2;0.5;-0.2;0.5
2009-09-30;1058.0;1056.5;1057.25;1057.0;False;1.5;1061.0;1056.25;1057.75;05:05:00;05:10:00;True;True;True;False;True;True;False;2009-09-30 04:35:00-04:00;;04:35:00;04:30 - 05:00;True;True;False;1058.25;1057.0;1061.0;1056.25;05:05:00;04:40:00;1061.0;1058.25;False;05:00 - 05:30;04:30 - 05:00;0.5;0.3;3.0;-0.1;0.8;0.4;1.1;-0.1;3.0;3.0;1.2
2009-10-01;1055.25;1050.25;1051.75;1053.5;True;5.0;1053.75;1046.0;1048.0;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-01 04:40:00-04:00;04:40:00;04:30 - 05:00;False;True;True;1053.75;1052.0;1050.75;1046.0;06:40:00;05:05:00;1046.0;1050.75;True;06:30 - 07:00;05:00 - 05:30;0.2;0.6;0.6;-0.8;-0.5;0.4;0.6;-0.8;0.1;-0.8;0.1
2009-10-02;1026.5;1022.25;1024.25;1025.25;True;4.25;1027.0;1022.25;1023.0;05:10:00;05:10:00;True;False;False;False;False;False;True;;;;No breakout;False;True;False;1025.25;1025.25;1023.0;1023.0;;;;;False;No breakout;No breakout;0.4;0.7;1.1;0.0;0.1;0.8;0.7;0.2;0.1;;
2009-10-05;1026.5;1022.0;1024.5;1026.25;True;4.5;1028.5;1025.25;1025.25;04:10:00;04:10:00;True;False;True;False;True;True;True;2009-10-05 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;False;1026.75;1026.0;1028.5;1025.25;04:10:00;04:10:00;1028.5;1027.5;False;04:00 - 04:30;04:00 - 04:30;0.5;0.9;1.4;0.8;0.7;0.9;1.0;0.8;1.4;1.4;1.3
2009-10-06;1040.25;1036.75;1037.75;1039.5;True;3.5;1047.75;1039.25;1045.25;07:50:00;07:50:00;True;False;True;False;True;True;True;2009-10-06 04:20:00-04:00;;04:20:00;04:00 - 04:30;True;True;True;1040.5;1039.25;1047.75;1039.25;07:50:00;04:35:00;1047.75;1039.25;True;07:30 - 08:00;04:30 - 05:00;0.2;0.7;3.1;0.8;2.4;0.8;1.0;0.8;3.1;3.1;0.8
2009-10-07;1054.75;1049.5;1052.0;1053.25;True;5.25;1054.5;1048.25;1049.75;04:40:00;04:35:00;False;True;False;True;True;True;True;;2009-10-07 07:25:00-04:00;07:25:00;07:00 - 07:30;False;True;False;1054.5;1049.25;1050.75;1048.25;08:00:00;07:40:00;1048.25;1050.75;True;08:00 - 08:30;07:30 - 08:00;0.4;0.7;0.9;-0.2;0.0;0.0;0.9;-0.2;0.2;-0.2;0.2
2009-10-08;1065.0;1063.25;1064.75;1064.75;False;1.75;1065.75;1061.25;1062.5;04:05:00;04:05:00;True;True;True;True;True;False;False;2009-10-08 04:00:00-04:00;2009-10-08 04:55:00-04:00;04:00:00;04:00 - 04:30;True;False;False;1064.75;1064.75;1065.75;1061.25;04:05:00;04:05:00;1065.75;1064.75;True;04:00 - 04:30;04:00 - 04:30;0.8;0.8;1.4;-1.1;-0.5;0.9;0.8;-1.1;1.4;1.4;0.9
2009-10-09;1067.25;1060.5;1060.5;1065.75;True;6.75;1066.75;1058.5;1059.25;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-09 05:55:00-04:00;05:55:00;05:30 - 06:00;False;True;True;1066.75;1060.75;1064.0;1058.5;08:25:00;07:05:00;1058.5;1064.0;True;08:00 - 08:30;07:00 - 07:30;0.0;0.7;0.9;-0.2;-0.2;0.1;0.9;-0.2;0.5;-0.2;0.5
2009-10-12;1069.75;1067.5;1069.25;1069.5;True;2.25;1076.75;1068.5;1074.5;07:00:00;07:05:00;True;False;True;False;True;True;True;2009-10-12 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;True;1070.0;1068.5;1076.75;1070.75;07:00:00;04:10:00;1076.75;1070.75;False;07:00 - 07:30;04:00 - 04:30;0.7;0.8;4.1;0.5;3.1;0.5;1.1;1.5;4.1;4.1;1.5
2009-10-13;1072.5;1068.5;1071.5;1069.5;False;4.0;1074.25;1067.75;1071.25;07:45:00;07:45:00;True;True;True;True;True;False;False;2009-10-13 07:10:00-04:00;2009-10-13 05:15:00-04:00;05:15:00;05:00 - 05:30;False;False;False;1071.75;1068.25;1074.25;1067.75;05:20:00;05:20:00;1067.75;1068.75;True;05:00 - 05:30;05:00 - 05:30;0.7;0.2;1.4;-0.1;0.6;0.0;0.8;-0.1;1.4;-0.1;0.0
2009-10-14;1080.25;1078.25;1078.5;1079.5;True;2.0;1085.75;1078.25;1083.0;06:55:00;07:00:00;True;False;True;False;True;True;True;2009-10-14 04:55:00-04:00;;04:55:00;04:30 - 05:00;True;True;True;1080.25;1078.25;1085.75;1080.75;06:55:00;05:00:00;1085.75;1080.75;False;06:30 - 07:00;05:00 - 05:30;0.1;0.6;3.7;0.0;2.3;0.0;1.0;1.3;3.7;3.7;1.3
2009-10-16;1095.5;1091.0;1091.0;1093.0;True;4.5;1093.75;1080.5;1082.0;04:25:00;04:30:00;False;True;False;True;True;True;True;;2009-10-16 06:30:00-04:00;06:30:00;06:30 - 07:00;False;True;True;1093.75;1091.0;1090.75;1080.5;08:20:00;06:35:00;1080.5;1090.75;False;08:00 - 08:30;06:30 - 07:00;0.0;0.4;0.6;-2.3;-2.0;0.0;0.6;-2.3;-0.1;-2.3;-0.1
2009-10-19;1089.5;1084.25;1084.5;1088.75;True;5.25;1089.0;1086.5;1087.5;04:00:00;07:10:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;1088.75;1088.75;1087.5;1087.5;;;;;False;No breakout;No breakout;0.0;0.8;0.9;0.5;0.6;0.9;0.8;0.7;0.6;;
2009-10-20;1097.25;1092.0;1097.0;1092.5;False;5.25;1099.0;1089.0;1094.75;07:30:00;08:00:00;True;True;True;True;True;False;False;2009-10-20 07:30:00-04:00;2009-10-20 04:05:00-04:00;04:05:00;04:00 - 04:30;False;False;False;1092.5;1091.25;1099.0;1089.0;04:15:00;04:10:00;1089.0;1091.0;False;04:00 - 04:30;04:00 - 04:30;0.9;0.0;1.3;-0.5;0.5;-0.1;0.0;-0.5;1.3;-0.5;-0.2
2009-10-21;1091.25;1087.25;1089.5;1088.5;False;4.0;1088.75;1080.75;1085.5;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-21 04:05:00-04:00;04:05:00;04:00 - 04:30;False;True;True;1088.75;1087.5;1088.0;1080.75;07:40:00;04:55:00;1080.75;1088.0;True;07:30 - 08:00;04:30 - 05:00;0.5;0.3;0.3;-1.6;-0.5;0.1;0.3;-1.6;0.1;-1.6;0.1
2009-10-22;1078.75;1074.5;1077.0;1077.5;True;4.25;1080.5;1072.0;1078.25;08:20:00;08:15:00;True;True;True;True;True;False;False;2009-10-22 08:20:00-04:00;2009-10-22 04:40:00-04:00;04:40:00;04:30 - 05:00;False;False;False;1077.5;1074.5;1080.5;1072.0;04:45:00;04:45:00;1072.0;1072.75;False;04:30 - 05:00;04:30 - 05:00;0.5;0.7;1.4;-0.5;0.8;0.0;0.7;-0.5;1.4;-0.5;-0.5
2009-10-23;1094.75;1091.0;1091.75;1094.25;True;3.75;1094.5;1089.25;1092.25;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-23 04:30:00-04:00;04:30:00;04:30 - 05:00;False;True;False;1094.5;1092.75;1093.5;1089.25;05:00:00;04:40:00;1089.25;1093.5;True;05:00 - 05:30;04:30 - 05:00;0.2;0.8;0.9;-0.4;0.3;0.5;0.9;-0.4;0.6;-0.4;0.6
2009-10-26;1081.5;1078.25;1080.25;1081.5;True;3.25;1082.75;1077.25;1079.0;04:00:00;06:05:00;True;True;True;True;True;False;False;2009-10-26 04:00:00-04:00;2009-10-26 07:15:00-04:00;04:00:00;04:00 - 04:30;True;False;False;1081.5;1081.5;1082.75;1077.25;04:05:00;04:05:00;1082.75;1081.75;False;04:00 - 04:30;04:00 - 04:30;0.6;1.0;1.3;-0.3;0.2;1.0;1.0;-0.3;1.3;1.3;1.1
2009-10-27;1067.25;1065.0;1066.25;1066.5;True;2.25;1069.75;1064.0;1065.25;07:20:00;07:20:00;True;True;True;True;True;False;False;2009-10-27 04:05:00-04:00;2009-10-27 04:40:00-04:00;04:05:00;04:00 - 04:30;True;False;False;1067.25;1064.75;1069.75;1064.0;07:20:00;05:25:00;1069.75;1064.0;True;07:00 - 07:30;05:00 - 05:30;0.5;0.6;2.1;-0.4;0.1;-0.1;1.0;-0.4;2.1;2.1;-0.4
2009-10-28;1062.0;1059.75;1061.25;1061.25;False;2.25;1061.5;1052.5;1056.0;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-28 04:05:00-04:00;04:05:00;04:00 - 04:30;False;True;True;1061.5;1059.0;1059.5;1052.5;06:25:00;04:40:00;1052.5;1059.5;False;06:00 - 06:30;04:30 - 05:00;0.6;0.6;0.7;-3.2;-1.7;-0.3;0.7;-3.2;-0.2;-3.2;-0.2
