date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;expansion_level;retracement_level;opening_level;closing_level
2009-09-28;1.467;1.463;1.466;1.4634;1.4635;1.4656;True;1.4679;1.4587;1.4669;1.459;1.4604;True;True;False;True;True;True;False;;2009-09-28 10:55:00-04:00;10:55:00;10:30 - 11:00;False;True;True;14:55:00;12:05:00;1.4587;1.4679;True;True;14:30 - 15:00;12:00 - 12:30;-1.0;1.2;0.1;0.6
2009-09-29;1.4578;1.4521;1.4575;1.4535;1.4562;1.4551;False;1.4584;1.4536;1.4581;1.4542;1.4571;True;False;True;False;True;True;True;2009-09-29 12:55:00-04:00;;12:55:00;12:30 - 13:00;True;True;False;13:55:00;13:25:00;1.4584;1.4565;True;True;13:30 - 14:00;13:00 - 13:30;1.1;0.7;0.7;0.5
2009-09-30;1.4621;1.4574;1.4615;1.4583;1.4615;1.4603;False;1.4663;1.4603;1.4657;1.4603;1.4633;True;False;True;False;True;True;True;2009-09-30 11:00:00-04:00;;11:00:00;11:00 - 11:30;True;True;True;12:45:00;11:10:00;1.4663;1.4615;True;False;12:30 - 13:00;11:00 - 11:30;1.8;0.8;0.8;0.6
2009-10-01;1.4578;1.4539;1.457;1.4545;1.457;1.4551;False;1.4583;1.4515;1.4563;1.4518;1.4518;True;True;False;True;True;True;False;;2009-10-01 11:05:00-04:00;11:05:00;11:00 - 11:30;False;True;True;11:35:00;11:20:00;1.4515;1.4546;True;True;11:30 - 12:00;11:00 - 11:30;-0.6;0.1;0.7;0.3
2009-10-02;1.4642;1.4553;1.4634;1.4553;1.4553;1.4629;True;1.4647;1.4565;1.4638;1.4569;1.4569;True;False;False;False;False;False;True;;;;No breakout;False;True;False;;;;;False;False;No breakout;No breakout;;;;
2009-10-05;1.4626;1.459;1.4622;1.4594;1.4603;1.462;True;1.4668;1.4611;1.4664;1.4614;1.465;True;False;True;False;True;True;True;2009-10-05 11:40:00-04:00;;11:40:00;11:30 - 12:00;True;True;True;13:30:00;11:45:00;1.4668;1.4632;False;False;13:30 - 14:00;11:30 - 12:00;2.1;1.1;0.3;0.8
2009-10-06;1.4738;1.4701;1.4736;1.4703;1.4703;1.4725;True;1.4761;1.4703;1.4752;1.4705;1.4716;True;False;True;False;True;True;True;2009-10-06 10:40:00-04:00;;10:40:00;10:30 - 11:00;True;True;False;11:20:00;11:00:00;1.4761;1.4738;False;False;11:00 - 11:30;11:00 - 11:30;1.6;1.0;0.0;0.6
2009-10-07;1.4694;1.4655;1.4689;1.466;1.4681;1.4685;True;1.4695;1.4645;1.469;1.4653;1.4676;True;True;False;True;True;True;False;;2009-10-07 14:10:00-04:00;14:10:00;14:00 - 14:30;False;True;False;14:15:00;14:15:00;1.4649;1.4661;True;True;14:00 - 14:30;14:00 - 14:30;-0.1;0.1;0.6;0.7
2009-10-08;1.4746;1.4717;1.4745;1.4725;1.4736;1.4745;True;1.4816;1.4742;1.4813;1.4744;1.4777;True;False;True;False;True;True;True;2009-10-08 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;12:30:00;10:35:00;1.4816;1.4746;False;False;12:30 - 13:00;10:30 - 11:00;3.4;1.0;0.6;0.9
2009-10-09;1.4756;1.4709;1.4751;1.4714;1.4727;1.475;True;1.4759;1.467;1.4754;1.4677;1.4706;True;True;False;True;True;True;False;;2009-10-09 12:00:00-04:00;12:00:00;12:00 - 12:30;False;True;True;12:10:00;12:05:00;1.467;1.4706;False;False;12:00 - 12:30;12:00 - 12:30;-0.8;0.0;0.3;0.8
2009-10-12;1.4801;1.4767;1.4795;1.4768;1.4768;1.479;True;1.4811;1.477;1.4809;1.4772;1.4777;True;False;True;False;True;True;True;2009-10-12 10:45:00-04:00;;10:45:00;10:30 - 11:00;True;True;False;10:50:00;10:50:00;1.4811;1.48;True;False;10:30 - 11:00;10:30 - 11:00;1.2;0.9;0.0;0.6
2009-10-13;1.4831;1.4796;1.4828;1.4798;1.4821;1.4806;False;1.4857;1.4798;1.4851;1.4801;1.4825;True;False;True;False;True;True;True;2009-10-13 11:55:00-04:00;;11:55:00;11:30 - 12:00;True;True;False;13:55:00;13:05:00;1.4857;1.4826;True;True;13:30 - 14:00;13:00 - 13:30;1.7;0.8;0.7;0.2
2009-10-14;1.4917;1.4883;1.4906;1.4884;1.4903;1.4892;False;1.4944;1.4877;1.4937;1.4877;1.4916;True;True;True;True;True;False;False;2009-10-14 14:00:00-04:00;2009-10-14 11:10:00-04:00;11:10:00;11:00 - 11:30;False;False;False;11:15:00;11:15:00;1.4877;1.4888;True;True;11:00 - 11:30;11:00 - 11:30;-0.1;0.1;0.5;0.2
2009-10-15;1.4921;1.4886;1.4913;1.4888;1.4888;1.4909;True;1.4957;1.4903;1.4949;1.4907;1.4934;True;False;True;False;True;True;True;2009-10-15 10:50:00-04:00;;10:50:00;10:30 - 11:00;True;True;True;11:10:00;10:55:00;1.4957;1.4933;False;False;11:00 - 11:30;10:30 - 11:00;2.0;1.3;0.0;0.6
2009-10-16;1.4898;1.486;1.4888;1.4866;1.4869;1.488;True;1.491;1.4861;1.4901;1.4867;1.489;True;False;True;False;True;True;True;2009-10-16 13:45:00-04:00;;13:45:00;13:30 - 14:00;True;True;False;13:50:00;13:50:00;1.4905;1.4898;False;False;13:30 - 14:00;13:30 - 14:00;1.1;1.0;0.2;0.5
2009-10-19;1.4944;1.4897;1.494;1.4901;1.4914;1.494;True;1.4962;1.4927;1.4956;1.4928;1.4941;True;False;True;False;True;True;True;2009-10-19 10:35:00-04:00;;10:35:00;10:30 - 11:00;True;True;False;11:20:00;11:05:00;1.4962;1.4936;True;True;11:00 - 11:30;11:00 - 11:30;1.3;0.8;0.3;0.9
2009-10-20;1.4969;1.4921;1.4967;1.4925;1.4967;1.4925;False;1.4946;1.488;1.4943;1.4885;1.4927;False;True;False;True;True;True;True;;2009-10-20 11:25:00-04:00;11:25:00;11:00 - 11:30;False;True;False;11:45:00;11:30:00;1.488;1.4917;False;False;11:30 - 12:00;11:30 - 12:00;-0.8;0.0;0.9;0.0
2009-10-21;1.5003;1.4951;1.4994;1.4953;1.4953;1.4986;True;1.5045;1.4979;1.5045;1.4985;1.4996;True;False;True;False;True;True;True;2009-10-21 10:40:00-04:00;;10:40:00;10:30 - 11:00;True;True;False;13:55:00;11:10:00;1.5045;1.4982;True;True;13:30 - 14:00;11:00 - 11:30;1.8;0.5;0.0;0.6
2009-10-22;1.5003;1.4959;1.4994;1.497;1.499;1.4986;False;1.5034;1.4979;1.5032;1.4981;1.5026;True;False;True;False;True;True;True;2009-10-22 10:55:00-04:00;;10:55:00;10:30 - 11:00;True;True;True;15:50:00;11:10:00;1.5034;1.4984;True;True;15:30 - 16:00;11:00 - 11:30;1.7;0.5;0.7;0.6
2009-10-23;1.5029;1.4992;1.5023;1.5003;1.5023;1.5013;False;1.5047;1.4983;1.5039;1.499;1.4994;True;True;True;True;True;False;False;2009-10-23 12:00:00-04:00;2009-10-23 15:40:00-04:00;12:00:00;12:00 - 12:30;True;False;False;12:45:00;12:20:00;1.5044;1.502;True;True;12:30 - 13:00;12:00 - 12:30;1.4;0.7;0.8;0.5
2009-10-26;1.5035;1.501;1.5026;1.5011;1.5013;1.5011;False;1.5015;1.4843;1.5011;1.4844;1.4862;False;True;False;True;True;True;True;;2009-10-26 10:35:00-04:00;10:35:00;10:30 - 11:00;False;True;True;14:40:00;10:45:00;1.4843;1.5013;True;True;14:30 - 15:00;10:30 - 11:00;-6.6;0.1;0.1;0.0
2009-10-27;1.487;1.4785;1.4865;1.4795;1.4856;1.482;False;1.4835;1.4767;1.4831;1.477;1.4789;False;True;False;True;True;True;True;;2009-10-27 12:30:00-04:00;12:30:00;12:30 - 13:00;False;True;False;13:30:00;12:50:00;1.4767;1.4803;True;True;13:30 - 14:00;12:30 - 13:00;-0.2;0.2;0.8;0.4
2009-10-28;1.4814;1.4772;1.4811;1.4778;1.4795;1.4796;True;1.4797;1.4699;1.4797;1.47;1.4714;False;True;False;True;True;True;True;;2009-10-28 10:50:00-04:00;10:50:00;10:30 - 11:00;False;True;True;15:35:00;11:20:00;1.4699;1.4785;True;True;15:30 - 16:00;11:00 - 11:30;-1.7;0.3;0.5;0.5
2009-10-29;1.4808;1.4778;1.4803;1.4781;1.4788;1.4787;False;1.4858;1.4779;1.4854;1.4785;1.4827;True;False;True;False;True;True;True;2009-10-29 11:05:00-04:00;;11:05:00;11:00 - 11:30;True;True;True;14:40:00;11:45:00;1.4858;1.4805;True;False;14:30 - 15:00;11:30 - 12:00;2.6;0.9;0.3;0.2
2009-10-30;1.4815;1.4756;1.4811;1.4758;1.4801;1.4758;False;1.4775;1.471;1.4771;1.4712;1.4715;False;True;False;True;True;True;True;;2009-10-30 10:40:00-04:00;10:40:00;10:30 - 11:00;False;True;True;15:05:00;12:05:00;1.471;1.4775;True;True;15:00 - 15:30;12:00 - 12:30;-0.7;0.3;0.7;0.0
2009-11-02;1.4839;1.4751;1.4835;1.4753;1.4754;1.4835;True;1.4843;1.4725;1.4838;1.4728;1.4765;True;True;False;True;True;True;False;;2009-11-02 13:35:00-05:00;13:35:00;13:30 - 14:00;False;True;False;14:05:00;13:45:00;1.4725;1.4751;False;False;14:00 - 14:30;13:30 - 14:00;-0.2;0.0;0.0;0.9
2009-11-03;1.467;1.4634;1.4666;1.4636;1.4636;1.4646;True;1.4732;1.463;1.4725;1.4636;1.471;True;True;True;False;True;True;False;2009-11-03 10:40:00-05:00;;10:40:00;10:30 - 11:00;True;True;True;14:10:00;11:45:00;1.4732;1.463;True;True;14:00 - 14:30;11:30 - 12:00;2.7;-0.1;0.0;0.3
2009-11-04;1.4842;1.4791;1.4839;1.4792;1.4798;1.4828;True;1.4908;1.4822;1.4896;1.4824;1.4863;True;False;True;False;True;True;True;2009-11-04 10:45:00-05:00;;10:45:00;10:30 - 11:00;True;True;True;14:50:00;14:20:00;1.4908;1.4824;True;True;14:30 - 15:00;14:00 - 14:30;2.2;0.6;0.1;0.7
2009-11-05;1.4888;1.4857;1.4877;1.4862;1.4875;1.4872;False;1.4898;1.4842;1.4895;1.4844;1.4875;True;True;True;True;True;False;False;2009-11-05 10:45:00-05:00;2009-11-05 11:55:00-05:00;10:45:00;10:30 - 11:00;True;False;False;10:50:00;10:50:00;1.4898;1.489;False;False;10:30 - 11:00;10:30 - 11:00;1.3;1.0;0.5;0.4
2009-11-06;1.4913;1.4856;1.4907;1.4862;1.4862;1.4872;True;1.4875;1.4826;1.4874;1.4832;1.4845;False;True;False;True;True;True;True;;2009-11-06 11:20:00-05:00;11:20:00;11:00 - 11:30;False;True;True;13:10:00;11:30:00;1.4826;1.4857;True;False;13:00 - 13:30;11:30 - 12:00;-0.5;0.0;0.1;0.2
