date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;expansion_level;retracement_level;opening_level;closing_level
2009-09-28;1.4633;1.4602;1.4628;1.4604;1.4626;1.4607;False;1.4665;1.4604;1.4662;1.4604;1.4655;True;False;True;False;True;True;True;2009-09-28 05:30:00-04:00;;05:30:00;05:30 - 06:00;True;True;True;07:25:00;06:05:00;1.4665;1.4624;True;True;07:00 - 07:30;06:00 - 06:30;2.0;0.7;0.7;0.1
2009-09-29;1.4633;1.4567;1.463;1.4568;1.463;1.4578;False;1.4596;1.4535;1.4595;1.4545;1.4555;False;True;False;True;True;True;True;;2009-09-29 04:00:00-04:00;04:00:00;04:00 - 04:30;False;True;True;06:35:00;05:05:00;1.4535;1.4596;True;True;06:30 - 07:00;05:00 - 05:30;-0.4;0.4;0.9;0.1
2009-09-30;1.462;1.4599;1.4619;1.4601;1.4619;1.4602;False;1.4674;1.4596;1.4668;1.4601;1.4616;True;True;True;False;True;True;False;2009-09-30 04:40:00-04:00;;04:40:00;04:30 - 05:00;True;True;False;05:30:00;04:45:00;1.4674;1.4621;False;False;05:30 - 06:00;04:30 - 05:00;3.5;1.0;0.9;0.1
2009-10-01;1.4603;1.4565;1.4598;1.457;1.457;1.4592;True;1.4596;1.4526;1.4591;1.4534;1.454;False;True;False;True;True;True;True;;2009-10-01 06:00:00-04:00;06:00:00;06:00 - 06:30;False;True;True;07:30:00;06:40:00;1.4526;1.4573;True;True;07:30 - 08:00;06:30 - 07:00;-1.0;0.2;0.1;0.7
2009-10-02;1.4543;1.4519;1.454;1.4521;1.4528;1.454;True;1.4561;1.4526;1.4558;1.4531;1.4542;True;False;True;False;True;True;True;2009-10-02 04:45:00-04:00;;04:45:00;04:30 - 05:00;True;True;False;05:05:00;04:55:00;1.456;1.4543;False;False;05:00 - 05:30;04:30 - 05:00;1.7;1.0;0.3;0.8
2009-10-05;1.4634;1.4614;1.4632;1.4619;1.4632;1.4621;False;1.4637;1.46;1.4635;1.46;1.46;True;True;True;True;True;False;False;2009-10-05 04:05:00-04:00;2009-10-05 04:50:00-04:00;04:05:00;04:00 - 04:30;True;False;False;04:10:00;04:10:00;1.4637;1.463;True;True;04:00 - 04:30;04:00 - 04:30;1.1;0.8;0.9;0.3
2009-10-06;1.4736;1.4713;1.4734;1.4717;1.4717;1.4717;False;1.4744;1.4709;1.4741;1.4712;1.4722;True;True;True;True;True;False;False;2009-10-06 05:10:00-04:00;2009-10-06 04:05:00-04:00;04:05:00;04:00 - 04:30;False;False;False;04:10:00;04:10:00;1.4709;1.4717;True;False;04:00 - 04:30;04:00 - 04:30;-0.1;0.1;0.1;0.1
2009-10-07;1.4724;1.4697;1.4722;1.4704;1.4716;1.4722;True;1.4736;1.4675;1.4733;1.4682;1.4689;True;True;True;True;True;False;False;2009-10-07 04:00:00-04:00;2009-10-07 07:00:00-04:00;04:00:00;04:00 - 04:30;True;False;False;04:20:00;04:10:00;1.4736;1.4716;True;True;04:00 - 04:30;04:00 - 04:30;1.4;0.7;0.7;0.9
2009-10-08;1.4784;1.476;1.478;1.4761;1.4761;1.4774;True;1.478;1.4749;1.4778;1.475;1.475;False;True;False;True;True;True;True;;2009-10-08 07:10:00-04:00;07:10:00;07:00 - 07:30;False;True;True;08:00:00;07:45:00;1.4749;1.4762;True;True;08:00 - 08:30;07:30 - 08:00;-0.4;0.0;0.0;0.5
2009-10-09;1.4739;1.4711;1.4734;1.4712;1.4716;1.4722;True;1.477;1.4712;1.4766;1.4715;1.4744;True;False;True;False;True;True;True;2009-10-09 05:45:00-04:00;;05:45:00;05:30 - 06:00;True;True;True;07:30:00;06:00:00;1.477;1.4731;True;True;07:30 - 08:00;06:00 - 06:30;2.1;0.7;0.1;0.3
