date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2023-09-18;1.06685;1.0663799999999999;1.06684;1.06645;1.06645;1.0668;true;0.00047;1.06738;1.06608;1.06722;1.06623;1.06688;true;true;true;true;true;false;false;1694995200000000;1695001500000000;1694995200000000;09:00 - 09:30;true;false;true;;;1.06608;1.06738;1.06687;1.06738;1694995800000000;1694999100000000;false;10:00 - 10:30;09:00 - 09:30;2.1;1.1;2.2;-0.6;0.2;0.9;1.1;-0.6;2.2
2023-09-19;1.06938;1.06918;1.06931;1.06919;1.06929;1.06919;false;0.0002;1.06965;1.06761;1.06955;1.06776;1.06781;true;true;true;true;true;false;false;1695081600000000;1695083700000000;1695081600000000;09:00 - 09:30;true;false;false;;;1.06761;1.06965;1.06936;1.06965;1695082200000000;1695082800000000;true;09:00 - 09:30;09:00 - 09:30;2.3;1.0;2.4;-7.8;0.6;0.1;-6.8;-7.8;2.4
2023-09-20;1.06819;1.06806;1.06813;1.06811;1.06811;1.06813;true;0.00013;1.06897;1.06781;1.06895;1.06783;1.06811;true;true;true;true;true;false;false;1695168000000000;1695168600000000;1695168000000000;09:00 - 09:30;true;false;false;;;1.06781;1.06897;1.06793;1.06897;1695168600000000;1695176100000000;true;11:00 - 11:30;09:00 - 09:30;7.0;-1.0;7.1;-1.9;0.4;0.6;0.4;-1.9;7.1
2023-09-21;1.06537;1.06475;1.06535;1.06498;1.06535;1.06498;false;0.00062;1.06504;1.06167;1.06498;1.06198;1.06351;false;true;false;true;true;true;true;;1695254700000000;1695254700000000;09:00 - 09:30;false;true;true;1.06456;1.06501;1.06167;1.06504;1.06504;1.06167;1695255300000000;1695263400000000;true;11:30 - 12:00;09:00 - 09:30;-4.9;0.4;-5.0;0.4;0.9;0.3;-2.1;-5.0;0.4
2023-09-22;1.06616;1.06587;1.06613;1.06592;1.06592;1.06603;true;0.00029;1.06628;1.06408;1.06605;1.06412;1.0653299999999999;true;true;false;true;true;true;false;;1695341100000000;1695341100000000;09:00 - 09:30;false;true;true;1.0658;1.06628;1.06408;1.06607;1.06607;1.06408;1695343800000000;1695347400000000;true;10:30 - 11:00;09:30 - 10:00;-6.1;0.6;-6.2;0.6;0.1;0.5;-1.9;-6.2;1.4
2023-09-25;1.06519;1.06474;1.06514;1.06479;1.0649;1.06483;false;0.00045;1.06556;1.0643;1.06544;1.06441;1.06495;true;true;true;true;true;false;false;1695603000000000;1695606000000000;1695603000000000;09:30 - 10:00;true;false;false;1.0648;1.06529;1.0643;1.06556;1.06536;1.06556;1695603300000000;1695603300000000;false;09:30 - 10:00;09:30 - 10:00;1.8;1.4;1.9;-0.9;0.4;0.2;0.5;-0.9;1.9
2023-09-26;1.05946;1.05911;1.05938;1.05913;1.05937;1.05913;false;0.00035;1.05931;1.05783;1.05927;1.058;1.05841;false;true;false;true;true;true;true;;1695686400000000;1695686400000000;09:00 - 09:30;false;true;true;;;1.05783;1.05931;1.05918;1.05783;1695686700000000;1695697800000000;true;12:00 - 12:30;09:00 - 09:30;-3.6;0.2;-3.7;0.5;0.7;0.0;-2.0;-3.7;0.5
2023-09-27;1.05725;1.05675;1.0570599999999999;1.05677;1.0570599999999999;1.0569;false;0.0005;1.05721;1.05547;1.05707;1.05551;1.05592;false;true;false;true;true;true;true;;1695774300000000;1695774300000000;09:00 - 09:30;false;true;true;1.05681;1.05721;1.05547;1.057;1.057;1.05547;1695779400000000;1695792000000000;true;14:00 - 14:30;10:30 - 11:00;-2.5;0.4;-2.6;0.4;0.6;0.2;-1.7;-2.6;0.9
2023-09-28;1.05071;1.05022;1.0507;1.05024;1.05024;1.05053;true;0.00049;1.05161;1.04968;1.05158;1.04981;1.05073;true;true;true;true;true;false;false;1695859200000000;1695868200000000;1695859200000000;09:00 - 09:30;true;false;true;;;1.04968;1.05161;1.05076;1.05161;1695859500000000;1695863400000000;false;10:00 - 10:30;09:00 - 09:30;2.8;1.2;2.9;-1.1;0.1;0.7;1.1;-1.1;2.9
2023-09-29;1.05637;1.05619;1.05627;1.05621;1.05622;1.05623;true;0.00018;1.05832;1.05579;1.05822;1.0559;1.05801;true;true;true;true;true;false;false;1695948600000000;1695945900000000;1695945900000000;09:00 - 09:30;false;false;false;1.05619;1.05642;1.05579;1.05832;1.05647;1.05579;1695948600000000;1695948600000000;true;09:30 - 10:00;09:30 - 10:00;-2.2;1.5;-2.3;11.8;0.1;0.2;10.1;-2.3;11.8
