date;dr_high;dr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2023-09-18;1.06659;1.06578;1.06585;1.06622;True;0.00081;1.06748;1.06562;1.06678;06:25:00;06:25:00;True;True;True;True;True;False;False;2023-09-18 05:15:00-04:00;2023-09-18 04:30:00-04:00;04:30:00;04:30 - 05:00;False;False;False;1.06645;1.06589;1.06748;1.06563;04:35:00;04:35:00;1.06563;1.06626;True;04:30 - 05:00;04:30 - 05:00;0.0;0.5;2.0;-0.1;1.2;0.2;0.8;-0.1;2.0;-0.1;0.5
2023-09-19;1.06953;1.0675;1.06787;1.06942;True;0.00203;1.07179;1.06819;1.0714;08:20:00;08:20:00;True;False;True;False;True;True;True;2023-09-19 06:30:00-04:00;;06:30:00;06:30 - 07:00;True;True;True;1.06947;1.06819;1.07179;1.06981;08:20:00;06:55:00;1.07179;1.06981;False;08:00 - 08:30;06:30 - 07:00;0.1;0.9;2.1;0.4;1.9;0.4;0.9;1.2;2.1;2.1;1.2
2023-09-20;1.06931;1.06752;1.06817;1.06904;True;0.00179;1.0705;1.06895;1.06998;06:55:00;06:50:00;True;False;True;False;True;True;True;2023-09-20 04:20:00-04:00;;04:20:00;04:00 - 04:30;True;True;True;1.06928;1.06895;1.0705;1.06927;06:55:00;04:30:00;1.0705;1.06927;True;06:30 - 07:00;04:30 - 05:00;0.3;0.8;1.6;0.8;1.3;0.8;0.9;1.0;1.6;1.6;1.0
2023-09-21;1.06581;1.06386;1.06503;1.06551;True;0.00195;1.06646;1.0629;1.06323;05:10:00;04:20:00;True;True;True;True;True;False;False;2023-09-21 04:00:00-04:00;2023-09-21 07:20:00-04:00;04:00:00;04:00 - 04:30;True;False;False;1.06551;1.06551;1.06646;1.0629;05:10:00;04:40:00;1.06646;1.0652;True;05:00 - 05:30;04:30 - 05:00;0.5;0.8;1.3;-0.4;-0.4;0.9;0.8;-0.4;1.3;1.3;0.7
2023-09-22;1.06679;1.06147;1.06595;1.06456;False;0.00532;1.06575;1.0634;1.06574;08:25:00;08:25:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;1.06456;1.06456;1.06574;1.06574;;;;;False;No breakout;No breakout;0.8;0.5;0.8;0.4;0.8;0.6;0.5;0.9;0.8;;
2023-09-25;1.06529;1.06317;1.06462;1.0638;False;0.00212;1.06435;1.06239;1.06275;07:15:00;07:15:00;False;True;False;True;True;True;True;;2023-09-25 04:20:00-04:00;04:20:00;04:00 - 04:30;False;True;True;1.0643;1.06325;1.06435;1.06239;05:00:00;04:35:00;1.06239;1.06324;True;05:00 - 05:30;04:30 - 05:00;0.6;0.2;0.5;-0.3;-0.2;0.1;0.5;-0.3;0.5;-0.3;0.0
2023-09-26;1.05887;1.05699;1.05715;1.0585;True;0.00188;1.06091;1.05825;1.06042;08:20:00;08:20:00;True;False;True;False;True;True;True;2023-09-26 04:00:00-04:00;;04:00:00;04:00 - 04:30;True;True;True;1.0585;1.0585;1.06091;1.05889;08:20:00;04:10:00;1.06091;1.05889;False;08:00 - 08:30;04:00 - 04:30;0.0;0.8;2.0;0.7;1.8;0.9;0.8;1.1;2.0;2.0;1.1
2023-09-27;1.05741;1.05643;1.05691;1.0565;False;0.00098;1.05697;1.05343;1.05416;04:00:00;04:05:00;False;True;False;True;True;True;True;;2023-09-27 04:50:00-04:00;04:50:00;04:30 - 05:00;False;True;True;1.05697;1.05625;1.05637;1.05343;07:20:00;05:55:00;1.05343;1.05637;False;07:00 - 07:30;05:30 - 06:00;0.4;0.0;0.5;-3.0;-2.4;-0.1;0.5;-3.0;-0.1;-3.0;-0.1
2023-09-28;1.0519;1.04941;1.0495;1.05086;True;0.00249;1.05484;1.05047;1.05369;07:40:00;07:45:00;True;False;True;False;True;True;True;2023-09-28 04:15:00-04:00;;04:15:00;04:00 - 04:30;True;True;True;1.05167;1.05047;1.05484;1.05118;07:40:00;04:55:00;1.05484;1.05118;True;07:30 - 08:00;04:30 - 05:00;0.0;0.5;2.1;0.5;1.7;0.5;0.9;0.8;2.1;2.1;0.8
2023-09-29;1.06107;1.0588;1.05901;1.06064;True;0.00227;1.06171;1.05899;1.06005;05:50:00;05:45:00;True;False;True;False;True;True;True;2023-09-29 05:30:00-04:00;;05:30:00;05:30 - 06:00;True;True;False;1.06165;1.05992;1.06171;1.05899;05:50:00;05:35:00;1.06171;1.06081;True;05:30 - 06:00;05:30 - 06:00;0.0;0.8;1.2;0.1;0.5;0.5;1.2;0.1;1.2;1.2;0.9
2023-10-02;1.05918;1.05712;1.05894;1.05724;False;0.00206;1.05781;1.05273;1.05347;04:00:00;04:00:00;False;True;False;True;True;True;True;;2023-10-02 04:15:00-04:00;04:15:00;04:00 - 04:30;False;True;True;1.05781;1.05708;1.05681;1.05273;08:10:00;04:30:00;1.05273;1.05681;False;08:00 - 08:30;04:30 - 05:00;0.8;0.0;0.3;-2.1;-1.8;0.0;0.3;-2.1;-0.2;-2.1;-0.2
2023-10-03;1.04844;1.04689;1.04728;1.04825;True;0.00155;1.04935;1.04675;1.04759;04:20:00;05:45:00;True;True;True;True;True;False;False;2023-10-03 04:00:00-04:00;2023-10-03 08:05:00-04:00;04:00:00;04:00 - 04:30;True;False;False;1.04825;1.04825;1.04935;1.04675;04:20:00;04:05:00;1.04935;1.04855;False;04:00 - 04:30;04:00 - 04:30;0.2;0.8;1.5;0.0;0.4;0.9;0.8;0.0;1.5;1.5;1.1
2023-10-04;1.04853;1.04513;1.04604;1.04844;True;0.0034;1.05232;1.04789;1.05136;08:15:00;07:10:00;True;False;True;False;True;True;True;2023-10-04 04:10:00-04:00;;04:10:00;04:00 - 04:30;True;True;True;1.04855;1.04789;1.05232;1.04804;08:15:00;04:35:00;1.05232;1.04804;True;08:00 - 08:30;04:30 - 05:00;0.2;0.9;2.1;0.9;1.8;0.9;1.0;0.9;2.1;2.1;0.9
2023-10-05;1.05144;1.05015;1.05071;1.05087;True;0.00129;1.05297;1.05027;1.05168;08:05:00;08:05:00;True;False;True;False;True;True;True;2023-10-05 04:15:00-04:00;;04:15:00;04:00 - 04:30;True;True;True;1.05203;1.05064;1.05297;1.05027;08:05:00;04:50:00;1.05297;1.05027;True;08:00 - 08:30;04:30 - 05:00;0.4;0.5;2.1;0.1;1.1;0.4;1.4;0.1;2.1;2.1;0.1
2023-10-06;1.05511;1.0534;1.05346;1.05496;True;0.00171;1.05685;1.05421;1.05536;08:00:00;07:55:00;True;False;True;False;True;True;True;2023-10-06 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;True;1.05521;1.0547;1.05685;1.05421;08:00:00;04:35:00;1.05685;1.05421;True;08:00 - 08:30;04:30 - 05:00;0.0;0.9;2.0;0.5;1.1;0.8;1.0;0.5;2.0;2.0;0.5
2023-10-09;1.05396;1.05193;1.0537;1.0523;False;0.00203;1.05451;1.05202;1.053;05:20:00;05:20:00;True;False;True;False;True;True;True;2023-10-09 04:55:00-04:00;;04:55:00;04:30 - 05:00;True;True;False;1.05397;1.05202;1.05451;1.05232;05:20:00;05:10:00;1.05451;1.05389;True;05:00 - 05:30;05:00 - 05:30;0.8;0.1;1.2;0.1;0.5;0.1;1.0;0.2;1.2;1.2;1.0
2023-10-10;1.05725;1.05543;1.05614;1.05717;True;0.00182;1.06111;1.05698;1.05791;05:25:00;05:30:00;True;False;True;False;True;True;True;2023-10-10 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;True;1.05742;1.05698;1.06111;1.05718;05:25:00;04:10:00;1.06111;1.05725;False;05:00 - 05:30;04:00 - 04:30;0.3;0.9;3.1;0.9;1.3;0.9;1.0;1.0;3.1;3.1;1.0
2023-10-11;1.06283;1.05953;1.06104;1.05997;False;0.0033;1.06148;1.05932;1.06025;05:25:00;04:45:00;False;True;False;False;False;False;True;;;;No breakout;False;True;False;1.05997;1.05997;1.06025;1.06025;;;;;False;No breakout;No breakout;0.4;0.1;0.5;0.0;0.2;0.2;0.1;0.3;0.2;;
2023-10-12;1.06362;1.06199;1.06357;1.06199;False;0.00163;1.06273;1.06131;1.06248;05:20:00;04:25:00;False;True;False;True;True;True;True;;2023-10-12 05:40:00-04:00;05:40:00;05:30 - 06:00;False;True;False;1.06273;1.06193;1.06268;1.06131;07:05:00;06:20:00;1.06131;1.06268;True;07:00 - 07:30;06:00 - 06:30;0.9;0.0;0.4;-0.4;0.3;0.0;0.4;-0.4;0.4;-0.4;0.4
2023-10-13;1.05578;1.05313;1.05363;1.05519;True;0.00265;1.05585;1.05139;1.05339;04:05:00;04:30:00;True;True;False;True;True;True;False;;2023-10-13 05:45:00-04:00;05:45:00;05:30 - 06:00;False;True;False;1.05585;1.05344;1.05364;1.05139;07:10:00;06:15:00;1.05139;1.05309;False;07:00 - 07:30;06:00 - 06:30;0.1;0.7;1.0;-0.6;0.0;0.2;1.0;-0.6;0.1;-0.6;-0.1
2023-10-16;1.05358;1.05235;1.05347;1.05342;False;0.00123;1.05429;1.05234;1.05319;04:55:00;04:55:00;True;True;True;False;True;True;False;2023-10-16 04:40:00-04:00;;04:40:00;04:30 - 05:00;True;True;False;1.05367;1.05234;1.05429;1.0526;04:55:00;04:45:00;1.05429;1.0534;True;04:30 - 05:00;04:30 - 05:00;0.9;0.8;1.5;0.0;0.6;0.0;1.0;0.3;1.5;1.5;0.9
2023-10-17;1.05547;1.05341;1.0537;1.05486;True;0.00206;1.05792;1.05328;1.05691;07:40:00;07:50:00;True;True;True;True;True;False;False;2023-10-17 06:00:00-04:00;2023-10-17 04:35:00-04:00;04:35:00;04:30 - 05:00;False;False;False;1.05488;1.05381;1.05792;1.05328;04:40:00;04:40:00;1.05328;1.05353;True;04:30 - 05:00;04:30 - 05:00;0.1;0.7;2.1;0.0;1.6;0.2;0.7;0.0;2.1;0.0;0.0
2023-10-18;1.05832;1.05704;1.05788;1.05788;False;0.00128;1.05867;1.05521;1.05672;05:10:00;05:10:00;True;True;True;True;True;False;False;2023-10-18 04:50:00-04:00;2023-10-18 05:50:00-04:00;04:50:00;04:30 - 05:00;True;False;False;1.0584;1.05732;1.05867;1.05521;05:10:00;05:00:00;1.05867;1.0581;True;05:00 - 05:30;05:00 - 05:30;0.6;0.6;1.2;-1.4;-0.3;0.3;1.0;-1.4;1.2;1.2;0.9
2023-10-19;1.05481;1.05356;1.05402;1.05375;False;0.00125;1.05688;1.05293;1.05659;08:20:00;08:20:00;True;True;True;True;True;False;False;2023-10-19 06:10:00-04:00;2023-10-19 04:10:00-04:00;04:10:00;04:00 - 04:30;False;False;False;1.05436;1.05327;1.05688;1.05293;04:40:00;04:20:00;1.05293;1.05415;True;04:30 - 05:00;04:00 - 04:30;0.3;0.1;2.6;-0.5;2.4;-0.2;0.6;-0.5;2.6;-0.5;0.4
2023-10-20;1.05769;1.05683;1.05741;1.05707;False;0.00086;1.05989;1.05649;1.05718;07:45:00;07:45:00;True;True;True;False;True;True;False;2023-10-20 04:15:00-04:00;;04:15:00;04:00 - 04:30;True;True;False;1.05762;1.05683;1.05989;1.05649;07:45:00;04:20:00;1.05989;1.05776;False;07:30 - 08:00;04:00 - 04:30;0.6;0.2;3.5;-0.3;0.4;0.0;0.9;-0.3;3.5;3.5;1.1
2023-10-23;1.05976;1.05765;1.05825;1.05976;True;0.00211;1.06183;1.05903;1.0614;08:25:00;05:25:00;True;False;True;False;True;True;True;2023-10-23 04:00:00-04:00;;04:00:00;04:00 - 04:30;True;True;True;1.05976;1.05976;1.06183;1.05903;08:25:00;06:00:00;1.06183;1.05903;True;08:00 - 08:30;06:00 - 06:30;0.2;1.0;1.9;0.7;1.7;1.0;1.0;0.7;1.9;1.9;0.7
2023-10-24;1.06945;1.06569;1.06853;1.06629;False;0.00376;1.06631;1.06217;1.06249;04:00:00;04:00:00;False;True;False;True;True;True;True;;2023-10-24 04:00:00-04:00;04:00:00;04:00 - 04:30;False;True;True;1.06629;1.06629;1.06575;1.06217;06:55:00;04:05:00;1.06217;1.06575;True;06:30 - 07:00;04:00 - 04:30;0.7;0.1;0.1;-0.9;-0.9;0.2;0.1;-0.9;0.0;-0.9;0.0
2023-10-25;1.05926;1.05783;1.05924;1.05873;False;0.00143;1.05969;1.05658;1.0571;04:10:00;04:30:00;True;True;True;True;True;False;False;2023-10-25 04:05:00-04:00;2023-10-25 05:20:00-04:00;04:05:00;04:00 - 04:30;True;False;False;1.05944;1.05859;1.05969;1.05658;04:10:00;04:10:00;1.05969;1.05899;True;04:00 - 04:30;04:00 - 04:30;0.9;0.6;1.3;-0.8;-0.6;0.6;1.1;-0.8;1.3;1.3;0.9
2023-10-26;1.05495;1.05381;1.05385;1.05482;True;0.00114;1.05525;1.05304;1.05363;04:15:00;04:15:00;True;True;True;True;True;False;False;2023-10-26 04:00:00-04:00;2023-10-26 06:50:00-04:00;04:00:00;04:00 - 04:30;True;False;False;1.05482;1.05482;1.05525;1.05304;04:15:00;04:10:00;1.05525;1.05473;True;04:00 - 04:30;04:00 - 04:30;0.0;0.8;1.2;-0.6;-0.2;0.9;0.8;-0.6;1.2;1.2;0.9
2023-10-27;1.05629;1.05519;1.0556;1.05584;True;0.0011;1.0567;1.05352;1.05431;06:15:00;06:15:00;True;True;True;True;True;False;False;2023-10-27 05:00:00-04:00;2023-10-27 07:00:00-04:00;05:00:00;05:00 - 05:30;True;False;False;1.05624;1.05537;1.0567;1.05352;06:15:00;05:15:00;1.0567;1.05601;True;06:00 - 06:30;05:00 - 05:30;0.3;0.5;1.3;-1.5;-0.9;0.2;0.9;-1.5;1.3;1.3;0.8
2023-10-30;1.05674;1.05528;1.05652;1.05565;False;0.00146;1.05963;1.05471;1.05874;07:45:00;08:15:00;True;True;True;True;True;False;False;2023-10-30 05:00:00-04:00;2023-10-30 04:00:00-04:00;04:00:00;04:00 - 04:30;False;False;False;1.05565;1.05565;1.05963;1.05471;04:05:00;04:05:00;1.05471;1.05521;False;04:00 - 04:30;04:00 - 04:30;0.8;0.2;2.9;-0.3;2.3;0.3;0.2;-0.3;2.9;-0.3;-0.1
2023-10-31;1.06259;1.06035;1.06086;1.06213;True;0.00224;1.06749;1.06152;1.06562;05:55:00;07:15:00;True;False;True;False;True;True;True;2023-10-31 04:10:00-04:00;;04:10:00;04:00 - 04:30;True;True;True;1.0624;1.06152;1.06749;1.06238;05:55:00;04:15:00;1.06749;1.06238;True;05:30 - 06:00;04:00 - 04:30;0.2;0.7;3.1;0.6;2.3;0.6;0.9;1.0;3.1;3.1;1.0
2023-11-01;1.05775;1.05588;1.0574;1.05646;False;0.00187;1.0568;1.05408;1.05452;04:10:00;04:00:00;False;True;False;True;True;True;True;;2023-11-01 04:15:00-04:00;04:15:00;04:00 - 04:30;False;True;True;1.0568;1.05604;1.05627;1.05408;07:15:00;05:00:00;1.05408;1.05627;True;07:00 - 07:30;05:00 - 05:30;0.8;0.3;0.4;-0.9;-0.8;0.1;0.4;-0.9;0.2;-0.9;0.2
2023-11-02;1.06103;1.05963;1.05999;1.06033;True;0.0014;1.06535;1.05911;1.06465;08:15:00;08:20:00;True;True;True;True;True;False;False;2023-11-02 05:20:00-04:00;2023-11-02 04:00:00-04:00;04:00:00;04:00 - 04:30;False;False;False;1.06033;1.06033;1.06535;1.05911;04:05:00;04:05:00;1.05911;1.05989;True;04:00 - 04:30;04:00 - 04:30;0.2;0.5;4.0;-0.3;3.5;0.5;0.5;-0.3;4.0;-0.3;0.1
