date;dr_high;dr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2023-05-22;16269;16228;16251;16263;True;41;16277;16249;16262;12:00:00;14:50:00;True;False;True;False;True;True;True;2023-05-22 11:55:00-04:00;;11:55:00;11:30 - 12:00;True;True;False;16269.0;16252.0;16277.0;16249.0;12:00:00;12:00:00;16277.0;16271.0;False;12:00 - 12:30;12:00 - 12:30;0.5;0.8;1.1;0.6;0.8;0.6;1.0;0.6;1.1;1.1;1.1
2023-05-23;16222;16192;16200;16208;True;30;16212;16096;16111;10:30:00;10:30:00;False;True;False;True;True;True;True;;2023-05-23 10:50:00-04:00;10:50:00;10:30 - 11:00;False;True;True;16212.0;16195.0;16201.0;16096.0;14:25:00;11:55:00;16096.0;16201.0;True;14:00 - 14:30;11:30 - 12:00;0.2;0.5;0.6;-3.2;-2.7;0.1;0.6;-3.2;0.2;-3.2;0.2
2023-05-24;15914;15836;15914;15854;False;78;15898;15849;15874;14:00:00;15:30:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;15854.0;15854.0;15874.0;15874.0;;;;;False;No breakout;No breakout;1.0;0.2;0.7;0.2;0.4;0.3;0.2;0.5;0.4;;
2023-05-25;15868;15826;15863;15840;False;42;15892;15805;15869;14:00:00;14:15:00;True;True;True;True;True;False;False;2023-05-25 13:30:00-04:00;2023-05-25 11:35:00-04:00;11:35:00;11:30 - 12:00;False;False;False;15865.0;15823.0;15892.0;15805.0;11:40:00;11:40:00;15805.0;15815.0;False;11:30 - 12:00;11:30 - 12:00;0.8;0.3;1.5;-0.5;1.0;0.0;0.9;-0.5;1.5;-0.5;-0.3
2023-05-26;16002;15912;15914;15996;True;90;16044;15988;16014;15:00:00;12:40:00;True;False;True;False;True;True;True;2023-05-26 10:40:00-04:00;;10:40:00;10:30 - 11:00;True;True;True;16004.0;15988.0;16044.0;16001.0;15:00:00;10:45:00;16044.0;16001.0;True;15:00 - 15:30;10:30 - 11:00;0.0;0.9;1.4;0.9;1.1;0.9;1.0;1.0;1.4;1.4;1.0
2023-05-30;16053;15979;16044;15987;False;74;16003;15909;15941;10:30:00;10:35:00;False;True;False;True;True;True;True;;2023-05-30 10:40:00-04:00;10:40:00;10:30 - 11:00;False;True;True;16003.0;15981.0;15982.0;15909.0;13:55:00;10:50:00;15909.0;15982.0;True;13:30 - 14:00;10:30 - 11:00;0.8;0.1;0.3;-0.9;-0.6;0.1;0.3;-0.9;0.0;-0.9;0.0
2023-05-31;15820;15693;15810;15707;False;127;15762;15650;15729;13:55:00;14:40:00;False;True;False;True;True;True;True;;2023-05-31 10:30:00-04:00;10:30:00;10:30 - 11:00;False;True;False;15707.0;15707.0;15762.0;15650.0;11:15:00;10:45:00;15650.0;15694.0;True;11:00 - 11:30;10:30 - 11:00;0.9;0.1;0.5;-0.3;0.2;0.2;0.1;-0.3;0.5;-0.3;0.0
2023-06-01;15813;15753;15796;15801;True;60;15922;15796;15901;15:05:00;15:05:00;True;False;True;False;True;True;True;2023-06-01 10:35:00-04:00;;10:35:00;10:30 - 11:00;True;True;True;15807.0;15796.0;15922.0;15816.0;15:05:00;10:40:00;15922.0;15816.0;False;15:00 - 15:30;10:30 - 11:00;0.7;0.8;2.8;0.8;2.4;0.8;0.9;1.1;2.8;2.8;1.1
2023-06-02;16051;16012;16026;16043;True;39;16093;16032;16080;11:15:00;15:15:00;True;False;True;False;True;True;True;2023-06-02 10:40:00-04:00;;10:40:00;10:30 - 11:00;True;True;True;16053.0;16032.0;16093.0;16043.0;11:15:00;10:50:00;16093.0;16052.0;False;11:00 - 11:30;10:30 - 11:00;0.3;0.7;2.0;0.6;1.7;0.6;1.0;0.8;2.0;2.0;1.1
2023-06-05;16083;15942;16081;15954;False;141;16004;15938;15964;12:50:00;12:50:00;False;True;False;True;True;True;True;;2023-06-05 14:30:00-04:00;14:30:00;14:30 - 15:00;False;True;False;16004.0;15947.0;15973.0;15939.0;14:35:00;14:35:00;15939.0;15954.0;True;14:30 - 15:00;14:30 - 15:00;0.9;0.0;0.4;0.0;0.1;0.1;0.4;0.0;0.2;0.0;0.0
