date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2023-05-22;16313;16269;16312;16272;16312;16286;false;44;16308;16246;16307;16248;16249;false;true;false;true;true;true;true;;1684752000000000;1684752000000000;06:30 - 07:00;false;true;true;16271;16308;16246;16276;16276;16246;1684752900000000;1684757400000000;true;08:00 - 08:30;06:30 - 07:00;-0.5;0.1;-0.6;0.1;0.9;0.3;-0.5;-0.6;0.8
2023-05-23;16257;16215;16251;16222;16231;16249;true;42;16264;16204;16257;16205;16213;true;true;false;true;true;true;false;;1684842300000000;1684842300000000;07:30 - 08:00;false;true;true;16214;16264;16204;16219;16218;16204;1684842600000000;1684842600000000;true;07:30 - 08:00;07:30 - 08:00;-0.2;0.0;-0.3;0.0;0.3;0.8;-0.1;-0.3;1.1
2023-05-24;16073;15975;16073;15983;16073;15983;false;98;16015;15902;16010;15906;15927;false;true;false;true;true;true;true;;1684913700000000;1684913700000000;03:30 - 04:00;false;true;true;15972;15988;15902;16015;16015;15902;1684918800000000;1684924500000000;true;06:30 - 07:00;05:00 - 05:30;-0.7;0.4;-0.8;0.4;1.0;0.0;-0.5;-0.8;0.4
2023-05-25;15907;15840;15906;15844;15906;15846;false;67;15875;15756;15874;15764;15852;false;true;false;true;true;true;true;;1684999800000000;1684999800000000;03:30 - 04:00;false;true;false;;;15756;15875;15796;15756;1685000400000000;1685000700000000;false;03:30 - 04:00;03:30 - 04:00;-1.2;-0.7;-1.3;0.5;0.9;0.0;0.1;-1.3;0.5
2023-05-26;15892;15839;15890;15850;15890;15850;false;53;15890;15754;15884;15755;15869;false;true;false;true;true;true;true;;1685086200000000;1685086200000000;03:30 - 04:00;false;true;false;;;15754;15890;15837;15754;1685088900000000;1685094600000000;false;05:30 - 06:00;04:00 - 04:30;-1.6;-0.1;-1.7;0.9;0.9;0.2;0.5;-1.7;0.9
2023-05-29;16114;16070;16107;16070;16089;16090;true;44;16092;15966;16092;15966;15970;false;true;false;true;true;true;true;;1685345700000000;1685345700000000;03:30 - 04:00;false;true;true;16068;16092;15966;16074;16074;15966;1685346600000000;1685362800000000;true;08:00 - 08:30;03:30 - 04:00;-2.3;0.0;-2.4;0.0;0.4;0.4;-2.3;-2.4;0.5
2023-05-30;16022;15947;16008;15954;16008;16006;false;75;16088;15990;16086;15997;16047;true;false;true;false;true;true;true;1685432100000000;;1685432100000000;03:30 - 04:00;true;true;true;15990;16018;15990;16088;15990;16088;1685433300000000;1685442000000000;true;06:00 - 06:30;03:30 - 04:00;1.8;0.6;1.9;0.6;0.9;0.8;1.4;0.6;1.9
2023-05-31;15851;15762;15847;15784;15807;15847;true;89;15896;15837;15894;15842;15858;true;false;true;false;true;true;true;1685518500000000;;1685518500000000;03:30 - 04:00;true;true;true;15839;15858;15837;15896;15837;15896;1685519100000000;1685520900000000;true;04:00 - 04:30;03:30 - 04:00;1.5;0.9;1.6;0.9;0.6;1.0;1.1;0.9;1.6
2023-06-01;15836;15753;15828;15773;15773;15828;true;83;15883;15802;15878;15809;15819;true;false;true;false;true;true;true;1685607900000000;;1685607900000000;04:00 - 04:30;true;true;false;15802;15837;15808;15883;15841;15883;1685608200000000;1685609700000000;false;04:30 - 05:00;04:30 - 05:00;1.5;1.1;1.6;0.7;0.3;1.0;0.8;0.6;1.6
2023-06-02;15999;15940;15984;15941;15972;15957;false;59;16072;15960;16069;15960;16015;true;false;true;false;true;true;true;1685692800000000;;1685692800000000;04:00 - 04:30;true;true;true;15960;15997;15978;16072;15978;16072;1685695500000000;1685702700000000;true;06:30 - 07:00;04:30 - 05:00;2.2;0.7;2.3;0.7;0.6;0.3;1.3;0.4;2.3
2023-06-05;16118;16079;16116;16082;16089;16110;true;39;16135;16062;16129;16068;16093;true;true;true;true;true;false;false;1685950200000000;1685953500000000;1685950200000000;03:30 - 04:00;true;false;false;;;16062;16135;;;;;false;;;;;1.5;-0.4;0.3;0.8;0.4;-0.4;1.5
2023-06-06;16001;15935;15982;15935;15935;15982;true;66;16014;15940;16002;15944;15975;true;false;true;false;true;true;true;;;;;false;true;false;;;;;;;;;false;;;;;;;0.0;0.7;0.6;0.0;1.1
2023-06-07;16019;15976;16016;15985;16016;15985;false;43;16026;15920;16025;15928;16001;true;true;true;true;true;false;false;1686138300000000;1686123300000000;1686123300000000;03:30 - 04:00;false;false;false;15977;15995;15920;16026;15970;15920;1686124500000000;1686128700000000;false;05:00 - 05:30;03:30 - 04:00;-1.3;-0.2;-1.4;1.1;0.9;0.2;0.5;-1.4;1.1
2023-06-08;15975;15923;15949;15931;15931;15948;true;52;16032;15946;16028;15946;16007;true;false;true;false;true;true;true;1686210000000000;;1686210000000000;03:30 - 04:00;true;true;true;15946;15975;15964;16032;15964;16032;1686211200000000;1686219300000000;true;06:00 - 06:30;04:00 - 04:30;2.0;0.8;2.1;0.8;0.2;0.5;1.7;0.5;2.1
2023-06-09;16008;15939;16001;15943;16001;15943;false;69;16013;15925;16009;15940;15965;true;true;true;false;true;true;false;1686297000000000;;1686297000000000;03:30 - 04:00;true;true;false;15935;15976;15925;16010;15993;16010;1686297300000000;1686297300000000;true;03:30 - 04:00;03:30 - 04:00;1.0;0.8;1.1;-0.2;0.9;0.1;0.4;-0.2;1.1
2023-06-12;16074;16026;16063;16036;16040;16040;false;48;16137;16033;16134;16037;16059;true;false;true;false;true;true;true;1686556200000000;;1686556200000000;03:30 - 04:00;true;true;false;16040;16079;16033;16137;16080;16137;1686556500000000;1686560400000000;false;05:00 - 05:30;03:30 - 04:00;2.3;1.2;2.4;0.2;0.3;0.3;0.7;0.2;2.4
2023-06-13;16229;16178;16208;16180;16192;16189;false;51;16208;16112;16206;16114;16147;false;true;false;true;true;true;true;;1686642600000000;1686642600000000;03:30 - 04:00;false;true;true;16189;16208;16112;16172;16172;16112;1686642900000000;1686656700000000;false;07:30 - 08:00;03:30 - 04:00;-1.2;-0.2;-1.3;-0.2;0.2;0.2;-0.7;-1.3;0.5
2023-06-14;16268;16220;16267;16222;16222;16262;true;48;16345;16251;16343;16255;16320;true;false;true;false;true;true;true;1686728100000000;;1686728100000000;03:30 - 04:00;true;true;true;16251;16273;16268;16345;16268;16345;1686728700000000;1686741900000000;false;07:00 - 07:30;03:30 - 04:00;2.6;1.0;2.7;1.0;0.1;0.9;2.1;0.7;2.7
2023-06-15;16293;16267;16279;16269;16279;16275;false;26;16304;16184;16303;16195;16198;true;true;true;true;true;false;false;1686816000000000;1686819300000000;1686816000000000;04:00 - 04:30;true;false;false;16272;16296;16184;16303;16284;16303;1686816300000000;1686816300000000;true;04:00 - 04:30;04:00 - 04:30;1.3;0.7;1.4;-3.1;0.5;0.4;-2.6;-3.1;1.5
2023-06-16;16463;16412;16456;16420;16456;16445;false;51;16515;16355;16511;16441;16510;true;true;true;false;true;true;false;1686901800000000;;1686901800000000;03:30 - 04:00;true;true;true;16436;16467;16355;16515;16445;16515;1686910800000000;1686915300000000;true;07:30 - 08:00;06:00 - 06:30;2.0;0.7;2.1;-1.1;0.9;0.7;2.0;-1.1;2.1
2023-06-19;16443;16407;16438;16414;16434;16425;false;36;16435;16358;16434;16361;16377;false;true;false;true;true;true;true;;1687160400000000;1687160400000000;03:30 - 04:00;false;true;true;16423;16435;16358;16422;16422;16358;1687166400000000;1687177200000000;true;08:00 - 08:30;05:00 - 05:30;-1.3;0.4;-1.4;0.4;0.7;0.5;-0.9;-1.4;0.7
2023-06-20;16292;16233;16286;16249;16277;16286;true;59;16320;16205;16314;16211;16314;true;true;true;true;true;false;false;1687246200000000;1687249800000000;1687246200000000;03:30 - 04:00;true;false;true;;;16205;16320;16205;16320;1687251000000000;1687263600000000;true;08:00 - 08:30;04:30 - 05:00;1.4;-0.4;1.5;-0.4;0.8;0.9;1.4;-0.4;1.5
2023-06-21;16272;16210;16272;16218;16243;16272;true;62;16287;16191;16282;16194;16203;true;true;true;true;true;false;false;1687336200000000;1687349100000000;1687336200000000;04:30 - 05:00;true;false;false;16245;16287;16191;16284;16247;16284;1687339500000000;1687342500000000;true;06:00 - 06:30;05:00 - 05:30;1.1;0.6;1.2;-0.3;0.6;1.0;-0.1;-0.3;1.3
2023-06-22;16033;15938;16029;15958;16029;15958;false;95;16085;15959;16083;15959;16072;true;false;true;false;true;true;true;1687422300000000;;1687422300000000;04:00 - 04:30;true;true;true;15959;16042;16007;16085;16007;16085;1687431600000000;1687436100000000;true;08:00 - 08:30;07:00 - 07:30;1.5;0.8;1.6;0.8;1.0;0.3;1.5;0.3;1.6
2023-06-23;16042;15966;16034;15971;16003;16028;true;76;16028;15926;16027;15929;15929;false;true;false;true;true;true;true;;1687505700000000;1687505700000000;03:30 - 04:00;false;true;true;15973;16028;15926;16028;16028;15926;1687511100000000;1687523100000000;true;08:00 - 08:30;05:00 - 05:30;-0.5;0.8;-0.6;0.8;0.4;0.8;-0.5;-0.6;0.8
2023-06-26;16004;15872;15999;15875;15999;15875;false;132;15947;15833;15938;15838;15938;false;true;false;true;true;true;true;;1687764600000000;1687764600000000;03:30 - 04:00;false;true;false;;;15833;15947;15947;15833;1687766100000000;1687769400000000;true;04:30 - 05:00;03:30 - 04:00;-0.2;0.5;-0.3;0.5;0.9;0.0;0.5;-0.3;0.5
2023-06-27;16019;15970;16018;15996;16002;15996;false;49;15997;15879;15996;15885;15889;false;true;false;true;true;true;true;;1687851000000000;1687851000000000;03:30 - 04:00;false;true;true;;;15879;15978;15978;15879;1687851300000000;1687868400000000;true;08:00 - 08:30;03:30 - 04:00;-1.8;0.1;-1.9;0.1;0.6;0.5;-1.7;-1.9;0.5
2023-06-28;16078;16029;16066;16032;16044;16050;true;49;16117;16049;16115;16050;16100;true;false;true;false;true;true;true;1687938000000000;;1687938000000000;03:30 - 04:00;true;true;true;16049;16073;16049;16117;16049;16117;1687938600000000;1687948200000000;true;06:30 - 07:00;03:30 - 04:00;1.7;0.5;1.8;0.5;0.4;0.5;1.5;0.5;1.8
2023-06-29;16096;16059;16093;16070;16071;16070;false;37;16120;16044;16120;16049;16099;true;true;true;true;true;false;false;1688033400000000;1688024100000000;1688024100000000;03:30 - 04:00;false;false;false;16062;16074;16044;16120;16083;16044;1688026800000000;1688030400000000;true;05:00 - 05:30;04:00 - 04:30;-0.4;0.6;-0.5;1.6;0.3;0.2;1.0;-0.5;1.6
2023-06-30;16138;16098;16128;16103;16114;16123;true;40;16262;16112;16261;16124;16243;true;false;true;false;true;true;true;1688110800000000;;1688110800000000;03:30 - 04:00;true;true;true;16112;16144;16140;16262;16140;16262;1688111700000000;1688122800000000;false;07:00 - 07:30;03:30 - 04:00;4.1;1.1;4.1;1.1;0.4;0.7;3.7;0.4;4.1
2023-07-03;16328;16288;16326;16294;16294;16322;true;40;16332;16234;16321;16236;16236;true;true;false;true;true;true;false;;1688377200000000;1688377200000000;05:30 - 06:00;false;true;true;16285;16332;16234;16293;16293;16234;1688380500000000;1688385600000000;true;08:00 - 08:30;06:30 - 07:00;-1.3;0.1;-1.4;0.1;0.1;0.8;-1.3;-1.4;1.1
2023-07-04;16212;16192;16207;16198;16203;16199;false;20;16224;16138;16223;16145;16163;true;true;true;true;true;false;false;1688456400000000;1688460000000000;1688456400000000;03:30 - 04:00;true;false;false;16197;16210;16138;16223;16214;16223;1688456700000000;1688456700000000;false;03:30 - 04:00;03:30 - 04:00;1.5;1.1;1.6;-2.7;0.6;0.4;-1.4;-2.7;1.6
2023-07-05;16102;16037;16098;16044;16051;16050;false;65;16088;16042;16084;16049;16053;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;0.2;0.2;0.2;0.0;0.7
2023-07-06;15969;15895;15962;15900;15962;15931;false;74;15943;15805;15939;15812;15825;false;true;false;true;true;true;true;;1688631000000000;1688631000000000;04:00 - 04:30;false;true;true;15884;15943;15805;15922;15922;15805;1688633400000000;1688645400000000;true;08:00 - 08:30;04:30 - 05:00;-1.2;0.3;-1.3;0.3;0.9;0.4;-1.0;-1.3;0.6
2023-07-07;15634;15565;15628;15583;15628;15583;false;69;15723;15559;15718;15571;15699;true;true;true;false;true;true;false;1688720400000000;;1688720400000000;05:00 - 05:30;true;true;true;15559;15637;15640;15723;15640;15723;1688720700000000;1688728200000000;false;07:00 - 07:30;05:00 - 05:30;2.2;1.1;2.3;1.1;1.0;0.3;2.0;-0.0;2.3
2023-07-10;15716;15649;15693;15650;15682;15650;false;67;15829;15648;15826;15650;15817;true;true;true;false;true;true;false;1688976600000000;;1688976600000000;04:00 - 04:30;true;true;true;15648;15720;15729;15829;15729;15829;1688980800000000;1688991000000000;false;08:00 - 08:30;05:00 - 05:30;2.6;1.2;2.7;1.2;0.5;0.1;2.6;-0.0;2.7
2023-07-11;15864;15810;15859;15818;15859;15826;false;54;15884;15761;15883;15771;15883;true;true;true;true;true;false;false;1689076200000000;1689062100000000;1689062100000000;03:30 - 04:00;false;false;false;15810;15834;15761;15884;15803;15761;1689062400000000;1689066000000000;false;05:00 - 05:30;04:00 - 04:30;-0.9;-0.2;-1.0;1.3;0.9;0.2;1.3;-1.0;1.3
2023-07-12;15960;15909;15958;15910;15958;15929;false;51;16047;15922;16046;15929;16015;true;false;true;false;true;true;true;1689148200000000;;1689148200000000;03:30 - 04:00;true;true;true;15922;15960;15967;16047;15967;16047;1689148500000000;1689162900000000;false;07:30 - 08:00;03:30 - 04:00;2.7;1.2;2.8;1.2;1.0;0.4;2.1;0.3;2.8
2023-07-13;16138;16098;16131;16109;16131;16131;false;40;16232;16116;16226;16124;16223;true;false;true;false;true;true;true;1689233700000000;;1689233700000000;03:30 - 04:00;true;true;true;16116;16137;16134;16232;16134;16232;1689235500000000;1689240000000000;true;05:00 - 05:30;04:00 - 04:30;3.3;0.9;3.4;0.9;0.9;0.9;3.2;0.5;3.4
2023-07-14;16239;16211;16231;16215;16218;16219;true;28;16230;16170;16229;16171;16229;false;true;false;true;true;true;true;;1689319800000000;1689319800000000;03:30 - 04:00;false;true;false;;;16170;16230;16227;16170;1689324000000000;1689328500000000;true;05:30 - 06:00;04:30 - 05:00;-1.4;0.5;-1.5;0.6;0.2;0.2;0.6;-1.5;0.6
2023-07-17;16180;16108;16177;16123;16135;16173;true;72;16204;16092;16198;16093;16111;true;true;true;true;true;false;false;1689579300000000;1689587100000000;1689579300000000;03:30 - 04:00;true;false;false;16162;16179;16092;16204;16177;16204;1689580200000000;1689581700000000;true;04:00 - 04:30;03:30 - 04:00;1.3;1.0;1.4;-0.2;0.4;1.0;0.1;-0.2;1.4
2023-07-18;16170;16133;16160;16142;16160;16142;false;37;16196;16126;16193;16133;16155;true;true;true;false;true;true;false;1689667500000000;;1689667500000000;04:00 - 04:30;true;true;false;16126;16179;16130;16196;16171;16196;1689667800000000;1689669000000000;false;04:30 - 05:00;04:00 - 04:30;1.7;1.1;1.8;-0.0;0.8;0.3;0.6;-0.1;1.8
2023-07-19;16341;16272;16332;16272;16282;16272;false;69;16273;16168;16273;16170;16174;false;true;false;true;true;true;true;;1689751800000000;1689751800000000;03:30 - 04:00;false;true;true;;;16168;16273;16273;16168;1689756000000000;1689769500000000;true;08:00 - 08:30;04:30 - 05:00;-1.5;0.0;-1.6;0.0;0.1;0.0;-1.5;-1.6;0.0
2023-07-20;16189;16142;16177;16145;16161;16162;true;47;16270;16157;16266;16163;16236;true;false;true;false;true;true;true;1689838200000000;;1689838200000000;03:30 - 04:00;true;true;true;;;16185;16270;16185;16270;1689838500000000;1689843000000000;true;04:30 - 05:00;03:30 - 04:00;2.7;1.0;2.8;1.0;0.5;0.5;2.0;0.4;2.8
2023-07-21;16236;16194;16229;16206;16219;16229;true;42;16255;16197;16249;16198;16237;true;false;true;false;true;true;true;1689924600000000;;1689924600000000;03:30 - 04:00;true;true;true;;;16197;16254;16233;16254;1689924900000000;1689924900000000;true;03:30 - 04:00;03:30 - 04:00;1.4;1.0;1.5;0.1;0.6;0.9;1.1;0.1;1.5
2023-07-24;16259;16208;16257;16210;16210;16257;true;51;16304;16209;16298;16217;16252;true;false;true;false;true;true;true;1690185000000000;;1690185000000000;03:30 - 04:00;true;true;false;16209;16258;16241;16304;16241;16304;1690185900000000;1690194000000000;true;06:00 - 06:30;04:00 - 04:30;1.8;0.7;1.9;0.7;0.1;1.0;0.9;0.1;1.9
2023-07-25;16302;16234;16300;16238;16300;16238;false;68;16318;16221;16308;16227;16289;true;true;true;true;true;false;false;1690278000000000;1690270500000000;1690270500000000;03:30 - 04:00;false;false;false;16232;16246;16221;16318;16235;16221;1690270800000000;1690270800000000;true;03:30 - 04:00;03:30 - 04:00;-0.1;0.0;-0.2;1.2;0.9;0.0;0.8;-0.2;1.2
2023-07-26;16305;16249;16305;16256;16305;16256;false;56;16294;16132;16289;16138;16150;false;true;false;true;true;true;true;;1690358400000000;1690358400000000;04:00 - 04:30;false;true;true;16254;16294;16132;16257;16257;16132;1690359900000000;1690373400000000;true;08:00 - 08:30;04:00 - 04:30;-2.0;0.1;-2.1;0.1;1.0;0.1;-1.8;-2.1;0.8
2023-07-27;16267;16214;16259;16226;16259;16251;false;53;16431;16253;16427;16253;16399;true;false;true;false;true;true;true;1690443000000000;;1690443000000000;03:30 - 04:00;true;true;true;;;16266;16431;16266;16431;1690443300000000;1690460100000000;true;08:00 - 08:30;03:30 - 04:00;4.0;1.0;4.1;1.0;0.9;0.7;3.5;0.8;4.1
2023-07-28;16484;16425;16471;16426;16447;16467;true;59;16516;16420;16515;16424;16509;true;true;true;true;true;false;false;1690530000000000;1690532700000000;1690530000000000;03:30 - 04:00;true;false;true;16468;16489;16420;16516;16420;16516;1690533000000000;1690542900000000;true;07:00 - 07:30;04:30 - 05:00;1.5;-0.0;1.6;-0.0;0.4;0.8;1.5;-0.0;1.6
2023-07-31;16550;16507;16542;16515;16533;16542;true;43;16615;16521;16615;16528;16589;true;false;true;false;true;true;true;1690788600000000;;1690788600000000;03:30 - 04:00;true;true;true;;;16521;16615;16521;16615;1690788900000000;1690794600000000;true;05:00 - 05:30;03:30 - 04:00;2.5;0.4;2.6;0.4;0.7;0.9;2.0;0.4;2.6
2023-08-01;16521;16451;16520;16455;16520;16455;false;70;16494;16354;16491;16364;16375;false;true;false;true;true;true;true;;1690876800000000;1690876800000000;04:00 - 04:30;false;true;true;16443;16494;16354;16441;16441;16354;1690877100000000;1690883700000000;false;05:30 - 06:00;04:00 - 04:30;-1.3;-0.2;-1.4;-0.2;0.9;0.0;-1.1;-1.4;0.6
2023-08-02;16162;16087;16143;16093;16143;16125;false;75;16223;16029;16216;16038;16157;true;true;true;true;true;false;false;1690972800000000;1690963200000000;1690963200000000;04:00 - 04:30;false;false;false;16102;16147;16029;16223;16098;16029;1690963500000000;1690965900000000;true;04:30 - 05:00;04:00 - 04:30;-0.7;0.1;-0.8;1.8;0.7;0.5;0.9;-0.8;1.8
2023-08-03;16007;15910;16004;15924;16004;15924;false;97;15994;15877;15989;15885;15937;false;true;false;true;true;true;true;;1691047800000000;1691047800000000;03:30 - 04:00;false;true;false;;;15877;15994;15939;15877;1691048700000000;1691049600000000;true;04:00 - 04:30;03:30 - 04:00;-0.3;0.2;-0.4;0.8;0.9;0.1;0.2;-0.4;0.8
2023-08-04;16023;15942;16021;15952;16021;15968;false;81;16046;15853;16044;15859;15897;true;true;true;true;true;false;false;1691136000000000;1691145900000000;1691136000000000;04:00 - 04:30;true;false;false;15964;16027;15853;16046;16027;16046;1691136300000000;1691136600000000;false;04:00 - 04:30;04:00 - 04:30;1.2;1.1;1.3;-1.0;1.0;0.4;-0.5;-1.0;1.3
2023-08-07;16003;15929;15985;15930;15956;15985;true;74;16032;15888;16027;15893;15958;true;true;true;true;true;false;false;1691393400000000;1691397900000000;1691393400000000;03:30 - 04:00;true;false;false;;;15888;16032;15997;16032;1691394600000000;1691395200000000;true;04:00 - 04:30;03:30 - 04:00;1.3;1.0;1.4;-0.5;0.4;0.8;0.4;-0.5;1.4
2023-08-08;15982;15904;15976;15935;15935;15976;true;78;16015;15769;16006;15772;15817;true;true;true;true;true;false;false;1691479800000000;1691485800000000;1691479800000000;03:30 - 04:00;true;false;false;;;15769;16015;15946;16015;1691480400000000;1691481600000000;true;04:00 - 04:30;03:30 - 04:00;1.4;0.6;1.5;-1.7;0.4;1.0;-1.1;-1.7;1.5
2023-08-09;15997;15933;15990;15950;15962;15976;true;64;16048;15952;16047;15961;15961;true;false;true;false;true;true;true;1691568000000000;;1691568000000000;04:00 - 04:30;true;true;false;15973;16006;15952;16048;15984;16048;1691568900000000;1691571000000000;true;04:30 - 05:00;04:00 - 04:30;1.7;0.8;1.8;0.3;0.5;0.7;0.5;0.3;1.8
2023-08-10;16060;15953;16045;15959;15959;16045;true;107;16073;15945;16062;15947;15981;true;true;true;true;true;false;false;1691652600000000;1691668500000000;1691652600000000;03:30 - 04:00;true;false;false;;;15945;16073;16047;16073;1691652900000000;1691652900000000;true;03:30 - 04:00;03:30 - 04:00;1.1;0.9;1.2;-0.0;0.1;0.9;0.3;-0.0;1.2
2023-08-11;16019;15978;16015;15996;15998;16010;true;41;16019;15927;16017;15931;15946;false;true;false;true;true;true;true;;1691740500000000;1691740500000000;03:30 - 04:00;false;true;true;15985;16019;15927;16013;15977;15927;1691740800000000;1691741400000000;false;04:00 - 04:30;04:00 - 04:30;-1.2;-0.1;-1.3;0.8;0.4;0.7;-0.8;-1.3;1.0
