date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2023-05-22;16269;16248;16262;16251;16251;16260;true;21;16277;16228;16276;16240;16262;true;true;true;true;true;false;false;1684770900000000;1684764300000000;1684764300000000;10:00 - 10:30;false;false;false;16250;16260;16239;16277;16263;16239;1684764600000000;1684764600000000;true;10:00 - 10:30;10:00 - 10:30;-0.4;0.7;-0.5;1.3;0.1;0.5;0.6;-1.0;1.3
2023-05-23;16215;16192;16213;16193;16200;16205;true;23;16222;16096;16218;16106;16111;true;true;true;true;true;false;false;1684850700000000;1684853400000000;1684850700000000;10:00 - 10:30;true;false;false;16202;16215;16096;16222;16206;16222;1684851000000000;1684851000000000;true;10:00 - 10:30;10:00 - 10:30;1.3;0.7;1.4;-4.1;0.4;0.6;-3.5;-4.1;1.4
2023-05-24;15914;15853;15914;15855;15914;15867;false;61;15898;15836;15893;15838;15874;false;true;false;true;true;true;true;;1684936800000000;1684936800000000;10:00 - 10:30;false;true;false;;;15836;15898;15859;15836;1684937700000000;1684938000000000;true;10:00 - 10:30;10:00 - 10:30;-0.2;0.0;-0.3;0.7;1.0;0.2;0.3;-0.3;0.7
2023-05-25;15868;15837;15863;15844;15863;15850;false;31;15892;15805;15885;15805;15869;true;true;true;true;true;false;false;1685035800000000;1685023800000000;1685023800000000;10:00 - 10:30;false;false;false;15845;15868;15805;15892;15865;15805;1685027100000000;1685029200000000;true;11:30 - 12:00;11:00 - 11:30;-1.0;0.9;-1.1;1.7;0.8;0.4;1.0;-1.1;1.7
2023-05-26;15969;15912;15962;15914;15914;15959;true;57;16044;15956;16043;15961;16014;true;false;true;false;true;true;true;1685109900000000;;1685109900000000;10:00 - 10:30;true;true;true;15956;15982;15975;16044;15975;16044;1685110200000000;1685127600000000;false;15:00 - 15:30;10:00 - 10:30;2.3;1.2;2.4;1.2;0.1;0.9;1.8;0.8;2.4
2023-05-29;15966;15958;15966;15960;15965;15960;false;8;15991;15959;15985;15959;15976;true;false;true;false;true;true;true;1685369700000000;;1685369700000000;10:00 - 10:30;true;true;true;15959;15965;15965;15991;15965;15991;1685370000000000;1685374500000000;true;11:30 - 12:00;10:00 - 10:30;4.1;0.9;4.2;0.9;0.9;0.3;2.3;0.2;4.2
2023-05-30;16053;16016;16049;16023;16044;16027;false;37;16027;15909;16027;15910;15941;false;true;false;true;true;true;true;;1685455200000000;1685455200000000;10:00 - 10:30;false;true;true;;;15909;16027;16027;15909;1685456400000000;1685469300000000;true;13:30 - 14:00;10:00 - 10:30;-2.8;0.2;-2.9;0.2;0.7;0.2;-2.1;-2.9;0.2
2023-05-31;15820;15781;15815;15785;15810;15785;false;39;15791;15650;15785;15657;15729;false;true;false;true;true;true;true;;1685541900000000;1685541900000000;10:00 - 10:30;false;true;true;15775;15791;15650;15772;15772;15650;1685542200000000;1685546100000000;false;11:00 - 11:30;10:00 - 10:30;-3.3;-0.3;-3.4;-0.3;0.7;0.1;-1.4;-3.4;0.2
2023-06-01;15801;15755;15796;15757;15796;15757;false;46;15922;15753;15922;15764;15901;true;true;true;false;true;true;false;1685628600000000;;1685628600000000;10:00 - 10:30;true;true;true;15753;15794;15784;15922;15784;15922;1685629200000000;1685646300000000;true;15:00 - 15:30;10:00 - 10:30;3.6;0.7;3.7;0.7;0.9;0.1;3.2;-0.0;3.7
2023-06-02;16051;16025;16047;16026;16026;16027;true;26;16093;16012;16091;16014;16080;true;true;true;true;true;false;false;1685716800000000;1685714400000000;1685714400000000;10:00 - 10:30;false;false;false;;;16012;16093;;;;;false;;;;;-0.5;2.6;0.0;0.0;2.1;-0.5;2.6
