date;dr_high;dr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2023-05-22;16313;16269;16312;16293;False;44;16308;16246;16249;04:25:00;04:30:00;False;True;False;True;True;True;True;;2023-05-22 06:40:00-04:00;06:40:00;06:30 - 07:00;False;True;True;16308.0;16274.0;16276.0;16246.0;08:10:00;06:55:00;16246.0;16276.0;True;08:00 - 08:30;06:30 - 07:00;0.9;0.5;0.8;-0.5;-0.5;0.2;0.8;-0.5;0.1;-0.5;0.1
2023-05-23;16257;16215;16231;16249;True;42;16264;16204;16213;04:05:00;04:05:00;True;True;False;True;True;True;False;;2023-05-23 07:45:00-04:00;07:45:00;07:30 - 08:00;False;True;True;16264.0;16214.0;16219.0;16204.0;07:50:00;07:50:00;16204.0;16218.0;True;07:30 - 08:00;07:30 - 08:00;0.3;0.8;1.1;-0.2;-0.1;0.0;1.1;-0.2;0.0;-0.2;0.0
2023-05-24;16073;15946;16073;15969;False;127;16015;15902;15927;05:00:00;05:00:00;False;True;False;True;True;True;True;;2023-05-24 05:30:00-04:00;05:30:00;05:30 - 06:00;False;True;True;16015.0;15945.0;15954.0;15902.0;06:35:00;05:35:00;15902.0;15954.0;True;06:30 - 07:00;05:30 - 06:00;1.0;0.1;0.5;-0.3;-0.2;0.0;0.5;-0.3;0.0;-0.3;0.0
2023-05-25;15907;15756;15906;15781;False;151;15875;15773;15852;06:25:00;06:20:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;15781.0;15781.0;15852.0;15852.0;;;;;False;No breakout;No breakout;0.9;0.1;0.7;0.2;0.6;0.2;0.1;0.7;0.6;;
2023-05-26;15892;15787;15890;15803;False;105;15890;15754;15869;08:00:00;07:55:00;False;True;False;True;True;True;True;;2023-05-26 05:10:00-04:00;05:10:00;05:00 - 05:30;False;True;False;15837.0;15789.0;15890.0;15754.0;05:50:00;05:15:00;15754.0;15790.0;True;05:30 - 06:00;05:00 - 05:30;0.9;0.1;0.9;-0.3;0.7;0.1;0.4;-0.3;0.9;-0.3;0.0
2023-05-29;16114;16043;16089;16047;False;71;16068;15966;15970;04:05:00;04:10:00;False;True;False;True;True;True;True;;2023-05-29 04:55:00-04:00;04:55:00;04:30 - 05:00;False;True;True;16068.0;16046.0;16054.0;15966.0;08:20:00;05:10:00;15966.0;16054.0;True;08:00 - 08:30;05:00 - 05:30;0.6;0.0;0.3;-1.0;-1.1;0.1;0.3;-1.0;0.1;-1.0;0.1
2023-05-30;16034;15947;16008;16014;True;87;16088;16003;16047;06:20:00;06:20:00;True;False;True;False;True;True;True;2023-05-30 04:45:00-04:00;;04:45:00;04:30 - 05:00;True;True;True;16042.0;16003.0;16088.0;16027.0;06:20:00;05:00:00;16088.0;16027.0;True;06:00 - 06:30;05:00 - 05:30;0.7;0.7;1.6;0.7;1.1;0.7;1.0;1.0;1.6;1.6;1.0
2023-05-31;15879;15762;15807;15870;True;117;15896;15840;15858;04:15:00;04:20:00;True;False;True;False;True;True;True;2023-05-31 04:15:00-04:00;;04:15:00;04:00 - 04:30;True;True;False;15881.0;15854.0;15896.0;15840.0;04:20:00;04:20:00;15896.0;15887.0;False;04:00 - 04:30;04:00 - 04:30;0.3;0.9;1.1;0.7;0.8;0.8;1.0;0.7;1.1;1.1;1.1
2023-06-01;15837;15753;15773;15824;True;84;15883;15802;15819;04:55:00;04:50:00;True;False;True;False;True;True;True;2023-06-01 04:25:00-04:00;;04:25:00;04:00 - 04:30;True;True;False;15833.0;15802.0;15883.0;15808.0;04:55:00;04:30:00;15883.0;15841.0;False;04:30 - 05:00;04:30 - 05:00;0.2;0.8;1.5;0.6;0.7;0.6;0.9;0.7;1.5;1.5;1.1
2023-06-02;15999;15940;15972;15996;True;59;16072;15978;16015;06:45:00;06:45:00;True;False;True;False;True;True;True;2023-06-02 04:00:00-04:00;;04:00:00;04:00 - 04:30;True;True;True;15996.0;15996.0;16072.0;15978.0;06:45:00;04:45:00;16072.0;15978.0;True;06:30 - 07:00;04:30 - 05:00;0.5;0.9;2.2;0.7;1.2;1.0;0.9;0.7;2.2;2.2;0.7
2023-06-05;16135;16079;16089;16100;True;56;16120;16062;16093;04:05:00;04:05:00;False;True;False;True;True;True;True;;2023-06-05 04:25:00-04:00;04:25:00;04:00 - 04:30;False;True;False;16120.0;16077.0;16104.0;16062.0;06:00:00;05:45:00;16062.0;16088.0;True;06:00 - 06:30;05:30 - 06:00;0.1;0.3;0.7;-0.3;0.2;0.0;0.7;-0.3;0.4;-0.3;0.1
2023-06-06;16001;15935;15935;15990;True;66;16014;15940;15975;04:00:00;04:20:00;True;False;True;False;True;True;True;;;;No breakout;False;True;False;15990.0;15990.0;15975.0;15975.0;;;;;False;No breakout;No breakout;0.0;0.8;1.1;0.1;0.6;0.9;0.8;0.7;0.6;;
2023-06-07;16019;15946;16016;15960;False;73;16026;15920;16001;07:50:00;08:00:00;True;True;True;True;True;False;False;2023-06-07 07:45:00-04:00;2023-06-07 04:50:00-04:00;04:50:00;04:30 - 05:00;False;False;False;15965.0;15936.0;16026.0;15920.0;05:05:00;04:55:00;15920.0;15947.0;True;05:00 - 05:30;04:30 - 05:00;0.9;0.1;1.0;-0.3;0.7;-0.1;0.2;-0.3;1.0;-0.3;0.0
2023-06-08;15993;15923;15931;15974;True;70;16032;15964;16007;06:15:00;06:20:00;True;False;True;False;True;True;True;2023-06-08 04:20:00-04:00;;04:20:00;04:00 - 04:30;True;True;True;15987.0;15964.0;16032.0;15983.0;06:15:00;04:45:00;16032.0;15983.0;True;06:00 - 06:30;04:30 - 05:00;0.1;0.7;1.5;0.6;1.1;0.6;0.9;0.9;1.5;1.5;0.9
2023-06-09;16013;15935;16001;16000;False;78;16006;15925;15965;05:05:00;05:05:00;False;True;False;False;False;False;True;;;;No breakout;False;True;False;16000.0;16000.0;15965.0;15965.0;;;;;False;No breakout;No breakout;0.8;0.8;0.9;-0.1;0.3;0.9;0.8;0.4;0.3;;
2023-06-12;16095;16026;16040;16093;True;69;16137;16033;16059;05:00:00;05:10:00;True;False;True;False;True;True;True;2023-06-12 04:00:00-04:00;;04:00:00;04:00 - 04:30;True;True;False;16093.0;16093.0;16137.0;16033.0;05:00:00;04:10:00;16137.0;16105.0;False;05:00 - 05:30;04:00 - 04:30;0.2;0.9;1.6;0.2;0.4;1.0;0.9;0.2;1.6;1.6;1.2
2023-06-13;16229;16157;16192;16166;False;72;16168;16112;16147;04:20:00;04:20:00;False;True;False;True;True;True;True;;2023-06-13 04:50:00-04:00;04:50:00;04:30 - 05:00;False;True;True;16168.0;16151.0;16161.0;16112.0;07:45:00;05:05:00;16112.0;16161.0;True;07:30 - 08:00;05:00 - 05:30;0.4;0.1;0.1;-0.6;-0.2;0.0;0.1;-0.6;0.0;-0.6;0.0
2023-06-14;16283;16220;16222;16277;True;63;16345;16270;16320;07:25:00;07:10:00;True;False;True;False;True;True;True;2023-06-14 04:20:00-04:00;;04:20:00;04:00 - 04:30;True;True;True;16285.0;16270.0;16345.0;16285.0;07:25:00;04:30:00;16345.0;16285.0;False;07:00 - 07:30;04:30 - 05:00;0.0;0.9;1.9;0.8;1.5;0.8;1.0;1.1;1.9;1.9;1.1
2023-06-15;16296;16267;16279;16291;True;29;16304;16184;16198;04:00:00;04:15:00;True;True;True;True;True;False;False;2023-06-15 04:00:00-04:00;2023-06-15 04:55:00-04:00;04:00:00;04:00 - 04:30;True;False;False;16291.0;16291.0;16303.0;16184.0;04:05:00;04:05:00;16303.0;16284.0;True;04:00 - 04:30;04:00 - 04:30;0.4;0.8;1.2;-2.8;-2.4;0.9;0.8;-2.8;1.2;1.2;0.6
2023-06-16;16475;16412;16456;16469;True;63;16515;16355;16510;07:35:00;07:35:00;True;True;True;False;True;True;False;2023-06-16 04:30:00-04:00;;04:30:00;04:30 - 05:00;True;True;True;16477.0;16449.0;16515.0;16355.0;07:35:00;06:20:00;16515.0;16445.0;True;07:30 - 08:00;06:00 - 06:30;0.6;0.9;1.6;-0.9;1.5;0.6;1.0;-0.9;1.6;1.6;0.6
2023-06-19;16443;16396;16434;16400;False;47;16422;16358;16377;05:20:00;05:25:00;False;True;False;True;True;True;True;;2023-06-19 04:20:00-04:00;04:20:00;04:00 - 04:30;False;True;True;16410.0;16398.0;16422.0;16358.0;08:20:00;05:20:00;16358.0;16422.0;True;08:00 - 08:30;05:00 - 05:30;0.8;0.0;0.5;-0.8;-0.5;0.1;0.2;-0.8;0.5;-0.8;0.5
2023-06-20;16309;16233;16277;16293;True;76;16320;16205;16314;08:20:00;08:25:00;True;True;True;True;True;False;False;2023-06-20 08:20:00-04:00;2023-06-20 04:30:00-04:00;04:30:00;04:30 - 05:00;False;False;False;16301.0;16245.0;16320.0;16205.0;04:50:00;04:40:00;16205.0;16241.0;True;04:30 - 05:00;04:30 - 05:00;0.5;0.7;1.1;-0.3;1.0;0.2;0.8;-0.3;1.1;-0.3;0.1
2023-06-21;16281;16210;16243;16262;True;71;16287;16191;16203;04:10:00;06:15:00;True;True;True;True;True;False;False;;2023-06-21 08:05:00-04:00;08:05:00;08:00 - 08:30;False;True;True;16287.0;16212.0;16209.0;16191.0;08:10:00;08:10:00;16191.0;16204.0;False;08:00 - 08:30;08:00 - 08:30;0.4;0.7;1.0;-0.2;-0.1;0.1;1.0;-0.2;-0.1;-0.2;-0.1
2023-06-22;16033;15938;16029;16001;False;95;16085;15990;16072;08:15:00;08:10:00;True;False;True;False;True;True;True;2023-06-22 04:25:00-04:00;;04:25:00;04:00 - 04:30;True;True;True;16042.0;15990.0;16085.0;16007.0;08:15:00;07:00:00;16085.0;16007.0;True;08:00 - 08:30;07:00 - 07:30;0.9;0.6;1.5;0.6;1.4;0.6;1.0;0.8;1.5;1.5;0.8
2023-06-23;16042;15933;16003;15989;False;109;16028;15926;15929;05:05:00;05:15:00;False;True;False;True;True;True;True;;2023-06-23 08:25:00-04:00;08:25:00;08:00 - 08:30;False;True;True;16028.0;15937.0;15929.0;15929.0;08:25:00;08:25:00;15926.0;15940.0;True;08:00 - 08:30;08:00 - 08:30;0.6;0.5;0.8;0.0;-0.1;0.1;0.8;0.0;-0.1;0.0;0.0
2023-06-26;16004;15836;15999;15926;False;168;15939;15833;15938;08:20:00;08:25:00;False;True;False;False;False;False;True;;;;No breakout;False;True;False;15926.0;15926.0;15938.0;15938.0;;;;;False;No breakout;No breakout;0.9;0.5;0.6;0.0;0.6;0.6;0.5;0.7;0.6;;
2023-06-27;16019;15936;16002;15947;False;83;15957;15879;15889;04:15:00;06:55:00;False;True;False;True;True;True;True;;2023-06-27 04:30:00-04:00;04:30:00;04:30 - 05:00;False;True;True;15957.0;15937.0;15953.0;15879.0;08:20:00;06:50:00;15879.0;15953.0;True;08:00 - 08:30;06:30 - 07:00;0.7;0.1;0.2;-0.6;-0.6;0.1;0.2;-0.6;0.2;-0.6;0.2
2023-06-28;16095;16029;16044;16059;True;66;16117;16060;16100;06:30:00;06:30:00;True;False;True;False;True;True;True;2023-06-28 04:20:00-04:00;;04:20:00;04:00 - 04:30;True;True;True;16094.0;16060.0;16117.0;16065.0;06:30:00;04:35:00;16117.0;16065.0;True;06:30 - 07:00;04:30 - 05:00;0.2;0.4;1.3;0.5;1.0;0.5;0.9;0.6;1.3;1.3;0.6
2023-06-29;16096;16049;16071;16054;False;47;16120;16044;16099;07:25:00;07:30:00;True;True;True;False;True;True;False;2023-06-29 06:10:00-04:00;;06:10:00;06:00 - 06:30;True;True;True;16083.0;16044.0;16120.0;16086.0;07:25:00;06:25:00;16120.0;16086.0;True;07:00 - 07:30;06:00 - 06:30;0.4;0.1;1.5;-0.1;1.0;-0.1;0.7;0.8;1.5;1.5;0.8
2023-06-30;16154;16098;16114;16143;True;56;16262;16143;16243;07:00:00;07:00:00;True;False;True;False;True;True;True;2023-06-30 04:00:00-04:00;;04:00:00;04:00 - 04:30;True;True;True;16143.0;16143.0;16262.0;16154.0;07:00:00;04:10:00;16262.0;16154.0;False;07:00 - 07:30;04:00 - 04:30;0.2;0.8;2.9;0.9;2.5;0.9;0.8;1.0;2.9;2.9;1.0
2023-07-03;16332;16288;16294;16318;True;44;16324;16234;16236;04:00:00;04:00:00;False;True;False;True;True;True;True;;2023-07-03 05:40:00-04:00;05:40:00;05:30 - 06:00;False;True;True;16324.0;16285.0;16293.0;16234.0;08:00:00;06:35:00;16234.0;16293.0;True;08:00 - 08:30;06:30 - 07:00;0.1;0.6;0.8;-1.2;-1.2;0.0;0.8;-1.2;0.1;-1.2;0.1
2023-07-04;16224;16192;16203;16214;True;32;16222;16138;16163;04:00:00;04:00:00;False;True;False;True;True;True;True;;2023-07-04 04:40:00-04:00;04:40:00;04:30 - 05:00;False;True;True;16222.0;16195.0;16194.0;16138.0;06:35:00;04:45:00;16138.0;16194.0;True;06:30 - 07:00;04:30 - 05:00;0.3;0.6;0.9;-1.6;-1.0;0.1;0.9;-1.6;0.0;-1.6;0.0
2023-07-05;16102;16037;16051;16059;True;65;16088;16042;16053;04:20:00;07:15:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;16059.0;16059.0;16053.0;16053.0;;;;;False;No breakout;No breakout;0.2;0.3;0.7;0.1;0.2;0.4;0.3;0.3;0.2;;
2023-07-06;15969;15895;15962;15905;False;74;15922;15805;15825;04:50:00;04:50:00;False;True;False;True;True;True;True;;2023-07-06 04:10:00-04:00;04:10:00;04:00 - 04:30;False;True;True;15918.0;15884.0;15922.0;15805.0;08:10:00;04:50:00;15805.0;15922.0;True;08:00 - 08:30;04:30 - 05:00;0.9;0.1;0.3;-1.2;-1.0;-0.1;0.3;-1.2;0.3;-1.2;0.3
2023-07-07;15634;15559;15628;15608;False;75;15723;15570;15699;07:10:00;07:40:00;True;False;True;False;True;True;True;2023-07-07 05:00:00-04:00;;05:00:00;05:00 - 05:30;True;True;True;15637.0;15570.0;15723.0;15640.0;07:10:00;05:05:00;15723.0;15640.0;False;07:00 - 07:30;05:00 - 05:30;0.9;0.6;2.1;0.2;1.8;0.2;1.0;1.1;2.1;2.1;1.1
2023-07-10;15718;15648;15682;15710;True;70;15829;15708;15817;08:10:00;08:10:00;True;False;True;False;True;True;True;2023-07-10 04:10:00-04:00;;04:10:00;04:00 - 04:30;True;True;True;15720.0;15708.0;15829.0;15729.0;08:10:00;05:20:00;15829.0;15729.0;False;08:00 - 08:30;05:00 - 05:30;0.4;0.8;2.5;0.9;2.4;0.9;1.0;1.2;2.5;2.5;1.2
2023-07-11;15864;15797;15859;15800;False;67;15884;15761;15883;08:25:00;08:25:00;True;True;True;True;True;False;False;2023-07-11 07:50:00-04:00;2023-07-11 04:00:00-04:00;04:00:00;04:00 - 04:30;False;False;False;15800.0;15800.0;15884.0;15761.0;05:00:00;04:10:00;15761.0;15796.0;False;05:00 - 05:30;04:00 - 04:30;0.9;0.0;1.2;-0.5;1.2;0.1;0.0;-0.5;1.2;-0.5;-0.1
2023-07-12;15977;15909;15958;15974;True;68;16047;15973;16015;07:55:00;07:55:00;True;False;True;False;True;True;True;2023-07-12 04:00:00-04:00;;04:00:00;04:00 - 04:30;True;True;True;15974.0;15974.0;16047.0;15977.0;07:55:00;04:25:00;16047.0;15977.0;False;07:30 - 08:00;04:00 - 04:30;0.7;0.9;2.0;1.0;1.5;1.0;0.9;1.0;2.0;2.0;1.0
2023-07-13;16167;16098;16131;16151;True;69;16232;16134;16223;05:20:00;05:25:00;True;False;True;False;True;True;True;2023-07-13 04:20:00-04:00;;04:20:00;04:00 - 04:30;True;True;True;16167.0;16134.0;16232.0;16168.0;05:20:00;04:25:00;16232.0;16168.0;False;05:00 - 05:30;04:00 - 04:30;0.4;0.7;1.9;0.6;1.8;0.6;1.0;1.1;1.9;1.9;1.1
2023-07-14;16239;16199;16218;16209;False;40;16230;16170;16229;08:15:00;08:20:00;False;True;False;True;True;True;True;;2023-07-14 05:20:00-04:00;05:20:00;05:00 - 05:30;False;True;False;16227.0;16199.0;16230.0;16170.0;05:55:00;05:25:00;16170.0;16202.0;True;05:30 - 06:00;05:00 - 05:30;0.4;0.2;0.7;-0.7;0.7;0.0;0.6;-0.7;0.7;-0.7;0.0
2023-07-17;16193;16108;16135;16189;True;85;16204;16092;16111;04:15:00;04:15:00;True;True;True;True;True;False;False;2023-07-17 04:10:00-04:00;2023-07-17 05:45:00-04:00;04:10:00;04:00 - 04:30;True;False;False;16191.0;16177.0;16204.0;16092.0;04:15:00;04:15:00;16204.0;16192.0;True;04:00 - 04:30;04:00 - 04:30;0.3;0.9;1.1;-0.1;0.0;0.9;0.9;-0.1;1.1;1.1;1.0
2023-07-18;16179;16126;16160;16166;True;53;16196;16130;16155;04:30:00;04:30:00;True;False;True;False;True;True;True;2023-07-18 04:10:00-04:00;;04:10:00;04:00 - 04:30;True;True;False;16176.0;16161.0;16196.0;16130.0;04:30:00;04:20:00;16196.0;16173.0;True;04:30 - 05:00;04:00 - 04:30;0.6;0.7;1.3;0.1;0.5;0.7;0.9;0.1;1.3;1.3;0.9
2023-07-19;16341;16225;16282;16226;False;116;16273;16168;16174;04:40:00;04:40:00;False;True;False;True;True;True;True;;2023-07-19 07:15:00-04:00;07:15:00;07:00 - 07:30;False;True;True;16273.0;16217.0;16223.0;16168.0;08:25:00;07:30:00;16168.0;16223.0;False;08:00 - 08:30;07:30 - 08:00;0.4;0.0;0.4;-0.4;-0.5;0.0;0.4;-0.4;-0.1;-0.4;-0.1
2023-07-20;16222;16142;16161;16221;True;80;16270;16215;16236;04:50:00;04:50:00;True;False;True;False;True;True;True;2023-07-20 04:00:00-04:00;;04:00:00;04:00 - 04:30;True;True;True;16221.0;16221.0;16270.0;16215.0;04:50:00;04:10:00;16270.0;16215.0;True;04:30 - 05:00;04:00 - 04:30;0.2;0.9;1.6;1.0;1.1;1.0;0.9;1.0;1.6;1.6;1.0
2023-07-21;16255;16194;16219;16203;False;61;16247;16197;16237;05:15:00;05:20:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;16203.0;16203.0;16237.0;16237.0;;;;;False;No breakout;No breakout;0.4;0.1;0.8;0.1;0.7;0.2;0.1;0.8;0.7;;
2023-07-24;16279;16208;16210;16269;True;71;16304;16241;16252;06:20:00;06:35:00;True;False;True;False;True;True;True;2023-07-24 05:10:00-04:00;;05:10:00;05:00 - 05:30;True;True;False;16281.0;16241.0;16304.0;16241.0;06:20:00;05:35:00;16304.0;16271.0;True;06:00 - 06:30;05:30 - 06:00;0.0;0.8;1.3;0.5;0.6;0.5;1.0;0.5;1.3;1.3;0.9
2023-07-25;16302;16221;16300;16245;False;81;16318;16240;16289;06:00:00;06:00:00;True;False;True;False;True;True;True;2023-07-25 05:40:00-04:00;;05:40:00;05:30 - 06:00;True;True;False;16307.0;16240.0;16318.0;16272.0;06:00:00;05:45:00;16318.0;16303.0;False;06:00 - 06:30;05:30 - 06:00;0.9;0.2;1.1;0.3;0.8;0.3;1.0;0.7;1.1;1.1;1.1
2023-07-26;16305;16249;16305;16259;False;56;16263;16132;16150;04:00:00;04:00:00;False;True;False;True;True;True;True;;2023-07-26 04:00:00-04:00;04:00:00;04:00 - 04:30;False;True;True;16259.0;16259.0;16257.0;16132.0;08:10:00;04:25:00;16132.0;16257.0;True;08:00 - 08:30;04:00 - 04:30;1.0;0.1;0.2;-2.0;-1.8;0.2;0.1;-2.0;0.1;-2.0;0.1
2023-07-27;16302;16214;16259;16289;True;88;16431;16289;16399;08:15:00;08:20:00;True;False;True;False;True;True;True;2023-07-27 04:00:00-04:00;;04:00:00;04:00 - 04:30;True;True;True;16289.0;16289.0;16431.0;16307.0;08:15:00;04:05:00;16431.0;16307.0;False;08:00 - 08:30;04:00 - 04:30;0.5;0.8;2.4;0.9;2.1;0.9;0.8;1.1;2.4;2.4;1.1
