date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2023-09-18;1.23932;1.2381199999999999;1.23923;1.23823;1.23875;1.2389999999999999;true;0.0012;1.24104;1.237;1.24091;1.2371;1.23886;true;true;true;true;true;false;false;1695029400000000;1695023400000000;1695023400000000;03:30 - 04:00;false;false;false;1.23809;1.23927;1.237;1.24104;1.23814;1.237;1695024000000000;1695024900000000;true;04:00 - 04:30;04:00 - 04:30;-0.9;0.0;-1.0;2.4;0.5;0.7;0.6;-1.0;2.4
2023-09-19;1.23858;1.23733;1.23809;1.23762;1.23792;1.23782;false;0.00125;1.24248;1.2371;1.24224;1.2372;1.24165;true;true;true;true;true;false;false;1695108900000000;1695114000000000;1695108900000000;03:30 - 04:00;true;false;true;1.23749;1.23789;1.2371;1.24248;1.2371;1.24248;1695114000000000;1695126000000000;true;08:00 - 08:30;05:00 - 05:30;4.1;-0.1;4.2;-0.1;0.5;0.4;3.5;-0.1;4.2
2023-09-20;1.2356;1.23341;1.23545;1.2336;1.23545;1.23437;false;0.00219;1.23765;1.23418;1.23756;1.23437;1.23724;true;false;true;false;true;true;true;1695195900000000;;1695195900000000;03:30 - 04:00;true;true;true;1.23418;1.23592;1.23537;1.23765;1.23537;1.23765;1695197400000000;1695204000000000;true;06:00 - 06:30;04:00 - 04:30;1.9;0.9;2.0;0.9;1.0;0.5;1.8;0.4;2.0
2023-09-21;1.23301;1.2316;1.2327;1.23163;1.2327;1.23163;false;0.00141;1.23202;1.22369;1.23184;1.22546;1.22555;false;true;false;true;true;true;true;;1695281400000000;1695281400000000;03:30 - 04:00;false;true;true;;;1.22369;1.23202;1.23202;1.22369;1695283500000000;1695294000000000;true;07:00 - 07:30;04:00 - 04:30;-5.6;0.2;-5.7;0.2;0.7;0.0;-4.3;-5.7;0.2
2023-09-22;1.22856;1.22509;1.22852;1.22572;1.22819;1.22589;false;0.00347;1.22738;1.22325;1.22703;1.2234;1.22636;false;true;false;true;true;true;true;;1695372000000000;1695372000000000;04:30 - 05:00;false;true;false;1.22336;1.22738;1.22325;1.22671;1.22556;1.22325;1695372900000000;1695376200000000;true;05:30 - 06:00;04:30 - 05:00;-0.5;0.1;-0.6;0.4;0.8;0.2;0.3;-0.6;0.6
2023-09-25;1.225;1.22407;1.22485;1.2243;1.2243;1.22438;true;0.00093;1.22482;1.22122;1.2247999999999999;1.2214;1.22217;false;true;false;true;true;true;true;;1695627600000000;1695627600000000;03:30 - 04:00;false;true;true;1.22413;1.22482;1.22122;1.22453;1.22453;1.22122;1695628500000000;1695633300000000;true;05:00 - 05:30;03:30 - 04:00;-3.0;0.4;-3.1;0.4;0.2;0.3;-2.1;-3.1;0.8
2023-09-26;1.21777;1.21672;1.21746;1.21695;1.21708;1.21722;true;0.00105;1.21938;1.21675;1.2192;1.21684;1.2183599999999999;true;false;true;false;true;true;true;1695715500000000;;1695715500000000;04:00 - 04:30;true;true;true;1.21675;1.21795;1.21699;1.21938;1.2175799999999999;1.21938;1695719400000000;1695721800000000;true;05:30 - 06:00;05:00 - 05:30;2.5;0.9;2.6;0.3;0.4;0.5;1.6;0.1;2.6
2023-09-27;1.2155;1.2142;1.21537;1.21457;1.21537;1.21508;false;0.0013;1.21641;1.21307;1.21603;1.2133;1.21446;true;true;true;true;true;false;false;1695803100000000;1695807000000000;1695803100000000;04:00 - 04:30;true;false;false;1.21449;1.21552;1.21307;1.21641;1.21591;1.21641;1695803400000000;1695803400000000;false;04:30 - 05:00;04:30 - 05:00;1.6;1.4;1.7;-0.8;1.0;0.7;0.3;-0.8;1.7
2023-09-28;1.21499;1.21245;1.21496;1.21262;1.21262;1.21472;true;0.00254;1.22139;1.21446;1.22129;1.21472;1.22037;true;false;true;false;true;true;true;1695886200000000;;1695886200000000;03:30 - 04:00;true;true;true;;;1.21489;1.22139;1.21489;1.22139;1695888000000000;1695901800000000;true;07:30 - 08:00;04:00 - 04:30;3.5;1.0;3.6;1.0;0.1;0.9;3.2;0.8;3.6
2023-09-29;1.22502;1.22358;1.22488;1.22386;1.22433;1.22386;false;0.00144;1.22716;1.22291;1.22697;1.22315;1.22527;true;true;true;true;true;false;false;1695972900000000;1695975300000000;1695972900000000;03:30 - 04:00;true;false;true;1.22379;1.22491;1.22291;1.22716;1.22291;1.22716;1695976200000000;1695985500000000;true;07:00 - 07:30;04:30 - 05:00;2.4;-0.4;2.5;-0.4;0.6;0.2;1.2;-0.4;2.5
