date;dr_high;dr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2023-09-18;1.23932;1.23764;1.23875;1.23793;False;0.00168;1.24104;1.237;1.23886;06:35:00;06:35:00;True;True;True;True;True;False;False;2023-09-18 05:30:00-04:00;2023-09-18 04:10:00-04:00;04:10:00;04:00 - 04:30;False;False;False;1.23814;1.23761;1.24104;1.237;04:15:00;04:15:00;1.237;1.23755;False;04:00 - 04:30;04:00 - 04:30;0.6;0.1;2.0;-0.3;0.7;0.0;0.2;-0.3;2.0;-0.3;-0.1
2023-09-19;1.23927;1.23733;1.23792;1.23888;True;0.00194;1.24248;1.2371;1.24165;08:20:00;08:20:00;True;True;True;True;True;False;False;2023-09-19 06:35:00-04:00;2023-09-19 05:00:00-04:00;05:00:00;05:00 - 05:30;False;False;False;1.23897;1.23755;1.24248;1.23717;05:05:00;05:05:00;1.23717;1.23773;True;05:00 - 05:30;05:00 - 05:30;0.3;0.7;2.6;-0.1;2.2;0.2;0.8;0.0;2.6;0.0;0.2
2023-09-20;1.23643;1.23341;1.23545;1.23605;True;0.00302;1.23765;1.23537;1.23724;06:00:00;06:10:00;True;False;True;False;True;True;True;2023-09-20 04:20:00-04:00;;04:20:00;04:00 - 04:30;True;True;True;1.23641;1.23537;1.23765;1.23576;06:00:00;04:25:00;1.23765;1.23607;True;06:00 - 06:30;04:00 - 04:30;0.6;0.8;1.4;0.7;1.2;0.7;0.9;0.8;1.4;1.4;0.9
2023-09-21;1.23301;1.22943;1.2327;1.23129;False;0.00358;1.23202;1.22369;1.22555;04:05:00;04:05:00;False;True;False;True;True;True;True;;2023-09-21 05:45:00-04:00;05:45:00;05:30 - 06:00;False;True;True;1.23202;1.22927;1.23034;1.22369;07:00:00;06:55:00;1.22369;1.23034;True;07:00 - 07:30;06:30 - 07:00;0.9;0.5;0.7;-1.6;-1.1;0.0;0.7;-1.6;0.2;-1.6;0.2
2023-09-22;1.22856;1.22509;1.22819;1.22656;False;0.00347;1.22702;1.22325;1.22636;04:00:00;04:00:00;False;True;False;True;True;True;True;;2023-09-22 04:40:00-04:00;04:40:00;04:30 - 05:00;False;True;False;1.22702;1.22336;1.22671;1.22325;05:50:00;04:55:00;1.22325;1.22556;True;05:30 - 06:00;04:30 - 05:00;0.8;0.4;0.5;-0.5;0.3;-0.4;0.5;-0.5;0.4;-0.5;0.1
2023-09-25;1.225;1.22386;1.2243;1.22416;False;0.00114;1.22447;1.22122;1.22217;04:00:00;07:15:00;False;True;False;True;True;True;True;;2023-09-25 04:05:00-04:00;04:05:00;04:00 - 04:30;False;True;True;1.22447;1.22394;1.22432;1.22122;05:15:00;04:10:00;1.22122;1.22377;False;05:00 - 05:30;04:00 - 04:30;0.3;0.2;0.5;-2.3;-1.5;0.1;0.5;-2.3;0.4;-2.3;-0.1
2023-09-26;1.21795;1.21672;1.21708;1.21726;True;0.00123;1.21938;1.21692;1.21836;05:50:00;05:50:00;True;False;True;False;True;True;True;2023-09-26 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;True;1.21767;1.21692;1.21938;1.21699;05:50:00;05:10:00;1.21938;1.21758;True;05:30 - 06:00;05:00 - 05:30;0.2;0.4;2.1;0.2;1.3;0.2;0.7;0.3;2.1;2.1;0.7
2023-09-27;1.2155;1.2142;1.21537;1.2148;False;0.0013;1.21641;1.21307;1.21446;04:30:00;04:30:00;True;True;True;True;True;False;False;2023-09-27 04:25:00-04:00;2023-09-27 05:30:00-04:00;04:25:00;04:00 - 04:30;True;False;False;1.21552;1.2146;1.21641;1.21307;04:30:00;04:30:00;1.21641;1.21591;False;04:30 - 05:00;04:30 - 05:00;0.9;0.4;1.6;-0.8;0.2;0.4;1.0;-0.8;1.6;1.6;1.4
2023-09-28;1.2161;1.21245;1.21262;1.21529;True;0.00365;1.22139;1.21489;1.22037;07:50:00;07:55:00;True;False;True;False;True;True;True;2023-09-28 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;True;1.21541;1.21489;1.22139;1.21612;07:50:00;04:10:00;1.22139;1.21612;False;07:30 - 08:00;04:00 - 04:30;0.0;0.7;2.4;0.7;2.1;0.7;0.8;1.1;2.4;2.4;1.1
2023-09-29;1.22541;1.22358;1.22433;1.22428;False;0.00183;1.22716;1.22291;1.22527;07:05:00;07:00:00;True;True;True;True;True;False;False;2023-09-29 05:45:00-04:00;2023-09-29 04:15:00-04:00;04:15:00;04:00 - 04:30;False;False;False;1.22432;1.22322;1.22716;1.22291;04:30:00;04:20:00;1.22291;1.22377;True;04:30 - 05:00;04:00 - 04:30;0.4;0.3;1.9;-0.3;0.9;-0.1;0.4;-0.3;1.9;-0.3;0.1
2023-10-02;1.22198;1.21895;1.22129;1.21938;False;0.00303;1.21972;1.2148;1.21669;04:00:00;04:00:00;False;True;False;True;True;True;True;;2023-10-02 04:15:00-04:00;04:15:00;04:00 - 04:30;False;True;True;1.21972;1.21875;1.21929;1.2148;07:05:00;04:40:00;1.2148;1.21929;True;07:00 - 07:30;04:30 - 05:00;0.7;0.1;0.2;-1.3;-0.8;0.0;0.2;-1.3;0.1;-1.3;0.1
2023-10-03;1.20885;1.2063;1.20844;1.2083;False;0.00255;1.20968;1.20521;1.20757;04:15:00;04:15:00;True;True;True;True;True;False;False;2023-10-03 04:00:00-04:00;2023-10-03 06:45:00-04:00;04:00:00;04:00 - 04:30;True;False;False;1.2083;1.2083;1.20968;1.20521;04:15:00;04:05:00;1.20968;1.20884;True;04:00 - 04:30;04:00 - 04:30;0.8;0.7;1.3;-0.4;0.4;0.8;0.7;-0.4;1.3;1.3;1.0
2023-10-04;1.20849;1.20371;1.20542;1.20833;True;0.00478;1.21593;1.20815;1.21506;08:15:00;08:25:00;True;False;True;False;True;True;True;2023-10-04 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;True;1.20849;1.20823;1.21593;1.20815;08:15:00;04:20:00;1.21593;1.20815;True;08:00 - 08:30;04:00 - 04:30;0.3;0.9;2.5;1.0;2.3;1.0;1.0;1.0;2.5;2.5;1.0
2023-10-05;1.21448;1.21305;1.21387;1.2131;False;0.00143;1.21559;1.21156;1.2137;08:05:00;08:05:00;True;True;True;True;True;False;False;2023-10-05 07:40:00-04:00;2023-10-05 04:30:00-04:00;04:30:00;04:30 - 05:00;False;False;False;1.21406;1.21286;1.21559;1.21156;04:55:00;04:35:00;1.21156;1.21301;False;04:30 - 05:00;04:30 - 05:00;0.5;0.0;1.7;-1.0;0.4;-0.1;0.7;-1.0;1.7;-1.0;-0.1
2023-10-06;1.22068;1.21687;1.217;1.22035;True;0.00381;1.22195;1.21922;1.22074;06:40:00;06:40:00;True;False;True;False;True;True;True;2023-10-06 06:05:00-04:00;;06:05:00;06:00 - 06:30;True;True;True;1.22089;1.21922;1.22195;1.21964;06:40:00;06:30:00;1.22195;1.22103;False;06:30 - 07:00;06:30 - 07:00;0.0;0.9;1.3;0.7;1.0;0.7;1.0;0.8;1.3;1.3;1.1
