date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;994.2;993.9;994.2;993.9;994.0;994.2;true;0.3;995.7;986.3;995.7;986.3;988.0;true;true;true;true;true;false;false;1254096300000000;1254099600000000;1254096300000000;09:00 - 09:30;true;false;false;;;986.3;995.7;995.0;995.7;1254096600000000;1254096900000000;false;09:00 - 09:30;09:00 - 09:30;5.9;3.7;6.0;-25.3;0.4;1.0;-19.6;-25.3;6.0
2009-09-29;993.3;991.0;993.2;991.3;991.3;992.3;true;2.3;993.9;989.4;993.9;989.4;992.2;true;true;true;true;true;false;false;1254183600000000;1254187200000000;1254183600000000;09:00 - 09:30;true;false;false;991.5;993.2;989.4;993.9;;;;;false;;;;;1.3;-0.6;0.2;0.6;0.6;-0.6;1.3
2009-09-30;994.6;993.9;994.5;994.1;994.3;994.5;true;0.7;997.9;992.7;997.9;992.9;997.0;true;true;true;true;true;false;false;1254272700000000;1254268800000000;1254268800000000;09:00 - 09:30;false;false;false;;;992.7;997.9;993.8;992.7;1254269100000000;1254269700000000;false;09:00 - 09:30;09:00 - 09:30;-1.7;-0.2;-1.8;5.7;0.5;0.8;4.4;-1.8;5.7
2009-10-01;1010.3;1008.5;1010.2;1008.8;1010.0;1008.9;false;1.8;1009.1;1005.9;1009.0;1005.9;1005.9;false;true;false;true;true;true;true;;1254355500000000;1254355500000000;09:00 - 09:30;false;true;true;1008.6;1009.1;1005.9;1008.8;1008.8;1005.9;1254356100000000;1254365400000000;true;11:30 - 12:00;09:00 - 09:30;-1.4;0.1;-1.5;0.1;0.8;0.2;-1.5;-1.5;0.3
2009-10-02;1002.6;999.8;1001.9;999.9;1000.1;1000.7;true;2.8;1002.4;999.1;1002.3;999.1;1001.0;false;true;false;true;true;true;true;;1254447000000000;1254447000000000;10:30 - 11:00;false;true;false;999.2;1000.8;999.6;1002.4;;;;;false;;;;;-0.1;0.9;0.1;0.3;0.4;-0.3;0.9
2009-10-05;1004.4;1002.0;1004.4;1002.4;1004.4;1003.5;false;2.4;1005.9;1002.1;1005.8;1002.4;1005.3;true;false;true;false;true;true;true;1254703200000000;;1254703200000000;09:30 - 10:00;true;true;true;1002.1;1004.3;1003.2;1005.9;1003.2;1005.9;1254707100000000;1254718200000000;true;13:30 - 14:00;10:30 - 11:00;1.6;0.6;1.7;0.6;1.0;0.7;1.4;0.1;1.7
2009-10-06;1017.8;1017.5;1017.8;1017.5;1017.6;1017.6;false;0.3;1021.4;1016.6;1021.3;1016.8;1018.3;true;true;true;true;true;false;false;1254791400000000;1254788100000000;1254788100000000;09:00 - 09:30;false;false;false;1017.5;1017.7;1016.6;1021.4;1017.2;1016.6;1254788400000000;1254789000000000;false;09:30 - 10:00;09:00 - 09:30;-3.0;-1.0;-3.1;13.0;0.3;0.3;2.6;-3.1;13.0
2009-10-07;1043.2;1039.8;1043.2;1040.2;1043.2;1040.2;false;3.4;1041.4;1037.8;1041.1;1038.0;1040.4;false;true;false;true;true;true;true;;1254873600000000;1254873600000000;09:00 - 09:30;false;true;false;;;1037.8;1041.4;1041.1;1037.8;1254877500000000;1254885000000000;true;12:00 - 12:30;10:00 - 10:30;-0.5;0.3;-0.6;0.4;1.0;0.1;0.1;-0.6;0.4
2009-10-08;1047.6;1046.3;1047.2;1046.6;1047.2;1047.2;false;1.3;1053.2;1045.1;1053.2;1045.7;1053.2;true;true;true;true;true;false;false;1254962100000000;1254961500000000;1254961500000000;09:00 - 09:30;false;false;false;1045.1;1047.6;1045.8;1053.2;1047.9;1045.8;1254961800000000;1254961800000000;true;09:30 - 10:00;09:30 - 10:00;-0.3;1.2;-0.4;5.3;0.6;0.6;5.3;-1.0;5.3
2009-10-09;1052.9;1050.7;1052.7;1050.9;1052.1;1050.9;false;2.2;1051.8;1047.0;1051.5;1047.0;1047.5;false;true;false;true;true;true;true;;1255047300000000;1255047300000000;09:00 - 09:30;false;true;true;1050.6;1051.4;1047.0;1051.8;1051.8;1047.0;1255050600000000;1255053600000000;true;11:00 - 11:30;10:00 - 10:30;-1.6;0.4;-1.7;0.4;0.6;0.0;-1.5;-1.7;0.4
2009-10-12;1053.8;1053.0;1053.5;1053.0;1053.2;1053.0;false;0.8;1053.2;1048.0;1053.0;1048.6;1051.8;false;true;false;true;true;true;true;;1255305600000000;1255305600000000;09:00 - 09:30;false;true;true;;;1048.0;1052.9;1052.9;1048.0;1255305900000000;1255310100000000;false;10:00 - 10:30;09:00 - 09:30;-6.2;-0.2;-6.3;-0.2;0.2;0.0;-1.6;-6.3;0.2
2009-10-13;1057.9;1055.8;1057.9;1055.9;1057.0;1055.9;false;2.1;1057.4;1052.2;1057.2;1052.4;1056.6;false;true;false;true;true;true;true;;1255394400000000;1255394400000000;09:30 - 10:00;false;true;false;1055.3;1057.2;1052.2;1057.4;1055.4;1052.2;1255394700000000;1255396200000000;false;10:00 - 10:30;09:30 - 10:00;-1.7;-0.2;-1.8;0.7;0.5;0.0;0.3;-1.8;0.7
2009-10-14;1065.5;1063.2;1065.5;1063.6;1064.0;1064.2;true;2.3;1071.1;1063.2;1071.1;1063.6;1069.2;true;false;true;false;true;true;true;1255484100000000;;1255484100000000;10:30 - 11:00;true;true;true;1063.2;1065.0;1066.1;1071.1;1066.1;1071.1;1255484400000000;1255489200000000;false;12:00 - 12:30;10:30 - 11:00;3.4;1.3;3.5;1.3;0.4;0.5;2.7;0.0;3.5
2009-10-15;1065.9;1064.8;1065.5;1064.8;1065.5;1065.4;false;1.1;1066.0;1062.8;1065.8;1063.2;1064.8;true;true;false;true;true;true;false;;1255565400000000;1255565400000000;09:00 - 09:30;false;true;false;1064.8;1065.5;1062.8;1066.0;1063.7;1062.8;1255565700000000;1255565700000000;false;09:00 - 09:30;09:00 - 09:30;-1.8;-1.0;-1.9;1.0;0.6;0.5;0.0;-1.9;1.0
2009-10-16;1053.4;1052.0;1053.3;1052.0;1052.0;1053.1;true;1.4;1054.9;1046.5;1054.6;1046.5;1046.5;true;true;true;true;true;false;false;1255652400000000;1255664400000000;1255652400000000;09:00 - 09:30;true;false;false;1052.0;1053.9;1046.5;1054.9;1052.9;1054.9;1255653900000000;1255655400000000;true;10:00 - 10:30;09:30 - 10:00;2.0;0.7;2.1;-3.9;0.0;0.8;-3.9;-3.9;2.1
2009-10-19;1055.1;1053.1;1054.7;1053.5;1053.9;1054.7;true;2.0;1054.8;1048.9;1054.8;1049.9;1053.4;false;true;false;true;true;true;true;;1255911000000000;1255911000000000;09:00 - 09:30;false;true;false;1053.4;1054.8;1048.9;1054.1;1052.3;1048.9;1255911300000000;1255912500000000;false;09:30 - 10:00;09:00 - 09:30;-2.0;-0.4;-2.1;0.5;0.4;0.8;0.1;-2.1;0.8
2009-10-20;1064.8;1063.6;1064.6;1063.6;1064.6;1064.0;false;1.2;1068.4;1062.9;1068.1;1063.5;1067.1;true;true;true;true;true;false;false;1255998600000000;1255997100000000;1255997100000000;09:00 - 09:30;false;false;false;1063.6;1064.4;1063.1;1068.4;1063.5;1063.1;1255997400000000;1255997400000000;false;09:00 - 09:30;09:00 - 09:30;-0.4;-0.1;-0.5;4.0;0.8;0.3;2.9;-0.6;4.0
