date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;993.0;988.3;993.0;988.3;989.0;988.3;false;4.7;993.1;985.6;993.0;985.8;992.3;true;true;false;true;true;true;false;;1254123600000000;1254123600000000;03:30 - 04:00;false;true;false;988.8;988.8;987.7;993.1;987.9;987.7;1254125700000000;1254125700000000;false;04:00 - 04:30;04:00 - 04:30;-0.1;-0.1;-0.2;1.0;0.1;0.0;0.8;-0.6;1.0
2009-09-29;991.3;991.1;991.3;991.1;991.3;991.1;false;0.2;993.1;984.7;993.1;985.0;986.0;true;true;true;true;true;false;false;1254210900000000;1254209400000000;1254209400000000;03:30 - 04:00;false;false;true;;;984.7;993.1;993.1;984.7;1254211800000000;1254226800000000;true;08:00 - 08:30;04:00 - 04:30;-32.0;10.0;-32.1;10.0;1.0;0.0;-25.6;-32.1;10.0
2009-09-30;997.9;996.8;997.9;997.1;997.9;997.1;false;1.1;1004.7;995.4;1003.7;996.5;1003.0;true;true;true;true;true;false;false;1254298200000000;1254295800000000;1254295800000000;03:30 - 04:00;false;false;false;;;995.4;1004.7;996.8;995.4;1254296100000000;1254296100000000;false;03:30 - 04:00;03:30 - 04:00;-1.2;0.0;-1.3;7.1;1.0;0.2;5.6;-1.3;7.1
2009-10-02;1001.0;999.2;1000.8;1000.0;1000.3;1000.0;false;1.8;1000.5;996.7;1000.3;997.1;997.5;false;true;false;true;true;true;true;;1254468900000000;1254468900000000;03:30 - 04:00;false;true;true;999.3;1000.1;996.7;1000.5;1000.5;996.7;1254471000000000;1254486300000000;true;08:00 - 08:30;04:00 - 04:30;-1.3;0.7;-1.4;0.7;0.6;0.4;-1.0;-1.4;0.7
2009-10-05;1006.8;1004.5;1006.2;1005.0;1005.6;1005.5;false;2.3;1008.6;1004.0;1008.2;1004.0;1004.0;true;true;true;true;true;false;false;1254729600000000;1254745500000000;1254729600000000;04:00 - 04:30;true;false;false;1005.2;1006.4;1004.0;1008.6;1006.7;1008.6;1254729900000000;1254730200000000;true;04:00 - 04:30;04:00 - 04:30;1.7;1.0;1.8;-0.2;0.5;0.5;-0.2;-0.2;1.8
2009-10-07;1042.6;1040.3;1042.3;1040.9;1042.1;1041.8;false;2.3;1049.7;1040.3;1049.3;1040.7;1042.9;true;false;true;false;true;true;true;1254902100000000;;1254902100000000;03:30 - 04:00;true;true;true;1040.3;1042.6;1040.5;1049.7;1043.4;1049.7;1254902400000000;1254905700000000;false;04:30 - 05:00;04:00 - 04:30;4.0;1.4;4.1;0.1;0.8;0.7;1.2;0.0;4.1
2009-10-12;1050.3;1049.0;1050.3;1049.1;1050.3;1049.4;false;1.3;1058.3;1049.0;1057.7;1049.3;1054.6;true;false;true;false;true;true;true;1255334100000000;;1255334100000000;03:30 - 04:00;true;true;true;1049.0;1050.1;1049.8;1058.3;1049.8;1058.3;1255334400000000;1255342500000000;true;06:00 - 06:30;04:00 - 04:30;7.1;0.7;7.2;0.7;1.0;0.4;4.4;0.0;7.2
2009-10-13;1056.7;1054.3;1056.7;1054.5;1056.7;1054.6;false;2.4;1069.7;1054.3;1069.0;1054.5;1065.0;true;false;true;false;true;true;true;1255420500000000;;1255420500000000;03:30 - 04:00;true;true;true;1054.3;1056.7;1056.8;1069.7;1056.8;1069.7;1255420800000000;1255432200000000;false;07:00 - 07:30;04:00 - 04:30;6.4;1.1;6.5;1.1;1.0;0.2;4.5;0.0;6.5
2009-10-14;1070.2;1068.4;1070.1;1068.5;1068.5;1069.2;true;1.8;1070.6;1056.5;1070.4;1057.6;1062.5;true;true;true;true;true;false;false;1255507200000000;1255508100000000;1255507200000000;04:00 - 04:30;true;false;false;1068.5;1070.3;1056.5;1070.5;1069.6;1070.5;1255507500000000;1255507500000000;true;04:00 - 04:30;04:00 - 04:30;1.1;0.7;1.2;-6.6;0.1;0.5;-3.2;-6.6;1.3
2009-10-15;1058.1;1057.0;1058.1;1057.0;1058.1;1057.0;false;1.1;1059.0;1048.0;1059.0;1048.0;1048.0;true;true;true;true;true;false;false;1255592400000000;1255599900000000;1255592400000000;03:30 - 04:00;true;false;false;;;1048.0;1058.5;1058.5;1058.5;1255597200000000;1255597200000000;false;05:00 - 05:30;05:00 - 05:30;1.3;1.4;1.4;-8.1;1.0;0.0;-8.1;-8.1;1.9
