date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;993.5;990.0;993.4;990.5;990.7;993.2;true;3.5;996.3;988.6;996.3;988.9;988.9;true;true;true;true;true;false;false;1254148200000000;1254167100000000;1254148200000000;10:30 - 11:00;true;false;false;;;988.6;996.3;992.8;996.3;1254149700000000;1254153900000000;true;12:00 - 12:30;10:30 - 11:00;1.7;0.8;1.8;-0.3;0.3;1.0;-0.3;-0.3;1.8
2009-09-29;992.5;987.8;992.5;987.8;990.2;990.4;true;4.7;997.2;989.8;996.6;989.8;993.8;true;false;true;false;true;true;true;1254238200000000;;1254238200000000;11:30 - 12:00;true;true;true;989.8;994.0;990.5;997.2;990.5;997.2;1254239700000000;1254243900000000;true;13:00 - 13:30;11:30 - 12:00;2.0;0.6;2.0;0.6;0.6;0.6;1.3;0.5;2.0
2009-09-30;1003.5;995.0;1003.2;995.0;1003.0;997.7;false;8.5;1010.8;996.8;1009.9;996.8;1008.5;true;false;true;false;true;true;true;1254325500000000;;1254325500000000;11:30 - 12:00;true;true;true;996.8;1003.9;1003.3;1010.8;1003.3;1010.8;1254326700000000;1254329400000000;true;12:30 - 13:00;12:00 - 12:30;1.8;1.0;1.9;1.0;1.0;0.4;1.6;0.3;1.9
2009-10-01;1006.2;1001.6;1006.2;1001.6;1004.9;1001.6;false;4.6;1011.0;998.5;1004.2;998.5;999.2;true;true;false;true;true;true;false;;1254409500000000;1254409500000000;11:00 - 11:30;false;true;true;1002.4;1004.2;998.5;1011.0;1000.8;998.5;1254410100000000;1254412500000000;false;11:30 - 12:00;11:00 - 11:30;-0.6;-0.2;-0.7;2.0;0.7;0.0;-0.6;-0.7;2.0
2009-10-02;1007.9;997.1;1007.0;997.4;998.2;1007.0;true;10.8;1008.8;1001.0;1008.1;1002.2;1003.3;true;false;true;false;true;true;true;1254493800000000;;1254493800000000;10:30 - 11:00;true;true;false;;;1001.0;1008.8;1006.3;1008.8;1254494100000000;1254494100000000;true;10:30 - 11:00;10:30 - 11:00;1.0;0.9;1.1;0.4;0.2;1.0;0.6;0.4;1.1
2009-10-05;1007.7;1003.7;1007.5;1004.2;1004.9;1006.4;true;4.0;1018.8;1003.5;1018.7;1004.4;1018.2;true;true;true;false;true;true;false;1254758100000000;;1254758100000000;11:30 - 12:00;true;true;true;1003.5;1008.0;1008.4;1018.8;1008.4;1018.8;1254758400000000;1254763800000000;false;13:30 - 14:00;12:00 - 12:30;3.7;1.2;3.8;1.2;0.3;0.7;3.7;-0.0;3.8
2009-10-06;1042.2;1032.4;1041.7;1032.8;1034.0;1038.3;true;9.8;1044.8;1036.2;1044.3;1036.5;1043.5;true;false;true;false;true;true;true;1254840300000000;;1254840300000000;10:30 - 11:00;true;true;true;1037.8;1042.0;1036.2;1044.8;1041.6;1044.8;1254840600000000;1254840900000000;true;10:30 - 11:00;10:30 - 11:00;1.2;1.0;1.3;0.4;0.2;0.7;1.2;0.4;1.3
2009-10-07;1045.5;1039.1;1044.2;1039.5;1043.6;1041.9;false;6.4;1046.0;1038.3;1045.7;1038.3;1044.5;true;true;true;true;true;false;false;1254928800000000;1254926700000000;1254926700000000;10:30 - 11:00;false;false;false;1039.7;1043.0;1039.7;1046.0;;;;;false;;;;;0.0;1.0;0.7;0.4;0.8;-0.2;1.0
2009-10-08;1048.2;1046.4;1048.2;1046.4;1047.3;1046.5;false;1.8;1062.7;1043.8;1060.4;1049.5;1057.2;true;true;true;false;true;true;false;1255012200000000;;1255012200000000;10:30 - 11:00;true;true;true;;;1043.8;1062.7;1043.8;1062.7;1255023000000000;1255023000000000;true;13:30 - 14:00;13:30 - 14:00;9.0;-1.4;9.1;-1.4;0.5;0.1;6.1;-1.4;9.1
2009-10-09;1053.5;1047.0;1051.9;1048.2;1051.6;1049.5;false;6.5;1052.8;1044.0;1052.0;1044.5;1049.2;false;true;false;true;true;true;true;;1255104300000000;1255104300000000;12:00 - 12:30;false;true;false;1048.0;1052.8;1044.0;1051.0;1046.9;1044.0;1255104600000000;1255104600000000;false;12:00 - 12:30;12:00 - 12:30;-0.4;-0.1;-0.5;0.6;0.7;0.3;0.3;-0.5;0.8
