date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2009-09-28;993.0;985.6;993.0;985.8;989.0;987.3;False;993.1;987.7;993.0;987.7;992.3;07:45:00;07:40:00;True;False;False;False;False;False;True;;;;No breakout;False;True;False;987.3;987.3;992.3;992.3;;;;;False;False;No breakout;No breakout;0.4;0.2;1.0;0.3;0.9;0.3;0.2;1.0;0.9;;
2009-09-29;991.4;990.7;991.4;990.7;991.3;991.4;True;993.1;984.7;993.1;985.0;986.0;04:10:00;04:10:00;True;True;True;True;True;False;False;2009-09-29 04:00:00-04:00;2009-09-29 06:30:00-04:00;04:00:00;04:00 - 04:30;True;False;False;991.4;991.4;993.1;984.7;04:10:00;04:05:00;993.1;992.2;False;False;04:00 - 04:30;04:00 - 04:30;0.8;1.0;3.4;-8.5;-6.8;1.0;1.0;-8.5;3.4;3.4;2.2
2009-09-30;997.9;995.4;997.9;996.5;997.9;996.7;False;1004.7;996.0;1003.7;996.8;1003.0;08:25:00;06:35:00;True;False;True;False;True;True;True;2009-09-30 04:10:00-04:00;;04:10:00;04:00 - 04:30;True;True;True;997.9;996.0;1004.7;998.0;08:25:00;04:15:00;1004.7;998.0;False;False;08:00 - 08:30;04:00 - 04:30;1.0;0.5;3.7;0.3;3.0;0.3;1.0;1.1;3.7;3.7;1.1
2009-10-02;1001.0;998.0;1000.8;998.7;1000.3;999.4;False;1000.5;996.7;1000.3;997.1;997.5;04:10:00;04:20:00;False;True;False;True;True;True;True;;2009-10-02 07:00:00-04:00;07:00:00;07:00 - 07:30;False;True;True;1000.5;998.0;999.2;996.7;08:25:00;07:10:00;996.7;999.2;True;True;08:00 - 08:30;07:00 - 07:30;0.7;0.4;0.8;-0.4;-0.2;0.0;0.8;-0.4;0.4;-0.4;0.4
2009-10-05;1006.8;1004.5;1006.3;1005.0;1005.6;1006.3;True;1008.6;1004.0;1008.2;1004.0;1004.0;04:10:00;04:10:00;True;True;True;True;True;False;False;2009-10-05 04:00:00-04:00;2009-10-05 08:25:00-04:00;04:00:00;04:00 - 04:30;True;False;False;1006.3;1006.3;1008.6;1004.0;04:10:00;04:05:00;1008.6;1006.7;True;False;04:00 - 04:30;04:00 - 04:30;0.4;0.7;1.7;-0.2;-0.3;0.8;0.7;-0.2;1.7;1.7;1.0
2009-10-07;1044.0;1040.3;1043.5;1040.7;1042.1;1043.5;True;1049.7;1040.5;1049.3;1041.2;1042.9;04:55:00;05:20:00;True;False;True;False;True;True;True;2009-10-07 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;False;1044.6;1043.4;1049.7;1040.5;04:55:00;04:10:00;1049.7;1044.4;False;False;04:30 - 05:00;04:00 - 04:30;0.4;0.8;2.5;0.1;0.7;0.9;1.1;0.1;2.5;2.5;1.2
2009-10-09;1046.7;1046.4;1046.7;1046.5;1046.7;1046.5;False;1050.8;1045.5;1050.8;1045.5;1049.2;07:30:00;07:35:00;True;True;True;True;True;False;False;2009-10-09 05:40:00-04:00;2009-10-09 04:00:00-04:00;04:00:00;04:00 - 04:30;False;False;False;1046.5;1046.5;1050.8;1045.5;04:05:00;04:05:00;1045.5;1045.5;False;False;04:00 - 04:30;04:00 - 04:30;1.0;0.3;14.6;-3.0;9.3;0.4;0.3;-3.0;14.6;-3.0;-3.1
2009-10-12;1050.4;1049.0;1050.4;1049.1;1050.3;1050.4;True;1058.3;1049.8;1057.7;1050.0;1054.6;06:15:00;06:50:00;True;False;True;False;True;True;True;2009-10-12 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;True;1050.5;1049.8;1058.3;1050.8;06:15:00;04:10:00;1058.3;1050.8;False;False;06:00 - 06:30;04:00 - 04:30;0.9;1.0;6.6;0.6;3.9;0.6;1.0;1.3;6.6;6.6;1.3
2009-10-13;1056.9;1054.3;1056.8;1054.5;1056.7;1056.8;True;1069.7;1056.8;1069.0;1056.8;1065.0;07:10:00;07:10:00;True;False;True;False;True;True;True;2009-10-13 04:00:00-04:00;;04:00:00;04:00 - 04:30;True;True;True;1056.8;1056.8;1069.7;1057.3;07:10:00;04:05:00;1069.7;1057.3;False;False;07:00 - 07:30;04:00 - 04:30;0.9;0.9;5.9;1.0;4.1;1.0;0.9;1.2;5.9;5.9;1.2
2009-10-14;1070.3;1068.4;1070.1;1068.5;1068.5;1069.5;True;1070.6;1056.5;1070.4;1057.6;1062.5;04:00:00;04:05:00;True;True;True;True;True;False;False;2009-10-14 04:00:00-04:00;2009-10-14 04:15:00-04:00;04:00:00;04:00 - 04:30;True;False;False;1069.5;1069.5;1070.5;1056.5;04:05:00;04:05:00;1070.5;1069.6;True;True;04:00 - 04:30;04:00 - 04:30;0.0;0.5;1.1;-6.2;-3.2;0.6;0.5;-6.2;1.1;1.1;0.7
