date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;expansion_level;retracement_level;opening_level;closing_level
2009-09-28;0.011223;0.011184;0.011219;0.011185;0.011185;0.011203;True;0.011215;0.011143;0.011209;0.011146;0.011163;False;True;False;True;True;True;True;;2009-09-28 10:55:00-04:00;10:55:00;10:30 - 11:00;False;True;True;14:55:00;12:00:00;0.011143;0.011215;True;True;14:30 - 15:00;12:00 - 12:30;-1.0;0.7;0.0;0.4
2009-09-29;0.011122;0.011073;0.011119;0.011076;0.011115;0.011098;False;0.011105;0.01107;0.011101;0.011081;0.01109;False;True;False;False;False;False;True;;;;No breakout;False;True;False;;;;;False;False;No breakout;No breakout;;;;
2009-09-30;0.011171;0.01114;0.011167;0.011142;0.011145;0.011158;True;0.01119;0.011141;0.011184;0.011142;0.011145;True;False;True;False;True;True;True;2009-09-30 10:55:00-04:00;;10:55:00;10:30 - 11:00;True;True;False;11:35:00;11:00:00;0.01119;0.011167;True;False;11:30 - 12:00;11:00 - 11:30;1.6;0.8;0.1;0.5
2009-10-01;0.011183;0.011156;0.011174;0.011159;0.011167;0.011163;False;0.011189;0.011138;0.011188;0.011143;0.011143;True;True;True;True;True;False;False;2009-10-01 10:45:00-04:00;2009-10-01 11:55:00-04:00;10:45:00;10:30 - 11:00;True;False;False;10:50:00;10:50:00;0.011188;0.011171;True;True;10:30 - 11:00;10:30 - 11:00;1.1;0.5;0.4;0.2
2009-10-02;0.011291;0.011224;0.011286;0.011229;0.011251;0.011229;False;0.011232;0.011122;0.01123;0.01113;0.011147;False;True;False;True;True;True;True;;2009-10-02 10:35:00-04:00;10:35:00;10:30 - 11:00;False;True;True;11:05:00;10:40:00;0.011122;0.01123;True;True;11:00 - 11:30;10:30 - 11:00;-1.5;0.0;0.4;0.0
2009-10-05;0.011175;0.011141;0.01117;0.011141;0.011141;0.011164;True;0.01119;0.011155;0.011184;0.011155;0.011175;True;False;True;False;True;True;True;2009-10-05 13:35:00-04:00;;13:35:00;13:30 - 14:00;True;True;False;13:50:00;13:40:00;0.01119;0.011174;True;False;13:30 - 14:00;13:30 - 14:00;1.4;0.9;0.0;0.6
2009-10-06;0.011289;0.011246;0.011287;0.011248;0.011248;0.01127;True;0.011288;0.011254;0.011283;0.011257;0.011266;False;False;False;False;False;False;False;;;;No breakout;False;True;False;;;;;False;False;No breakout;No breakout;;;;
2009-10-07;0.011255;0.011208;0.011253;0.011213;0.011214;0.011245;True;0.01131;0.011222;0.011305;0.011224;0.011288;True;False;True;False;True;True;True;2009-10-07 11:15:00-04:00;;11:15:00;11:00 - 11:30;True;True;True;13:40:00;11:20:00;0.01131;0.011256;False;False;13:30 - 14:00;11:00 - 11:30;2.1;1.0;0.1;0.7
2009-10-08;0.011312;0.011284;0.011308;0.011289;0.011294;0.011301;True;0.011345;0.011289;0.011335;0.011294;0.011306;True;False;True;False;True;True;True;2009-10-08 10:35:00-04:00;;10:35:00;10:30 - 11:00;True;True;False;12:30:00;11:40:00;0.011345;0.011299;True;True;12:30 - 13:00;11:30 - 12:00;2.1;0.5;0.3;0.6
2009-10-09;0.011216;0.011167;0.011214;0.01117;0.011214;0.011187;False;0.011193;0.011129;0.01119;0.011132;0.011144;False;True;False;True;True;True;True;;2009-10-09 11:35:00-04:00;11:35:00;11:30 - 12:00;False;True;True;13:50:00;12:00:00;0.011129;0.011163;False;False;13:30 - 14:00;12:00 - 12:30;-0.7;0.0;0.9;0.4
2009-10-12;0.01116;0.011126;0.011151;0.011126;0.011126;0.011136;True;0.011161;0.011126;0.01116;0.011128;0.011134;True;False;False;False;False;False;True;;;;No breakout;False;True;False;;;;;False;False;No breakout;No breakout;;;;
2009-10-13;0.011164;0.011143;0.011162;0.011148;0.011148;0.011158;True;0.011186;0.0111;0.011177;0.011112;0.011144;True;True;True;True;True;False;False;2009-10-13 11:00:00-04:00;2009-10-13 14:05:00-04:00;11:00:00;11:00 - 11:30;True;False;False;13:55:00;11:40:00;0.011186;0.01114;True;True;13:30 - 14:00;11:30 - 12:00;2.0;-0.1;0.2;0.7
2009-10-14;0.011246;0.011182;0.011213;0.011183;0.011183;0.011198;True;0.01123;0.011167;0.011216;0.011167;0.011192;False;True;False;True;True;True;True;;2009-10-14 12:00:00-04:00;12:00:00;12:00 - 12:30;False;True;False;12:05:00;12:05:00;0.011167;0.011178;False;False;12:00 - 12:30;12:00 - 12:30;-0.2;0.0;0.0;0.2
2009-10-15;0.011074;0.011026;0.011071;0.011029;0.011035;0.011058;True;0.011094;0.01102;0.011077;0.011024;0.011041;True;True;True;True;True;False;False;2009-10-15 11:00:00-04:00;2009-10-15 13:50:00-04:00;11:00:00;11:00 - 11:30;True;False;False;11:05:00;11:05:00;0.011084;0.011073;True;False;11:00 - 11:30;11:00 - 11:30;1.2;0.9;0.1;0.6
2009-10-16;0.011012;0.010971;0.01099;0.010976;0.010978;0.010987;True;0.011044;0.010982;0.011036;0.010985;0.011009;True;False;True;False;True;True;True;2009-10-16 11:00:00-04:00;;11:00:00;11:00 - 11:30;True;True;False;11:10:00;11:05:00;0.011044;0.011011;True;False;11:00 - 11:30;11:00 - 11:30;1.7;0.9;0.1;0.3
2009-10-19;0.011054;0.011008;0.011046;0.011012;0.011014;0.011041;True;0.011065;0.011015;0.01106;0.011018;0.011041;True;False;True;False;True;True;True;2009-10-19 10:35:00-04:00;;10:35:00;10:30 - 11:00;True;True;False;10:40:00;10:40:00;0.011065;0.011049;True;False;10:30 - 11:00;10:30 - 11:00;1.2;0.8;0.1;0.7
