date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;expansion_level;retracement_level;opening_level;closing_level
2009-09-28;0.011199;0.01116;0.011196;0.011162;0.011192;0.011171;False;0.011207;0.011163;0.011205;0.011163;0.011163;True;False;True;False;True;True;True;2009-09-28 05:50:00-04:00;;05:50:00;05:30 - 06:00;True;True;False;07:25:00;07:00:00;0.011207;0.011184;True;True;07:00 - 07:30;07:00 - 07:30;1.2;0.6;0.8;0.2
2009-09-29;0.011163;0.011129;0.011155;0.011133;0.011133;0.011152;True;0.011155;0.011104;0.011154;0.011113;0.011126;False;True;False;True;True;True;True;;2009-09-29 06:10:00-04:00;06:10:00;06:00 - 06:30;False;True;True;06:15:00;06:15:00;0.011104;0.011125;False;False;06:00 - 06:30;06:00 - 06:30;-0.7;-0.1;0.1;0.6
2009-09-30;0.011151;0.011137;0.011149;0.011139;0.011145;0.011147;True;0.011197;0.011138;0.011193;0.011139;0.011159;True;False;True;False;True;True;True;2009-09-30 04:25:00-04:00;;04:25:00;04:00 - 04:30;True;True;True;05:30:00;04:30:00;0.011197;0.011161;False;False;05:30 - 06:00;04:30 - 05:00;4.2;1.7;0.5;0.7
2009-10-01;0.011125;0.011105;0.011125;0.011106;0.011108;0.011118;True;0.011129;0.011107;0.011127;0.011109;0.011121;True;False;True;False;True;True;True;2009-10-01 08:20:00-04:00;;08:20:00;08:00 - 08:30;True;True;False;08:25:00;08:25:00;0.011129;0.011121;True;True;08:00 - 08:30;08:00 - 08:30;1.2;0.8;0.1;0.6
2009-10-02;0.011196;0.011162;0.011193;0.011164;0.011169;0.011193;True;0.011204;0.011185;0.011202;0.011187;0.011187;True;False;True;False;True;True;True;2009-10-02 04:35:00-04:00;;04:35:00;04:30 - 05:00;True;True;False;04:40:00;04:40:00;0.011204;0.011196;False;False;04:30 - 05:00;04:30 - 05:00;1.2;1.0;0.2;0.9
2009-10-05;0.011139;0.011123;0.011137;0.011126;0.011133;0.011136;True;0.011147;0.011118;0.011145;0.01112;0.011128;True;True;True;True;True;False;False;2009-10-05 04:00:00-04:00;2009-10-05 06:20:00-04:00;04:00:00;04:00 - 04:30;True;False;False;04:05:00;04:05:00;0.011145;0.011136;True;True;04:00 - 04:30;04:00 - 04:30;1.3;0.8;0.6;0.8
2009-10-06;0.01123;0.011204;0.011225;0.011207;0.011208;0.011207;False;0.011245;0.011207;0.011242;0.011207;0.011224;True;False;True;False;True;True;True;2009-10-06 04:25:00-04:00;;04:25:00;04:00 - 04:30;True;True;False;05:10:00;04:55:00;0.011245;0.01122;True;True;05:00 - 05:30;04:30 - 05:00;1.5;0.6;0.1;0.1
2009-10-07;0.011354;0.011309;0.011351;0.011312;0.011321;0.011351;True;0.011368;0.011228;0.011365;0.011232;0.011243;True;True;True;True;True;False;False;2009-10-07 06:20:00-04:00;2009-10-07 07:00:00-04:00;06:20:00;06:00 - 06:30;True;False;False;06:25:00;06:25:00;0.011368;0.01136;False;False;06:00 - 06:30;06:00 - 06:30;1.3;1.1;0.2;0.9
2009-10-08;0.01135;0.011325;0.011341;0.011327;0.011337;0.011333;False;0.011347;0.011293;0.011343;0.011301;0.011316;False;True;False;True;True;True;True;;2009-10-08 06:20:00-04:00;06:20:00;06:00 - 06:30;False;True;True;06:25:00;06:25:00;0.011293;0.011315;False;False;06:00 - 06:30;06:00 - 06:30;-1.2;-0.3;0.4;0.3
2009-10-09;0.011215;0.011186;0.011215;0.011193;0.011212;0.011204;False;0.011285;0.011197;0.011282;0.011201;0.011245;True;False;True;False;True;True;True;2009-10-09 04:50:00-04:00;;04:50:00;04:30 - 05:00;True;True;True;07:25:00;05:00:00;0.011285;0.011211;True;True;07:00 - 07:30;05:00 - 05:30;3.4;0.8;0.8;0.6
2009-10-12;0.011089;0.011059;0.011087;0.011061;0.011084;0.011071;False;0.011121;0.011063;0.011119;0.011068;0.011114;True;False;True;False;True;True;True;2009-10-12 06:35:00-04:00;;06:35:00;06:30 - 07:00;True;True;True;08:25:00;06:45:00;0.011121;0.011087;True;False;08:00 - 08:30;06:30 - 07:00;2.0;0.9;0.8;0.3
2009-10-13;0.011113;0.011092;0.011109;0.011099;0.011106;0.011101;False;0.011184;0.0111;0.011178;0.011102;0.011174;True;False;True;False;True;True;True;2009-10-13 04:15:00-04:00;;04:15:00;04:00 - 04:30;True;True;True;07:50:00;05:00:00;0.011184;0.011107;True;True;07:30 - 08:00;05:00 - 05:30;4.3;0.7;0.6;0.4
2009-10-14;0.011236;0.011207;0.011229;0.011215;0.011217;0.011216;False;0.011232;0.011139;0.011229;0.011147;0.011159;False;True;False;True;True;True;True;;2009-10-14 06:10:00-04:00;06:10:00;06:00 - 06:30;False;True;True;07:35:00;06:55:00;0.011139;0.01121;True;False;07:30 - 08:00;06:30 - 07:00;-2.3;0.1;0.3;0.3
2009-10-15;0.011183;0.011163;0.01118;0.011165;0.011166;0.011173;True;0.011175;0.011075;0.011173;0.011078;0.011092;False;True;False;True;True;True;True;;2009-10-15 04:05:00-04:00;04:05:00;04:00 - 04:30;False;True;True;07:20:00;04:20:00;0.011075;0.011164;True;False;07:00 - 07:30;04:00 - 04:30;-4.3;0.0;0.1;0.5
2009-10-16;0.011027;0.010965;0.011018;0.010972;0.011008;0.010972;False;0.010999;0.010953;0.010993;0.010958;0.010958;False;True;False;True;True;True;True;;2009-10-16 04:55:00-04:00;04:55:00;04:30 - 05:00;False;True;True;08:25:00;07:00:00;0.010953;0.010999;True;True;08:00 - 08:30;07:00 - 07:30;-0.1;0.5;0.6;0.1
2009-10-19;0.011055;0.011021;0.011049;0.011025;0.011034;0.011041;True;0.01107;0.010993;0.011066;0.010998;0.011005;True;True;True;True;True;False;False;2009-10-19 04:20:00-04:00;2009-10-19 06:55:00-04:00;04:20:00;04:00 - 04:30;True;False;False;04:30:00;04:30:00;0.01107;0.01106;False;False;04:30 - 05:00;04:30 - 05:00;1.4;1.1;0.3;0.5
2009-10-20;0.011105;0.011077;0.011104;0.011077;0.011104;0.011077;False;0.011088;0.011041;0.011085;0.011047;0.011058;False;True;False;True;True;True;True;;2009-10-20 04:00:00-04:00;04:00:00;04:00 - 04:30;False;True;True;07:10:00;04:25:00;0.011041;0.011088;True;True;07:00 - 07:30;04:00 - 04:30;-1.2;0.3;0.9;0.0
2009-10-21;0.011055;0.011025;0.011052;0.011028;0.01103;0.011029;False;0.011039;0.01097;0.011037;0.010973;0.010983;False;True;False;True;True;True;True;;2009-10-21 04:40:00-04:00;04:40:00;04:30 - 05:00;False;True;True;08:20:00;05:00:00;0.01097;0.011023;False;False;08:00 - 08:30;05:00 - 05:30;-1.8;0.0;0.1;0.1
2009-10-22;0.01095;0.010921;0.010948;0.010923;0.010933;0.010939;True;0.010976;0.010932;0.010974;0.010933;0.010965;True;False;True;False;True;True;True;2009-10-22 04:45:00-04:00;;04:45:00;04:30 - 05:00;True;True;True;06:15:00;05:25:00;0.010976;0.010945;True;True;06:00 - 06:30;05:00 - 05:30;1.8;0.8;0.4;0.6
2009-10-23;0.010901;0.010881;0.0109;0.010889;0.010892;0.010891;False;0.010932;0.010875;0.01093;0.010879;0.010887;True;True;True;True;True;False;False;2009-10-23 04:40:00-04:00;2009-10-23 08:20:00-04:00;04:40:00;04:30 - 05:00;True;False;False;06:25:00;04:50:00;0.010932;0.01089;True;True;06:00 - 06:30;04:30 - 05:00;2.5;0.4;0.5;0.5
2009-10-26;0.010893;0.010877;0.010891;0.010879;0.010891;0.01089;False;0.010906;0.010875;0.010905;0.010879;0.010887;True;True;True;False;True;True;False;2009-10-26 04:35:00-04:00;;04:35:00;04:30 - 05:00;True;True;False;06:00:00;05:25:00;0.010906;0.010891;True;False;06:00 - 06:30;05:00 - 05:30;1.8;0.8;0.8;0.8
2009-10-27;0.010875;0.010862;0.010872;0.010863;0.010871;0.010866;False;0.010893;0.010855;0.010891;0.010856;0.010858;True;True;True;True;True;False;False;2009-10-27 04:25:00-04:00;2009-10-27 08:15:00-04:00;04:25:00;04:00 - 04:30;True;False;False;04:40:00;04:30:00;0.010893;0.010873;True;False;04:30 - 05:00;04:30 - 05:00;2.3;0.8;0.6;0.3
2009-10-28;0.010984;0.010948;0.010976;0.010949;0.010949;0.010973;True;0.011;0.010954;0.010997;0.010956;0.010977;True;False;True;False;True;True;True;2009-10-28 05:20:00-04:00;;05:20:00;05:00 - 05:30;True;True;False;06:05:00;05:40:00;0.011;0.010979;True;False;06:00 - 06:30;05:30 - 06:00;1.4;0.8;0.0;0.6
2009-10-29;0.011057;0.011027;0.011055;0.011032;0.011055;0.011033;False;0.011044;0.011011;0.011039;0.011013;0.011021;False;True;False;True;True;True;True;;2009-10-29 04:20:00-04:00;04:20:00;04:00 - 04:30;False;True;True;05:20:00;04:50:00;0.011011;0.011033;True;True;05:00 - 05:30;04:30 - 05:00;-0.5;0.1;0.9;0.1
2009-10-30;0.011003;0.010966;0.010997;0.01097;0.010993;0.010979;False;0.011009;0.010955;0.011007;0.010958;0.010978;True;True;True;True;True;False;False;2009-10-30 05:05:00-04:00;2009-10-30 08:00:00-04:00;05:05:00;05:00 - 05:30;True;False;False;05:10:00;05:10:00;0.011009;0.010999;True;False;05:00 - 05:30;05:00 - 05:30;1.1;0.8;0.7;0.3
