date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2009-09-28;1724.25;1700.75;1723.75;1702.0;1702.0;1723.75;True;1732.5;1719.25;1731.25;1719.75;1722.5;12:05:00;12:05:00;True;False;True;False;True;True;True;2009-09-28 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;False;1723.75;1723.75;1732.5;1719.25;12:05:00;10:55:00;1732.5;1723.25;True;True;12:00 - 12:30;10:30 - 11:00;0.0;0.9;1.3;0.8;0.9;1.0;0.9;0.8;1.3;1.3;1.0
2009-09-29;1730.75;1711.0;1728.25;1717.0;1722.0;1719.0;False;1722.0;1706.75;1721.0;1708.25;1715.0;13:10:00;13:05:00;False;True;False;True;True;True;True;;2009-09-29 11:00:00-04:00;11:00:00;11:00 - 11:30;False;True;False;1721.25;1710.75;1722.0;1706.75;11:45:00;11:30:00;1706.75;1714.25;True;False;11:30 - 12:00;11:30 - 12:00;0.5;0.4;0.5;-0.2;0.2;0.0;0.5;-0.2;0.5;-0.2;0.1
2009-09-30;1725.5;1688.75;1722.0;1694.0;1721.25;1697.25;False;1730.0;1695.0;1727.5;1697.25;1715.0;13:05:00;13:25:00;True;False;True;False;True;True;True;2009-09-30 13:00:00-04:00;;13:00:00;13:00 - 13:30;True;True;False;1725.5;1695.0;1730.0;1708.0;13:05:00;13:05:00;1730.0;1724.5;True;False;13:00 - 13:30;13:00 - 13:30;0.8;0.2;1.1;0.2;0.7;0.2;1.0;0.6;1.1;1.1;1.0
2009-10-01;1711.0;1685.25;1710.0;1687.75;1710.0;1689.5;False;1692.75;1664.5;1690.0;1665.0;1665.0;10:35:00;10:35:00;False;True;False;True;True;True;True;;2009-10-01 11:00:00-04:00;11:00:00;11:00 - 11:30;False;True;True;1692.75;1685.75;1683.0;1664.5;15:55:00;11:05:00;1664.5;1683.0;False;False;15:30 - 16:00;11:00 - 11:30;0.9;0.1;0.2;-0.8;-0.8;0.1;0.2;-0.8;-0.1;-0.8;-0.1
2009-10-02;1673.0;1652.75;1672.0;1653.25;1653.25;1672.0;True;1674.75;1659.0;1673.75;1660.25;1660.25;10:30:00;10:35:00;True;False;True;False;True;True;True;2009-10-02 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;False;1672.0;1672.0;1674.5;1659.0;10:35:00;10:35:00;1674.5;1672.25;True;False;10:30 - 11:00;10:30 - 11:00;0.0;0.9;1.0;0.4;0.3;1.0;0.9;0.4;1.0;1.0;1.0
2009-10-05;1674.0;1658.0;1672.0;1660.75;1668.5;1668.75;True;1681.25;1668.0;1679.5;1668.0;1673.25;14:55:00;14:50:00;True;False;True;False;True;True;True;2009-10-05 10:40:00-04:00;;10:40:00;10:30 - 11:00;True;True;False;1673.25;1668.0;1681.25;1669.0;14:55:00;11:35:00;1681.25;1669.0;True;True;14:30 - 15:00;11:30 - 12:00;0.6;0.6;1.4;0.7;0.9;0.7;0.9;0.7;1.4;1.4;0.7
2009-10-06;1706.25;1681.75;1706.0;1682.25;1682.25;1700.75;True;1711.25;1686.0;1710.0;1687.5;1703.0;11:10:00;11:10:00;True;False;True;False;True;True;True;2009-10-06 11:05:00-04:00;;11:05:00;11:00 - 11:30;True;True;False;1706.25;1698.5;1711.25;1686.0;11:10:00;11:10:00;1711.25;1708.25;False;False;11:00 - 11:30;11:00 - 11:30;0.0;0.7;1.2;0.2;0.8;0.7;1.0;0.2;1.2;1.2;1.1
2009-10-07;1708.75;1696.25;1707.0;1697.5;1701.0;1705.5;True;1708.75;1697.25;1708.0;1698.5;1708.0;15:55:00;15:50:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;1705.5;1705.5;1708.0;1708.0;;;;;False;False;No breakout;No breakout;0.3;0.7;1.0;0.1;0.9;0.8;0.7;1.0;0.9;;
2009-10-08;1724.25;1711.25;1723.0;1714.0;1718.25;1719.0;True;1730.75;1714.25;1729.25;1714.25;1714.25;12:25:00;12:25:00;True;False;True;False;True;True;True;2009-10-08 11:20:00-04:00;;11:20:00;11:00 - 11:30;True;True;False;1722.25;1718.0;1730.75;1714.25;12:25:00;12:05:00;1730.75;1724.5;False;False;12:00 - 12:30;12:00 - 12:30;0.5;0.5;1.5;0.3;0.2;0.6;0.8;0.3;1.5;1.5;1.1
2009-10-09;1725.0;1707.75;1722.5;1711.25;1711.5;1722.0;True;1727.75;1719.0;1726.5;1719.25;1724.25;15:10:00;15:10:00;True;False;True;False;True;True;True;2009-10-09 15:00:00-04:00;;15:00:00;15:00 - 15:30;True;True;False;1725.0;1719.0;1727.75;1721.0;15:10:00;15:05:00;1727.75;1725.0;False;False;15:00 - 15:30;15:00 - 15:30;0.2;0.8;1.1;0.7;0.9;0.7;1.0;0.8;1.1;1.1;1.0
