date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;1700.0;1690.0;1699.0;1690.75;1695.75;1692.0;false;10.0;1705.75;1691.5;1705.0;1691.5;1705.0;true;false;true;false;true;true;true;1254133500000000;;1254133500000000;06:00 - 06:30;true;true;true;1691.5;1700.0;1699.25;1705.75;1699.25;1705.75;1254134100000000;1254140400000000;true;08:00 - 08:30;06:30 - 07:00;1.5;1.0;1.6;1.0;0.6;0.2;1.5;0.2;1.6
2009-09-29;1723.75;1718.25;1723.5;1718.5;1723.5;1719.0;false;5.5;1719.75;1714.0;1719.75;1714.5;1719.25;false;true;false;true;true;true;true;;1254211200000000;1254211200000000;04:00 - 04:30;false;true;false;;;1714.0;1719.75;1719.75;1714.0;1254212700000000;1254219900000000;true;06:00 - 06:30;04:00 - 04:30;-0.7;0.2;-0.8;0.2;0.9;0.1;0.1;-0.8;0.2
2009-09-30;1719.0;1716.75;1718.75;1717.5;1717.5;1717.75;true;2.25;1723.5;1715.25;1723.0;1718.0;1720.0;true;true;true;false;true;true;false;1254300000000000;;1254300000000000;04:30 - 05:00;true;true;true;1717.75;1719.25;1715.25;1723.5;1720.25;1723.5;1254308700000000;1254311100000000;false;07:30 - 08:00;07:00 - 07:30;3.0;1.6;3.0;-0.6;0.4;0.5;1.5;-0.6;3.0
2009-10-01;1719.0;1712.0;1718.25;1712.0;1714.0;1716.25;true;7.0;1716.75;1706.0;1716.5;1706.5;1709.25;false;true;false;true;true;true;true;;1254386400000000;1254386400000000;04:30 - 05:00;false;true;true;1714.5;1716.75;1706.0;1712.5;1712.5;1706.0;1254387900000000;1254393600000000;true;06:30 - 07:00;05:00 - 05:30;-0.8;0.0;-0.9;0.0;0.2;0.6;-0.4;-0.9;0.6
2009-10-02;1668.5;1662.25;1667.0;1662.5;1665.5;1665.75;true;6.25;1668.5;1662.75;1668.0;1663.25;1664.0;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;0.5;0.5;0.2;0.0;1.0
2009-10-05;1669.75;1663.25;1669.75;1666.0;1667.25;1669.75;true;6.5;1674.25;1669.25;1674.25;1669.25;1669.25;true;false;true;false;true;true;true;1254729600000000;;1254729600000000;04:00 - 04:30;true;true;false;;;1669.25;1674.25;1669.5;1674.25;1254729900000000;1254734100000000;true;05:00 - 05:30;04:00 - 04:30;1.6;1.0;1.7;1.0;0.7;1.0;1.0;1.0;1.7
2009-10-06;1681.25;1676.5;1681.25;1677.75;1678.0;1680.0;true;4.75;1689.75;1679.75;1689.25;1680.0;1685.25;true;false;true;false;true;true;true;1254817200000000;;1254817200000000;04:00 - 04:30;true;true;true;1679.75;1681.25;1679.75;1689.75;1679.75;1689.75;1254818100000000;1254829800000000;true;07:30 - 08:00;04:30 - 05:00;2.7;0.7;2.8;0.7;0.4;0.8;1.9;0.7;2.8
2009-10-07;1707.75;1701.0;1707.5;1702.25;1705.0;1706.25;true;6.75;1708.5;1700.0;1708.25;1700.25;1702.5;true;true;true;true;true;false;false;1254906000000000;1254918000000000;1254906000000000;05:00 - 05:30;true;false;false;1705.0;1708.25;1700.0;1708.5;;;;;false;;;;;1.2;-0.1;0.6;0.8;0.3;-0.1;1.2
2009-10-08;1724.25;1721.0;1723.75;1721.75;1723.5;1723.25;false;3.25;1725.0;1718.5;1724.75;1719.0;1720.5;true;true;true;true;true;false;false;1254988800000000;1254993000000000;1254988800000000;04:00 - 04:30;true;false;false;;;1718.5;1725.0;1723.5;1725.0;1254989100000000;1254989100000000;true;04:00 - 04:30;04:00 - 04:30;1.2;0.8;1.3;-0.7;0.8;0.7;-0.1;-0.7;1.3
2009-10-09;1717.5;1709.25;1717.0;1709.5;1709.5;1715.75;true;8.25;1717.25;1706.5;1716.0;1707.0;1708.25;false;true;false;true;true;true;true;;1255081800000000;1255081800000000;05:30 - 06:00;false;true;true;1709.25;1717.25;1706.5;1713.75;1713.75;1706.5;1255086300000000;1255091100000000;true;08:00 - 08:30;07:00 - 07:30;-0.3;0.5;-0.4;0.5;0.0;0.7;-0.2;-0.4;0.9
2009-10-12;1727.25;1723.75;1727.0;1725.25;1726.5;1727.0;true;3.5;1737.75;1725.5;1737.5;1726.75;1735.25;true;false;true;false;true;true;true;1255334700000000;;1255334700000000;04:00 - 04:30;true;true;true;1725.5;1727.5;1728.75;1737.75;1728.75;1737.75;1255335000000000;1255345200000000;false;07:00 - 07:30;04:00 - 04:30;4.0;1.5;4.0;1.5;0.8;1.0;3.3;0.5;4.0
2009-10-13;1729.5;1723.75;1729.0;1724.0;1727.75;1725.25;false;5.75;1733.25;1723.0;1732.25;1723.25;1729.0;true;true;true;true;true;false;false;1255431900000000;;1255431900000000;07:00 - 07:30;true;true;false;1723.0;1730.0;1727.25;1733.25;1730.25;1733.25;1255432200000000;1255434300000000;false;07:30 - 08:00;07:00 - 07:30;1.6;1.2;1.7;0.7;0.7;0.3;1.0;-0.1;1.7
2009-10-14;1747.25;1743.5;1746.75;1744.5;1745.0;1745.75;true;3.75;1753.0;1743.75;1752.5;1744.25;1750.5;true;false;true;false;true;true;true;1255510500000000;;1255510500000000;04:30 - 05:00;true;true;true;1743.75;1746.5;1747.5;1753.0;1747.5;1753.0;1255511100000000;1255517700000000;false;06:30 - 07:00;05:00 - 05:30;2.5;1.1;2.6;1.1;0.4;0.6;1.9;0.1;2.6
2009-10-15;1748.75;1745.75;1748.5;1746.0;1747.0;1746.5;false;3.0;1749.0;1737.0;1748.75;1737.5;1738.75;true;true;false;true;true;true;false;;1255605300000000;1255605300000000;07:00 - 07:30;false;true;true;1745.25;1749.0;1737.0;1744.5;1744.5;1737.0;1255605600000000;1255609500000000;false;08:00 - 08:30;07:00 - 07:30;-2.9;-0.5;-3.0;-0.5;0.4;0.2;-2.4;-3.0;1.0
