date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;1718.25;1700.75;1717.5;1702.0;1702.0;1716.5;true;17.5;1732.5;1716.25;1731.25;1716.25;1722.5;true;false;true;false;true;true;true;1254146400000000;;1254146400000000;10:00 - 10:30;true;true;true;;;1719.25;1732.5;1719.25;1732.5;1254146700000000;1254153900000000;false;12:00 - 12:30;10:00 - 10:30;1.8;1.1;1.9;1.1;0.1;0.9;1.3;0.9;1.9
2009-09-29;1730.75;1720.0;1728.25;1721.25;1722.0;1728.25;true;10.75;1728.25;1706.75;1728.25;1708.25;1715.0;false;true;false;true;true;true;true;;1254232800000000;1254232800000000;10:00 - 10:30;false;true;true;;;1706.75;1722.75;1722.75;1706.75;1254233400000000;1254239100000000;true;11:30 - 12:00;10:00 - 10:30;-1.2;0.2;-1.3;0.2;0.1;0.7;-0.5;-1.3;0.7
2009-09-30;1725.5;1688.75;1722.0;1694.75;1721.25;1694.75;false;36.75;1730.0;1692.0;1727.5;1694.0;1715.0;true;false;true;false;true;true;true;1254330000000000;;1254330000000000;13:00 - 13:30;true;true;false;1692.0;1725.5;1708.0;1730.0;1724.5;1730.0;1254330300000000;1254330300000000;true;13:00 - 13:30;13:00 - 13:30;1.1;1.0;1.2;0.6;0.9;0.2;0.8;0.1;1.2
2009-10-01;1711.0;1700.25;1710.0;1703.75;1710.0;1704.5;false;10.75;1708.5;1664.5;1704.5;1665.0;1665.0;false;true;false;true;true;true;true;;1254405600000000;1254405600000000;10:00 - 10:30;false;true;true;;;1664.5;1697.75;1697.75;1664.5;1254405900000000;1254426900000000;false;15:30 - 16:00;10:00 - 10:30;-3.3;-0.3;-3.4;-0.3;0.9;0.3;-3.3;-3.4;0.7
2009-10-02;1668.5;1652.75;1666.75;1653.25;1653.25;1664.75;true;15.75;1674.75;1659.0;1673.75;1660.25;1660.25;true;false;true;false;true;true;true;1254492000000000;;1254492000000000;10:00 - 10:30;true;true;false;;;1659.0;1674.75;1664.0;1674.75;1254492900000000;1254493800000000;true;10:30 - 11:00;10:00 - 10:30;1.3;0.8;1.4;0.4;0.1;0.8;0.5;0.4;1.4
2009-10-05;1673.75;1662.75;1672.0;1666.5;1668.5;1668.75;true;11.0;1681.25;1658.0;1679.5;1660.75;1673.25;true;true;true;true;true;false;false;1254753600000000;1254751500000000;1254751500000000;10:00 - 10:30;false;false;false;1664.75;1674.0;1659.5;1681.25;1665.5;1659.5;1254752100000000;1254752100000000;true;10:00 - 10:30;10:00 - 10:30;-0.2;0.2;-0.3;1.6;0.5;0.5;0.9;-0.5;1.6
2009-10-06;1699.25;1681.75;1697.75;1682.25;1682.25;1697.75;true;17.5;1711.25;1686.0;1710.0;1687.5;1703.0;true;false;true;false;true;true;true;1254837600000000;;1254837600000000;10:00 - 10:30;true;true;true;;;1686.0;1711.25;1698.5;1711.25;1254839700000000;1254841800000000;true;11:00 - 11:30;10:30 - 11:00;1.6;1.0;1.7;0.3;0.1;1.0;1.3;0.3;1.7
2009-10-07;1705.75;1696.25;1703.25;1697.5;1701.0;1701.25;true;9.5;1708.75;1697.25;1708.0;1698.5;1708.0;true;false;true;false;true;true;true;1254924600000000;;1254924600000000;10:00 - 10:30;true;true;true;1698.5;1704.5;1697.25;1708.75;1705.25;1708.75;1254924900000000;1254924900000000;true;10:00 - 10:30;10:00 - 10:30;1.3;1.0;1.4;0.2;0.5;0.6;1.3;0.2;1.4
2009-10-08;1724.25;1715.75;1723.0;1715.75;1718.25;1718.5;true;8.5;1730.75;1711.25;1729.25;1714.0;1714.25;true;true;true;true;true;false;false;1255015200000000;1255010700000000;1255010700000000;10:00 - 10:30;false;false;true;1714.5;1718.5;1713.5;1730.75;1716.75;1713.5;1255011000000000;1255011000000000;true;10:00 - 10:30;10:00 - 10:30;-0.2;0.1;-0.3;1.7;0.2;0.3;-0.2;-0.6;1.7
2009-10-09;1723.0;1707.75;1722.0;1711.25;1711.5;1722.0;true;15.25;1727.75;1718.5;1726.5;1719.25;1724.25;true;false;true;false;true;true;true;1255098600000000;;1255098600000000;10:30 - 11:00;true;true;true;1718.5;1725.0;1719.0;1727.75;1719.0;1727.75;1255105800000000;1255115400000000;true;15:00 - 15:30;12:30 - 13:00;1.3;0.8;1.4;0.8;0.3;1.0;1.1;0.8;1.4
2009-10-12;1739.25;1729.5;1739.0;1731.5;1731.5;1739.0;true;9.75;1740.5;1716.5;1739.75;1718.0;1728.25;true;true;true;true;true;false;false;1255356000000000;1255371000000000;1255356000000000;10:00 - 10:30;true;false;false;;;1716.5;1740.5;1736.25;1740.5;1255356900000000;1255356900000000;true;10:00 - 10:30;10:00 - 10:30;1.1;0.7;1.2;-1.3;0.3;1.0;-0.1;-1.3;1.2
2009-10-13;1733.25;1723.75;1732.25;1724.75;1727.25;1724.75;false;9.5;1735.75;1720.25;1735.0;1720.75;1729.0;true;true;true;true;true;false;false;1255449000000000;1255442400000000;1255442400000000;10:00 - 10:30;false;false;false;;;1720.25;1735.75;1723.25;1720.25;1255442700000000;1255442700000000;false;10:00 - 10:30;10:00 - 10:30;-0.3;-0.1;-0.4;1.2;0.3;0.1;0.5;-0.4;1.2
