date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;session_high;session_low;session_body_high;session_body_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;retrace_into_idr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;expansion_level;retracement_level
2009-09-28;1700.0;1690.0;1699.0;1690.75;1695.75;1692.0;False;1705.75;1691.5;1705.0;1691.5;1705.0;08:20:00;08:25:00;True;False;True;False;True;True;True;2009-09-28 06:25:00-04:00;;06:25:00;06:00 - 06:30;True;True;True;08:20:00;06:35:00;1705.75;1699.25;True;False;08:00 - 08:30;06:30 - 07:00;0.5;0.2;1.5;0.1;1.5;1.5;0.9
2009-09-29;1723.75;1718.25;1723.5;1718.5;1723.5;1719.0;False;1719.75;1714.0;1719.75;1714.5;1719.25;04:25:00;04:25:00;False;True;False;True;True;True;True;;2009-09-29 04:00:00-04:00;04:00:00;04:00 - 04:30;False;True;False;06:25:00;04:25:00;1714.0;1719.75;True;True;06:00 - 06:30;04:00 - 04:30;0.9;0.1;0.2;-0.7;0.1;-0.7;0.2
2009-09-30;1719.0;1716.75;1718.75;1717.5;1717.5;1717.75;True;1723.5;1715.25;1723.0;1718.0;1720.0;07:45:00;06:15:00;True;True;True;False;True;True;False;2009-09-30 04:40:00-04:00;;04:40:00;04:30 - 05:00;True;True;True;07:45:00;07:05:00;1723.5;1720.25;False;False;07:30 - 08:00;07:00 - 07:30;0.3;0.4;3.0;-0.6;1.4;3.0;1.5
2009-10-01;1719.0;1712.0;1718.25;1712.0;1714.0;1716.25;True;1716.75;1706.0;1716.5;1706.5;1709.25;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-01 04:40:00-04:00;04:40:00;04:30 - 05:00;False;True;True;06:40:00;05:05:00;1706.0;1712.5;True;True;06:30 - 07:00;05:00 - 05:30;0.2;0.6;0.6;-0.8;-0.3;-0.8;0.0
2009-10-02;1668.5;1662.25;1667.0;1662.5;1665.5;1665.75;True;1668.5;1662.75;1668.0;1663.25;1664.0;05:10:00;05:15:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;;;;;False;False;No breakout;No breakout;0.5;0.5;1.0;0.0;0.2;;
2009-10-05;1669.75;1663.25;1669.75;1666.0;1667.25;1669.75;True;1674.25;1669.25;1674.25;1669.25;1669.25;05:15:00;06:25:00;True;False;True;False;True;True;True;2009-10-05 04:00:00-04:00;;04:00:00;04:00 - 04:30;True;True;False;05:15:00;04:05:00;1674.25;1669.5;True;True;05:00 - 05:30;04:00 - 04:30;0.6;1.0;1.6;0.9;0.9;1.6;0.9
2009-10-06;1681.25;1676.5;1681.25;1677.75;1678.0;1680.0;True;1689.75;1679.75;1689.25;1680.0;1685.25;07:50:00;06:35:00;True;False;True;False;True;True;True;2009-10-06 04:20:00-04:00;;04:20:00;04:00 - 04:30;True;True;True;07:50:00;04:35:00;1689.75;1679.75;True;True;07:30 - 08:00;04:30 - 05:00;0.3;0.7;2.7;0.6;1.8;2.7;0.6
2009-10-07;1707.75;1701.0;1707.5;1702.25;1705.0;1706.25;True;1708.5;1700.0;1708.25;1700.25;1702.5;05:00:00;05:20:00;True;True;True;True;True;False;False;2009-10-07 05:00:00-04:00;2009-10-07 08:20:00-04:00;05:00:00;05:00 - 05:30;True;False;False;05:20:00;05:05:00;1708.5;1707.0;True;True;05:00 - 05:30;05:00 - 05:30;0.5;0.7;1.1;-0.1;0.2;1.1;0.8
2009-10-08;1724.25;1721.0;1723.75;1721.75;1723.5;1723.25;False;1725.0;1718.5;1724.75;1719.0;1720.5;04:05:00;04:05:00;True;True;True;True;True;False;False;2009-10-08 04:00:00-04:00;2009-10-08 05:10:00-04:00;04:00:00;04:00 - 04:30;True;False;False;04:05:00;04:05:00;1725.0;1723.5;True;True;04:00 - 04:30;04:00 - 04:30;0.7;0.6;1.2;-0.7;-0.1;1.2;0.7
2009-10-09;1717.5;1709.25;1717.0;1709.5;1709.5;1715.75;True;1717.25;1706.5;1716.0;1707.0;1708.25;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-09 05:50:00-04:00;05:50:00;05:30 - 06:00;False;True;True;08:25:00;07:05:00;1706.5;1713.75;True;True;08:00 - 08:30;07:00 - 07:30;0.0;0.7;0.9;-0.3;-0.1;-0.3;0.5
