date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;9617;9591;9613;9598;9613;9604;false;26;9607;9571;9606;9577;9597;false;true;false;true;true;true;true;;1254100500000000;1254100500000000;10:00 - 10:30;false;true;false;9588;9607;9571;9598;9590;9571;1254100800000000;1254102900000000;false;10:30 - 11:00;10:00 - 10:30;-0.7;-0.1;-0.8;0.2;0.8;0.5;0.2;-0.8;0.6
2009-09-29;9748;9733;9747;9735;9747;9735;false;15;9741;9723;9741;9724;9740;false;true;false;true;true;true;true;;1254184200000000;1254184200000000;09:30 - 10:00;false;true;false;;;9723;9741;9732;9723;1254184500000000;1254184800000000;false;09:30 - 10:00;09:30 - 10:00;-0.6;-0.1;-0.7;0.5;0.9;0.1;0.4;-0.7;0.5
2009-09-30;9686;9675;9686;9675;9675;9685;true;11;9691;9673;9691;9673;9684;true;true;true;true;true;false;false;1254270900000000;1254284700000000;1254270900000000;09:30 - 10:00;true;false;false;9684;9685;9673;9691;9675;9691;1254274500000000;1254276300000000;true;11:00 - 11:30;10:30 - 11:00;1.4;0.0;1.5;-0.1;0.0;1.0;0.9;-0.1;1.5
2009-10-01;9673;9662;9670;9663;9664;9666;true;11;9684;9638;9679;9638;9644;true;true;true;true;true;false;false;1254357300000000;1254360000000000;1254357300000000;09:30 - 10:00;true;false;false;9663;9671;9638;9684;9674;9684;1254357600000000;1254357600000000;false;09:30 - 10:00;09:30 - 10:00;2.0;1.1;2.0;-2.1;0.2;0.4;-1.6;-2.1;2.0
2009-10-02;9458;9437;9458;9440;9453;9455;true;21;9458;9440;9457;9440;9446;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;0.7;0.8;0.4;0.1;1.0
2009-10-05;9459;9433;9455;9437;9451;9451;false;26;9469;9440;9467;9442;9446;true;false;true;false;true;true;true;1254705000000000;;1254705000000000;10:00 - 10:30;true;true;false;9451;9461;9440;9469;9463;9469;1254705300000000;1254705600000000;false;10:00 - 10:30;10:00 - 10:30;1.3;1.2;1.4;0.3;0.7;0.7;0.5;0.3;1.4
2009-10-06;9551;9543;9551;9546;9551;9550;false;8;9557;9529;9556;9530;9541;true;true;true;true;true;false;false;1254790800000000;1254791400000000;1254790800000000;10:00 - 10:30;true;false;false;9542;9552;9529;9557;9539;9557;1254791700000000;1254797100000000;true;11:30 - 12:00;10:00 - 10:30;1.7;-0.5;1.8;-1.7;1.0;0.9;-0.2;-1.7;1.8
2009-10-07;9668;9660;9668;9660;9662;9663;true;8;9696;9645;9682;9648;9674;true;true;true;true;true;false;false;1254885600000000;1254876000000000;1254876000000000;09:30 - 10:00;false;false;false;9660;9664;9645;9696;9667;9645;1254877800000000;1254881100000000;true;11:00 - 11:30;10:00 - 10:30;-1.8;0.8;-1.9;4.5;0.2;0.3;1.7;-1.9;4.5
2009-10-08;9726;9710;9726;9712;9717;9712;false;16;9762;9716;9758;9716;9749;true;false;true;false;true;true;true;1254962100000000;;1254962100000000;09:30 - 10:00;true;true;true;9716;9721;9737;9762;9737;9762;1254962400000000;1254963900000000;false;10:00 - 10:30;09:30 - 10:00;3.2;1.7;3.3;1.7;0.5;0.2;2.5;0.4;3.3
2009-10-09;9754;9744;9753;9744;9750;9746;false;10;9762;9736;9757;9736;9747;true;true;true;true;true;false;false;1255051200000000;1255052400000000;1255051200000000;10:00 - 10:30;true;false;false;9745;9755;9736;9757;9756;9757;1255051500000000;1255051500000000;false;10:00 - 10:30;10:00 - 10:30;1.3;1.2;1.3;-0.8;0.6;0.2;0.3;-0.8;1.8
2009-10-12;9839;9802;9837;9805;9834;9809;false;37;9818;9800;9818;9801;9816;false;true;false;true;true;true;true;;1255308900000000;1255308900000000;09:30 - 10:00;false;true;false;9802;9812;9800;9818;;;;;false;;;;;-0.1;0.4;0.8;0.1;0.3;-0.1;0.4
2009-10-13;9819;9809;9817;9811;9816;9814;false;10;9829;9795;9828;9797;9820;true;true;true;true;true;false;false;1255405800000000;1255395300000000;1255395300000000;09:30 - 10:00;false;false;false;9809;9814;9795;9829;9811;9795;1255397100000000;1255400100000000;true;11:00 - 11:30;10:00 - 10:30;-1.4;0.2;-1.4;2.0;0.7;0.5;1.1;-1.4;2.0
2009-10-14;9878;9868;9876;9868;9868;9870;true;10;9891;9861;9891;9862;9877;true;true;true;true;true;false;false;1255483800000000;1255480500000000;1255480500000000;09:30 - 10:00;false;false;false;9869;9871;9861;9891;9865;9861;1255480800000000;1255480800000000;false;09:30 - 10:00;09:30 - 10:00;-0.7;-0.3;-0.7;2.3;0.0;0.2;0.9;-0.7;2.3
