date;dr_high;dr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2009-09-28;9730;9634;9638;9723;True;96;9764;9705;9725;13:40:00;13:45:00;True;False;True;False;True;True;True;2009-09-28 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;False;9723.0;9723.0;9764.0;9705.0;13:40:00;10:50:00;9764.0;9725.0;True;13:30 - 14:00;10:30 - 11:00;0.0;0.9;1.3;0.8;0.9;1.0;0.9;0.8;1.3;1.3;1.0
2009-09-29;9775;9696;9736;9721;False;79;9739;9678;9679;10:40:00;13:10:00;False;True;False;True;True;True;True;;2009-09-29 11:00:00-04:00;11:00:00;11:00 - 11:30;False;True;True;9739.0;9692.0;9730.0;9678.0;11:45:00;11:30:00;9678.0;9711.0;True;11:30 - 12:00;11:30 - 12:00;0.5;0.3;0.5;-0.2;-0.3;0.0;0.5;-0.2;0.4;-0.2;0.1
2009-09-30;9711;9544;9702;9566;False;167;9720;9554;9645;13:05:00;13:25:00;True;False;False;False;False;False;True;;;;No breakout;False;True;False;9566.0;9566.0;9645.0;9645.0;;;;;False;No breakout;No breakout;0.9;0.1;1.0;0.1;0.6;0.2;0.1;0.7;0.6;;
2009-10-01;9636;9514;9633;9535;False;122;9556;9438;9443;10:40:00;10:40:00;False;True;False;True;True;True;True;;2009-10-01 11:05:00-04:00;11:05:00;11:00 - 11:30;False;True;True;9556.0;9515.0;9526.0;9438.0;15:55:00;12:20:00;9438.0;9526.0;True;15:30 - 16:00;12:00 - 12:30;0.9;0.1;0.3;-0.6;-0.6;0.1;0.3;-0.6;0.0;-0.6;0.0
2009-10-02;9432;9360;9361;9428;True;72;9466;9407;9425;13:10:00;14:30:00;True;False;True;False;True;True;True;2009-10-02 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;False;9428.0;9428.0;9466.0;9407.0;13:10:00;11:40:00;9466.0;9407.0;True;13:00 - 13:30;11:30 - 12:00;0.0;0.9;1.4;0.7;0.9;1.0;0.9;0.7;1.4;1.4;0.7
2009-10-05;9488;9419;9449;9462;True;69;9568;9456;9541;14:55:00;14:55:00;True;False;True;False;True;True;True;2009-10-05 10:55:00-04:00;;10:55:00;10:30 - 11:00;True;True;True;9485.0;9456.0;9568.0;9474.0;14:55:00;11:35:00;9568.0;9474.0;True;14:30 - 15:00;11:30 - 12:00;0.4;0.6;2.1;0.6;1.7;0.6;0.9;0.8;2.1;2.1;0.8
2009-10-06;9667;9594;9596;9646;True;73;9717;9605;9668;11:10:00;11:10:00;True;False;True;False;True;True;True;2009-10-06 10:40:00-04:00;;10:40:00;10:30 - 11:00;True;True;True;9662.0;9644.0;9717.0;9605.0;11:10:00;10:50:00;9717.0;9669.0;False;11:00 - 11:30;10:30 - 11:00;0.0;0.7;1.6;0.2;1.0;0.7;0.9;0.2;1.6;1.6;1.1
2009-10-07;9679;9629;9656;9663;True;50;9687;9621;9669;11:05:00;11:05:00;True;True;False;True;True;True;False;;2009-10-07 11:55:00-04:00;11:55:00;11:30 - 12:00;False;True;False;9687.0;9633.0;9673.0;9621.0;14:10:00;13:00:00;9621.0;9658.0;True;14:00 - 14:30;13:00 - 13:30;0.5;0.6;1.1;-0.1;0.8;0.1;1.1;-0.1;0.8;-0.1;0.5
2009-10-08;9752;9692;9731;9727;False;60;9783;9720;9728;12:30:00;12:30:00;True;False;True;False;True;True;True;2009-10-08 11:20:00-04:00;;11:20:00;11:00 - 11:30;True;True;False;9751.0;9721.0;9783.0;9720.0;12:30:00;12:05:00;9783.0;9754.0;False;12:30 - 13:00;12:00 - 12:30;0.6;0.5;1.5;0.5;0.5;0.5;0.9;0.5;1.5;1.5;1.1
2009-10-09;9769;9708;9730;9758;True;61;9809;9748;9807;15:55:00;15:10:00;True;False;True;False;True;True;True;2009-10-09 11:20:00-04:00;;11:20:00;11:00 - 11:30;True;True;True;9772.0;9748.0;9809.0;9752.0;15:55:00;12:05:00;9809.0;9752.0;True;15:30 - 16:00;12:00 - 12:30;0.3;0.8;1.6;0.7;1.6;0.7;1.0;0.8;1.6;1.6;0.8
2009-10-12;9872;9832;9842;9861;True;40;9875;9793;9830;10:45:00;10:55:00;True;True;True;True;True;False;False;;2009-10-12 14:10:00-04:00;14:10:00;14:00 - 14:30;False;True;True;9875.0;9842.0;9834.0;9793.0;14:30:00;14:15:00;9793.0;9834.0;True;14:30 - 15:00;14:00 - 14:30;0.2;0.7;1.0;-0.9;-0.1;0.3;1.0;-0.9;0.0;-0.9;0.0
2009-10-13;9816;9759;9801;9790;False;57;9842;9781;9824;11:50:00;12:00:00;True;False;True;False;True;True;True;2009-10-13 11:40:00-04:00;;11:40:00;11:30 - 12:00;True;True;True;9815.0;9781.0;9842.0;9791.0;11:50:00;11:45:00;9842.0;9821.0;False;11:30 - 12:00;11:30 - 12:00;0.7;0.5;1.4;0.4;1.1;0.4;0.9;0.6;1.4;1.4;1.1
2009-10-14;9923;9881;9914;9892;False;42;9973;9886;9962;15:35:00;15:35:00;True;False;True;False;True;True;True;2009-10-14 11:00:00-04:00;;11:00:00;11:00 - 11:30;True;True;True;9919.0;9886.0;9973.0;9919.0;15:35:00;11:05:00;9973.0;9919.0;True;15:30 - 16:00;11:00 - 11:30;0.7;0.2;2.1;0.2;1.9;0.2;0.9;1.0;2.1;2.1;1.0
2009-10-15;9963;9924;9926;9936;True;39;10005;9922;9998;15:55:00;15:55:00;True;True;True;False;True;True;False;2009-10-15 14:35:00-04:00;;14:35:00;14:30 - 15:00;True;True;True;9964.0;9922.0;10005.0;9961.0;15:55:00;15:30:00;10005.0;9961.0;True;15:30 - 16:00;15:30 - 16:00;0.0;0.3;2.0;0.0;1.8;0.0;1.0;1.0;2.0;2.0;1.0
2009-10-16;9945;9887;9919;9913;False;58;9969;9884;9947;15:40:00;15:40:00;True;True;True;False;True;True;False;2009-10-16 13:25:00-04:00;;13:25:00;13:00 - 13:30;True;True;True;9939.0;9884.0;9969.0;9923.0;15:40:00;14:10:00;9969.0;9923.0;True;15:30 - 16:00;14:00 - 14:30;0.5;0.4;1.4;0.0;1.0;0.0;0.8;0.7;1.4;1.4;0.7
2009-10-19;9988;9939;9957;9987;True;49;10064;9986;10035;13:35:00;14:25:00;True;False;True;False;True;True;True;2009-10-19 10:30:00-04:00;;10:30:00;10:30 - 11:00;True;True;True;9987.0;9987.0;10064.0;9990.0;13:35:00;10:35:00;10064.0;9990.0;False;13:30 - 14:00;10:30 - 11:00;0.3;0.9;2.5;1.0;1.9;1.0;0.9;1.1;2.5;2.5;1.1
2009-10-20;10045;9981;10042;9992;False;64;10019;9936;9983;10:50:00;10:55:00;False;True;False;True;True;True;True;;2009-10-20 11:35:00-04:00;11:35:00;11:30 - 12:00;False;True;False;10019.0;9986.0;9995.0;9936.0;12:05:00;11:40:00;9936.0;9974.0;False;12:00 - 12:30;11:30 - 12:00;0.9;0.1;0.5;-0.7;0.0;0.1;0.5;-0.7;0.2;-0.7;-0.2
2009-10-21;10060;9964;9968;10042;True;96;10068;9890;9895;10:40:00;10:50:00;True;True;True;True;True;False;False;2009-10-21 10:40:00-04:00;2009-10-21 15:30:00-04:00;10:40:00;10:30 - 11:00;True;False;False;10056.0;10032.0;10066.0;9890.0;10:45:00;10:45:00;10066.0;10049.0;True;10:30 - 11:00;10:30 - 11:00;0.0;0.8;1.0;-0.7;-0.8;0.8;0.9;-0.7;1.0;1.0;0.9
2009-10-22;9945;9864;9912;9923;True;81;10056;9912;10024;15:20:00;15:25:00;True;False;True;False;True;True;True;2009-10-22 10:55:00-04:00;;10:55:00;10:30 - 11:00;True;True;True;9942.0;9912.0;10056.0;9936.0;15:20:00;12:25:00;10056.0;9936.0;True;15:00 - 15:30;12:00 - 12:30;0.5;0.7;2.3;0.6;1.9;0.6;0.9;0.9;2.3;2.3;0.9
