date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2009-09-28;9630;9609;9626;9610;9613;9610;false;21;9664;9582;9662;9587;9662;true;true;true;true;true;false;false;1254133200000000;1254123000000000;1254123000000000;03:30 - 04:00;false;false;false;;;9582;9664;9595;9582;1254123300000000;1254123300000000;false;03:30 - 04:00;03:30 - 04:00;-1.2;-0.7;-1.3;2.6;0.1;0.0;2.5;-1.3;2.6
2009-09-29;9740;9715;9740;9718;9740;9725;false;25;9732;9706;9728;9711;9722;false;true;false;true;true;true;true;;1254211200000000;1254211200000000;04:00 - 04:30;false;true;false;9713;9726;9706;9732;9732;9706;1254219000000000;1254225900000000;true;08:00 - 08:30;06:00 - 06:30;-0.3;0.6;-0.4;0.6;1.0;0.4;0.2;-0.4;0.6
2009-09-30;9697;9686;9695;9689;9691;9695;true;11;9718;9685;9718;9687;9696;true;true;true;false;true;true;false;1254299700000000;;1254299700000000;04:30 - 05:00;true;true;false;9685;9697;9686;9718;9699;9718;1254300000000000;1254301800000000;false;05:00 - 05:30;04:30 - 05:00;2.9;1.2;3.0;0.0;0.5;0.9;1.0;-0.0;3.0
2009-10-01;9671;9639;9668;9640;9650;9668;true;32;9674;9607;9671;9608;9621;true;true;false;true;true;true;false;;1254386400000000;1254386400000000;04:30 - 05:00;false;true;true;9650;9674;9607;9643;9643;9607;1254387900000000;1254393600000000;true;06:30 - 07:00;05:00 - 05:30;-1.0;0.1;-1.0;0.1;0.3;0.9;-0.6;-1.0;1.0
2009-10-02;9459;9434;9451;9435;9444;9435;false;25;9459;9423;9457;9427;9430;false;true;false;true;true;true;true;;1254468600000000;1254468600000000;03:30 - 04:00;false;true;true;;;9423;9459;9434;9423;1254468900000000;1254468900000000;false;03:30 - 04:00;03:30 - 04:00;-0.4;0.0;-0.5;1.0;0.4;0.0;-0.2;-0.5;1.0
2009-10-05;9462;9436;9458;9449;9455;9457;true;26;9487;9447;9484;9453;9457;true;false;true;false;true;true;true;1254728700000000;;1254728700000000;03:30 - 04:00;true;true;false;9447;9461;9456;9487;9462;9487;1254729000000000;1254730200000000;false;04:00 - 04:30;03:30 - 04:00;1.9;1.0;2.0;0.8;0.8;0.9;0.9;0.5;2.0
2009-10-06;9565;9542;9560;9547;9547;9553;true;23;9636;9547;9626;9550;9613;true;false;true;false;true;true;true;1254815400000000;;1254815400000000;03:30 - 04:00;true;true;true;9547;9564;9562;9636;9562;9636;1254815700000000;1254821100000000;true;05:00 - 05:30;03:30 - 04:00;4.0;0.9;4.1;0.9;0.3;0.5;3.1;0.3;4.1
2009-10-07;9702;9661;9700;9667;9684;9689;true;41;9701;9656;9699;9660;9666;false;true;false;true;true;true;true;;1254918000000000;1254918000000000;08:00 - 08:30;false;true;false;9656;9701;9658;9667;;;;;false;;;;;-0.1;0.1;0.5;0.6;0.1;-0.2;0.9
2009-10-08;9765;9752;9763;9755;9762;9761;false;13;9771;9734;9770;9737;9743;true;true;true;true;true;false;false;1254988800000000;1254992100000000;1254988800000000;04:00 - 04:30;true;false;false;9750;9765;9734;9770;9763;9770;1254989100000000;1254989100000000;true;04:00 - 04:30;04:00 - 04:30;1.3;0.9;1.4;-1.3;0.8;0.7;-0.6;-1.3;1.5
2009-10-09;9775;9721;9769;9722;9722;9764;true;54;9773;9706;9770;9713;9715;false;true;false;true;true;true;true;;1255082100000000;1255082100000000;05:30 - 06:00;false;true;true;9727;9773;9706;9750;9750;9706;1255086300000000;1255091100000000;true;08:00 - 08:30;07:00 - 07:30;-0.2;0.5;-0.3;0.5;0.0;0.7;-0.2;-0.3;0.9
