date;dr_high;dr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_close;session_high_time;session_low_time;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_high;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_max;pre_conf_min;after_conf_max;after_conf_min;max_expansion_time;max_retracement_time;max_expansion_value;max_retracement_value;retrace_into_dr;expansion_window;retracement_window;opening_level;closing_level;session_high_level;session_low_level;session_close_level;pre_conf_min_level;pre_conf_max_level;after_conf_min_level;after_conf_max_level;expansion_level;retracement_level
2009-09-28;9630;9582;9613;9592;False;48;9664;9589;9662;08:25:00;08:25:00;True;False;True;False;True;True;True;2009-09-28 06:20:00-04:00;;06:20:00;06:00 - 06:30;True;True;True;9631.0;9589.0;9664.0;9628.0;08:25:00;06:35:00;9664.0;9628.0;True;08:00 - 08:30;06:30 - 07:00;0.6;0.2;1.7;0.2;1.6;0.2;1.0;1.0;1.7;1.7;1.0
2009-09-29;9740;9713;9740;9719;False;27;9732;9706;9722;06:10:00;07:35:00;False;True;False;True;True;True;True;;2009-09-29 05:30:00-04:00;05:30:00;05:30 - 06:00;False;True;False;9727.0;9712.0;9732.0;9706.0;08:05:00;06:10:00;9706.0;9732.0;True;08:00 - 08:30;06:00 - 06:30;1.0;0.2;0.7;-0.2;0.3;0.0;0.5;-0.2;0.7;-0.2;0.7
2009-09-30;9697;9685;9691;9689;False;12;9718;9686;9696;05:10:00;05:10:00;True;False;True;False;True;True;True;2009-09-30 04:35:00-04:00;;04:35:00;04:30 - 05:00;True;True;False;9697.0;9688.0;9718.0;9686.0;05:10:00;04:40:00;9718.0;9699.0;False;05:00 - 05:30;04:30 - 05:00;0.5;0.3;2.7;0.1;0.9;0.3;1.0;0.1;2.7;2.7;1.2
2009-10-01;9674;9639;9650;9662;True;35;9665;9607;9621;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-01 04:40:00-04:00;04:40:00;04:30 - 05:00;False;True;True;9665.0;9650.0;9643.0;9607.0;06:40:00;05:05:00;9607.0;9643.0;True;06:30 - 07:00;05:00 - 05:30;0.3;0.6;0.7;-0.9;-0.6;0.4;0.7;-0.9;0.1;-0.9;0.1
2009-10-02;9459;9423;9444;9447;True;36;9459;9428;9430;05:05:00;05:10:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;9447.0;9447.0;9430.0;9430.0;;;;;False;No breakout;No breakout;0.5;0.6;1.0;0.2;0.1;0.7;0.6;0.2;0.1;;
2009-10-05;9471;9436;9455;9470;True;35;9487;9456;9457;04:10:00;04:10:00;True;False;True;False;True;True;True;2009-10-05 04:05:00-04:00;;04:05:00;04:00 - 04:30;True;True;False;9474.0;9469.0;9487.0;9456.0;04:10:00;04:10:00;9487.0;9480.0;False;04:00 - 04:30;04:00 - 04:30;0.5;0.9;1.4;0.6;0.5;1.0;1.0;0.6;1.4;1.4;1.3
2009-10-06;9570;9542;9547;9564;True;28;9636;9563;9613;05:25:00;07:55:00;True;False;True;False;True;True;True;2009-10-06 04:20:00-04:00;;04:20:00;04:00 - 04:30;True;True;True;9571.0;9563.0;9636.0;9564.0;05:25:00;04:35:00;9636.0;9564.0;True;05:00 - 05:30;04:30 - 05:00;0.1;0.7;3.3;0.8;2.5;0.8;1.0;0.8;3.3;3.3;0.8
2009-10-07;9702;9661;9684;9690;True;41;9701;9656;9666;04:40:00;05:05:00;False;True;False;True;True;True;True;;2009-10-07 08:20:00-04:00;08:20:00;08:00 - 08:30;False;True;False;9701.0;9656.0;9667.0;9658.0;08:25:00;08:25:00;9658.0;9667.0;True;08:00 - 08:30;08:00 - 08:30;0.5;0.7;0.9;-0.1;0.1;-0.1;0.9;0.0;0.1;0.0;0.1
2009-10-08;9765;9750;9762;9763;True;15;9771;9734;9743;04:00:00;04:05:00;True;True;True;True;True;False;False;2009-10-08 04:00:00-04:00;2009-10-08 04:55:00-04:00;04:00:00;04:00 - 04:30;True;False;False;9763.0;9763.0;9770.0;9734.0;04:05:00;04:05:00;9770.0;9763.0;True;04:00 - 04:30;04:00 - 04:30;0.8;0.8;1.3;-1.0;-0.5;0.9;0.8;-1.0;1.3;1.3;0.9
2009-10-09;9775;9721;9722;9763;True;54;9770;9706;9715;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-09 05:55:00-04:00;05:55:00;05:30 - 06:00;False;True;True;9770.0;9727.0;9750.0;9706.0;08:25:00;07:05:00;9706.0;9750.0;True;08:00 - 08:30;07:00 - 07:30;0.0;0.7;0.9;-0.2;-0.2;0.2;0.9;-0.2;0.5;-0.2;0.5
2009-10-12;9822;9806;9818;9821;True;16;9876;9814;9853;07:00:00;07:05:00;True;False;True;False;True;True;True;2009-10-12 04:00:00-04:00;;04:00:00;04:00 - 04:30;True;True;True;9821.0;9821.0;9876.0;9822.0;07:00:00;04:05:00;9876.0;9822.0;False;07:00 - 07:30;04:00 - 04:30;0.7;0.9;4.3;0.5;2.9;1.0;0.9;1.0;4.3;4.3;1.0
2009-10-13;9827;9799;9822;9804;False;28;9848;9791;9819;07:45:00;07:45:00;True;True;True;True;True;False;False;2009-10-13 07:10:00-04:00;2009-10-13 05:15:00-04:00;05:15:00;05:00 - 05:30;False;False;False;9822.0;9797.0;9848.0;9791.0;05:20:00;05:20:00;9791.0;9799.0;False;05:00 - 05:30;05:00 - 05:30;0.8;0.1;1.7;-0.2;0.7;0.0;0.8;-0.2;1.7;-0.2;0.0
2009-10-14;9898;9882;9888;9890;True;16;9941;9881;9913;06:55:00;07:05:00;True;True;True;False;True;True;False;2009-10-14 04:55:00-04:00;;04:55:00;04:30 - 05:00;True;True;True;9895.0;9881.0;9941.0;9899.0;06:55:00;05:00:00;9941.0;9899.0;False;06:30 - 07:00;05:00 - 05:30;0.3;0.5;3.6;0.0;1.9;0.0;0.8;1.1;3.6;3.6;1.1
2009-10-15;9966;9947;9955;9949;False;19;9973;9906;9913;07:10:00;07:10:00;True;True;True;True;True;False;False;2009-10-15 07:05:00-04:00;2009-10-15 07:20:00-04:00;07:05:00;07:00 - 07:30;True;False;False;9965.0;9943.0;9973.0;9906.0;07:10:00;07:10:00;9973.0;9964.0;True;07:00 - 07:30;07:00 - 07:30;0.4;0.1;1.3;-2.1;-1.8;-0.2;0.9;-2.1;1.3;1.3;0.9
2009-10-16;10004;9970;9970;9984;True;34;9990;9891;9903;04:25:00;04:30:00;False;True;False;True;True;True;True;;2009-10-16 06:30:00-04:00;06:30:00;06:30 - 07:00;False;True;True;9990.0;9972.0;9969.0;9891.0;08:20:00;06:35:00;9891.0;9969.0;False;08:00 - 08:30;06:30 - 07:00;0.0;0.4;0.5;-2.3;-2.0;0.1;0.5;-2.3;-0.1;-2.3;-0.1
2009-10-19;9978;9937;9938;9972;True;41;9978;9960;9973;07:25:00;07:25:00;False;False;False;False;False;False;False;;;;No breakout;False;True;False;9972.0;9972.0;9973.0;9973.0;;;;;False;No breakout;No breakout;0.0;0.8;1.0;0.6;0.8;0.9;0.8;0.9;0.8;;
2009-10-20;10055;10017;10054;10020;False;38;10070;9994;10042;07:30:00;08:05:00;True;True;True;True;True;False;False;2009-10-20 07:30:00-04:00;2009-10-20 04:05:00-04:00;04:05:00;04:00 - 04:30;False;False;False;10020.0;10012.0;10070.0;9994.0;04:15:00;04:10:00;9994.0;10008.0;False;04:00 - 04:30;04:00 - 04:30;0.9;0.0;1.3;-0.6;0.6;-0.1;0.0;-0.6;1.3;-0.6;-0.3
2009-10-21;10016;9986;10001;9994;False;30;9994;9927;9965;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-21 04:05:00-04:00;04:05:00;04:00 - 04:30;False;True;True;9994.0;9987.0;9986.0;9927.0;07:40:00;04:55:00;9927.0;9986.0;False;07:30 - 08:00;04:30 - 05:00;0.5;0.2;0.2;-1.9;-0.7;0.1;0.2;-1.9;0.0;-1.9;0.0
2009-10-22;9914;9878;9900;9903;True;36;9935;9861;9923;08:20:00;08:25:00;True;True;True;True;True;False;False;2009-10-22 08:00:00-04:00;2009-10-22 04:40:00-04:00;04:40:00;04:30 - 05:00;False;False;False;9902.0;9881.0;9935.0;9862.0;04:45:00;04:45:00;9862.0;9867.0;False;04:30 - 05:00;04:30 - 05:00;0.6;0.6;1.5;-0.4;1.2;0.1;0.6;-0.4;1.5;-0.4;-0.4
2009-10-23;10065;10039;10045;10061;True;26;10063;10026;10046;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-23 04:55:00-04:00;04:55:00;04:30 - 05:00;False;True;False;10063.0;10035.0;10056.0;10026.0;05:00:00;05:00:00;10026.0;10036.0;False;05:00 - 05:30;05:00 - 05:30;0.2;0.8;0.9;-0.5;0.2;-0.1;0.9;-0.5;0.6;-0.5;-0.2
2009-10-26;9967;9942;9958;9966;True;25;9975;9934;9952;04:00:00;06:05:00;True;True;True;True;True;False;False;2009-10-26 04:00:00-04:00;2009-10-26 07:15:00-04:00;04:00:00;04:00 - 04:30;True;False;False;9966.0;9966.0;9974.0;9934.0;04:05:00;04:05:00;9974.0;9968.0;False;04:00 - 04:30;04:00 - 04:30;0.6;0.9;1.3;-0.3;0.4;1.0;0.9;-0.3;1.2;1.2;1.1
2009-10-27;9853;9834;9846;9845;False;19;9872;9825;9832;07:15:00;07:15:00;True;True;True;True;True;False;False;2009-10-27 06:25:00-04:00;2009-10-27 04:40:00-04:00;04:40:00;04:30 - 05:00;False;False;True;9858.0;9832.0;9872.0;9825.0;05:25:00;05:00:00;9825.0;9849.0;True;05:00 - 05:30;05:00 - 05:30;0.6;0.5;2.0;-0.4;-0.2;-0.1;1.2;-0.4;2.0;-0.4;0.7
2009-10-28;9850;9833;9842;9841;False;17;9844;9760;9799;04:00:00;04:00:00;False;True;False;True;True;True;True;;2009-10-28 04:00:00-04:00;04:00:00;04:00 - 04:30;False;True;True;9841.0;9841.0;9831.0;9760.0;08:25:00;04:05:00;9760.0;9831.0;False;08:00 - 08:30;04:00 - 04:30;0.5;0.4;0.6;-4.2;-2.0;0.5;0.4;-4.2;-0.2;-4.2;-0.2
2009-10-29;9746;9722;9723;9741;True;24;9759;9724;9740;07:10:00;07:10:00;True;False;True;False;True;True;True;2009-10-29 04:15:00-04:00;;04:15:00;04:00 - 04:30;True;True;False;9744.0;9724.0;9759.0;9726.0;07:10:00;04:50:00;9759.0;9734.0;True;07:00 - 07:30;04:30 - 05:00;0.0;0.7;1.5;0.1;0.7;0.1;0.9;0.2;1.5;1.5;0.5
2009-10-30;9892;9880;9888;9883;False;12;9895;9850;9872;05:20:00;05:20:00;True;True;False;True;True;True;False;;2009-10-30 04:05:00-04:00;04:05:00;04:00 - 04:30;False;True;True;9883.0;9874.0;9895.0;9850.0;04:20:00;04:10:00;9850.0;9878.0;False;04:00 - 04:30;04:00 - 04:30;0.6;0.2;1.2;-2.5;-0.7;-0.5;0.2;-2.5;1.2;-2.5;-0.2
2009-11-02;9731;9680;9710;9728;True;51;9733;9700;9708;04:00:00;05:10:00;True;False;False;False;False;False;True;;;;No breakout;False;True;False;9728.0;9728.0;9708.0;9708.0;;;;;False;No breakout;No breakout;0.5;0.9;1.0;0.4;0.5;1.0;0.9;0.6;0.5;;
2009-11-03;9716;9678;9714;9683;False;38;9698;9627;9693;04:05:00;04:05:00;False;True;False;True;True;True;True;;2009-11-03 04:30:00-05:00;04:30:00;04:30 - 05:00;False;True;False;9698.0;9682.0;9697.0;9627.0;06:15:00;04:35:00;9627.0;9675.0;False;06:00 - 06:30;04:30 - 05:00;0.9;0.1;0.5;-1.3;0.3;0.2;0.5;-1.3;0.5;-1.3;-0.1
2009-11-04;9778;9747;9755;9773;True;31;9787;9758;9782;05:35:00;05:30:00;True;False;True;False;True;True;True;2009-11-04 04:45:00-05:00;;04:45:00;04:30 - 05:00;True;True;True;9780.0;9769.0;9787.0;9758.0;05:35:00;05:15:00;9787.0;9773.0;True;05:30 - 06:00;05:00 - 05:30;0.2;0.8;1.2;0.4;1.1;0.8;1.0;0.4;1.2;1.2;0.9
2009-11-05;9761;9723;9748;9727;False;38;9802;9722;9798;07:45:00;07:50:00;True;True;True;False;True;True;False;2009-11-05 04:30:00-05:00;;04:30:00;04:30 - 05:00;True;True;True;9756.0;9722.0;9802.0;9763.0;07:45:00;05:25:00;9802.0;9763.0;False;07:30 - 08:00;05:00 - 05:30;0.6;0.1;2.0;0.0;1.9;0.0;0.8;1.1;2.0;2.0;1.1
2009-11-06;9975;9932;9938;9974;True;43;9998;9942;9986;08:25:00;08:05:00;True;False;True;False;True;True;True;2009-11-06 08:25:00-05:00;;08:25:00;08:00 - 08:30;True;True;True;9978.0;9942.0;9986.0;9986.0;08:25:00;08:25:00;9998.0;9964.0;True;08:00 - 08:30;08:00 - 08:30;0.1;0.9;1.5;0.3;1.2;0.3;1.0;1.3;1.2;1.5;0.8
2009-11-09;10047;10031;10031;10042;True;16;10084;10033;10052;06:00:00;06:20:00;True;False;True;False;True;True;True;2009-11-09 04:40:00-05:00;;04:40:00;04:30 - 05:00;True;True;True;10048.0;10033.0;10084.0;10047.0;06:00:00;04:45:00;10084.0;10047.0;False;06:00 - 06:30;04:30 - 05:00;0.0;0.6;3.3;0.2;1.3;0.2;1.0;1.0;3.3;3.3;1.0
2009-11-10;10174;10153;10161;10169;True;21;10189;10157;10167;05:55:00;05:55:00;True;False;True;False;True;True;True;2009-11-10 04:10:00-05:00;;04:10:00;04:00 - 04:30;True;True;False;10172.0;10166.0;10189.0;10157.0;05:55:00;05:00:00;10189.0;10157.0;True;05:30 - 06:00;05:00 - 05:30;0.3;0.7;1.7;0.2;0.6;0.7;0.9;0.2;1.7;1.7;0.2
2009-11-11;10271;10254;10259;10261;True;17;10301;10260;10270;04:50:00;04:50:00;True;False;True;False;True;True;True;2009-11-11 04:20:00-05:00;;04:20:00;04:00 - 04:30;True;True;False;10272.0;10260.0;10301.0;10267.0;04:50:00;04:25:00;10301.0;10273.0;False;04:30 - 05:00;04:00 - 04:30;0.2;0.4;2.7;0.4;0.9;0.4;1.0;0.8;2.7;2.7;1.2
2009-11-12;10245;10221;10222;10230;True;24;10248;10194;10238;05:20:00;06:05:00;True;True;True;True;True;False;False;2009-11-12 06:00:00-05:00;2009-11-12 04:10:00-05:00;04:10:00;04:00 - 04:30;False;False;False;10234.0;10222.0;10248.0;10194.0;04:20:00;04:15:00;10194.0;10217.0;False;04:00 - 04:30;04:00 - 04:30;0.0;0.3;1.1;-1.1;0.7;0.1;0.5;-1.1;1.1;-1.1;-0.2
2009-11-13;10218;10193;10207;10218;True;25;10223;10194;10202;06:25:00;06:20:00;True;False;True;False;True;True;True;2009-11-13 06:15:00-05:00;;06:15:00;06:00 - 06:30;True;True;False;10221.0;10204.0;10223.0;10194.0;06:25:00;06:25:00;10223.0;10216.0;True;06:00 - 06:30;06:00 - 06:30;0.5;1.0;1.1;0.1;0.3;0.5;1.1;0.1;1.1;1.1;1.0
2009-11-16;10316;10291;10314;10293;False;25;10317;10290;10306;04:15:00;08:15:00;True;True;False;False;False;False;False;;;;No breakout;False;True;False;10293.0;10293.0;10306.0;10306.0;;;;;False;No breakout;No breakout;0.9;0.0;1.0;0.0;0.5;0.1;0.0;0.6;0.5;;
2009-11-17;10360;10337;10349;10345;False;23;10370;10332;10347;04:45:00;04:50:00;True;True;True;False;True;True;False;2009-11-17 04:45:00-05:00;;04:45:00;04:30 - 05:00;True;True;False;10361.0;10338.0;10370.0;10332.0;04:50:00;04:50:00;10370.0;10365.0;False;04:30 - 05:00;04:30 - 05:00;0.5;0.3;1.4;-0.2;0.4;0.1;1.0;-0.2;1.4;1.4;1.3
2009-11-18;10407;10391;10394;10400;True;16;10422;10393;10394;06:25:00;06:55:00;True;False;True;False;True;True;True;2009-11-18 05:35:00-05:00;;05:35:00;05:30 - 06:00;True;True;False;10409.0;10393.0;10422.0;10394.0;06:25:00;05:45:00;10422.0;10408.0;False;06:00 - 06:30;05:30 - 06:00;0.1;0.5;1.9;0.2;0.1;0.2;1.1;0.2;1.9;1.9;1.1
2009-11-19;10371;10353;10361;10359;False;18;10367;10325;10337;06:05:00;06:00:00;False;True;False;True;True;True;True;;2009-11-19 04:20:00-05:00;04:20:00;04:00 - 04:30;False;True;True;10361.0;10350.0;10367.0;10325.0;06:40:00;06:05:00;10325.0;10367.0;True;06:30 - 07:00;06:00 - 06:30;0.4;0.3;0.7;-1.5;-0.9;-0.1;0.4;-1.5;0.7;-1.5;0.7
2009-11-20;10330;10305;10313;10323;True;25;10329;10236;10263;04:25:00;04:20:00;False;True;False;True;True;True;True;;2009-11-20 05:50:00-05:00;05:50:00;05:30 - 06:00;False;True;True;10329.0;10302.0;10306.0;10236.0;07:05:00;06:00:00;10236.0;10306.0;True;07:00 - 07:30;06:00 - 06:30;0.3;0.7;0.9;-2.7;-1.7;-0.1;0.9;-2.7;0.0;-2.7;0.0
