;iDR_high;DR_high;DR_low;iDR_low;dr_price_range;close_min_past_idr;close_max_past_idr;high_past_idr;low_past_idr;last_close;closed_above_dr;closed_below_dr;dr_confirmed;DR_true;dr_upbreak_time;dr_downbreak_time;first_breakout_time;first_breakout_time_seconds;dr_up_day;price_outside_dr_eod;dr_profit_points;max_retracement_time;max_retracement_value;max_retracement_time_seconds;retracement_into_dr;retracement_into_dr_points;retracement_into_idr;retracement_into_idr_points;breakout_window;expantion_level;retracement_level
2023-07-24;15606.5;15618.75;15483.75;15488.0;135.0;15527.75;15591.5;15597.75;15518.5;15557.75;False;False;False;True;;;;;;False;-74.0;11:15:00;15593.5;40500;True;109.75;True;105.5;;0.5;0.75
2023-07-25;15663.0;15672.25;15587.75;15608.5;84.5;15610.0;15733.75;15739.25;15604.0;15641.0;True;False;True;True;2023-07-25 11:40:00-04:00;;11:40:00;42000.0;True;False;-31.25;16:00:00;15610.0;57600;True;62.25;True;53.0;11:30 - 12:00;2.25;0.25
2023-07-26;15625.5;15639.25;15566.0;15579.75;73.25;15535.75;15694.5;15710.5;15515.0;15694.5;True;True;True;False;2023-07-26 14:35:00-04:00;2023-07-26 10:55:00-04:00;10:55:00;39300.0;False;False;-128.5;11:00:00;15538.75;39600;False;-27.25;False;-41.0;10:30 - 11:00;-0.75;-1.0
2023-07-27;15894.0;15904.0;15770.5;15772.25;133.5;15528.75;15850.0;15856.75;15511.25;15608.5;False;True;True;True;;2023-07-27 13:15:00-04:00;13:15:00;47700.0;False;True;162.0;13:20:00;15770.25;48000;False;-0.25;False;-2.0;13:00 - 13:30;-1.75;-0.25
2023-07-28;15824.75;15829.25;15715.75;15746.25;113.5;15784.25;15894.75;15896.0;15774.5;15846.0;True;False;True;True;2023-07-28 11:05:00-04:00;;11:05:00;39900.0;True;True;16.75;11:10:00;15822.5;40200;True;6.75;True;2.25;11:00 - 11:30;1.75;1.0
2023-07-31;15884.25;15905.0;15805.25;15823.75;99.75;15806.0;15882.0;15889.25;15800.25;15880.75;False;False;False;True;;;;;;False;-75.5;11:10:00;15879.75;40200;True;74.5;True;56.0;;-0.25;0.75
2023-08-01;15802.5;15815.25;15728.25;15742.25;87.0;15725.5;15847.0;15849.25;15684.0;15768.0;True;True;True;False;2023-08-01 10:45:00-04:00;2023-08-01 18:10:00-04:00;10:45:00;38700.0;True;False;-47.25;12:30:00;15778.0;45000;True;37.25;True;24.5;10:30 - 11:00;1.5;0.75
2023-08-02;15667.5;15668.75;15524.5;15531.0;144.25;15426.25;15549.75;15556.5;15414.0;15491.75;False;True;True;True;;2023-08-02 10:45:00-04:00;10:45:00;38700.0;False;True;32.75;10:50:00;15524.75;39000;True;0.25;False;-6.25;10:30 - 11:00;-0.75;-0.25
2023-08-03;15443.75;15466.75;15351.25;15355.75;115.5;15393.75;15529.75;15551.75;15384.5;15519.5;True;False;True;True;2023-08-03 11:15:00-04:00;;11:15:00;40500.0;True;True;52.75;16:00:00;15410.75;57600;True;56.0;True;33.0;11:00 - 11:30;1.75;0.75
2023-08-04;15572.75;15583.5;15392.75;15424.0;190.75;15342.0;15608.25;15610.25;15336.5;15362.75;True;True;True;False;2023-08-04 12:25:00-04:00;2023-08-04 14:35:00-04:00;12:25:00;44700.0;True;False;-220.75;12:35:00;15581.75;45300;True;1.75;False;-9.0;12:00 - 12:30;1.0;1.25
